date,open,max,min,close,volume,y
19980317,2.15,2.2,2.15,2.2,217516,[0 0]
19980318,2.2,2.2,2.2,2.2,110000,[0 0]
19980319,2.22,2.22,2.05,2.2,222318,[1 1]
19980323,2.19,2.19,2.19,2.19,109500,[1 1]
19980324,2.06,2.06,2.06,2.06,20600,[0 1]
19980325,2.26,2.3,2.2,2.28,263820,[1 0]
19980326,2.29,2.29,2.29,2.29,45800,[1 1]
19980327,2.31,2.31,2.31,2.31,14091,[0 1]
19980330,2.24,2.35,2.24,2.35,88121,[0 0]
19980422,2.4,2.4,2.2,2.2,245600,[0 1]
19980423,2.32,2.32,2.24,2.29,314020,[1 0]
19980424,2.3,2.3,2.3,2.3,27600,[1 1]
19980427,2.2,2.2,2.2,2.2,2420,[0 0]
19980430,2.35,2.36,2.35,2.36,164600,[0 1]
19980504,2.4,2.4,2.4,2.4,24000,[1 0]
19980505,2.4,2.4,2.4,2.4,218400,[0 0]
19980506,2.46,2.6,2.46,2.6,536010,[0 1]
19980507,2.36,2.43,2.36,2.43,273146,[0 0]
19980508,2.39,2.39,2.38,2.38,150954,[0 1]
19980513,2.36,2.36,2.36,2.36,70800,[1 0]
19980514,2.4,2.4,2.4,2.4,4560,[1 0]
19980515,2.55,2.55,2.55,2.55,127500,[0 0]
19980518,2.37,2.37,2.36,2.36,236999,[0 1]
19980519,2.38,2.38,2.38,2.38,238,[0 0]
19980522,2.38,2.4,2.38,2.4,23862,[0 0]
19980525,2.35,2.35,2.3,2.3,158210,[0 0]
19980527,2.1,2.17,2.1,2.17,362985,[0 0]
19980528,2.2,2.2,2.15,2.15,165185,[1 0]
19980529,2.21,2.21,2.2,2.2,220555,[0 1]
19980603,2.15,2.29,2.15,2.29,108620,[0 0]
19980604,2.16,2.16,2.16,2.16,108000,[1 0]
19980610,2.16,2.16,2.16,2.16,64800,[0 1]
19980612,2.11,2.11,2.04,2.04,207885,[0 1]
19980615,1.9,1.9,1.9,1.9,19000,[0 1]
19980617,2.05,2.08,2.04,2.06,668982,[0 0]
19980623,2.0,2.0,1.98,1.98,238800,[0 1]
19980624,1.98,1.98,1.93,1.93,294499,[0 1]
19980701,1.91,1.91,1.91,1.91,152800,[0 1]
19980702,1.93,1.93,1.93,1.93,154400,[1 1]
19980706,2.0,2.0,2.0,2.0,19800,[1 1]
19980713,2.0,2.0,2.0,2.0,20000,[1 0]
19980715,2.14,2.14,2.14,2.14,75756,[0 0]
19980721,2.15,2.15,2.1,2.1,209010,[0 0]
19980722,2.1,2.1,2.1,2.1,126000,[0 0]
19980723,2.1,2.1,2.06,2.06,144834,[0 1]
19980727,2.05,2.05,2.05,2.05,81385,[0 1]
19980728,2.06,2.06,2.06,2.06,99498,[1 0]
19980805,1.82,1.83,1.82,1.83,97406,[1 1]
19980807,1.82,1.82,1.82,1.82,54600,[0 1]
19980812,1.67,1.67,1.67,1.67,11022,[1 0]
19980814,1.67,1.67,1.67,1.67,16700,[0 0]
19980817,1.57,1.6,1.57,1.6,47383,[1 1]
19980818,1.59,1.6,1.59,1.6,284974,[0 1]
19980819,1.6,1.61,1.6,1.6,422187,[1 0]
19980821,1.35,1.42,1.35,1.42,22262,[1 0]
19980825,1.5,1.5,1.5,1.5,16500,[1 0]
19980827,1.45,1.45,1.45,1.45,43500,[0 0]
19980828,1.45,1.45,1.26,1.26,142605,[1 0]
19980831,1.36,1.38,1.36,1.38,149790,[1 0]
19980902,1.36,1.36,1.23,1.23,229243,[0 0]
19980903,1.29,1.29,1.2,1.2,142394,[1 1]
19980908,1.25,1.25,1.25,1.25,12500,[1 1]
19980910,1.0,1.1,1.0,1.1,112095,[0 0]
19980911,1.1,1.1,1.1,1.1,11000,[1 0]
19980916,1.21,1.21,1.2,1.2,120939,[1 1]
19980921,1.02,1.02,1.02,1.02,55590,[0 1]
19980924,1.09,1.09,1.09,1.09,21800,[0 1]
19980929,0.98,0.98,0.98,0.98,73500,[0 1]
19980930,0.99,0.99,0.99,0.99,49005,[0 1]
19981006,0.93,0.93,0.93,0.93,19065,[1 1]
19981007,0.92,0.92,0.92,0.92,9200,[1 0]
19981009,0.86,0.86,0.86,0.86,21500,[0 1]
19981013,0.89,0.89,0.89,0.89,17800,[0 1]
19981016,0.84,0.84,0.84,0.84,8400,[0 0]
19981019,0.88,0.88,0.88,0.88,8800,[1 0]
19981020,0.88,0.88,0.88,0.88,4400,[1 0]
19981022,0.94,0.94,0.94,0.94,56400,[1 0]
19981030,0.97,0.97,0.95,0.95,44290,[1 0]
19981103,1.01,1.01,0.99,0.99,100000,[1 0]
19981112,1.06,1.06,1.02,1.02,120524,[0 0]
19981118,1.15,1.15,1.15,1.15,23115,[1 0]
19981119,1.25,1.25,1.25,1.25,10000,[0 0]
19981127,1.15,1.15,1.15,1.15,40480,[0 0]
19981130,1.16,1.16,1.13,1.13,40924,[0 1]
19981201,1.13,1.13,1.13,1.13,13560,[1 0]
19981203,1.02,1.02,1.02,1.02,1326,[0 0]
19981204,1.02,1.02,0.98,0.98,89138,[0 0]
