date,open,max,min,close,volume,y
20040929,17.6,17.69,17.2,17.2,18868702,[0 1]
20040930,17.3,17.3,16.5,16.66,7593196,[0 0]
20041001,16.9,17.49,16.75,17.49,2143933,[0 1]
20041004,17.15,17.15,16.85,16.85,2131141,[0 0]
20041005,17.0,17.54,16.8,16.82,3565249,[0 1]
20041006,16.82,16.99,16.75,16.77,1207350,[1 0]
20041007,16.8,16.95,16.79,16.89,1619175,[0 0]
20041008,16.85,17.0,16.76,16.8,1325844,[1 0]
20041011,16.75,16.75,16.5,16.7,875361,[1 1]
20041013,16.75,16.79,16.51,16.51,1141958,[1 0]
20041014,16.5,16.76,16.5,16.76,1793934,[1 1]
20041015,16.55,16.8,16.55,16.8,812752,[1 0]
20041018,16.51,16.7,16.48,16.52,1237940,[1 1]
20041019,16.7,16.79,16.4,16.4,1717952,[0 0]
20041020,16.31,16.5,16.1,16.1,981943,[0 0]
20041021,16.15,16.49,15.81,16.49,1596237,[0 0]
20041022,15.99,16.28,15.91,15.98,1569955,[0 1]
20041025,16.0,16.78,16.0,16.3,3011946,[0 1]
20041026,16.42,16.75,16.41,16.41,1490791,[1 1]
20041027,16.7,16.72,16.45,16.45,1394587,[0 1]
20041028,16.3,16.5,16.2,16.2,2049959,[0 1]
20041029,16.5,16.6,16.25,16.25,815653,[0 1]
20041101,16.5,16.5,16.1,16.38,379735,[1 0]
20041103,16.4,16.75,16.0,16.75,1643628,[1 0]
20041104,16.04,16.54,16.04,16.2,447063,[0 0]
20041105,16.38,16.49,16.19,16.45,1018765,[0 1]
20041108,16.17,16.5,16.0,16.5,1547866,[1 1]
20041109,16.2,16.38,16.15,16.38,197881,[0 1]
20041110,16.4,16.4,15.82,15.82,1647038,[0 1]
20041111,15.83,16.0,15.5,15.5,1941707,[1 0]
20041112,15.65,15.65,15.4,15.4,1105229,[0 1]
20041116,15.41,15.5,15.0,15.0,646782,[1 0]
20041117,15.15,15.15,14.41,14.41,1262029,[0 1]
20041118,14.4,14.97,14.4,14.41,977323,[1 1]
20041119,14.7,15.1,14.7,15.1,667253,[0 1]
20041122,15.05,15.35,14.82,14.82,561705,[0 1]
20041123,15.3,16.1,15.3,15.7,967815,[0 0]
20041124,15.81,16.3,15.81,16.0,1245488,[0 0]
20041125,15.71,16.5,15.71,16.3,763590,[1 0]
20041126,15.72,16.74,15.72,15.78,1544705,[0 0]
20041129,16.75,16.8,15.78,16.7,364095,[1 0]
20041130,16.0,16.4,16.0,16.08,1011413,[0 1]
20041201,16.0,16.8,16.0,16.8,689715,[0 1]
20041202,16.43,16.79,16.36,16.4,1079144,[1 1]
20041203,16.7,16.95,16.36,16.6,802931,[0 1]
20041206,16.94,17.22,16.75,17.19,1442608,[0 0]
20041207,17.15,17.15,16.5,16.5,757783,[1 1]
20041208,16.4,17.25,16.4,16.85,1024545,[0 0]
20041209,16.51,16.76,16.4,16.76,239376,[0 1]
20041210,16.36,17.25,16.36,16.5,759577,[1 0]
20041213,16.7,16.74,16.41,16.5,488947,[1 1]
20041214,16.8,16.8,16.21,16.21,920810,[1 0]
20041215,16.55,16.55,16.27,16.45,879930,[0 1]
20041216,16.95,17.2,16.41,16.6,1923505,[1 0]
20041217,17.1,17.35,16.41,17.35,1943566,[1 1]
20041220,17.4,17.4,16.82,17.1,570184,[0 0]
20041221,16.81,17.3,16.8,17.3,1385903,[0 1]
20041222,17.2,17.5,16.85,17.2,1965053,[0 1]
20041223,17.45,17.55,17.22,17.31,912085,[0 0]
20041227,17.3,17.7,17.2,17.7,1267885,[1 0]
20041228,17.6,17.67,17.33,17.4,435103,[1 0]
20041229,17.32,17.45,17.21,17.32,821309,[0 1]
20041230,17.4,17.6,17.0,17.6,560552,[1 0]
20050103,17.7,18.15,17.5,18.15,2169242,[0 0]
20050104,17.9,18.11,17.02,18.11,1047620,[1 1]
20050105,18.0,18.05,17.75,17.75,876647,[1 0]
20050106,18.1,18.95,18.01,18.95,2421240,[0 1]
20050107,18.9,19.25,18.71,19.15,2043124,[0 1]
20050110,19.0,19.3,19.0,19.3,1033489,[0 1]
20050111,19.41,19.41,18.61,18.61,1739427,[1 1]
20050112,18.7,18.99,18.33,18.99,727889,[1 0]
20050113,18.31,18.6,18.31,18.6,758814,[0 0]
20050114,18.2,18.92,18.2,18.92,211322,[0 1]
20050117,18.8,18.99,18.34,18.5,379448,[0 0]
20050118,18.3,18.55,18.24,18.4,486394,[0 1]
20050119,18.4,18.4,18.2,18.2,273414,[0 1]
20050120,18.3,18.3,18.01,18.06,196985,[1 1]
20050121,18.2,18.2,18.2,18.2,336700,[0 0]
20050124,18.0,18.12,17.8,18.12,279886,[1 1]
20050126,18.1,18.2,17.71,18.12,954543,[0 0]
20050127,18.0,18.2,17.6,17.71,450478,[0 1]
20050128,18.2,18.2,17.9,17.9,59610,[0 0]
20050131,18.1,18.15,17.55,17.74,440896,[1 1]
20050201,17.75,17.75,17.51,17.74,899293,[0 1]
20050202,17.8,18.2,17.75,18.1,807054,[0 1]
20050203,17.95,18.3,17.91,18.06,687612,[0 1]
20050204,18.8,18.8,18.2,18.49,608848,[0 1]
20050209,18.5,19.89,18.5,19.7,2489473,[0 0]
20050210,18.51,19.79,18.51,19.75,2233490,[1 1]
20050211,19.77,20.0,19.53,19.64,2538762,[1 0]
20050214,19.8,21.15,19.7,20.56,2831866,[1 1]
20050215,20.15,20.29,19.86,19.86,1077153,[1 0]
20050216,19.8,20.24,19.51,19.62,1036487,[1 0]
20050217,20.0,20.0,19.62,19.8,656226,[0 0]
20050218,19.75,20.1,19.61,20.1,976875,[1 0]
20050221,19.95,20.0,19.5,20.0,558934,[1 0]
20050222,19.8,20.09,19.7,20.0,321549,[0 0]
20050223,19.81,20.0,19.7,19.75,802200,[1 0]
20050224,19.6,20.3,19.5,20.2,1539857,[0 1]
20050225,20.0,20.5,19.0,20.3,1741668,[0 1]
20050228,20.3,20.3,19.48,19.9,560798,[0 1]
20050301,19.71,20.0,19.71,20.0,172240,[0 1]
20050302,19.8,20.07,19.74,20.07,824085,[0 0]
20050303,19.8,20.4,19.8,20.4,1413451,[0 0]
20050304,19.76,20.4,19.76,20.4,305179,[1 0]
20050307,20.59,20.6,20.03,20.03,1586509,[0 1]
20050308,20.4,20.97,20.4,20.8,804594,[1 1]
20050309,20.99,20.99,20.01,20.89,229962,[1 0]
20050310,20.05,20.05,19.5,19.5,426964,[1 0]
20050311,19.7,20.85,19.51,19.51,518004,[1 1]
20050314,19.75,19.75,19.33,19.75,365291,[0 1]
20050315,19.41,19.45,19.3,19.3,352680,[1 1]
20050316,19.0,20.16,18.6,18.9,346816,[0 1]
20050317,19.5,19.5,18.45,18.45,479520,[1 0]
20050318,18.7,18.7,18.41,18.7,755982,[1 0]
20050321,18.66,19.0,18.5,18.5,175960,[1 0]
20050322,19.2,19.2,18.61,18.62,185026,[0 1]
20050323,19.0,19.0,18.4,18.4,465404,[1 0]
20050324,18.4,18.4,18.1,18.1,300732,[0 0]
20050328,19.49,19.49,18.4,18.44,142089,[0 1]
20050329,18.45,18.45,17.9,17.9,685765,[1 1]
20050330,18.0,19.0,17.81,18.6,328073,[0 1]
20050331,18.6,18.99,18.0,18.0,220390,[1 0]
20050401,18.01,18.01,17.61,17.61,387005,[0 1]
20050404,18.0,18.05,18.0,18.05,183965,[1 1]
20050405,18.4,18.4,18.36,18.36,86372,[0 1]
20050406,18.2,18.2,18.15,18.18,285355,[0 0]
20050407,18.36,18.36,18.0,18.0,36310,[1 0]
20050408,17.61,17.61,17.5,17.5,63255,[1 0]
20050411,17.6,17.6,17.6,17.6,49280,[1 1]
20050412,17.6,17.7,17.6,17.7,198670,[0 0]
20050413,17.9,18.0,17.9,18.0,211773,[1 1]
20050414,18.0,18.0,17.5,17.5,60450,[1 1]
20050415,17.6,17.6,17.3,17.3,210966,[1 0]
20050418,17.11,18.49,17.11,17.85,222106,[1 0]
