date,open,max,min,close,volume,y
20070816,27.5,28.5,27.5,28.5,307050,[0 1]
20070817,28.5,28.5,24.76,26.53,333013,[0 1]
20070820,32.0,32.0,30.9,30.9,158690,[0 0]
20070823,30.0,30.0,30.0,30.0,3000,[0 1]
20070824,31.0,32.0,31.0,32.0,157000,[0 0]
20070827,32.0,32.0,32.0,32.0,6400,[1 0]
20070828,30.1,30.1,30.0,30.0,15040,[1 1]
20070829,30.0,30.0,30.0,30.0,150000,[0 0]
20070831,32.0,32.0,31.99,32.0,12799,[1 1]
20070903,32.0,32.0,30.8,30.8,299929,[1 0]
20070904,30.8,30.8,28.25,30.2,415443,[0 1]
20070910,30.5,30.5,30.5,30.5,76250,[1 0]
20070912,28.5,28.5,28.5,28.5,11400,[0 0]
20070919,29.1,29.1,29.1,29.1,2910,[0 1]
20070920,29.0,30.0,29.0,30.0,105200,[0 0]
20070921,28.0,28.0,27.5,27.5,208570,[0 1]
20070924,27.75,27.75,27.5,27.5,275265,[1 0]
20070927,28.5,28.5,28.5,28.5,2850,[0 0]
20070928,29.0,29.0,29.0,29.0,8700,[1 0]
20071001,29.5,29.5,29.5,29.5,17700,[0 1]
20071002,29.35,29.4,29.35,29.4,187860,[1 0]
20071003,29.3,29.3,28.5,28.5,288840,[0 1]
20071008,28.0,29.0,28.0,29.0,297400,[1 0]
20071009,29.0,30.5,29.0,30.5,297400,[1 1]
20071011,29.9,30.0,29.9,30.0,239500,[0 1]
20071015,28.01,28.01,28.01,28.01,196070,[0 1]
20071019,28.0,28.0,27.5,27.5,52350,[1 0]
20071023,28.0,28.0,27.0,27.05,676704,[1 1]
20071026,27.25,28.59,26.0,28.59,464453,[0 0]
20071029,27.89,27.89,27.6,27.6,155190,[0 0]
20071030,27.45,27.6,27.45,27.6,297210,[1 0]
20071031,26.5,26.5,26.35,26.49,304183,[0 0]
20071105,27.89,28.0,27.89,28.0,83780,[1 0]
20071107,29.0,29.0,29.0,29.0,84100,[1 1]
20071108,27.0,28.0,27.0,28.0,103500,[1 0]
20071109,28.0,28.0,27.5,27.5,58450,[0 1]
20071113,30.3,30.3,27.5,27.5,523770,[0 1]
20071116,30.29,30.3,30.29,30.3,236280,[1 1]
20071119,28.9,28.9,27.5,27.5,86230,[1 0]
20071121,27.25,27.25,27.25,27.25,5450,[0 1]
20071123,27.65,27.65,27.65,27.65,132720,[1 0]
20071126,30.29,30.29,30.29,30.29,3029,[1 0]
20071127,27.25,27.25,27.0,27.0,253875,[1 0]
20071129,26.26,26.26,26.26,26.26,15756,[1 0]
20071130,26.9,26.9,26.9,26.9,80700,[0 0]
20071203,27.0,28.0,27.0,28.0,29800,[0 0]
20071204,27.5,27.5,27.5,27.5,203500,[1 1]
20071205,28.0,28.0,28.0,28.0,56000,[1 0]
20071207,28.7,28.7,28.7,28.7,54530,[0 1]
20071214,27.0,27.0,27.0,27.0,40500,[0 0]
20071217,24.0,29.8,24.0,29.8,266100,[1 1]
20071218,27.24,27.24,27.24,27.24,5448,[1 1]
20071219,27.25,27.25,27.25,27.25,21800,[0 1]
20071226,27.51,27.51,27.51,27.51,49518,[1 0]
20071227,27.17,27.18,27.17,27.18,239159,[1 0]
20071228,28.75,28.79,26.2,28.5,691472,[0 1]
20080102,29.5,29.5,29.5,29.5,289100,[1 1]
20080107,28.0,28.0,28.0,28.0,56000,[0 0]
20080109,27.36,27.36,27.36,27.36,109440,[0 0]
20080114,27.1,27.1,27.1,27.1,205960,[0 0]
20080121,27.0,27.0,22.1,26.8,363910,[0 1]
20080129,26.81,27.5,26.81,27.5,270585,[1 0]
20080201,27.0,27.0,27.0,27.0,13500,[0 0]
20080206,26.81,26.81,26.81,26.81,26810,[1 1]
20080208,24.5,24.5,24.5,24.5,80850,[0 0]
20080215,27.4,27.4,27.4,27.4,10960,[0 0]
20080218,27.9,27.9,27.0,27.11,90604,[0 0]
20080220,27.5,27.75,27.5,27.75,266775,[0 1]
20080227,28.5,28.8,28.5,28.8,189860,[1 0]
20080228,29.0,29.0,29.0,29.0,69600,[0 1]
20080229,29.5,29.5,28.15,28.15,75890,[1 0]
20080303,27.5,27.5,27.5,27.5,46750,[1 1]
20080305,27.94,27.94,27.94,27.94,5588,[0 0]
20080312,27.64,27.64,27.64,27.64,5528,[1 1]
20080314,28.0,28.0,28.0,28.0,84000,[0 1]
20080318,29.0,29.0,29.0,29.0,284200,[1 0]
20080319,29.05,29.05,29.05,29.05,2905,[0 1]
20080320,29.05,30.0,29.0,30.0,313597,[1 0]
20080328,28.86,28.86,28.8,28.8,144012,[0 0]
20080402,29.0,29.0,28.01,28.01,143313,[0 0]
20080403,30.6,31.13,30.6,31.13,394428,[0 0]
20080404,32.05,32.05,32.05,32.05,32050,[0 1]
20080408,31.45,31.45,31.45,31.45,15725,[1 0]
20080409,32.0,32.0,32.0,32.0,9600,[0 1]
20080414,29.65,29.65,29.65,29.65,5930,[0 1]
20080502,30.0,31.5,30.0,31.5,15150,[0 1]
20080505,30.0,30.0,30.0,30.0,195000,[0 1]
20080506,31.0,31.7,31.0,31.7,311678,[1 0]
20080514,30.0,30.0,30.0,30.0,30000,[0 0]
20080516,30.0,30.0,30.0,30.0,90000,[0 1]
20080519,28.52,29.7,28.52,29.7,64514,[1 0]
20080521,29.7,29.7,29.0,29.0,93080,[1 1]
20080523,27.51,27.51,27.51,27.51,60522,[1 0]
20080526,29.35,29.35,29.35,29.35,5870,[0 0]
20080604,29.8,29.94,29.8,29.94,35900,[0 1]
20080605,30.0,32.99,30.0,30.45,485580,[1 0]
20080606,30.07,30.07,30.07,30.07,78182,[1 0]
20080617,29.17,29.25,29.17,29.25,35020,[0 1]
20080620,30.1,30.63,30.1,30.63,219476,[0 1]
20080625,30.5,30.5,30.5,30.5,149450,[1 0]
20080626,30.0,30.0,30.0,30.0,90000,[1 1]
20080627,30.25,31.71,30.25,31.71,484321,[0 1]
20080630,32.0,32.0,32.0,32.0,16000,[0 1]
20080716,32.14,32.14,32.14,32.14,64280,[0 1]
20080717,32.55,32.55,32.55,32.55,84630,[0 1]
20080718,30.0,30.0,30.0,30.0,12000,[0 1]
20080723,30.99,30.99,30.99,30.99,3099,[1 0]
20080805,31.0,31.0,31.0,31.0,31000,[1 0]
20080807,33.0,33.0,30.3,30.3,290400,[1 1]
20080812,30.49,30.49,30.49,30.49,152450,[1 0]
20080813,29.75,29.75,27.6,27.6,69790,[0 1]
20080818,27.62,27.62,27.5,27.5,71485,[0 1]
20080819,29.0,29.0,29.0,29.0,29000,[0 1]
20080822,29.41,29.41,29.41,29.41,94112,[1 1]
20080825,35.0,35.0,29.5,29.5,81190,[0 1]
20080827,29.41,29.41,29.41,29.41,14705,[1 0]
20080901,29.0,29.0,29.0,29.0,20300,[1 0]
20080904,28.0,28.0,28.0,28.0,14000,[1 0]
20080910,26.0,26.0,26.0,26.0,26000,[1 1]
20080912,25.8,26.0,25.51,25.51,209108,[0 0]
20080917,25.51,25.51,24.5,24.5,103102,[1 1]
20080923,23.25,24.0,20.51,24.0,52226,[1 0]
20080925,26.0,26.0,26.0,26.0,2600,[0 1]
20081001,29.0,29.0,29.0,29.0,58000,[1 0]
20081006,23.7,23.7,23.7,23.7,56880,[0 0]
20081009,20.0,20.0,20.0,20.0,188000,[0 0]
20081010,17.0,17.0,17.0,17.0,51000,[1 1]
20081013,21.0,21.0,21.0,21.0,63000,[1 0]
20081014,24.0,24.0,24.0,24.0,72000,[0 1]
20081015,22.0,22.0,20.6,20.6,38900,[1 0]
20081016,20.25,20.25,17.11,20.0,189237,[0 0]
20081017,23.0,23.0,20.0,20.0,111300,[1 0]
20081023,17.89,17.89,17.89,17.89,30413,[1 0]
20081024,17.5,17.5,17.3,17.3,121300,[1 0]
20081027,16.25,16.25,16.25,16.25,3250,[0 1]
