date,open,max,min,close,volume,y
19980316,0.9,0.9,0.9,0.9,67500,[0 0]
19980318,0.9,0.9,0.9,0.9,60750,[1 0]
19980320,0.88,0.88,0.88,0.88,42856,[0 0]
19980323,0.92,0.92,0.92,0.92,32200,[0 0]
19980325,0.9,0.9,0.9,0.9,63000,[1 1]
19980326,0.9,0.9,0.9,0.9,74250,[1 0]
19980331,0.9,0.9,0.9,0.9,67500,[0 0]
19980401,0.88,0.88,0.88,0.88,66000,[1 0]
19980402,0.88,0.88,0.88,0.88,26400,[0 0]
19980407,0.89,0.89,0.89,0.89,62300,[1 0]
19980413,0.91,0.92,0.91,0.92,150975,[1 1]
19980415,1.05,1.05,1.05,1.05,7875,[1 0]
19980417,1.05,1.05,1.05,1.05,52500,[0 1]
19980422,1.0,1.0,1.0,1.0,40000,[0 0]
19980423,0.95,0.95,0.95,0.95,47500,[0 0]
19980424,0.98,0.98,0.98,0.98,36750,[0 0]
19980427,0.95,0.95,0.95,0.95,9500,[1 0]
19980428,0.92,0.92,0.92,0.92,25300,[0 0]
19980430,0.88,0.88,0.87,0.88,98875,[0 0]
19980504,0.92,0.92,0.92,0.92,64400,[0 0]
19980505,0.89,0.89,0.89,0.89,33375,[0 0]
19980508,0.91,0.92,0.91,0.92,20550,[0 0]
19980514,0.95,0.95,0.95,0.95,47500,[0 0]
19980520,1.0,1.0,1.0,1.0,8500,[1 0]
19980521,1.05,1.05,1.0,1.0,7800,[1 0]
19980525,1.0,1.0,1.0,1.0,20000,[0 0]
19980526,1.04,1.04,1.04,1.04,41600,[1 0]
19980527,1.0,1.0,1.0,1.0,7500,[0 0]
19980529,1.01,1.01,1.0,1.0,150900,[0 1]
19980601,1.0,1.0,1.0,1.0,7500,[1 1]
19980602,1.0,1.0,1.0,1.0,67500,[0 1]
19980603,0.98,0.98,0.98,0.98,85750,[0 1]
19980604,0.98,0.98,0.98,0.98,51450,[0 0]
19980605,1.0,1.0,1.0,1.0,37500,[0 0]
19980608,0.98,0.98,0.98,0.98,58212,[0 1]
19980617,0.98,0.98,0.98,0.98,46550,[0 0]
19980618,0.97,0.97,0.97,0.97,43650,[0 0]
19980622,0.95,0.95,0.95,0.95,20900,[0 1]
19980623,0.9,0.95,0.9,0.95,41600,[0 0]
19980624,0.95,0.95,0.95,0.95,19000,[0 0]
19980626,0.95,0.95,0.95,0.95,90250,[0 0]
19980701,0.9,0.9,0.9,0.9,45000,[0 0]
19980703,0.9,0.9,0.9,0.9,90000,[0 1]
19980707,0.9,0.9,0.9,0.9,65250,[0 1]
19980724,0.7,0.88,0.7,0.88,73600,[1 0]
19980727,0.85,0.85,0.85,0.85,42500,[0 1]
19980729,0.7,0.7,0.7,0.7,49000,[0 0]
19980730,0.8,0.8,0.8,0.8,56000,[1 1]
19980731,0.65,0.65,0.65,0.65,8125,[0 0]
19980803,0.82,0.84,0.7,0.8,145000,[0 1]
19980804,0.8,0.8,0.8,0.8,26000,[0 0]
19980820,0.79,0.79,0.79,0.79,29625,[0 0]
19980826,0.75,0.75,0.75,0.75,52500,[0 0]
19980828,0.79,0.79,0.79,0.79,13825,[1 0]
19980831,0.75,0.75,0.75,0.75,22500,[0 0]
19980901,0.75,0.75,0.75,0.75,3750,[0 0]
19980904,0.75,0.75,0.75,0.75,52500,[0 1]
19980911,0.6,0.6,0.6,0.6,30000,[0 0]
19980914,0.75,0.75,0.75,0.75,37500,[1 1]
19980915,0.76,0.76,0.76,0.76,64600,[0 0]
19980916,0.79,0.79,0.79,0.79,790,[0 1]
