date,open,max,min,close,volume,y
19980319,9.5,9.5,9.5,9.5,6175000,[0 0]
19980320,9.5,9.5,9.5,9.5,29640000,[0 0]
19980323,9.5,9.5,9.41,9.49,27324200,[1 1]
19980324,9.4,9.5,9.2,9.35,58812600,[0 0]
19980325,9.25,9.31,9.25,9.3,83032000,[1 1]
19980326,9.4,9.51,9.4,9.42,84796900,[0 1]
19980327,9.49,9.61,9.49,9.6,71601100,[0 0]
19980330,9.52,9.57,9.49,9.5,26530000,[1 0]
19980331,9.6,9.6,9.4,9.48,68952200,[1 0]
19980401,9.45,9.55,9.45,9.5,95212200,[0 0]
19980402,9.5,9.55,9.4,9.55,81870500,[0 1]
19980403,9.5,9.5,9.4,9.4,27458000,[0 1]
19980406,9.5,9.51,9.49,9.5,39048800,[0 0]
19980407,9.5,9.5,9.45,9.45,22680800,[1 0]
19980408,9.35,9.36,9.35,9.35,7854100,[0 1]
19980413,9.35,9.5,9.3,9.5,33034500,[0 0]
19980414,9.5,9.5,9.4,9.4,35930000,[0 0]
19980415,9.4,9.5,9.4,9.5,73032400,[0 0]
19980416,9.6,9.6,9.4,9.5,31454000,[1 0]
19980417,9.5,9.5,9.35,9.35,15589000,[1 1]
19980420,9.35,9.35,9.35,9.35,374000,[0 0]
19980422,9.3,9.31,9.3,9.31,4373100,[0 0]
19980423,9.5,9.5,9.4,9.4,28498000,[1 1]
19980424,9.4,9.4,9.4,9.4,3948000,[0 0]
19980427,9.4,9.7,9.3,9.5,91845000,[1 1]
19980428,9.4,9.4,9.15,9.3,76068000,[1 1]
19980429,9.2,9.2,8.95,8.96,31691500,[1 1]
19980430,9.4,9.4,9.35,9.35,34649400,[0 0]
19980504,9.3,9.3,9.15,9.25,11834300,[0 1]
19980505,9.19,9.19,8.9,8.9,35359200,[0 0]
19980506,9.0,9.0,8.89,9.0,173704300,[0 0]
19980507,8.8,9.0,8.8,8.96,253997500,[1 0]
19980508,8.9,8.9,8.75,8.8,80304000,[0 0]
19980511,8.8,9.0,8.8,8.8,5054000,[1 0]
19980512,8.67,8.67,8.62,8.62,7167200,[0 0]
19980513,8.63,8.63,8.2,8.2,254600,[0 1]
19980514,8.3,8.4,8.2,8.2,91648000,[0 1]
19980515,8.3,8.33,8.25,8.31,86210200,[0 0]
19980518,8.3,8.6,7.9,7.9,115917500,[1 0]
19980519,8.0,8.02,7.9,8.0,23863100,[0 0]
19980520,8.05,8.3,8.02,8.3,14202500,[0 0]
19980521,8.12,8.12,8.0,8.1,33997300,[0 0]
19980522,8.1,8.2,8.1,8.1,25855000,[0 1]
19980525,8.05,8.05,8.0,8.02,64704300,[0 0]
19980526,7.95,7.95,7.65,7.65,125519500,[1 0]
19980527,7.65,7.8,7.65,7.8,136617100,[0 0]
19980528,7.81,8.5,7.81,8.0,18904200,[1 0]
19980529,8.0,8.0,7.85,7.9,104106900,[1 1]
19980601,7.8,7.8,7.55,7.62,67801100,[0 0]
19980602,7.83,7.9,7.7,7.8,367521500,[1 1]
19980603,7.8,7.87,7.72,7.86,62945100,[0 0]
19980604,7.75,7.99,7.75,7.95,30774400,[0 1]
19980605,8.0,8.2,8.0,8.14,11507700,[0 0]
19980608,8.21,8.4,8.21,8.4,146844000,[1 0]
19980609,8.4,8.51,8.4,8.5,60084100,[0 1]
19980610,8.5,8.5,8.3,8.31,147143400,[1 0]
19980612,8.15,8.15,8.1,8.1,23409000,[1 1]
19980615,8.1,8.1,7.8,7.8,1338000,[0 1]
19980617,8.45,9.5,8.45,9.5,1214000,[0 0]
19980618,8.9,8.9,8.9,8.9,4539000,[1 1]
19980619,8.6,8.6,8.6,8.6,860000,[1 0]
19980622,8.5,8.5,8.5,8.5,5780000,[1 0]
19980623,8.5,8.5,8.35,8.35,45575000,[0 1]
19980624,8.3,8.45,8.3,8.4,58960500,[0 0]
19980625,8.5,8.5,8.38,8.4,70164200,[0 0]
19980626,8.4,8.4,8.3,8.3,2767000,[1 0]
19980629,8.3,8.3,8.2,8.2,30430000,[0 0]
19980630,8.3,9.0,8.3,8.6,78308100,[1 1]
19980714,8.19,8.19,8.18,8.18,78692700,[1 1]
19980715,8.18,8.18,8.15,8.15,46543000,[1 0]
19980716,8.15,8.15,8.12,8.12,61830100,[0 0]
19980717,8.13,8.13,8.11,8.11,29446100,[0 0]
19980720,8.17,8.17,8.14,8.15,39223800,[1 0]
19980721,8.15,8.15,8.14,8.14,75875900,[0 0]
19980722,8.14,8.35,8.14,8.35,95457100,[1 1]
19980723,8.3,8.3,8.15,8.2,48418100,[0 0]
19980724,8.15,8.2,8.15,8.2,8480000,[1 1]
19980727,8.3,8.4,8.15,8.4,13451400,[0 0]
19980728,8.29,8.3,8.1,8.2,27111900,[0 0]
19980810,7.8,7.9,7.8,7.8,22570100,[0 0]
19980811,7.7,7.7,7.7,7.7,6391000,[1 0]
19980812,7.8,8.0,7.5,7.55,94663100,[0 0]
19980813,7.55,7.55,7.38,7.42,45052800,[1 0]
19980814,7.5,7.5,6.3,7.2,193149800,[1 1]
19980817,7.2,7.3,7.15,7.2,52885700,[1 1]
19980818,7.2,7.3,7.1,7.2,33236000,[0 0]
19980819,7.3,7.5,7.3,7.5,42483000,[0 1]
19980820,7.4,7.4,7.22,7.23,33017200,[1 1]
19980821,7.0,7.2,6.05,7.01,7072500,[1 1]
19980824,7.1,7.2,6.8,7.2,9912900,[0 0]
19980825,7.3,7.3,7.2,7.2,51626000,[1 0]
19980826,7.0,7.2,7.0,7.0,42490000,[1 1]
19980827,6.6,7.0,6.55,6.7,84597500,[1 0]
19980828,7.0,7.2,6.85,7.2,11570000,[1 0]
19980831,7.1,7.2,7.1,7.16,18410400,[0 0]
19980901,7.09,7.5,7.09,7.5,60424800,[0 0]
19980902,7.7,7.9,7.7,7.7,240464200,[1 1]
19980903,7.7,7.7,7.5,7.5,73662600,[0 0]
19980904,7.5,7.5,7.0,7.0,49703800,[1 0]
19980908,7.2,7.36,7.2,7.36,43197600,[1 0]
19980909,7.36,8.1,7.36,8.0,201563000,[1 1]
19980910,7.07,7.7,7.07,7.55,84015600,[0 1]
