date,open,max,min,close,volume,y
19980319,9.3,9.3,9.3,9.3,36270,[1 0]
19980320,9.5,9.5,9.5,9.5,60800,[0 1]
19980323,9.02,9.41,9.02,9.41,105602,[1 1]
19980324,9.3,9.35,9.02,9.2,231951,[0 0]
19980325,9.2,9.3,9.2,9.3,182218,[1 1]
19980326,9.41,9.41,9.41,9.41,25407,[0 1]
19980327,9.5,9.5,9.31,9.5,162751,[0 0]
19980330,9.5,9.55,9.5,9.5,57050,[1 0]
19980331,9.35,9.5,9.0,9.02,159963,[1 0]
19980401,9.5,9.5,9.3,9.45,140710,[0 0]
19980402,9.5,9.5,9.5,9.5,53200,[0 1]
19980403,9.5,9.5,9.5,9.5,26600,[0 1]
19980407,9.5,9.7,9.5,9.7,141750,[0 0]
19980408,9.5,9.5,9.11,9.35,139138,[0 1]
19980413,9.3,9.3,9.02,9.26,47058,[1 0]
19980414,9.5,9.5,9.4,9.4,77430,[1 0]
19980415,9.25,9.25,9.25,9.25,7400,[1 0]
19980416,9.21,9.29,9.21,9.29,23201,[0 0]
19980417,9.4,9.4,9.11,9.11,77788,[0 1]
19980420,9.11,9.11,9.11,9.11,30063,[1 1]
19980423,9.3,9.3,9.11,9.11,36592,[1 0]
19980424,9.11,9.11,9.11,9.11,10932,[0 1]
19980427,9.38,9.38,9.3,9.3,35436,[1 1]
19980428,9.4,9.4,9.2,9.2,70900,[1 1]
19980430,8.4,9.25,8.4,9.25,50080,[0 1]
19980505,9.3,9.3,9.0,9.0,184355,[0 1]
19980506,8.5,8.5,8.5,8.5,61200,[0 1]
19980514,8.0,8.0,8.0,8.0,124000,[1 0]
19980515,8.2,8.2,8.2,8.2,27880,[0 0]
19980518,8.35,8.35,8.35,8.35,71810,[0 0]
19980519,8.0,8.0,7.01,7.01,73939,[0 1]
19980520,7.89,7.9,7.89,7.9,59243,[1 0]
19980521,6.01,6.01,6.01,6.01,601,[0 0]
19980522,8.1,8.1,8.1,8.1,47790,[1 0]
19980528,7.6,7.8,7.6,7.8,64850,[0 1]
19980529,7.9,7.9,7.51,7.51,109791,[1 0]
19980601,7.11,7.11,7.11,7.11,58302,[0 1]
19980602,7.8,7.8,7.06,7.06,108482,[0 0]
19980604,7.82,8.0,7.7,7.71,139907,[0 1]
