date,open,max,min,close,volume,y
20051118,53.0,55.9,53.0,55.6,35237268300,[1 1]
20051121,55.7,57.28,53.5,56.0,6965786200,[0 1]
20051122,55.69,56.6,54.18,56.6,3950479300,[1 0]
20051123,56.71,57.99,56.03,56.46,3388022300,[0 1]
20051124,56.51,57.99,56.5,57.67,3629923400,[1 1]
20051125,57.9,61.35,56.95,61.2,5904215900,[0 1]
20051128,61.31,62.29,58.03,58.5,1531568800,[0 0]
20051129,59.08,59.51,57.01,57.4,1843826100,[0 1]
20051130,57.21,58.84,56.5,58.34,1923753100,[1 0]
20051201,58.3,62.51,57.66,61.7,4057615800,[0 0]
20051202,61.8,66.5,61.77,65.97,3934575100,[1 1]
20051205,65.0,65.69,63.56,65.6,916376400,[1 0]
20051206,66.5,69.5,64.4,68.48,3787681500,[1 0]
20051207,68.48,69.8,67.0,67.0,1790353900,[1 0]
20051208,67.4,67.7,64.1,64.75,1515577900,[1 0]
20051209,64.75,65.3,63.85,63.85,821293400,[1 1]
20051212,64.69,65.3,63.86,65.24,972496400,[1 0]
20051213,65.5,68.5,65.03,68.5,4207555300,[1 0]
20051214,68.01,70.0,66.0,68.5,1638432300,[1 1]
20051215,67.56,68.0,66.0,67.3,1208585100,[0 1]
20051216,66.15,66.45,63.1,64.5,2877419400,[0 0]
20051219,64.21,67.0,64.21,67.0,1883222500,[1 1]
20051220,67.5,68.1,66.5,67.6,2529088800,[1 1]
20051221,67.6,69.3,67.6,69.15,1707689100,[1 0]
20051222,68.9,68.9,66.6,66.7,561090300,[0 0]
20051223,66.2,67.99,65.75,67.99,371470800,[1 1]
20051226,67.42,67.77,67.1,67.75,86177300,[1 0]
20051227,68.0,68.89,67.7,68.8,222616500,[0 1]
20051228,67.8,68.59,66.49,67.6,879189700,[0 1]
20051229,67.99,68.13,67.5,68.13,386103300,[1 1]
20060102,67.5,68.0,66.52,68.0,121795900,[0 0]
20060103,68.0,71.78,68.0,70.2,1428116600,[0 0]
20060104,70.5,76.5,70.5,75.5,2333815100,[0 1]
20060105,75.99,83.8,75.99,81.0,6289385400,[1 1]
20060106,82.0,83.4,76.0,76.2,3010182500,[1 0]
20060109,76.0,79.6,76.0,77.25,1999548900,[0 0]
20060110,76.66,76.66,73.65,74.5,5244642000,[0 0]
20060111,74.59,80.25,74.59,79.2,3948712300,[0 1]
20060112,78.69,84.75,77.65,84.75,3014211000,[1 0]
20060113,84.74,84.74,81.0,82.0,1833340000,[1 1]
20060116,82.11,85.6,82.1,84.8,2380485500,[1 1]
20060117,84.48,84.48,81.5,82.3,1502890700,[1 0]
20060118,81.5,83.5,79.5,82.0,2145217900,[1 1]
20060119,83.99,87.94,83.99,87.5,1451936900,[1 0]
20060120,87.06,89.8,86.5,89.4,1907711300,[1 1]
20060123,90.0,94.0,88.0,93.8,1974498500,[1 1]
20060124,94.98,97.99,91.5,97.4,2491079700,[1 1]
20060126,98.0,99.2,95.6,97.6,3490988800,[0 0]
20060127,99.0,100.0,95.0,96.25,2921698800,[0 0]
20060130,98.0,98.0,90.1,94.6,3677860000,[1 0]
20060131,95.98,95.98,88.6,89.25,2561141900,[0 1]
20060201,88.89,93.86,87.2,93.0,6894840400,[1 1]
20060202,96.0,97.0,92.0,97.0,5011455100,[1 1]
20060203,98.0,100.98,94.5,99.4,3798470500,[0 0]
20060206,103.8,111.5,101.51,107.0,5392983400,[1 0]
20060207,107.02,109.49,101.21,101.6,3717546500,[0 1]
20060208,103.0,103.0,97.6,99.6,2218426800,[1 1]
20060209,105.51,108.0,102.54,104.0,2666468800,[0 0]
20060210,107.0,111.0,105.0,108.5,4862707300,[1 0]
20060213,109.5,115.9,108.5,115.0,2266036100,[0 1]
20060214,115.96,121.89,115.95,119.0,4478261800,[0 0]
20060215,120.26,123.99,110.01,110.01,3645792600,[1 0]
20060216,114.02,116.0,101.61,110.0,8586769900,[0 0]
20060217,113.0,113.0,105.2,106.0,2568571100,[1 1]
20060220,100.0,104.79,95.0,103.75,4689929100,[1 0]
20060221,104.0,105.9,99.02,103.0,3475416100,[1 0]
20060222,103.99,109.45,102.67,106.5,1475518600,[1 0]
20060223,107.01,110.0,106.6,108.3,3989660600,[1 0]
