date,open,max,min,close,volume,y
20060208,23.8,24.67,23.7,24.6,13995385300,[1 0]
20060209,24.72,25.38,24.32,25.0,3755622700,[0 1]
20060210,25.48,25.8,24.6,25.0,1765774300,[0 1]
20060213,25.0,25.37,24.35,25.0,3665886000,[1 0]
20060214,24.89,26.0,24.85,26.0,2074261500,[1 0]
20060215,25.98,26.41,25.2,25.4,908086300,[1 0]
20060216,25.4,25.99,25.2,25.7,709771100,[1 1]
20060217,25.7,25.9,25.3,25.9,244789600,[0 0]
20060220,25.86,25.86,25.21,25.3,137437500,[0 0]
20060221,25.3,25.6,25.25,25.35,914232500,[0 1]
20060222,25.29,25.85,25.1,25.3,817552400,[0 0]
20060223,25.14,25.4,25.14,25.39,1214326900,[1 1]
20060224,25.49,25.49,24.8,25.2,231377900,[0 1]
20060301,25.24,26.2,25.24,25.5,745844800,[1 1]
20060302,25.47,26.0,25.45,25.72,2875644200,[0 0]
20060303,25.6,25.7,25.3,25.5,1784201600,[0 0]
20060306,25.39,25.39,25.06,25.1,673221600,[1 0]
20060307,25.09,25.09,23.73,24.1,320270400,[1 1]
20060308,23.89,23.9,23.4,23.65,584892300,[1 0]
20060309,23.7,23.8,23.05,23.25,501025200,[0 1]
20060310,23.13,24.1,22.01,23.8,1119241900,[0 0]
20060313,24.0,24.01,23.7,23.7,294992100,[1 0]
20060314,23.2,23.75,23.2,23.7,312242500,[0 0]
20060315,23.5,24.06,23.5,24.05,93118100,[0 1]
20060316,24.0,24.5,23.7,24.1,352758900,[1 0]
20060317,24.0,24.48,23.61,24.05,82612500,[0 0]
20060320,24.29,24.37,24.17,24.3,225277700,[1 0]
20060321,24.17,24.95,24.1,24.6,609123100,[0 1]
20060322,24.31,25.04,24.31,24.61,138372000,[1 1]
20060323,25.26,25.39,24.3,24.5,271959000,[1 0]
20060324,24.5,24.9,24.5,24.5,255775500,[0 0]
20060327,24.01,24.4,24.0,24.21,65164200,[0 1]
20060328,23.99,24.1,22.3,22.3,59828400,[0 1]
20060329,22.5,24.0,22.5,23.25,707871400,[0 0]
20060330,23.5,23.59,23.04,23.04,507109600,[0 0]
20060331,23.25,24.1,23.25,24.1,392969800,[0 0]
