date,open,max,min,close,volume,y
20060208,23.8,24.66,23.8,23.81,581123132,[1 0]
20060209,24.8,25.2,24.5,25.1,131536599,[1 1]
20060210,25.26,25.58,24.45,24.85,71087121,[0 1]
20060213,24.91,25.2,24.37,24.98,80260065,[1 0]
20060214,25.0,25.93,24.77,25.93,113970969,[1 0]
20060215,25.85,26.4,25.2,25.6,51996935,[1 0]
20060216,25.1,25.9,25.1,25.65,40182091,[0 1]
20060217,25.6,25.85,25.22,25.8,41565843,[0 0]
20060220,25.84,25.84,25.2,25.26,19507844,[0 0]
20060221,25.3,25.5,25.24,25.36,33212231,[0 1]
20060222,25.05,25.7,25.02,25.2,29713144,[0 0]
20060223,25.14,25.4,25.13,25.39,14060710,[1 1]
20060224,25.01,25.39,24.51,25.23,17462167,[0 1]
20060301,25.2,26.1,25.04,25.04,29256494,[0 1]
20060302,25.37,25.8,25.36,25.6,21541442,[0 1]
20060303,25.5,25.7,25.3,25.54,11854373,[0 0]
20060306,25.42,25.42,25.03,25.2,12367286,[0 1]
20060307,25.0,25.0,24.0,24.15,10346136,[1 1]
20060308,23.9,23.9,23.14,23.85,8915102,[1 1]
20060309,23.71,23.8,23.02,23.38,4745537,[0 1]
20060310,23.1,24.1,22.05,24.0,7415379,[0 0]
20060313,23.89,24.0,23.6,23.6,5669019,[1 0]
20060314,23.17,23.74,23.17,23.6,4239452,[0 0]
20060315,23.5,24.05,23.46,24.05,9059268,[0 0]
20060316,24.0,24.5,23.13,24.2,8294966,[1 0]
20060317,23.8,24.38,23.51,24.03,7971776,[0 0]
20060320,24.28,24.36,24.07,24.3,8044735,[1 0]
20060321,24.11,24.8,24.01,24.26,15242953,[0 1]
20060322,24.6,24.95,24.41,24.65,14103829,[0 1]
20060323,25.02,25.15,24.2,24.37,15230454,[0 1]
20060324,24.1,24.85,24.1,24.5,7349990,[1 0]
20060327,24.0,24.3,24.0,24.3,3872712,[0 1]
20060328,24.0,24.0,23.5,23.5,3769636,[0 1]
20060329,22.5,24.0,22.5,23.2,5657049,[1 0]
20060330,23.9,23.9,23.0,23.3,2206793,[1 0]
20060331,23.1,24.0,23.1,24.0,6746914,[1 0]
20060403,23.12,24.6,23.12,24.17,10830009,[0 1]
20060404,24.3,24.65,24.01,24.45,10148141,[0 0]
20060405,24.52,24.6,24.36,24.5,5059289,[0 0]
20060406,24.5,24.65,24.01,24.01,6822288,[1 1]
20060407,24.29,24.9,24.01,24.85,11101418,[0 0]
20060410,24.99,25.0,24.51,24.6,7257942,[1 1]
20060411,24.5,24.5,23.0,23.0,2657274,[0 1]
20060412,23.85,24.0,23.45,24.0,2525753,[1 1]
20060413,23.85,23.85,23.11,23.3,1568874,[1 0]
20060417,23.16,23.16,22.61,22.72,2396713,[1 1]
20060418,23.0,23.0,22.02,22.42,4130365,[1 1]
20060419,22.73,22.9,21.52,21.99,4056227,[0 0]
20060420,21.81,22.27,21.66,21.75,3028613,[0 1]
20060424,21.61,22.28,21.3,21.8,4344980,[0 0]
20060425,21.9,22.24,21.21,21.7,3801974,[1 0]
20060426,21.7,21.7,21.21,21.6,3358037,[0 1]
20060427,21.1,21.4,20.51,20.81,1728534,[1 1]
20060428,21.0,21.05,19.6,21.05,3681886,[1 0]
