date,open,max,min,close,volume,y
20040611,36.44,37.0,36.07,37.0,856188100,[0 1]
20040614,36.7,36.7,35.3,35.45,4893642600,[0 1]
20040625,35.5,37.02,35.5,36.5,3085691100,[1 0]
20040628,36.9,37.35,35.15,35.3,2290892800,[1 1]
20040629,35.5,37.9,35.5,37.7,4461508200,[0 1]
20040630,37.88,37.9,36.6,37.88,9482570300,[1 1]
20040701,37.51,37.8,37.0,37.62,2050375200,[1 1]
20040702,37.89,38.83,37.62,38.8,3873947000,[0 1]
20040705,38.8,39.6,38.7,39.5,3201516600,[0 1]
20040706,38.51,39.1,37.72,38.04,3160192000,[0 0]
20040707,38.35,38.87,37.1,38.05,2371659900,[0 0]
20040708,38.1,38.4,37.22,38.4,2853963300,[1 1]
20040712,38.69,39.5,38.69,39.4,4231114900,[0 1]
20040713,39.4,40.98,39.4,40.88,5360464600,[1 1]
20040714,40.5,42.98,40.21,42.5,6443704100,[0 0]
20040715,42.92,43.66,42.03,42.2,3955812900,[1 0]
20040716,42.72,43.0,42.13,42.21,2508684900,[1 1]
20040719,42.15,42.15,41.05,41.53,1575013500,[0 0]
20040720,41.6,42.7,40.81,42.62,1527833100,[1 0]
20040721,42.7,43.0,40.8,41.4,1936790800,[1 1]
20040722,41.2,42.0,40.71,41.0,1999621100,[1 0]
20040723,41.02,42.2,40.45,40.95,2567720600,[0 1]
20040726,41.5,41.5,40.01,40.4,1993677200,[0 1]
20040727,40.5,42.39,40.5,42.39,1873594300,[1 1]
20040728,42.7,43.2,41.9,43.13,3419412900,[0 1]
20040729,43.53,43.95,42.55,43.0,3904089100,[0 1]
20040730,43.0,44.0,42.8,43.99,3919728300,[0 0]
20040802,43.96,45.0,43.1,44.71,2400191200,[0 0]
20040803,44.98,45.95,44.98,45.7,3100227800,[1 0]
20040804,45.7,46.46,44.71,45.5,7134538800,[1 0]
20040805,45.7,45.8,42.66,43.8,3028746300,[0 0]
20040806,43.57,44.75,42.4,44.75,2422385800,[0 0]
20040809,44.81,44.81,42.64,43.3,5281213300,[0 0]
20040810,43.7,43.9,42.7,43.4,3200382400,[1 0]
20040811,43.2,43.99,42.86,43.44,3262402400,[1 0]
20040812,43.45,44.0,42.85,43.42,3077201800,[1 1]
20040813,43.6,43.89,42.77,43.15,1902804700,[1 1]
20040816,43.0,44.2,43.0,44.2,1833365800,[0 0]
