date,open,max,min,close,volume,y
20050830,1.8,1.83,1.63,1.75,164065900,[0 1]
20050831,1.76,1.8,1.68,1.72,408744800,[0 1]
20050901,1.75,1.8,1.66,1.8,691008100,[0 0]
20050902,1.8,2.0,1.67,1.8,273928500,[1 0]
20050905,1.79,1.92,1.74,1.9,72469200,[1 1]
20050906,1.9,1.91,1.81,1.88,150043500,[1 1]
20050908,1.83,1.88,1.7,1.79,374574300,[0 0]
20050909,1.72,1.82,1.72,1.82,177335400,[0 0]
20050912,1.75,1.78,1.7,1.76,168462000,[0 0]
20050913,1.73,1.83,1.69,1.83,137748200,[0 1]
20050914,1.83,1.92,1.8,1.91,82545000,[1 1]
20050915,1.92,2.05,1.89,1.93,513137100,[1 0]
20050916,1.91,2.03,1.85,1.98,608517200,[1 1]
20050919,2.02,2.03,1.95,1.96,96174800,[1 1]
20050920,1.98,2.02,1.9,1.94,317582900,[0 1]
20050921,1.95,1.96,1.83,1.88,168996800,[1 1]
20050922,1.88,1.88,1.82,1.86,78859700,[1 0]
20050923,1.86,1.89,1.84,1.86,118833300,[0 1]
20050926,1.85,1.91,1.81,1.84,153213400,[1 1]
20050927,1.83,1.84,1.79,1.81,104522000,[1 0]
20050928,1.82,1.9,1.81,1.85,183229400,[1 1]
20050929,1.85,1.89,1.84,1.88,30806200,[1 0]
20050930,1.9,2.07,1.85,2.0,140216000,[0 0]
20051003,1.99,2.04,1.95,2.03,259492800,[0 1]
20051004,1.99,2.1,1.97,2.03,447102800,[1 0]
20051005,2.0,2.15,2.0,2.05,356469700,[1 1]
20051006,2.02,2.12,1.97,2.07,209575000,[1 0]
20051007,2.09,2.25,2.09,2.13,376946700,[0 1]
20051010,2.24,2.29,2.15,2.19,33442800,[0 1]
20051011,2.25,2.33,2.15,2.15,60887200,[1 1]
20051013,2.13,2.33,2.07,2.25,84326500,[1 1]
20051014,2.23,2.33,2.19,2.31,33535700,[1 1]
20051017,2.31,2.54,2.26,2.4,244148300,[0 1]
20051018,2.43,2.54,2.33,2.5,129721200,[0 0]
20051019,2.53,2.54,2.4,2.5,96869400,[1 0]
20051020,2.54,2.54,2.35,2.5,133524900,[0 0]
20051021,2.51,2.7,2.49,2.6,53036000,[0 1]
20051024,2.6,2.76,2.6,2.75,83287200,[0 1]
20051025,2.76,3.08,2.7,2.81,129220100,[1 0]
20051026,2.81,2.9,2.77,2.82,161660700,[1 1]
