date,open,max,min,close,volume,y
20050830,1.5,1.51,1.37,1.44,211116,[1 0]
20050831,1.5,1.69,1.41,1.69,223169,[1 0]
20050901,1.58,1.58,1.4,1.43,312258,[0 0]
20050902,1.45,1.49,1.38,1.45,216278,[0 0]
20050905,1.47,1.49,1.42,1.43,184866,[1 1]
20050906,1.43,1.5,1.4,1.41,210519,[1 0]
20050908,1.46,1.46,1.28,1.33,262240,[1 1]
20050909,1.32,1.34,1.27,1.28,245634,[0 0]
20050912,1.29,1.3,1.21,1.23,147119,[0 1]
20050913,1.24,1.3,1.21,1.3,143158,[0 1]
20050914,1.29,1.35,1.25,1.35,182253,[0 0]
20050915,1.34,1.39,1.34,1.38,110929,[1 1]
20050916,1.29,1.41,1.29,1.38,180661,[0 0]
20050919,1.4,1.42,1.31,1.4,179358,[1 1]
20050920,1.4,1.45,1.34,1.45,200835,[1 1]
20050921,1.37,1.4,1.34,1.36,143233,[1 1]
20050922,1.35,1.36,1.25,1.35,154950,[1 1]
20050923,1.25,1.37,1.25,1.35,226773,[0 0]
20050926,1.35,1.39,1.31,1.39,198565,[0 0]
20050927,1.33,1.37,1.33,1.37,145395,[1 0]
20050928,1.36,1.38,1.34,1.38,145466,[0 0]
20050929,1.33,1.38,1.33,1.38,137636,[1 1]
20050930,1.35,1.39,1.33,1.36,82263,[0 1]
20051003,1.36,1.4,1.35,1.37,108458,[1 1]
20051004,1.33,1.44,1.32,1.44,237440,[0 0]
20051005,1.43,1.43,1.32,1.42,213440,[0 1]
20051006,1.42,1.45,1.32,1.35,115403,[0 1]
20051007,1.37,1.46,1.37,1.45,217268,[1 1]
20051010,1.49,1.51,1.41,1.51,220987,[0 0]
20051011,1.42,1.56,1.42,1.52,225110,[0 0]
20051013,1.5,1.6,1.49,1.55,190413,[0 0]
20051014,1.56,1.79,1.28,1.65,248230,[0 1]
20051017,1.74,1.79,1.66,1.71,285584,[1 0]
20060126,2.87,3.25,2.81,2.9,708205,[1 0]
20060127,3.16,3.25,3.0,3.25,419656,[0 0]
20060130,3.2,3.2,3.02,3.02,150231,[0 1]
20060131,3.1,3.14,2.99,3.0,182567,[0 0]
20060201,2.8,3.07,2.8,3.0,247356,[1 1]
20060202,3.0,3.03,2.83,2.85,181359,[1 1]
20060203,2.9,2.96,2.9,2.96,143421,[1 0]
20060206,2.95,2.95,2.88,2.91,144988,[1 0]
20060207,2.95,2.95,2.81,2.86,210979,[0 0]
20060208,2.76,2.87,2.76,2.79,84019,[0 0]
20060209,2.9,2.99,2.86,2.86,133888,[1 1]
20060210,2.85,3.13,2.84,3.13,290173,[0 0]
20060213,3.05,3.05,2.8,2.96,98725,[0 1]
20060214,3.0,3.03,2.84,2.99,70310,[1 0]
20060215,3.0,3.04,2.91,3.0,132562,[0 0]
20060216,3.01,3.1,2.91,3.1,187592,[0 0]
20060217,2.81,3.19,2.81,3.1,270858,[1 0]
20060220,3.1,3.1,2.81,3.04,185360,[0 0]
20060221,3.07,3.2,2.85,2.93,170713,[0 1]
20060222,3.0,3.03,2.95,2.95,137732,[0 1]
20060223,2.95,3.02,2.9,2.92,180807,[0 0]
20060224,2.87,2.93,2.85,2.93,205512,[1 1]
20060301,2.98,3.0,2.94,2.97,151891,[1 0]
20060302,2.97,3.08,2.91,3.08,158494,[0 1]
20060303,2.91,3.19,2.9,2.94,64270,[1 0]
20060306,2.94,2.95,2.85,2.89,244692,[0 0]
20060307,2.82,2.89,2.7,2.89,38786,[0 1]
20060308,2.77,2.8,2.77,2.79,126901,[0 1]
20060309,2.8,2.8,2.73,2.73,92215,[0 1]
20060310,2.78,2.78,2.66,2.67,147449,[0 0]
20060313,2.72,2.72,2.59,2.59,225812,[1 1]
20060314,2.67,2.73,2.63,2.69,157792,[1 1]
20060315,2.75,2.81,2.58,2.81,269309,[0 1]
20060316,2.82,2.86,2.72,2.72,204386,[0 0]
20060317,2.78,2.79,2.54,2.74,124899,[0 0]
20060320,2.8,2.8,2.71,2.71,82986,[1 0]
20060321,2.7,2.7,2.58,2.61,171504,[1 0]
20060322,2.6,2.63,2.59,2.59,99840,[1 1]
20060323,2.6,2.6,2.48,2.49,84830,[1 0]
20060324,2.49,2.57,2.47,2.56,42872,[0 0]
20060327,2.58,2.58,2.48,2.53,103599,[0 0]
20060328,2.56,2.57,2.49,2.51,84524,[1 0]
20060329,2.5,2.73,2.49,2.6,98496,[0 0]
20060330,2.5,2.66,2.5,2.61,92047,[0 0]
20060331,2.61,2.74,2.61,2.68,54416,[1 1]
20060403,2.7,2.78,2.67,2.72,206286,[0 1]
