date,open,max,min,close,volume,y
20091028,11.8,12.15,11.21,11.76,26178802600,[1 0]
20091029,12.1,12.49,11.9,12.45,7867396400,[0 1]
20091030,12.25,12.4,11.75,11.8,2363976600,[0 0]
20091103,11.52,11.8,10.81,11.52,3326523600,[1 0]
20091104,11.5,11.82,11.31,11.82,2014993200,[1 1]
20091105,11.63,11.76,11.42,11.75,1295416200,[1 1]
20091106,11.65,11.72,11.22,11.25,1050345200,[1 0]
20091109,11.3,11.6,11.17,11.45,1314243600,[0 1]
20091110,11.27,11.49,11.23,11.37,697235000,[1 1]
20091111,11.39,11.7,11.3,11.7,869574100,[0 1]
20091112,11.52,11.9,11.52,11.75,962102900,[0 1]
20091113,11.9,12.0,11.54,11.99,954069900,[1 0]
20091116,11.99,12.07,11.68,12.02,289469300,[0 0]
20091117,11.98,12.41,11.98,12.41,878368100,[0 1]
20091118,12.4,12.55,12.2,12.34,772399700,[1 1]
20091119,12.1,12.25,12.0,12.1,699944900,[1 0]
20091123,11.9,12.5,11.9,12.35,266203900,[0 0]
20091124,12.4,12.7,12.1,12.54,311194600,[1 0]
20091125,12.5,12.95,12.34,12.95,394880200,[1 1]
20091126,12.69,12.9,12.65,12.71,429487100,[1 1]
20091127,12.51,13.0,12.51,13.0,2407039200,[0 1]
20091130,12.9,13.02,11.9,12.61,1804988700,[1 1]
20091201,12.55,12.99,12.55,12.66,657895200,[1 0]
20091202,12.89,13.34,12.85,13.34,1328081800,[0 0]
20091203,13.19,13.22,12.95,13.1,155306400,[0 0]
20091204,13.1,13.15,12.77,12.9,162506700,[0 0]
20091207,12.95,12.95,12.59,12.59,861769000,[1 1]
20091208,12.59,12.6,12.2,12.2,822957300,[0 0]
20091209,12.32,12.59,12.12,12.35,186845700,[0 1]
20091210,12.35,12.93,12.35,12.6,194292300,[1 0]
20091211,12.69,12.95,12.69,12.85,1329656100,[0 1]
20091214,13.0,13.04,12.86,12.95,426207500,[1 1]
20091215,12.95,12.95,12.75,12.85,54431800,[0 0]
20091216,12.86,12.95,12.85,12.85,107603500,[0 0]
20091217,12.9,13.05,12.7,12.81,521193300,[0 0]
20091218,12.88,13.08,12.6,13.0,311520000,[0 1]
20091221,12.93,13.11,12.9,12.96,192543400,[0 0]
20100107,14.25,14.93,14.24,14.74,667561000,[0 0]
20100108,14.77,14.9,14.66,14.9,205174200,[1 1]
20100111,14.8,15.93,14.8,15.8,1812749800,[1 1]
20100112,15.68,15.96,15.36,15.9,2126062300,[0 1]
20100113,15.9,16.5,15.72,15.9,1357352400,[0 1]
20100114,16.1,16.35,15.9,16.35,1286454100,[1 1]
20100115,16.19,16.5,15.88,16.5,1080474900,[1 0]
20100118,16.3,16.87,16.25,16.8,286720600,[0 0]
20100119,16.58,17.1,16.33,17.1,1652747500,[0 1]
20100120,17.0,17.0,16.5,16.57,1958642200,[0 1]
20100121,16.52,16.52,15.7,16.01,2130594600,[0 1]
20100122,15.98,16.16,15.98,16.0,353556600,[0 0]
20100126,15.75,16.1,15.5,15.75,428684000,[0 0]
20100127,15.5,15.98,14.88,15.19,369795000,[1 0]
20100128,15.4,15.5,14.88,14.99,523154200,[0 0]
20100129,14.9,15.4,14.52,14.52,431201200,[0 0]
20100201,14.2,15.2,14.2,15.1,1035984600,[1 0]
20100202,15.1,15.3,14.76,15.3,1032200500,[0 1]
20100203,15.0,15.39,14.85,15.0,1097402200,[1 1]
20100204,14.9,15.0,13.85,14.0,1419141100,[1 1]
20100205,14.0,14.28,13.64,14.0,3013418200,[1 1]
20100208,14.21,14.6,14.05,14.2,311957400,[0 1]
20100209,14.49,15.3,14.25,15.0,1913344700,[0 1]
20100210,15.0,15.1,14.81,15.0,179500900,[0 0]
20100211,15.15,15.75,14.95,14.96,1223773400,[0 1]
20100212,15.0,15.6,14.53,15.05,176429500,[0 0]
20100217,15.0,16.0,14.63,15.5,274288300,[1 0]
20100218,15.5,15.93,15.45,15.6,126246000,[1 1]
20100219,15.78,15.78,15.0,15.25,579859100,[0 1]
20100222,15.06,15.45,15.06,15.2,593509900,[0 0]
20100223,15.2,15.4,14.86,15.2,68276700,[0 1]
20100224,15.0,15.38,14.83,15.2,350066000,[0 0]
20100225,15.02,15.19,14.8,14.91,445535700,[1 0]
20100226,15.1,15.1,14.3,14.49,1118698800,[1 1]
20100301,14.34,14.69,14.15,14.2,361673800,[1 1]
20100302,14.25,14.49,14.05,14.22,534093900,[0 1]
20100303,14.35,14.49,13.91,13.95,471481800,[0 1]
20100304,14.1,14.1,13.64,13.66,259287200,[1 1]
20100305,13.8,13.9,13.6,13.65,348191100,[0 1]
20100308,13.84,13.84,13.18,13.18,1701251200,[1 0]
20100309,13.12,13.47,13.11,13.25,979511100,[1 0]
20100310,13.1,13.64,13.1,13.3,635067600,[0 0]
20100311,13.48,13.6,13.2,13.5,1877719400,[0 0]
20100312,13.84,13.9,13.52,13.9,601174700,[1 1]
20100315,13.89,13.89,13.51,13.77,357998200,[0 1]
20100316,13.84,14.25,13.75,14.25,688857900,[0 0]
20100317,14.28,14.79,14.1,14.2,611215800,[0 1]
20100318,14.4,15.04,14.18,14.8,446280800,[1 0]
20100319,14.7,15.2,14.7,15.2,2272242900,[0 0]
20100322,15.05,15.5,14.97,15.3,1249480100,[1 1]
20100323,15.35,15.79,15.21,15.49,477460900,[1 0]
20100324,15.33,15.45,15.2,15.2,309036800,[0 0]
20100325,15.2,15.4,14.91,15.2,1446332000,[1 1]
20100326,15.2,15.2,14.66,14.78,134214300,[1 1]
20100329,14.65,14.94,14.51,14.58,292129600,[1 0]
20100330,14.6,14.78,14.39,14.62,476552400,[0 1]
20100331,14.59,14.75,14.21,14.21,236747500,[0 1]
20100401,14.5,14.77,14.05,14.37,330283900,[0 1]
20100405,14.6,14.8,14.34,14.34,93436500,[1 1]
20100406,14.39,14.77,14.16,14.47,369420900,[1 0]
20100407,14.6,14.65,14.21,14.28,197649200,[0 1]
20100408,14.29,14.44,14.06,14.06,274137300,[0 1]
20100409,14.08,14.35,13.65,13.65,450830300,[1 1]
20100412,13.67,13.79,13.52,13.61,1232642700,[1 1]
20100413,13.65,13.91,13.6,13.8,66618600,[1 0]
20100414,13.8,13.94,13.53,13.75,504249600,[0 0]
20100415,13.75,13.81,12.63,13.25,490158100,[1 1]
20100416,13.43,13.43,12.75,12.9,453570700,[1 1]
20100419,13.0,13.0,12.41,12.6,983244900,[1 0]
20100420,12.8,13.0,12.56,12.56,676640200,[0 1]
20100422,12.74,12.96,12.51,12.95,605690700,[1 1]
20100423,13.0,13.25,12.65,12.65,1657528000,[1 1]
20100426,12.71,12.71,12.02,12.2,1417285900,[1 0]
20100427,12.16,12.79,12.01,12.65,2472947700,[1 0]
20100428,12.7,13.0,12.6,12.75,1822053700,[0 0]
20100429,12.76,13.39,12.65,13.1,1647463000,[0 1]
20100430,12.99,13.34,12.95,13.2,1089033000,[1 1]
20100503,13.16,13.5,13.05,13.35,1046168300,[0 1]
20100514,14.3,14.3,13.92,13.92,802815900,[1 1]
20100527,14.95,15.19,14.4,15.0,1446089000,[0 0]
20100528,14.9,15.2,14.75,14.97,277483000,[1 1]
20100531,14.97,15.0,14.8,14.99,200226000,[1 0]
20100601,14.75,14.98,14.75,14.85,465760900,[1 0]
20100602,14.7,14.95,14.7,14.95,157274400,[1 0]
20100604,14.8,15.29,14.8,14.85,896786600,[0 1]
20100607,15.0,15.2,14.6,14.85,80576300,[1 1]
20100608,14.9,14.94,14.6,14.85,960336500,[0 0]
20100609,14.89,14.95,14.81,14.95,710341700,[0 0]
20100610,14.99,14.99,14.72,14.8,650586000,[1 1]
20100611,14.7,14.87,14.61,14.8,171442600,[1 1]
20100614,14.85,14.85,14.75,14.82,163001300,[1 0]
20100615,14.82,14.98,14.61,14.61,734468800,[0 0]
20100616,14.53,14.87,14.5,14.8,343443800,[0 0]
20100617,14.57,14.85,14.57,14.85,272473800,[0 1]
20100618,14.85,15.25,14.79,14.79,1792495800,[0 1]
20100621,14.79,14.85,14.67,14.8,98822000,[0 0]
20100702,14.0,14.36,14.0,14.11,40352600,[0 0]
20100705,13.95,13.99,13.84,13.99,3630000,[1 1]
20100706,14.23,14.39,13.8,13.95,385510400,[0 0]
20100707,14.0,14.22,13.99,14.12,324941700,[1 0]
20100708,13.92,14.45,13.92,14.1,120104900,[0 1]
20100712,14.05,14.27,13.73,14.1,143088800,[1 1]
20100713,14.29,14.37,14.1,14.3,79712800,[0 0]
20100714,14.11,14.29,14.11,14.2,32865800,[1 1]
20100715,14.1,14.48,14.1,14.3,143858300,[0 0]
20100716,14.2,14.35,14.1,14.35,60596100,[1 1]
20100719,14.06,14.7,14.06,14.45,280496600,[1 0]
20100720,14.27,14.49,14.15,14.48,384500000,[0 0]
20100721,14.3,14.48,14.3,14.48,90693500,[1 1]
20100722,14.47,14.69,14.37,14.69,200739500,[0 1]
20100723,14.7,14.7,14.42,14.49,240962100,[1 1]
20100726,14.59,14.6,14.3,14.5,346566100,[0 0]
20100727,14.5,14.55,14.4,14.52,87121400,[0 1]
20100728,14.4,14.7,14.16,14.6,489661100,[1 1]
20100729,14.6,14.7,14.4,14.48,37103300,[1 1]
20100730,14.65,14.84,14.4,14.51,374695800,[0 1]
20100802,14.8,14.85,14.59,14.83,802877200,[1 1]
20100803,14.78,14.78,14.5,14.75,548600400,[1 0]
20100804,14.7,15.0,14.55,15.0,209049500,[0 0]
20100805,14.89,15.18,14.65,15.0,925993500,[0 1]
20100806,15.0,15.0,14.7,15.0,206764700,[1 0]
20100809,15.01,15.2,14.8,15.0,531119700,[0 0]
20100810,14.85,15.0,14.85,15.0,279097900,[0 0]
20100811,14.7,14.9,14.36,14.6,127109800,[1 0]
20100812,14.7,14.99,14.62,14.99,78641100,[1 0]
20100813,14.99,15.05,14.72,15.0,161107900,[1 1]
20100816,14.97,14.97,14.57,14.95,53464800,[1 0]
20100817,14.99,15.0,14.8,15.0,708716000,[1 1]
20100818,15.0,15.03,14.9,15.0,627175300,[0 0]
20100819,14.99,15.0,14.91,15.0,867738100,[1 1]
20100820,15.0,15.09,14.8,14.91,717715200,[0 1]
20100823,14.9,14.95,14.9,14.95,127224000,[1 0]
20100824,14.99,15.0,14.81,15.0,1515871000,[0 0]
20100825,15.0,15.05,14.8,15.0,238527500,[1 0]
20100826,14.9,15.07,14.87,15.0,429751300,[0 1]
20100827,15.0,15.2,14.85,15.0,138701400,[1 1]
20100830,15.0,15.17,14.9,15.13,168275400,[0 0]
20100831,15.15,15.5,15.03,15.5,434421100,[1 1]
20100901,15.5,15.96,15.2,15.7,213107800,[0 1]
20100902,15.66,15.66,15.25,15.6,123489900,[0 0]
20100903,15.25,15.85,14.75,15.55,637114500,[1 1]
20100906,15.55,15.85,15.49,15.5,30879600,[1 1]
20100908,15.5,15.85,15.5,15.85,155696300,[0 0]
20100909,15.83,16.64,15.74,16.09,524439900,[0 1]
20100910,15.97,16.25,15.95,16.2,282470200,[1 1]
20100913,16.2,16.38,16.13,16.25,401020900,[0 0]
20100914,16.2,16.38,16.2,16.27,304105700,[1 1]
20100915,16.28,16.3,16.02,16.1,167021600,[0 0]
20100916,16.1,16.39,15.97,15.98,222365900,[0 0]
20100917,15.94,16.35,15.94,16.35,919944000,[0 0]
20100920,16.0,16.39,15.9,16.33,154908200,[1 0]
20100921,16.1,16.35,16.03,16.35,269147800,[1 1]
20100922,16.23,16.5,16.23,16.28,193848700,[0 0]
20100923,16.24,16.54,16.12,16.54,128309300,[1 0]
20100924,16.17,16.59,16.17,16.59,332542800,[0 1]
20100927,16.5,16.79,16.44,16.79,258895500,[1 0]
20100928,16.8,16.99,16.71,16.97,154732900,[1 0]
20100929,16.95,17.0,16.62,16.84,332784400,[1 1]
20100930,16.62,16.96,16.42,16.69,277565900,[0 1]
20101001,16.41,16.91,16.26,16.7,725713200,[0 0]
20101004,16.5,16.69,16.2,16.2,126749300,[0 1]
20101005,16.2,16.5,16.2,16.5,713779400,[0 0]
20101006,16.49,16.96,16.37,16.6,232997000,[0 0]
20101007,16.48,17.0,16.3,17.0,672477700,[0 1]
20101008,16.6,17.47,16.6,17.31,967927800,[1 0]
20101011,17.4,17.7,16.6,17.39,1298137500,[0 0]
20101013,17.5,18.16,17.31,18.0,1705643400,[0 0]
20101014,18.1,18.1,17.36,17.5,311465100,[1 0]
20101015,17.9,17.9,17.2,17.21,148345200,[1 1]
20101018,17.44,17.59,16.81,16.81,145797100,[0 0]
20101019,16.85,17.48,16.5,17.0,149483400,[1 1]
20101020,17.47,17.47,16.51,17.04,80707300,[0 0]
20101021,17.0,17.37,17.0,17.28,267880900,[0 1]
20101022,17.2,17.99,17.15,17.95,541053100,[1 1]
20101025,17.98,18.18,17.83,18.04,191935600,[1 1]
20101026,17.75,18.0,17.75,17.9,149859200,[1 1]
20101027,17.9,18.02,17.63,17.69,633006200,[0 1]
20101028,17.84,18.0,17.41,17.95,57460200,[1 0]
20101029,18.0,18.2,17.95,18.05,734917500,[0 1]
20101101,18.05,18.83,18.02,18.83,1036127400,[0 1]
20101103,18.79,19.15,18.79,19.05,908012000,[0 0]
20101104,19.05,19.27,18.81,19.26,437686200,[1 1]
20101105,19.35,19.49,18.64,19.4,284283600,[0 1]
20101108,19.29,19.34,19.02,19.29,159467400,[0 1]
20101109,19.3,19.37,19.0,19.3,1405452000,[0 0]
20101110,19.3,19.3,19.1,19.21,332574000,[0 1]
20101111,19.35,19.38,19.0,19.0,178238400,[1 1]
20101112,18.8,18.97,18.16,18.88,20916900,[0 1]
20101116,18.86,18.86,18.31,18.4,81209400,[1 1]
20101117,18.4,18.79,18.4,18.79,175563400,[1 0]
20101118,18.7,19.27,18.7,19.27,647707300,[0 1]
20101119,19.0,19.92,19.0,19.75,2536100500,[1 1]
20101122,19.57,19.7,19.29,19.5,368165900,[1 1]
20101123,19.8,19.8,19.44,19.7,1064890000,[0 0]
20101124,19.7,19.92,19.56,19.88,748017400,[0 0]
20101125,19.89,20.0,19.71,20.0,308673800,[0 0]
20101126,19.88,19.88,19.65,19.8,29809100,[1 0]
20101129,19.9,20.0,19.56,19.7,696233800,[0 0]
20101130,19.99,20.21,19.7,20.21,695525000,[1 0]
20101201,20.2,20.55,19.99,20.5,2400323400,[1 0]
20101202,23.0,23.0,21.19,21.5,3259290200,[1 1]
20101203,21.61,21.64,20.74,20.98,766207600,[1 1]
20101206,20.74,21.0,20.7,21.0,1039056600,[1 1]
20101207,20.95,21.1,20.52,20.75,1099384000,[1 0]
20101208,20.75,21.09,20.45,21.0,1728889300,[0 0]
20101209,21.0,21.09,20.8,21.0,872164900,[1 1]
20101210,20.99,21.18,20.7,20.88,2481060300,[1 1]
20101213,21.2,22.89,20.9,22.5,3065332500,[1 1]
20101214,22.12,23.3,20.9,23.08,1232021500,[0 1]
20101215,22.8,25.5,22.38,24.01,1563409500,[1 0]
20101216,24.0,24.93,22.86,23.23,1720389900,[1 0]
20101217,23.59,23.59,22.4,23.0,829979600,[0 1]
20101220,23.05,23.62,22.77,22.91,187991200,[1 1]
20101221,23.0,23.0,22.4,22.4,452234300,[1 1]
20110105,23.0,23.2,22.77,23.0,16356868100,[1 1]
20110106,23.0,23.5,23.0,23.11,283713900,[0 1]
20110107,23.25,24.0,23.01,23.31,701863300,[1 1]
20110110,23.59,24.25,23.58,24.25,1037215100,[0 1]
20110111,24.5,26.0,24.2,25.23,1747161700,[0 1]
20110112,25.26,25.87,25.11,25.11,1155782600,[0 0]
20110113,25.3,25.68,24.4,24.4,2963262800,[1 0]
20110114,24.4,24.4,23.41,23.7,2167512800,[1 0]
20110117,23.88,23.89,23.54,23.62,1046368000,[0 1]
20110118,23.7,23.79,23.33,23.4,994514300,[0 0]
20110119,23.64,23.9,22.8,22.85,1779839300,[0 0]
20110120,22.8,24.1,22.55,23.55,39897889500,[1 1]
20110121,23.97,24.0,23.3,23.51,1321833200,[1 0]
20110124,23.57,24.15,23.52,24.0,1309305200,[1 1]
20110126,24.0,24.0,23.52,23.9,1046224200,[1 1]
20110127,24.05,24.4,23.26,23.8,1142602400,[1 1]
20110128,24.0,24.0,22.31,22.5,1126444000,[1 1]
20110131,22.46,22.9,21.8,22.08,732626300,[0 0]
20110201,22.0,22.74,22.0,22.34,1428448900,[1 0]
20110202,22.68,23.0,22.35,22.5,1745597900,[0 1]
20110203,22.31,22.77,21.89,22.03,709462800,[1 0]
20110204,22.25,22.64,21.83,22.0,777617100,[1 0]
20110207,22.64,24.48,22.21,23.95,4007658500,[0 1]
20110208,23.95,24.0,23.37,23.69,2205431500,[0 0]
20110209,23.41,23.69,22.81,23.28,10422027400,[0 1]
20110210,23.21,23.69,23.11,23.69,1260916100,[0 0]
20110211,24.4,25.47,24.16,25.43,5780704900,[1 1]
20110214,25.42,25.95,24.62,25.75,2950383300,[1 0]
20110215,25.61,25.99,25.24,25.5,2741624800,[0 1]
20110216,25.36,25.71,24.7,24.7,2623215000,[0 1]
20110217,24.85,25.09,24.49,24.75,1765431300,[0 0]
20110218,24.64,24.99,24.64,24.85,718191000,[1 1]
20110221,24.98,24.99,24.59,24.61,331001500,[1 0]
20110222,24.54,24.65,24.01,24.13,2568914800,[1 1]
20110223,24.3,25.43,24.25,24.6,4876018100,[0 0]
20110224,24.89,25.0,24.3,24.98,2369056000,[0 1]
20110225,25.0,25.09,24.63,25.05,2364109800,[1 1]
20110228,25.39,25.62,24.36,24.45,42713179100,[1 1]
20110301,24.56,24.56,23.5,23.5,3174760900,[0 0]
20110302,23.55,24.12,22.8,23.3,3711590900,[1 1]
20110303,23.53,23.85,23.11,23.4,2094965100,[1 0]
20110304,23.32,23.68,23.32,23.6,540166800,[0 1]
20110309,23.49,23.85,23.11,23.6,2930770000,[1 1]
20110310,23.59,24.05,23.01,23.68,2948740700,[1 1]
20110311,23.7,23.95,23.45,23.7,1623031400,[1 1]
20110314,23.56,24.4,23.5,23.86,1338238200,[1 0]
20110315,23.5,24.44,23.35,23.8,1127877000,[1 0]
20110316,24.03,24.04,23.45,23.6,961925900,[0 0]
20110317,23.77,23.8,22.85,23.01,1878342300,[0 1]
20110318,23.23,23.52,22.85,23.15,634803800,[1 1]
20110321,23.1,23.53,22.74,23.27,1882563200,[0 0]
20110322,23.26,23.58,23.15,23.35,932565100,[0 0]
20110323,23.35,23.95,23.35,23.86,913348300,[0 1]
20110324,23.93,25.38,23.88,24.8,1869755300,[1 0]
20110325,24.87,24.89,24.15,24.25,1329864800,[0 1]
20110328,24.38,24.8,24.26,24.35,848095200,[0 1]
20110329,24.42,24.72,24.2,24.59,422828400,[1 0]
20110330,24.8,26.27,24.71,26.15,3641651700,[1 1]
20110331,26.15,27.0,26.0,27.0,2457526100,[0 0]
20110401,27.07,27.12,26.22,26.49,1237359700,[0 0]
20110404,26.49,26.9,25.9,26.0,1367562800,[0 0]
20110405,26.0,26.0,25.51,25.78,927000300,[0 1]
20110406,25.85,26.13,25.33,25.69,1949523200,[1 0]
20110407,25.54,26.12,25.38,25.8,924468900,[0 1]
20110408,25.8,26.3,25.77,25.95,1323977300,[0 1]
20110411,25.96,26.36,25.72,25.9,7723276700,[1 0]
20110412,25.97,25.97,25.08,25.5,739576000,[1 0]
20110413,25.59,25.59,24.91,25.0,2381197300,[1 1]
20110414,25.07,25.07,24.78,24.96,595292000,[1 0]
20110415,25.04,25.04,24.78,24.95,253270300,[1 1]
20110418,24.68,25.4,24.4,25.2,2120114300,[0 1]
20110419,25.15,25.22,25.0,25.2,651422700,[1 0]
20110420,25.13,25.94,25.13,25.8,1700524300,[0 0]
20110425,25.8,26.2,25.7,25.71,626109600,[0 0]
20110426,25.8,26.1,25.61,26.01,1465258300,[1 1]
20110427,26.12,26.64,25.94,26.33,1869213800,[1 1]
20110428,26.25,27.07,26.19,26.66,2424134400,[1 1]
20110429,26.8,27.02,25.86,26.1,1951128700,[1 1]
20110502,26.1,26.68,25.93,26.35,1662893800,[1 1]
20110503,26.2,26.78,25.95,26.6,1891124800,[0 0]
20110516,26.33,26.39,26.01,26.01,676847100,[1 1]
20110527,24.01,24.09,23.7,23.77,522412200,[0 1]
20110530,23.5,23.97,23.5,23.9,226241900,[1 0]
20110531,23.7,24.5,23.66,24.35,1793656500,[0 0]
20110601,24.55,24.85,24.0,24.0,880366600,[1 1]
20110602,23.94,24.88,23.85,24.65,891385900,[0 0]
20110603,24.34,25.4,24.33,25.2,3867909000,[0 0]
20110606,25.2,25.74,24.75,25.0,944071100,[1 0]
20110607,24.85,25.14,24.64,24.93,3370259700,[0 0]
20110608,24.93,25.3,24.12,24.3,1042315500,[0 1]
