date,open,max,min,close,volume,y
20080429,9.65,9.65,9.2,9.2,4917000,[1 1]
20080430,9.69,9.69,8.5,9.39,4381100,[0 0]
20080502,9.7,9.7,9.7,9.7,970000,[1 0]
20080505,9.8,9.8,9.58,9.59,777600,[0 0]
20080508,9.57,9.57,9.57,9.57,1418500,[0 0]
20080509,9.5,9.75,9.5,9.75,676500,[0 1]
20080512,9.3,9.6,9.3,9.6,561000,[0 1]
20080513,9.59,9.59,9.0,9.59,737700,[0 0]
20080514,9.31,9.55,9.31,9.54,37101100,[1 1]
20080515,8.8,9.55,8.65,9.49,1495500,[1 0]
20080516,9.43,9.43,9.43,9.43,94300,[0 0]
20080520,9.2,9.35,8.65,9.3,4609400,[0 0]
20080521,9.3,9.39,8.9,9.39,2909400,[1 0]
20080523,8.7,9.39,8.5,9.35,2532500,[1 0]
20080527,9.35,9.4,9.35,9.4,281000,[0 0]
20080529,9.0,9.29,9.0,9.28,3843100,[1 0]
20080602,9.28,9.28,9.25,9.25,4909200,[0 0]
20080603,9.3,9.3,9.05,9.29,1099900,[1 0]
20080604,9.39,9.9,9.38,9.8,5647000,[0 1]
20080605,9.5,9.95,9.5,9.94,5670600,[0 0]
20080606,9.95,11.0,9.95,10.7,4242900,[1 1]
20080610,9.73,10.7,9.55,10.5,6975400,[0 0]
20080612,9.7,10.5,9.5,10.47,2135600,[0 1]
20080613,9.51,10.4,9.51,10.2,14198200,[1 0]
20080616,10.19,10.19,10.19,10.19,203800,[1 1]
20080617,9.51,10.3,9.5,10.3,2957300,[0 0]
20080618,9.52,10.0,9.32,10.0,6557500,[0 0]
20080619,10.14,10.17,10.14,10.17,913200,[0 1]
20080620,9.99,10.1,9.99,10.1,2599100,[0 1]
20080623,9.5,10.1,9.5,10.1,795900,[0 0]
20080625,9.46,10.1,9.46,10.1,5662500,[0 0]
20080626,10.1,10.19,9.63,10.19,1998000,[1 0]
20080630,10.1,10.1,9.61,10.1,3491600,[0 0]
20080701,9.65,10.04,9.6,10.04,3205700,[0 0]
20080703,9.2,10.0,9.05,10.0,7304900,[0 0]
20080708,9.9,9.9,9.9,9.9,33264000,[0 1]
20080710,9.84,9.84,9.84,9.84,98400,[0 1]
20080714,9.8,9.9,9.6,9.6,4030200,[0 1]
20080715,9.6,9.99,9.6,9.99,1923900,[0 0]
20080716,9.99,10.5,9.4,10.3,10180000,[0 0]
20080717,10.3,10.8,9.5,10.2,1437500,[0 1]
20080718,9.5,10.75,9.5,10.6,1428400,[0 0]
20080721,9.5,10.1,9.1,9.7,29026700,[1 0]
20080722,9.94,9.94,9.21,9.7,11002900,[0 0]
20080723,9.7,9.7,9.4,9.5,3131900,[0 0]
20080724,9.1,9.55,9.1,9.45,2162100,[0 0]
20080725,9.59,9.59,9.2,9.49,12364900,[1 0]
20080728,9.7,9.7,9.5,9.5,1720000,[0 1]
20080729,9.3,9.49,9.3,9.45,748900,[1 1]
20080731,9.46,9.5,9.2,9.5,9812000,[0 1]
20080801,9.84,9.84,9.45,9.8,1527800,[1 0]
20080804,9.8,9.8,9.2,9.79,2777900,[1 0]
20080805,9.74,9.74,9.74,9.74,487000,[0 0]
20080806,9.55,9.7,9.35,9.7,1709400,[0 0]
20080807,9.56,9.84,9.56,9.69,2324200,[0 0]
20080813,10.2,10.2,9.9,10.1,79403000,[0 1]
20080815,9.55,10.2,9.55,10.2,1897500,[1 1]
20080818,10.0,10.2,10.0,10.2,602000,[0 1]
20080819,9.95,9.95,9.95,9.95,1990000,[1 0]
20080820,9.5,9.9,9.21,9.9,1768500,[0 1]
20080821,9.0,9.88,9.0,9.88,386100,[0 0]
20080822,9.2,9.88,9.2,9.88,1178500,[0 0]
20080825,9.5,9.88,9.38,9.88,3015100,[1 0]
20080827,9.79,9.95,9.5,9.89,486300,[0 0]
20080828,9.2,9.89,9.15,9.89,4811700,[1 1]
20080901,9.22,9.85,9.22,9.85,2035200,[1 0]
20080902,9.18,9.84,9.18,9.83,1174100,[0 0]
20080904,9.18,9.7,9.18,9.7,3887600,[0 0]
20080905,9.5,9.65,9.0,9.65,3232100,[1 1]
20080908,9.01,9.65,9.0,9.6,10819000,[0 1]
20080909,8.7,9.6,8.7,9.0,9510000,[1 0]
20080910,9.6,9.6,8.6,8.94,9696200,[1 1]
20080911,8.6,9.2,8.6,9.2,6429500,[0 0]
20080912,8.8,9.09,8.64,9.09,8136200,[1 0]
20080915,9.4,9.4,8.7,9.19,3462800,[1 0]
20080916,8.7,9.1,8.7,9.09,3931500,[1 0]
20080917,8.8,9.15,8.7,9.15,1432000,[1 0]
20080918,8.71,9.15,8.71,9.15,4202500,[0 1]
20080919,9.0,9.15,9.0,9.15,5691300,[0 0]
20080922,8.71,9.14,8.7,9.14,3862500,[0 0]
20080923,9.14,9.14,9.14,9.14,91400,[0 1]
20080925,9.14,9.14,9.14,9.14,1462400,[1 0]
20080926,9.0,9.15,9.0,9.15,9091500,[1 1]
20080929,9.0,9.15,9.0,9.15,541500,[0 0]
20081001,8.93,8.94,8.55,8.94,35411700,[1 1]
20081002,9.09,9.09,9.09,9.09,181800,[0 0]
20081008,8.88,9.08,8.88,9.08,5514600,[1 0]
20081013,8.5,9.07,8.5,9.07,624700,[1 1]
20081014,9.0,9.0,8.98,8.98,9529800,[0 0]
20081015,8.79,8.79,8.79,8.79,7032000,[0 1]
20081017,8.69,8.69,8.68,8.69,9211300,[0 1]
20081105,7.0,7.0,7.0,7.0,40250000,[1 0]
20081106,6.94,6.94,6.94,6.94,69400,[0 0]
20081110,7.68,7.68,7.0,7.0,817600,[0 0]
20081111,7.5,7.5,6.26,6.95,2136200,[0 0]
20081112,6.5,6.95,5.0,6.4,23211700,[1 1]
20081113,6.95,6.95,6.0,6.7,1722000,[0 1]
20081114,7.45,7.45,6.32,6.9,763500,[0 0]
20081117,6.99,6.99,6.99,6.99,69900,[0 0]
20081118,7.44,7.44,6.31,6.5,11630400,[0 0]
20081119,6.5,6.94,6.5,6.94,7154400,[1 0]
20081121,7.44,7.8,7.44,7.8,4122600,[0 0]
20081127,6.83,7.4,6.5,7.2,7989300,[0 1]
20081128,6.81,7.34,6.8,7.34,2673600,[0 0]
20081201,7.39,7.39,6.7,7.28,2148200,[1 0]
20081202,6.91,7.24,6.7,7.23,6913000,[1 0]
20081203,6.7,7.1,6.7,6.9,25193300,[1 0]
20081204,6.9,7.09,6.5,6.5,22475500,[0 1]
20081205,6.5,6.5,6.5,6.5,16770000,[0 1]
20081208,6.4,6.5,6.4,6.5,2005000,[0 0]
20081209,6.49,6.49,6.4,6.47,644300,[0 1]
