date,open,max,min,close,volume,y
20070823,12.5,12.5,12.2,12.44,126650200,[0 0]
20070824,12.44,12.78,12.0,12.4,90754600,[0 0]
20070827,12.4,12.7,11.9,12.0,131540300,[0 1]
20070828,11.71,12.0,11.34,12.0,396957000,[0 1]
20070829,11.59,12.0,11.5,11.5,37768100,[0 1]
20070830,11.53,11.7,11.11,11.28,101746300,[0 0]
20070831,12.0,12.1,11.8,12.1,649712100,[0 1]
20070903,12.11,12.19,12.0,12.0,26783000,[0 0]
20070904,11.95,12.65,11.95,12.45,180640600,[0 1]
20070905,12.64,12.64,12.15,12.3,47494500,[1 1]
20070906,12.59,12.97,12.35,12.42,235688100,[0 1]
20070910,12.79,12.79,11.66,12.38,452101100,[1 1]
20070911,12.67,12.67,12.11,12.3,128109200,[0 1]
20070912,12.12,12.37,12.1,12.15,62376400,[1 1]
20070913,12.25,12.5,12.2,12.25,347401000,[1 1]
20070914,12.4,12.4,12.15,12.21,57087300,[0 1]
20070917,12.13,12.18,11.9,12.0,132152900,[1 0]
20070918,11.92,12.5,11.7,11.7,308999400,[1 0]
20070919,11.8,12.4,11.73,11.81,163743700,[0 0]
20070920,12.22,12.25,11.85,11.85,57818500,[0 1]
20070921,11.9,12.27,11.9,12.11,44871300,[1 0]
20070924,12.11,12.29,11.94,12.1,170219600,[0 1]
20070925,12.2,12.3,12.15,12.27,113737100,[0 0]
20070926,12.55,12.61,12.21,12.39,144149600,[1 0]
20070927,12.58,12.58,12.37,12.49,239841700,[0 0]
20070928,12.55,12.68,12.28,12.32,179507300,[0 0]
20071001,12.67,12.67,12.4,12.5,167901900,[0 0]
20071002,12.5,13.0,12.5,12.85,154199200,[1 1]
20071003,12.54,13.2,12.53,13.2,454675000,[0 0]
20071004,13.37,13.84,13.27,13.6,96060500,[0 1]
20071005,13.7,13.97,13.45,13.9,274077800,[1 0]
20071008,14.0,14.0,13.8,13.88,208368400,[1 0]
20071009,13.88,14.09,13.5,13.89,258999400,[0 0]
20071010,13.89,14.05,13.7,14.0,674878300,[1 0]
20071011,14.09,14.5,13.52,13.99,132362800,[1 1]
20071015,14.0,14.34,13.58,14.34,85568100,[1 0]
20071016,13.92,14.5,13.72,13.95,76417300,[0 0]
