date,open,max,min,close,volume,y
19980731,1.0,1.0,1.0,1.0,9100000,[0 1]
19990616,1.0,1.0,1.0,1.0,13800000,[1 1]
19991220,1.01,1.01,1.01,1.01,303000,[1 0]
20000616,1.02,1.02,1.02,1.02,510000,[1 0]
20000619,1.05,1.05,1.05,1.05,525000,[1 1]
20000620,1.22,1.25,1.22,1.25,735000,[0 1]
20000621,1.23,1.23,1.2,1.2,612000,[1 1]
20000704,1.3,1.3,1.3,1.3,130000,[1 0]
20000711,1.15,1.15,1.15,1.15,575000,[1 0]
20000817,1.3,1.3,1.3,1.3,130000,[0 0]
20000912,1.45,1.46,1.45,1.46,582000,[0 0]
20001005,1.45,1.45,1.45,1.45,580000,[0 1]
20001023,1.5,1.5,1.5,1.5,150000,[0 1]
20001030,1.92,1.92,1.92,1.92,192000,[0 0]
20001031,2.02,2.1,2.02,2.1,1454000,[0 0]
20001127,2.9,2.9,2.9,2.9,1450000,[0 0]
20001128,2.9,2.9,2.9,2.9,290000,[0 1]
20010130,2.9,3.0,2.9,3.0,5660000,[0 0]
20010220,3.0,3.0,3.0,3.0,4500000,[1 0]
20010322,3.0,3.0,3.0,3.0,600000,[1 0]
20010328,3.0,3.0,3.0,3.0,4500000,[1 0]
20010529,2.5,2.5,2.5,2.5,1250000,[1 0]
20010606,2.4,2.4,2.4,2.4,480000,[1 1]
20010619,2.3,2.3,2.3,2.3,1150000,[0 1]
20011221,2.5,2.6,2.5,2.6,510000,[0 0]
20020205,2.3,2.3,2.3,2.3,230000,[0 0]
20020218,2.51,2.51,2.51,2.51,251000,[0 0]
20020226,2.51,2.51,2.5,2.5,501000,[0 1]
20020513,2.15,2.15,2.15,2.15,215000,[0 1]
20020515,1.99,1.99,1.99,1.99,597000,[0 0]
20020516,1.8,1.8,1.8,1.8,1620000,[1 0]
20021002,0.9,0.9,0.9,0.9,810000,[0 0]
20021007,0.9,0.9,0.9,0.9,270000,[1 0]
20021107,0.81,0.81,0.81,0.81,81000,[0 0]
20031010,1.0,1.0,1.0,1.0,100000,[0 0]
20031008,1.0,1.0,1.0,1.0,600000,[0 1]
20031211,0.91,0.91,0.91,0.91,182000,[0 0]
20031112,1.0,1.0,1.0,1.0,100000,[0 1]
20040908,0.56,0.56,0.56,0.56,56000,[0 1]
20041206,0.77,0.77,0.77,0.77,30800,[1 1]
20041028,0.5,0.5,0.5,0.5,50000,[0 1]
20050218,0.91,0.92,0.91,0.92,2066600,[0 1]
20050222,0.92,0.92,0.92,0.92,147200,[1 0]
20050223,0.95,1.2,0.95,1.2,117500,[0 0]
20050224,1.2,1.2,1.2,1.2,2592000,[0 1]
20050225,1.4,1.4,1.4,1.4,420000,[0 0]
20050228,1.6,1.6,1.6,1.6,32000,[0 1]
20050302,1.2,1.2,1.2,1.2,12000,[1 0]
20050304,1.7,1.8,1.7,1.8,35000,[1 1]
20050308,1.41,1.41,1.41,1.41,1057500,[1 1]
20050316,1.41,1.41,1.41,1.41,70500,[1 0]
20050329,1.41,1.41,1.41,1.41,592200,[0 0]
20050405,1.4,1.4,1.4,1.4,14000,[1 1]
20050408,1.4,1.4,1.4,1.4,42000,[1 1]
20050412,1.4,1.4,1.4,1.4,42000,[0 0]
20050413,1.4,1.4,1.4,1.4,182000,[0 1]
20050428,1.41,1.41,1.41,1.41,310200,[0 1]
20050504,1.4,1.4,1.4,1.4,14000,[0 0]
20050511,2.1,2.1,2.1,2.1,2562000,[1 1]
20050602,2.0,2.0,2.0,2.0,60000,[1 1]
20050912,1.89,1.89,1.89,1.89,94500,[0 0]
20050926,6.02,6.02,6.02,6.02,60200,[0 1]
20051111,4.19,4.19,4.19,4.19,167600,[0 1]
20051122,4.19,4.19,4.19,4.19,628500,[1 0]
20051213,4.0,4.0,4.0,4.0,2760000,[1 0]
20060119,4.5,4.5,4.5,4.5,135000,[0 1]
20060120,4.5,4.5,4.5,4.5,675000,[0 1]
20060123,4.5,4.5,4.5,4.5,315000,[1 0]
20060410,4.5,4.5,4.5,4.5,225000,[1 0]
20060413,4.5,4.5,4.5,4.5,1125000,[1 0]
20060417,4.5,4.5,4.5,4.5,720000,[0 0]
20060518,3.8,3.8,3.8,3.8,38000,[0 0]
20060522,4.0,4.0,4.0,4.0,240000,[0 0]
20060526,4.0,4.0,4.0,4.0,5640000,[0 0]
20060531,3.8,3.8,3.8,3.8,38000,[0 0]
20060613,3.4,3.4,3.4,3.4,2006000,[1 0]
20060621,3.8,3.8,3.8,3.8,38000,[0 0]
20060724,2.75,3.0,2.71,2.71,2981700,[0 1]
20060727,2.75,2.75,2.75,2.75,27500,[0 0]
20060731,3.0,3.0,3.0,3.0,990000,[1 1]
20060801,3.5,3.5,3.5,3.5,35000,[0 0]
20060922,2.82,2.89,2.82,2.89,740200,[0 0]
20061005,3.0,3.0,2.99,2.99,239400,[1 0]
20061006,2.85,2.85,2.85,2.85,256500,[1 0]
20061116,3.0,3.0,3.0,3.0,510000,[0 0]
20061215,3.78,3.78,3.78,3.78,37800,[1 0]
20061218,3.78,3.78,3.78,3.78,37800,[0 1]
20061222,3.78,3.78,3.78,3.78,37800,[0 0]
20070104,3.78,3.78,3.78,3.78,37800,[1 1]
20070105,3.7,3.7,3.7,3.7,37000,[0 1]
20070109,3.7,3.78,3.7,3.78,74800,[0 1]
20070115,3.0,3.0,3.0,3.0,810000,[0 1]
20070116,3.0,3.0,2.8,2.8,536100,[0 0]
20070117,2.51,2.6,2.51,2.6,77100,[1 0]
20070118,2.7,3.0,2.7,3.0,1368000,[0 0]
20070119,3.25,3.25,3.2,3.2,160500,[1 1]
20070122,3.05,3.05,3.0,3.0,1235500,[1 0]
20070123,3.1,3.1,3.1,3.1,31000,[1 0]
20070126,3.3,3.35,3.3,3.35,99500,[0 1]
20070129,3.4,3.4,3.4,3.4,34000,[0 0]
20070131,3.5,3.5,3.5,3.5,70000,[0 1]
20070201,3.6,3.6,3.6,3.6,36000,[0 0]
20070202,3.6,3.6,3.6,3.6,72000,[0 0]
20070205,3.6,3.6,3.6,3.6,36000,[1 0]
20070206,3.3,3.45,3.25,3.45,100000,[1 1]
20070221,3.57,3.57,3.57,3.57,35700,[0 1]
20070226,3.4,3.6,3.0,3.6,1096000,[0 0]
20070301,4.9,7.8,4.0,4.0,7357100,[1 0]
20070302,4.05,6.3,4.05,5.1,3892600,[1 0]
20070305,4.21,4.21,4.0,4.0,565300,[0 1]
20070306,3.9,3.9,3.9,3.9,117000,[0 1]
20070308,4.0,4.0,3.6,3.6,116000,[1 0]
20070309,3.5,3.61,3.5,3.61,107200,[1 1]
20070312,3.6,3.6,3.6,3.6,252000,[0 1]
20070313,3.75,3.75,3.75,3.75,37500,[1 0]
20070314,3.6,3.6,3.6,3.6,108000,[1 0]
20070315,3.25,3.25,3.25,3.25,32500,[1 1]
20070316,3.3,3.3,3.3,3.3,33000,[1 0]
20070319,3.3,3.8,3.3,3.8,523600,[1 0]
20070320,4.89,4.89,3.88,3.88,87700,[0 1]
20070323,4.5,4.5,4.0,4.0,125000,[0 0]
20070326,3.95,3.95,3.95,3.95,39500,[0 1]
20070327,3.53,3.53,3.53,3.53,211800,[1 1]
20070328,3.53,3.53,3.5,3.5,140600,[1 0]
20070330,3.6,3.6,3.6,3.6,36000,[0 0]
20070402,3.51,3.51,3.51,3.51,140400,[0 1]
20070403,3.84,3.84,3.84,3.84,38400,[0 0]
20070405,3.99,4.0,3.99,4.0,119900,[1 1]
20070410,3.52,3.52,3.52,3.52,70400,[0 0]
20070411,4.0,4.38,3.99,4.38,163700,[0 1]
20070418,3.71,4.15,3.71,4.15,508100,[0 0]
20070424,3.8,3.8,3.8,3.8,190000,[1 1]
20070430,4.0,4.0,4.0,4.0,40000,[0 0]
20070515,3.8,3.8,3.8,3.8,152000,[0 1]
20070517,3.83,3.83,3.83,3.83,38300,[1 0]
20070525,4.0,4.0,4.0,4.0,40000,[1 0]
20070621,4.0,4.0,4.0,4.0,40000,[1 0]
20070717,4.19,4.19,4.19,4.19,41900,[0 0]
20070726,3.0,3.0,3.0,3.0,30000,[0 0]
20070802,3.22,3.22,3.22,3.22,32200,[1 0]
20070806,2.99,2.99,2.99,2.99,179400,[1 1]
20070914,2.8,2.8,2.8,2.8,56000,[0 0]
20070917,2.8,2.8,2.8,2.8,28000,[0 0]
20070918,2.8,2.8,2.8,2.8,28000,[0 1]
20070920,2.8,2.8,2.8,2.8,28000,[0 1]
20070921,2.8,2.8,2.8,2.8,28000,[0 1]
20070924,2.8,2.8,2.8,2.8,56000,[0 0]
20070925,2.8,2.8,2.8,2.8,56000,[0 1]
20070928,2.61,2.61,2.61,2.61,52200,[0 1]
20071001,2.61,2.61,2.5,2.5,1060200,[1 0]
20071002,2.5,2.5,2.5,2.5,850000,[0 0]
20071003,2.65,2.65,2.65,2.65,26500,[0 0]
20071004,2.64,2.64,2.64,2.64,26400,[1 0]
20071009,2.41,2.5,2.41,2.5,73200,[0 0]
20071121,2.05,2.05,2.05,2.05,20500,[0 0]
20071210,2.02,2.02,2.0,2.0,602000,[1 0]
20071214,3.0,3.95,2.75,2.75,30114900,[1 0]
20071217,3.01,3.25,2.0,2.3,21736800,[0 0]
20071218,2.72,3.15,1.83,2.17,50365700,[1 0]
20071219,2.15,2.32,1.96,2.3,31352900,[0 0]
20071220,2.4,3.3,2.31,2.99,59428900,[1 0]
20071221,3.14,3.2,2.7,2.7,28652100,[0 0]
20071226,2.8,2.8,2.21,2.45,12059600,[0 1]
20071227,2.45,2.45,2.29,2.38,2434800,[0 0]
20071228,2.21,2.49,2.21,2.31,3437700,[0 0]
20080102,2.37,2.4,2.25,2.35,2091600,[0 0]
20080103,2.2,2.33,2.2,2.32,803800,[1 0]
20080104,2.32,2.4,2.24,2.38,2875900,[1 1]
20080107,2.38,2.38,2.11,2.24,2511100,[1 0]
20080108,2.1,2.36,2.05,2.2,3970500,[0 1]
20080109,2.29,2.29,2.12,2.16,1861600,[0 0]
20080110,2.2,2.21,2.15,2.2,571100,[1 0]
20080114,2.25,2.4,2.2,2.2,1169700,[1 1]
20080116,2.06,2.39,2.0,2.05,2916100,[0 1]
20080117,2.42,2.43,2.11,2.35,410500,[0 1]
20080118,2.2,2.4,2.09,2.09,2569800,[0 0]
20080121,2.05,2.05,2.0,2.0,1942500,[1 0]
20080122,2.0,2.09,2.0,2.01,456500,[0 1]
20080123,2.01,2.2,2.01,2.2,170300,[0 0]
20080124,2.01,2.1,2.0,2.0,784100,[1 1]
20080128,2.0,2.15,1.91,2.15,1272200,[1 0]
20080129,2.1,2.11,2.0,2.0,709300,[1 0]
20080130,2.0,2.15,2.0,2.05,5228500,[1 1]
20080131,2.05,2.05,2.05,2.05,143500,[0 1]
20080201,2.1,2.1,2.1,2.1,42000,[0 0]
20080206,2.0,2.0,2.0,2.0,720000,[0 0]
20080207,1.96,1.96,1.91,1.91,605100,[1 0]
20080208,2.05,2.05,2.05,2.05,20500,[1 0]
20080211,1.97,1.97,1.95,1.95,778000,[1 0]
20080213,1.95,1.95,1.95,1.95,39000,[1 0]
20080215,1.91,1.91,1.9,1.9,1769900,[1 0]
20080218,1.95,2.05,1.95,2.05,1119800,[1 0]
20080219,2.1,2.56,2.1,2.1,12748400,[0 0]
20080220,2.18,2.35,2.1,2.11,2586500,[0 1]
20080221,2.05,2.05,1.95,2.0,1355300,[0 0]
20080222,2.1,2.1,2.1,2.1,21000,[0 1]
20080225,1.95,2.1,1.95,2.1,739200,[0 1]
20080226,2.1,2.1,2.0,2.0,1150000,[1 0]
20080227,2.0,2.15,2.0,2.15,1100300,[1 1]
20080228,1.96,2.01,1.96,2.0,738400,[1 0]
20080229,1.95,1.95,1.95,1.95,331500,[1 0]
20080304,1.95,1.95,1.9,1.9,671000,[1 0]
20080305,1.9,2.14,1.83,2.13,2705000,[0 1]
20080306,2.0,2.0,2.0,2.0,300000,[1 1]
20080313,1.93,1.93,1.93,1.93,366700,[1 0]
20080314,1.92,1.95,1.8,1.8,449200,[1 0]
20080317,1.82,1.82,1.7,1.8,287400,[1 1]
20080318,1.9,1.98,1.9,1.98,38800,[0 0]
20080319,1.82,1.97,1.7,1.7,1151900,[0 1]
20080320,1.91,1.91,1.91,1.91,19100,[1 0]
20080324,1.97,1.97,1.97,1.97,19700,[0 1]
20080325,2.0,2.05,1.8,1.97,78200,[0 0]
20080327,1.8,2.0,1.8,2.0,94100,[1 0]
20080408,1.87,1.91,1.87,1.91,874600,[0 1]
20080409,1.75,1.87,1.73,1.73,1388600,[0 1]
20080410,1.94,1.94,1.94,1.94,19400,[1 0]
20080414,1.7,1.81,1.7,1.81,684500,[1 0]
20080416,1.82,1.82,1.82,1.82,36400,[0 1]
20080422,1.72,1.72,1.72,1.72,516000,[0 0]
20080425,1.71,1.71,1.71,1.71,410300,[1 1]
20080428,1.75,1.83,1.75,1.83,229300,[0 0]
20080430,1.64,1.77,1.6,1.6,277700,[0 1]
20080514,1.89,1.9,1.75,1.76,3321100,[0 0]
20080515,1.88,2.14,1.85,2.06,8797700,[0 0]
20080516,2.05,2.24,1.87,1.89,12239300,[0 1]
20080519,2.0,2.0,1.87,1.9,4194000,[0 0]
20080520,1.86,2.0,1.86,1.95,5977600,[0 1]
20080521,1.86,1.94,1.86,1.94,1876000,[0 1]
20080523,1.81,1.98,1.81,1.98,585000,[1 0]
20080526,1.96,2.02,1.96,2.02,1946800,[1 1]
20080527,1.89,2.05,1.89,1.95,7167000,[0 1]
20080528,1.99,2.35,1.97,2.18,13032100,[0 1]
20080529,2.16,2.16,2.0,2.0,10110100,[0 0]
20080530,2.0,2.4,2.0,2.4,43585200,[1 0]
20080602,2.44,3.9,2.36,3.8,77132700,[0 0]
20080603,4.9,5.9,4.3,5.23,266452000,[1 0]
20080604,5.3,5.3,3.51,3.51,46280700,[1 0]
20080605,3.51,4.3,3.51,3.7,34279700,[0 0]
20080606,3.85,4.0,3.0,3.2,11863200,[1 0]
20080609,3.21,3.21,2.57,3.05,13520600,[0 0]
20080610,3.2,3.35,2.9,3.2,6204700,[0 0]
20080611,3.35,3.35,2.7,2.95,8441100,[1 0]
20080612,2.75,2.75,2.65,2.72,1755500,[0 0]
20080613,2.7,2.85,2.6,2.6,1916200,[0 0]
20080616,2.45,2.65,2.45,2.63,2978800,[1 1]
20080617,2.84,3.8,2.8,3.19,44650900,[0 1]
20080618,3.2,3.48,3.0,3.48,31034000,[0 0]
20080619,3.8,4.2,3.36,4.2,56513900,[1 1]
20080620,4.5,4.5,3.41,4.0,67797700,[0 1]
20080623,3.94,3.94,3.94,3.94,15520800,[0 0]
20080624,3.94,3.94,3.94,3.94,39400,[0 0]
20080625,2.78,2.78,2.78,2.78,919300,[1 0]
20080626,3.37,3.37,3.37,3.37,235400,[0 1]
20080627,3.2,3.2,3.2,3.2,254000,[1 0]
20080630,2.51,2.51,2.51,2.51,1035100,[0 1]
20080701,3.4,3.4,3.08,3.1,3761200,[0 0]
20080702,3.38,3.38,3.15,3.15,10215200,[0 0]
20080703,3.08,3.08,2.76,2.95,2591900,[0 0]
20080704,2.72,2.94,2.72,2.94,2631200,[1 0]
20080707,2.86,3.0,2.7,2.75,6467000,[0 0]
20080708,2.79,2.99,2.79,2.99,458400,[0 1]
20080710,2.76,2.95,2.76,2.95,6892000,[0 0]
20080711,2.9,2.9,2.89,2.89,724500,[1 1]
20080714,2.99,3.0,2.9,3.0,6955000,[1 0]
20080715,3.0,3.2,3.0,3.09,3959800,[1 1]
20080716,3.05,3.08,2.95,2.95,688500,[0 0]
20080717,3.08,3.08,2.93,2.93,1106600,[1 0]
20080718,2.81,3.09,2.81,2.91,3302300,[0 0]
20080721,2.9,3.05,2.9,3.05,469200,[1 0]
20080722,3.08,3.09,3.08,3.09,864800,[1 0]
20080723,3.09,3.16,3.03,3.03,1623900,[0 1]
20080724,2.97,3.06,2.97,3.06,3921300,[0 0]
20080725,3.05,3.06,2.98,2.98,6476900,[1 0]
20080728,2.91,3.06,2.9,3.05,1880100,[1 0]
20080729,3.06,3.06,2.81,3.05,6104600,[0 0]
20080730,2.85,3.02,2.85,3.02,3343200,[0 0]
20080731,2.82,3.0,2.82,3.0,2469000,[0 0]
20080804,2.9,2.95,2.81,2.95,3411400,[0 1]
20080805,3.0,3.0,2.81,2.81,3497000,[1 1]
20080806,2.83,2.97,2.81,2.97,3428000,[0 0]
20080807,2.98,2.99,2.84,2.94,5626400,[1 0]
20080808,2.95,2.95,2.84,2.95,2338000,[0 0]
20080811,3.02,3.15,3.01,3.15,3415000,[1 0]
20080812,3.16,3.35,2.91,3.09,3488300,[0 0]
20080814,3.08,3.08,2.82,3.04,10102000,[0 0]
20080815,3.09,3.18,2.82,2.99,10188700,[1 0]
20080818,3.19,3.19,2.99,2.99,6186400,[0 0]
20080819,2.83,2.96,2.71,2.85,4202800,[0 1]
20080820,2.85,3.09,2.85,3.07,8048400,[1 1]
20080821,3.09,3.09,3.0,3.0,2281500,[0 1]
20080822,2.72,3.07,2.72,3.07,1247400,[0 1]
20080826,3.0,3.0,2.7,2.8,8539100,[1 1]
20080827,2.99,3.15,2.81,3.09,13020900,[0 0]
20080828,3.09,3.19,2.69,2.98,6701500,[1 0]
20080829,2.97,2.97,2.8,2.9,7016900,[1 0]
20080902,2.89,2.89,2.64,2.79,16382700,[0 0]
20080903,2.79,2.87,2.79,2.87,1288300,[0 0]
20080904,2.64,2.79,2.64,2.79,1104900,[0 0]
20080905,2.88,2.88,2.66,2.8,2768500,[1 1]
20080908,2.85,2.85,2.84,2.84,2136900,[0 1]
20080909,2.83,2.83,2.64,2.81,2125500,[1 0]
20080910,2.63,2.82,2.51,2.69,1985700,[0 1]
20080911,2.51,2.6,2.4,2.6,4932100,[1 1]
20080912,2.59,2.59,2.59,2.59,1036000,[0 0]
20080915,2.37,2.49,2.25,2.25,725100,[1 1]
20080917,2.45,2.59,2.45,2.59,883400,[1 1]
20080922,2.2,2.38,2.2,2.38,2058200,[0 1]
20080924,1.92,2.28,1.92,2.28,2580300,[0 0]
20080925,2.19,2.19,1.74,1.86,2972100,[1 0]
20080926,1.86,1.86,1.77,1.77,875400,[0 0]
20080929,1.78,1.78,1.63,1.77,2719100,[0 0]
20081001,1.79,1.97,1.79,1.92,970500,[1 0]
20081002,1.9,1.9,1.77,1.77,221700,[1 0]
20081003,1.8,1.85,1.8,1.85,469600,[0 0]
20081006,1.77,1.77,1.77,1.77,17700,[0 0]
20081007,1.7,1.7,1.7,1.7,17000,[1 0]
20081008,1.33,1.59,1.31,1.33,719400,[1 0]
20081009,1.68,1.7,1.6,1.7,2022700,[1 0]
20081013,1.67,1.67,1.66,1.66,66500,[0 0]
20081014,1.53,1.53,1.53,1.53,290700,[1 0]
20081016,1.35,1.36,1.3,1.35,644900,[1 1]
20081017,1.6,1.6,1.6,1.6,16000,[0 1]
20081020,1.49,1.5,1.49,1.5,700700,[0 0]
20081028,1.5,1.5,1.5,1.5,15000,[0 1]
20081030,1.4,1.4,1.4,1.4,280000,[0 1]
20081031,1.4,1.4,1.4,1.4,42000,[1 0]
20081103,1.35,1.49,1.35,1.49,68900,[1 0]
20081104,1.49,1.49,1.49,1.49,192500,[1 1]
20081105,1.48,1.48,1.48,1.48,14800,[0 0]
20081106,1.47,1.47,1.47,1.47,426300,[0 1]
20081110,1.2,1.47,1.2,1.47,26700,[0 1]
20081111,1.23,1.45,1.23,1.45,88300,[0 0]
20081112,1.23,1.23,1.23,1.23,61500,[0 0]
20081113,1.45,1.45,1.45,1.45,14500,[0 0]
20081114,1.45,1.45,1.25,1.45,91500,[1 0]
20081117,1.45,1.76,1.45,1.76,522000,[1 0]
20081118,1.75,1.89,1.65,1.8,3537700,[0 0]
20081119,1.85,1.85,1.85,1.85,18500,[0 0]
20081121,1.84,1.85,1.75,1.75,729900,[1 1]
20081124,1.75,1.75,1.6,1.6,1340000,[1 0]
20081125,1.75,1.75,1.75,1.75,17500,[1 1]
20081126,1.8,1.8,1.61,1.61,132600,[0 1]
20081127,1.52,1.52,1.52,1.52,364800,[0 0]
20081201,1.52,1.67,1.5,1.67,468700,[0 0]
20081202,1.55,1.66,1.55,1.6,1713000,[1 0]
20081203,1.66,1.83,1.66,1.78,7584400,[0 0]
20081218,1.93,2.0,1.93,1.99,690600,[0 0]
20081219,1.99,1.99,1.99,1.99,19900,[0 0]
20081222,1.99,2.15,1.97,2.14,398500,[0 1]
20081223,1.96,2.09,1.95,1.95,627500,[1 1]
20081226,1.96,2.09,1.96,2.09,40500,[1 0]
20081229,1.99,1.99,1.99,1.99,39700,[1 1]
20081230,1.97,1.97,1.97,1.97,1024400,[0 0]
20090105,2.05,2.05,2.01,2.01,611000,[1 0]
20090106,2.01,2.01,2.01,2.01,402000,[1 0]
