date,open,max,min,close,volume,y
20050701,8.5,8.5,8.5,8.5,8500000,[0 0]
20050704,8.0,8.0,8.0,8.0,400000,[0 1]
20050705,8.0,8.0,8.0,8.0,400000,[0 0]
20050706,8.0,8.0,8.0,8.0,1200000,[1 1]
20050707,8.0,8.4,8.0,8.4,2404000,[0 0]
20050711,8.0,8.0,8.0,8.0,1600000,[1 0]
20050712,8.0,8.0,8.0,8.0,880000,[1 1]
20050713,8.4,8.5,8.4,8.4,8905000,[0 1]
20050714,8.8,8.8,8.8,8.8,88000,[0 1]
20050725,8.3,8.3,8.3,8.3,332000,[1 1]
20050726,8.0,8.0,8.0,8.0,400000,[1 0]
20050728,8.88,8.88,8.88,8.88,177600,[1 0]
20050729,8.5,9.0,8.5,8.8,1895500,[0 0]
20050801,8.5,9.0,8.5,9.0,1840000,[1 0]
20050803,9.5,9.5,9.26,9.26,752800,[0 1]
20050804,8.91,8.91,8.91,8.91,891000,[1 0]
20050809,9.0,9.0,9.0,9.0,4500000,[1 1]
20050810,9.0,11.0,9.0,11.0,82052000,[0 0]
20050811,10.5,11.3,10.5,11.3,14244000,[1 1]
20050812,11.2,11.9,11.2,11.9,2135000,[0 1]
20050816,11.9,12.1,11.9,12.0,32390000,[1 1]
20050817,12.35,12.5,12.0,12.45,10261800,[1 0]
20050818,12.1,12.12,12.0,12.06,2766600,[1 1]
20050819,12.0,12.44,12.0,12.44,8046300,[0 1]
20050822,12.4,12.4,12.4,12.4,620000,[1 0]
20050823,12.4,12.45,12.35,12.4,21085000,[1 1]
20050824,12.4,12.4,12.4,12.4,24056000,[0 0]
20050825,12.4,12.5,12.4,12.5,3732000,[1 1]
20050830,12.5,12.5,12.5,12.5,125000,[0 0]
20050831,12.5,12.5,12.5,12.5,10000000,[0 0]
20050901,12.35,13.0,12.35,13.0,31825000,[0 0]
20050902,13.1,14.0,13.0,14.0,29511000,[1 0]
20050905,14.0,14.0,14.0,14.0,1400000,[1 0]
20050906,14.1,14.2,14.0,14.2,8685500,[0 0]
20050908,14.3,14.3,14.2,14.3,7130000,[1 1]
20050909,14.3,14.3,14.0,14.05,110935500,[1 1]
20050912,14.2,14.2,14.0,14.0,36755000,[0 1]
20050913,14.3,14.5,14.3,14.5,42942000,[1 1]
20050914,14.6,15.0,14.5,15.0,16142000,[1 0]
20050915,15.0,15.0,14.6,15.0,19756000,[0 1]
20050916,14.8,15.6,14.8,15.5,128257900,[1 1]
20050919,15.7,17.0,15.7,16.9,78841000,[1 0]
20050920,17.2,17.2,16.8,17.0,102467000,[0 0]
20050921,17.1,18.95,17.1,18.55,12605558000,[1 0]
20050922,18.0,18.29,17.39,17.7,7693025700,[0 1]
20050923,17.73,18.4,17.61,18.0,5027785300,[1 1]
20050926,18.5,18.5,18.0,18.1,1741477200,[1 1]
20050927,18.1,18.21,17.85,18.1,1709698300,[0 0]
20050928,18.1,18.8,18.1,18.7,2168921500,[0 0]
20050929,19.0,19.44,18.45,18.9,3702981500,[1 0]
20050930,18.89,19.0,18.2,18.4,2081435000,[0 1]
20051003,18.0,18.8,18.0,18.51,1418983900,[1 0]
20051004,18.5,19.3,18.3,18.9,2310095100,[1 1]
20051005,18.99,18.99,18.3,18.75,1431404600,[1 1]
20051006,18.2,18.7,18.0,18.1,1675052400,[0 0]
20051007,18.72,18.72,18.3,18.5,684076300,[0 0]
20051010,18.5,18.6,18.5,18.6,610096900,[1 1]
20051011,18.6,18.68,18.5,18.55,1638302000,[0 1]
20051013,18.3,18.3,17.8,18.0,1527405700,[1 0]
20051014,18.0,18.19,17.42,18.0,2471110100,[1 0]
20051017,18.1,18.1,17.41,17.5,1311657400,[1 1]
20051018,17.2,17.6,16.74,16.74,997257200,[0 0]
20051019,15.89,16.6,15.89,16.5,820295000,[1 1]
20051020,17.0,17.5,16.5,16.8,2575144900,[0 1]
20051021,16.6,17.0,16.5,16.52,1614316600,[1 1]
20051024,16.7,17.2,16.7,17.2,968110500,[0 0]
20051025,17.05,17.23,16.99,17.2,1526082800,[0 0]
20051026,17.22,17.22,17.0,17.2,103581200,[1 0]
20051027,17.2,17.2,16.8,17.15,397252500,[0 0]
20051028,17.2,17.2,16.9,17.2,282862600,[1 1]
20051031,17.2,17.9,16.8,17.7,474436100,[0 0]
20051101,17.7,18.28,17.7,18.05,982818200,[0 1]
20051103,18.2,19.4,18.1,19.2,1138983900,[1 1]
20051104,19.49,19.49,18.55,18.7,1148108400,[1 1]
20051107,18.99,19.0,18.4,18.8,1990408600,[1 0]
20051108,18.97,19.4,18.7,19.4,2292373400,[1 1]
20051109,19.4,19.72,19.39,19.6,874508000,[1 0]
20051110,19.75,21.5,19.75,21.5,1574816500,[0 1]
20051111,21.6,21.6,20.8,21.0,2512462200,[1 1]
20051114,21.9,21.9,20.51,21.0,3718355300,[0 0]
20051116,21.74,22.4,21.2,21.9,3303292300,[0 0]
20051117,22.0,23.69,22.0,23.49,2536942200,[0 1]
20051118,23.0,25.45,23.0,24.05,2661695100,[1 1]
20051121,25.5,25.5,24.0,24.8,2626247500,[0 0]
20051122,24.5,24.7,24.4,24.5,3437537200,[1 0]
20051123,24.6,24.89,23.73,24.0,1971278700,[1 0]
20051124,23.6,23.95,23.6,23.85,134367800,[1 1]
20051125,23.85,24.5,23.35,23.98,3780132000,[0 0]
20051128,24.5,24.75,23.0,23.75,2063867600,[0 1]
20051129,23.48,23.9,23.15,23.49,1735032000,[0 0]
20051130,24.0,24.89,23.1,24.5,6847651600,[0 1]
20051201,24.98,25.8,24.3,25.5,1666140900,[0 0]
20051202,25.89,27.5,25.49,26.5,1390625800,[1 1]
20051205,26.5,27.0,25.99,27.0,1147889600,[1 1]
20051206,27.0,30.01,27.0,30.01,2585166200,[1 0]
20051207,30.0,30.01,28.51,29.0,1899958100,[0 0]
20051208,29.75,29.75,27.0,27.0,1576086800,[0 0]
20051209,28.0,28.0,26.1,27.0,858808300,[0 0]
20051212,27.4,27.99,26.3,26.3,1119527800,[0 0]
20051213,26.7,27.5,26.0,27.5,784240900,[1 0]
20051214,28.0,28.0,26.9,26.9,1961216100,[1 1]
20051215,27.39,27.39,26.0,26.6,1776220100,[0 0]
20051216,26.81,27.1,26.3,27.0,2180998600,[1 1]
20051219,26.98,28.5,26.98,28.0,1407080200,[1 0]
20051220,28.5,29.4,27.35,27.5,629543100,[1 0]
20051221,28.0,29.99,27.5,28.9,1360332400,[1 0]
20051222,29.48,30.02,28.5,29.5,1601189400,[0 0]
20051223,30.5,31.49,30.0,31.49,890135200,[0 1]
20051226,31.25,32.64,31.03,32.64,95651200,[1 1]
20051227,32.87,34.5,31.81,32.5,674856500,[1 0]
20051228,32.1,32.48,30.87,32.0,1309701900,[0 1]
20051229,32.3,32.3,31.7,32.0,318992900,[1 1]
20060102,32.0,32.0,30.8,31.4,134518500,[1 1]
20060103,32.2,32.3,30.7,31.89,1581987300,[1 0]
20060104,31.8,32.03,31.65,32.0,414617700,[0 1]
20060105,31.8,31.8,31.2,31.8,1145064200,[0 1]
20060106,32.0,32.3,31.51,32.0,2490689500,[0 0]
20060109,32.0,34.01,32.0,34.01,1233058200,[0 0]
20060110,33.52,34.5,33.15,33.75,2455843100,[0 0]
20060111,34.0,35.39,34.0,35.0,1976191200,[0 0]
20060112,35.2,35.2,34.0,34.0,1005447300,[0 1]
20060113,35.0,35.98,34.49,35.98,1051263600,[1 0]
20060116,36.25,36.8,35.28,36.5,364669200,[1 0]
20060117,36.5,36.7,34.55,34.6,669771300,[0 0]
20060118,34.3,34.3,32.7,32.84,432239000,[1 0]
20060119,33.75,34.0,33.25,33.7,1894816800,[1 0]
20060120,34.59,34.59,33.51,33.75,1164655200,[1 1]
20060123,33.75,34.39,31.8,33.7,1374289900,[1 0]
20060124,34.0,34.81,33.8,34.45,996271900,[1 1]
20060126,34.5,35.5,34.06,34.95,5162931100,[1 0]
20060127,35.3,35.9,34.2,35.0,2886262100,[0 0]
20060130,34.9,35.0,33.31,34.8,1977600100,[0 0]
20060131,34.65,34.65,33.0,33.0,2077586500,[1 0]
20060201,33.8,33.99,33.0,33.0,1080998200,[1 1]
20060202,33.0,33.2,32.2,32.8,300003200,[1 1]
20060203,33.0,33.2,32.5,32.85,4571579300,[0 1]
20060206,33.0,33.59,32.1,32.1,2263023000,[1 0]
20060207,32.0,32.79,31.79,32.0,288649000,[1 0]
20060208,32.25,32.7,31.2,31.5,379146200,[1 1]
20060209,31.5,32.95,31.5,32.7,615557100,[1 1]
20060210,33.0,34.2,33.0,33.45,1037479600,[0 0]
20060213,33.5,33.5,31.66,32.5,210409000,[0 0]
20060214,32.8,32.8,32.0,32.2,1079569800,[0 0]
20060215,32.5,32.5,31.52,31.99,2336678500,[1 1]
20060216,31.6,34.5,31.6,34.5,6784711900,[0 1]
20060217,35.0,36.8,35.0,36.01,884069900,[1 0]
20060220,35.9,36.7,35.7,36.5,638764600,[0 0]
20060221,36.45,40.04,36.4,38.5,2884302000,[0 1]
20060222,39.4,42.0,38.7,40.0,2222827600,[1 0]
20060223,40.5,41.79,39.5,41.79,1246110100,[0 0]
20060224,41.5,41.5,39.01,39.01,2266550200,[0 1]
20060301,39.2,40.99,38.8,39.38,210444600,[1 1]
20060302,40.21,40.21,38.2,39.48,853544000,[1 1]
20060303,39.48,40.0,38.51,40.0,3677167500,[0 0]
20060306,40.02,40.02,39.2,39.99,1167665100,[0 0]
20060307,39.9,40.0,38.02,38.55,634130600,[1 0]
20060308,38.02,39.5,36.5,39.1,652260000,[0 1]
20060309,39.11,40.0,37.65,40.0,1231934200,[1 1]
20060310,39.01,41.38,39.01,40.99,3273683200,[0 0]
20060313,41.3,41.9,39.7,40.9,1743678700,[0 1]
20060314,40.9,40.9,39.52,39.9,1174817800,[1 1]
20060315,40.8,40.8,39.21,39.5,623475800,[1 1]
20060316,39.5,39.9,39.3,39.4,576362800,[1 0]
20060317,39.06,39.45,38.71,39.0,234533200,[0 0]
20060320,39.99,40.75,39.99,40.2,844499400,[1 0]
20060321,40.26,41.2,40.0,41.0,1052706000,[0 1]
20060322,40.51,41.74,40.51,41.4,351633500,[1 1]
20060323,41.4,41.6,40.02,41.0,1266915000,[1 1]
20060324,41.0,41.1,39.51,40.0,391649900,[0 1]
20060327,40.0,41.5,40.0,40.92,598433600,[0 0]
20060328,40.05,40.05,38.0,38.55,988353000,[0 1]
20060329,39.0,39.94,38.8,39.0,1602061800,[0 0]
20060330,39.5,39.5,37.0,38.0,1493968500,[0 0]
20060331,38.0,38.95,38.0,38.56,546227600,[1 0]
20060403,39.0,40.0,39.0,39.4,2252911300,[0 1]
20060404,39.89,40.0,39.0,39.35,661348000,[1 0]
20060405,39.98,39.98,38.01,38.26,536305600,[0 0]
20060406,38.27,38.55,37.4,37.4,1338732700,[1 1]
20060407,37.5,38.9,37.35,38.9,435721600,[1 0]
20060410,38.9,38.9,37.02,37.95,602581100,[0 1]
20060411,38.9,39.0,36.7,36.71,901349000,[0 0]
20060426,34.4,35.72,34.22,35.4,1192220600,[1 1]
20060427,34.4,35.76,34.4,35.55,1086574200,[1 1]
20060428,35.89,35.89,35.0,35.5,146899900,[0 1]
20060502,35.5,35.5,34.1,34.9,1080117900,[0 0]
20060503,34.9,35.5,34.05,35.5,1486057700,[0 1]
20060504,35.5,37.42,35.46,36.35,1606583100,[0 0]
20060505,36.98,38.59,36.5,38.59,1551559500,[0 1]
