date,open,max,min,close,volume,y
20070626,14.75,15.19,14.52,14.91,9705984400,[1 0]
20070627,14.73,15.2,14.61,15.15,1361809100,[0 0]
20070628,15.15,15.3,15.09,15.15,886766800,[0 1]
20070629,15.0,15.39,14.82,14.95,2392154900,[1 1]
20070702,14.8,15.1,14.5,14.85,434093500,[0 0]
20070703,14.9,14.99,14.27,14.5,1624349500,[1 0]
20070704,14.39,14.8,14.39,14.79,1205396500,[0 1]
20070705,14.65,15.2,14.31,14.8,709171600,[0 1]
20070706,14.9,15.2,14.7,14.9,996676800,[1 1]
20070710,14.7,14.9,14.55,14.9,272546900,[0 0]
20070711,14.9,15.2,14.86,14.9,1217085300,[0 1]
20070712,15.09,15.18,14.8,15.0,300784200,[0 0]
20070713,15.1,15.1,14.81,14.94,216557400,[0 1]
20070716,14.93,14.94,14.55,14.9,748711100,[0 1]
20070717,14.73,15.35,14.73,15.1,924570800,[0 0]
20070718,15.0,15.3,14.93,15.0,755251700,[0 0]
20070719,15.2,16.1,15.15,16.1,931618000,[0 0]
20070720,16.1,16.5,15.8,16.15,666683500,[0 0]
20070723,16.2,16.99,16.0,16.75,365963500,[1 1]
20070724,16.69,16.75,15.62,16.35,214042400,[0 0]
20070725,16.75,16.8,15.82,16.0,346612600,[1 1]
20070726,15.5,15.9,15.5,15.75,624355500,[1 0]
20070727,16.0,16.0,15.2,15.9,561860600,[1 0]
20070730,15.75,15.75,14.9,15.6,525986300,[1 1]
20070731,16.0,16.0,15.3,15.4,1001474300,[0 0]
20070801,15.2,15.5,14.56,15.3,305059700,[0 0]
20070802,15.3,16.19,15.15,15.35,145743400,[0 0]
20070803,15.2,15.45,14.7,15.25,171827800,[1 1]
20070806,14.9,15.3,14.9,15.3,330725900,[1 0]
20070807,15.56,15.69,14.5,14.8,490283900,[1 1]
20070808,15.15,15.15,14.5,14.5,840081700,[0 0]
20070809,14.3,14.3,13.63,14.0,1141800900,[1 1]
20070810,13.6,14.0,13.12,13.5,299722500,[1 0]
20070813,14.0,14.0,13.25,13.4,276445300,[0 0]
20070814,13.0,13.4,12.75,13.4,305989800,[0 1]
20070815,13.0,13.09,12.2,12.55,981011100,[1 0]
20070816,12.35,12.35,10.5,11.7,902105700,[0 1]
20070817,12.5,12.5,10.76,12.0,523558400,[0 1]
20070820,13.1,13.1,11.35,12.2,641817700,[1 1]
20070821,11.99,12.1,11.65,12.1,390285200,[1 0]
20070822,12.1,12.5,11.85,12.0,355551100,[1 0]
20070823,12.19,12.3,11.55,12.3,755746800,[0 0]
20070905,13.5,13.54,13.2,13.49,226755000,[1 1]
20070906,13.6,13.6,13.31,13.5,189029200,[0 0]
20070910,13.08,13.4,13.01,13.09,53239100,[1 0]
20070911,13.3,13.55,13.06,13.55,210775400,[0 0]
20070912,13.55,13.7,13.55,13.55,108410300,[0 0]
20070913,14.01,14.5,14.0,14.38,1720022800,[0 0]
20070914,14.22,15.0,14.0,14.4,802705700,[0 0]
20070917,14.53,14.53,14.0,14.36,415828100,[1 1]
20070918,14.39,14.98,13.81,14.3,552796200,[0 1]
20070919,14.57,14.58,14.15,14.3,494262600,[0 0]
20070920,14.64,14.64,14.05,14.2,621615600,[0 0]
20070921,14.3,14.3,14.0,14.1,952087100,[1 0]
20070924,14.2,14.21,13.9,14.1,890755300,[1 0]
20070925,13.9,14.5,13.9,14.3,885019200,[1 0]
20070926,14.49,15.2,14.49,15.2,1070569100,[0 1]
20070927,15.39,15.99,15.39,15.9,1463515900,[1 0]
20070928,15.8,15.9,15.5,15.8,2221122500,[0 1]
20071001,15.8,16.5,15.8,16.0,993092700,[0 0]
20071002,16.0,16.5,15.9,16.48,1021789700,[0 1]
20071003,16.2,16.45,16.0,16.0,298035300,[1 1]
20071004,16.35,16.35,15.71,16.0,214423400,[0 1]
20071005,16.35,17.0,16.2,17.0,528190500,[0 1]
20071008,17.06,17.99,16.92,17.99,230917500,[0 1]
20071009,18.1,18.8,18.0,18.8,588007600,[0 1]
20071010,18.85,19.3,17.7,18.0,494032300,[0 0]
20071011,18.4,18.4,17.01,17.01,168202700,[0 1]
20071015,17.54,17.54,16.7,16.9,232870300,[1 0]
20071016,16.9,16.9,16.32,16.4,180885800,[1 1]
20071017,16.79,16.9,16.5,16.5,372375000,[0 1]
20071018,16.3,17.99,16.0,17.99,720312400,[1 0]
20071019,17.59,17.59,16.56,16.84,209701100,[1 0]
20071022,17.19,17.19,16.5,16.68,141792900,[1 1]
20071023,16.74,16.94,16.7,16.8,288218400,[0 0]
20071024,16.7,17.4,16.32,16.79,451925600,[1 0]
20071025,16.97,17.3,16.55,17.15,120521900,[0 0]
20071026,17.4,19.0,17.0,18.5,860267100,[0 1]
20071029,18.5,19.25,18.5,18.9,411861700,[0 1]
20071030,18.51,19.48,17.71,19.48,527725800,[1 0]
20071031,19.7,19.7,18.92,18.95,287705800,[0 1]
20071101,19.2,19.2,18.58,19.0,320978600,[1 0]
20071105,18.99,18.99,18.36,18.99,199919200,[1 0]
20071106,18.95,18.99,18.4,18.63,711036300,[0 0]
20071107,18.6,18.6,17.51,17.79,367685400,[1 0]
20071108,17.8,18.0,17.5,17.8,831459000,[0 0]
20071109,17.95,18.75,16.52,18.49,175959900,[1 0]
20071112,17.95,18.43,17.0,17.2,512020300,[1 0]
20071113,17.6,17.7,16.68,16.71,348029700,[1 1]
20071114,16.85,17.2,16.8,17.0,210828300,[1 1]
20071116,17.04,17.04,16.57,16.7,88870100,[0 1]
20071119,16.7,16.7,15.71,15.9,134563000,[0 0]
20071121,15.85,15.85,15.31,15.7,165283000,[1 1]
20071122,15.9,15.9,15.26,15.5,108625300,[0 1]
20071123,16.0,16.0,14.85,14.99,132574500,[0 0]
20071126,15.1,15.1,13.8,13.94,266334600,[0 1]
20071127,13.94,14.04,13.3,13.3,1056477300,[0 0]
20071128,13.69,13.69,13.0,13.01,445649000,[0 0]
20071129,13.09,13.29,12.5,12.78,576343200,[0 1]
20071130,13.2,13.99,12.95,13.05,372559900,[0 0]
20071203,13.39,13.39,13.0,13.2,450178200,[1 0]
20071204,13.1,13.2,12.75,12.89,236578000,[1 1]
20071205,13.0,13.2,12.89,12.98,402467800,[0 1]
20071206,13.3,13.3,12.61,12.69,264471100,[0 0]
20071207,12.86,12.9,12.48,12.5,137846800,[0 0]
20071210,12.74,12.9,12.35,12.5,259180600,[0 1]
20071211,12.7,12.7,11.9,11.98,167086300,[0 1]
20071212,12.01,12.29,11.68,12.1,477687400,[1 0]
20071213,11.95,11.99,11.1,11.3,2156121800,[0 0]
20071214,11.59,12.4,11.1,12.25,459215700,[0 0]
20071217,12.25,12.29,11.86,12.0,201586700,[0 1]
20071218,12.24,12.25,11.7,12.2,297875600,[1 1]
20071219,12.25,12.25,11.61,11.76,203397700,[1 0]
20071220,11.89,11.89,11.21,11.4,207302400,[0 1]
20071221,11.51,11.8,11.35,11.8,707822400,[0 1]
20071226,12.0,12.45,11.95,12.2,445269200,[0 0]
20071227,12.45,12.45,11.82,11.9,97395200,[1 1]
20071228,12.25,12.39,11.81,11.85,207208500,[0 0]
20080102,11.95,12.27,11.6,11.9,503707200,[0 1]
20080103,11.9,11.96,11.51,11.75,259541400,[1 0]
20080104,11.75,11.75,11.2,11.5,132739000,[0 1]
20080107,11.3,11.4,10.7,11.03,132550400,[1 1]
20080108,11.15,11.59,11.05,11.49,284672700,[1 0]
20080109,11.47,12.32,11.35,11.8,326793900,[0 0]
20080110,12.0,12.05,11.75,12.05,96064800,[1 0]
20080111,12.07,12.75,11.8,11.8,771976000,[0 0]
20080114,12.0,12.45,11.9,12.09,407629500,[0 0]
20080115,12.13,12.2,11.45,11.65,476785300,[1 0]
20080116,11.7,11.95,11.05,11.95,1067034100,[0 0]
20080117,12.0,12.0,11.2,11.6,221484600,[0 1]
20080118,11.94,11.94,11.1,11.9,290209500,[0 0]
20080121,11.48,11.65,11.2,11.3,165680000,[0 1]
20080206,11.53,11.53,11.27,11.35,154902500,[1 0]
20080207,11.5,11.5,10.95,10.99,111408300,[0 0]
20080208,11.4,11.44,10.62,10.7,180774900,[1 0]
