date,open,max,min,close,volume,y
20041203,22.3,22.79,22.3,22.55,124173600,[1 1]
20041202,22.98,23.8,22.5,22.8,369132000,[0 1]
20041201,22.2,23.4,22.01,22.99,1907758000,[1 1]
20041130,23.0,23.0,22.11,22.49,638702400,[0 0]
20041129,23.4,23.4,22.6,23.0,633102700,[1 1]
20041126,23.8,23.8,23.05,23.4,48687300,[0 0]
20041125,23.88,24.0,23.2,23.6,210678100,[0 0]
20041124,23.9,23.9,23.25,23.35,569398600,[1 1]
20041123,23.48,23.48,23.2,23.25,472667200,[0 0]
20041122,23.76,23.76,22.52,23.49,1115479700,[0 1]
20041119,22.02,24.99,21.85,24.0,9820217400,[0 0]
20041227,23.59,23.98,23.59,23.8,59517100,[1 1]
20041223,23.2,23.65,23.2,23.65,579746800,[1 1]
20041222,23.15,23.4,23.15,23.4,41605900,[1 0]
20041221,23.25,23.35,23.08,23.1,65919400,[1 1]
20041220,23.3,23.5,23.15,23.15,63075900,[1 0]
20041217,23.5,23.5,23.0,23.2,634877500,[0 0]
20041216,23.03,23.1,22.8,23.1,442134800,[0 1]
20041215,23.0,23.1,22.71,23.08,108899300,[0 1]
20041214,23.45,23.5,22.9,23.0,251518500,[0 0]
20041213,23.39,23.5,23.05,23.1,126469800,[0 0]
20041210,22.52,23.69,22.52,23.1,505561900,[1 1]
20041209,23.1,23.2,22.51,23.0,240568300,[0 1]
20041208,23.34,23.5,23.2,23.3,101388600,[1 0]
20041207,23.59,23.62,23.31,23.35,358132800,[0 1]
20041206,22.2,23.8,22.2,23.59,1251508800,[1 1]
20041230,24.0,24.2,23.85,23.9,233819500,[0 0]
20041229,25.0,25.0,23.7,24.17,254887200,[1 1]
20041228,23.9,25.0,23.8,23.96,364230300,[0 0]
20050103,24.0,26.0,24.0,25.1,321563000,[1 1]
20050104,24.99,27.0,24.99,25.75,331434200,[1 0]
20050105,25.75,26.75,25.5,26.6,821049200,[1 1]
20050106,26.3,26.8,25.8,26.1,690686900,[1 0]
20050107,26.5,26.5,25.55,26.0,479162100,[0 1]
20050110,27.0,27.0,25.5,25.98,21649600,[0 0]
20050111,25.98,25.98,25.3,25.3,468114000,[0 0]
20050112,25.3,26.5,24.95,26.5,1345283300,[0 0]
20050113,26.5,26.5,26.0,26.39,22815400,[0 1]
20050114,26.0,26.99,26.0,26.7,246797800,[1 0]
20050117,26.9,26.9,26.0,26.64,53276000,[1 0]
20050118,26.0,26.3,25.0,26.0,186679100,[0 0]
20050119,25.9,26.0,25.5,25.9,693684200,[0 0]
20050120,26.0,26.3,25.5,25.5,148647100,[0 0]
20050121,26.3,26.3,25.95,25.95,33013300,[0 0]
20050124,26.5,27.0,26.1,27.0,113420100,[0 0]
20050126,27.0,27.0,26.0,26.99,255705100,[0 1]
20050127,27.0,27.49,26.65,27.0,382508700,[1 1]
20050128,26.5,28.0,26.48,28.0,754448100,[0 1]
20050131,27.8,27.8,26.8,27.0,369194700,[0 0]
20050201,27.0,27.1,26.22,26.99,1168717700,[1 0]
20050202,26.5,27.1,26.5,27.0,151376000,[0 0]
20050203,26.99,28.5,26.99,28.49,251062900,[0 0]
20050204,28.5,29.0,28.0,29.0,241921400,[0 0]
20050209,29.0,29.0,28.5,28.99,167419800,[0 1]
20050210,28.99,28.99,28.3,28.7,50127900,[0 0]
20050211,28.7,30.0,28.5,29.7,251540200,[1 1]
20050214,30.0,31.0,30.0,30.45,1658078800,[0 1]
20050215,30.99,30.99,29.9,30.2,903233300,[1 1]
20050216,29.9,29.9,29.4,29.65,59019600,[0 1]
20050217,30.1,30.5,29.8,30.0,650638500,[1 1]
20050218,30.0,31.0,29.71,30.69,494398900,[1 0]
20050221,31.19,31.7,30.62,31.0,456400800,[0 0]
20050222,30.7,31.5,29.7,30.01,603840400,[0 0]
20050223,30.6,31.2,30.2,30.73,743054400,[1 0]
20050224,31.3,33.5,31.06,31.5,1478194700,[1 1]
20050225,32.1,32.3,30.85,32.0,507651700,[1 0]
20050228,32.02,33.0,31.26,32.0,515195100,[1 1]
20050301,32.0,32.0,31.2,31.5,320464100,[0 0]
20050302,31.11,32.45,31.0,32.0,708776800,[1 0]
20050303,32.0,32.2,30.6,31.0,565172600,[1 1]
20050304,31.5,31.7,30.6,31.0,710389700,[1 1]
20050307,31.0,31.2,30.0,30.6,495854200,[1 0]
20050308,30.0,30.59,28.5,29.49,618379900,[1 0]
20050309,29.3,29.62,28.7,29.25,596301600,[1 1]
20050310,29.5,29.8,28.51,28.89,862876000,[0 1]
20050311,28.75,29.4,27.12,27.99,857018900,[0 1]
20050314,28.0,31.0,27.1,31.0,1812254500,[0 0]
20050315,31.5,33.0,30.12,31.49,411691100,[0 1]
20050316,31.0,32.0,30.9,30.9,247910600,[1 1]
20050317,30.5,31.75,30.5,31.75,159909300,[1 0]
20050318,31.9,31.9,31.25,31.75,225400300,[0 0]
20050321,31.74,31.74,30.7,30.91,659806400,[0 0]
20050322,30.91,31.2,29.51,30.0,568129300,[1 1]
20050323,30.0,30.0,29.12,29.99,579244300,[0 0]
20050324,30.0,30.5,29.0,29.99,296648300,[0 0]
20050328,29.99,30.0,29.5,29.9,187899400,[0 1]
20050329,30.45,30.45,28.4,28.7,245868000,[0 0]
20050330,28.7,29.25,27.66,28.2,361081900,[0 1]
20050331,28.5,29.0,26.61,27.0,190722000,[0 0]
20050401,27.5,28.0,26.5,26.8,412364200,[0 0]
20050404,26.9,27.5,25.8,26.3,247768900,[0 1]
20050405,27.0,27.19,25.5,26.3,476114900,[1 1]
20050406,26.89,26.89,25.5,26.8,272128400,[0 0]
20050407,26.5,27.8,26.0,27.8,229683000,[1 1]
20050408,27.8,28.5,27.6,27.99,1029821200,[0 0]
20050411,28.19,28.3,27.0,27.78,251348100,[1 0]
20050412,28.3,28.6,27.31,28.6,294383100,[0 1]
20050413,29.0,29.0,28.3,28.3,184084000,[0 1]
20050414,28.0,28.59,27.0,28.0,140376300,[1 0]
20050415,27.89,28.95,27.05,28.95,531936500,[0 0]
20050418,28.9,28.9,28.3,28.7,192182700,[1 0]
20050419,28.95,29.2,28.0,28.7,273372700,[0 1]
20050420,27.61,28.6,27.6,28.45,130523100,[1 1]
20050422,28.5,29.2,28.25,28.41,394366200,[1 1]
20050425,28.79,28.8,28.0,28.0,306022700,[1 0]
20050426,28.29,28.29,27.01,27.5,314220300,[1 1]
20050427,27.5,27.5,26.5,27.45,134871900,[1 1]
20050428,26.51,27.29,26.0,26.49,106346500,[0 1]
20050429,27.29,29.0,25.52,28.0,765287800,[1 1]
20050502,28.2,28.2,27.39,27.75,130275500,[0 0]
20050503,27.5,28.0,27.4,27.4,472739300,[0 0]
20050504,27.4,28.49,26.56,27.6,673740200,[0 1]
20050505,28.0,28.5,27.5,27.9,143633400,[0 1]
20050506,28.8,28.8,27.53,27.85,428073300,[0 1]
20050509,28.1,29.2,28.0,28.5,913440500,[0 0]
20050510,29.0,29.4,27.7,28.99,326501000,[1 0]
20050511,29.0,29.5,28.5,29.49,322370900,[1 1]
20050512,29.5,29.5,28.62,28.99,252285800,[1 0]
20050513,28.55,29.0,28.5,29.0,97789200,[0 0]
20050516,29.69,29.69,28.41,29.07,424617500,[1 0]
20050517,29.19,29.7,28.9,29.7,607321800,[1 1]
20050518,29.8,30.38,29.74,30.0,718591000,[1 1]
20050519,30.0,30.1,29.8,30.0,411759500,[1 1]
20050520,30.0,30.1,29.69,29.8,144420200,[1 1]
20050523,30.0,30.0,28.51,29.58,64548700,[1 0]
20050524,30.0,30.0,28.5,29.0,533155100,[0 0]
20050525,29.5,29.5,28.05,28.75,1103917100,[0 0]
20050527,28.75,29.3,28.75,29.3,244742600,[0 1]
20050530,29.5,29.7,28.94,28.94,142334900,[1 1]
20050531,29.3,29.8,29.03,29.29,1115096500,[1 1]
20050601,29.2,29.65,29.2,29.4,768496000,[1 1]
20050602,29.4,29.99,29.0,29.99,1387645500,[0 0]
20050603,29.02,30.0,29.02,29.99,694689400,[0 1]
20050606,29.55,30.0,29.48,30.0,405431300,[0 0]
20050607,29.96,30.9,29.0,30.5,1847510100,[0 1]
20050608,30.9,30.9,30.0,30.18,904962700,[1 1]
20050609,30.0,30.45,29.6,30.15,104702900,[0 0]
20050610,30.99,31.0,30.78,30.9,258423000,[0 0]
20050613,30.99,31.0,30.32,30.59,137453600,[0 0]
20050614,30.59,31.0,30.0,30.77,1329348600,[1 1]
20050615,31.0,31.7,30.9,31.1,1064472700,[0 1]
20050616,31.3,31.45,31.15,31.35,116025700,[0 0]
20050617,31.33,31.95,31.33,31.94,961649300,[0 0]
20050620,31.94,32.0,31.85,31.98,89782600,[1 1]
20050621,31.8,31.8,31.0,31.44,247223700,[0 1]
20050622,31.05,31.79,31.0,31.75,64797300,[1 1]
20050623,32.0,32.0,31.0,31.4,62683800,[1 1]
20050624,32.0,32.0,31.22,31.7,722395800,[1 1]
20050627,31.5,31.95,31.15,31.95,51761400,[1 0]
20050628,31.95,31.95,31.01,31.8,261257400,[1 0]
20050629,31.8,31.95,31.6,31.95,100180600,[0 0]
20050630,31.95,31.95,31.0,31.8,204536300,[0 0]
20050701,31.8,32.0,31.5,32.0,326888200,[1 0]
20050704,31.99,31.99,31.5,31.5,67194000,[0 0]
20050705,32.0,32.0,31.3,31.47,127200400,[0 1]
20050706,31.0,31.49,31.0,31.0,312889800,[1 0]
20050707,31.29,31.5,31.2,31.43,88081500,[1 1]
20050708,31.01,31.59,30.5,31.59,267264000,[0 0]
20050711,31.6,32.39,31.0,32.29,134997800,[1 1]
20050712,32.5,32.8,31.9,32.3,252851100,[1 0]
20050713,32.6,32.6,31.8,31.98,723234800,[0 1]
20050714,32.1,32.1,31.6,31.75,925081000,[1 1]
20050715,31.75,31.75,30.9,30.99,359499200,[0 0]
20050718,31.0,31.0,29.8,30.3,1606199300,[0 0]
20050719,30.0,30.0,29.7,29.7,169937800,[1 0]
20050720,29.6,29.9,28.52,29.8,588127800,[0 1]
20050721,31.0,31.0,29.68,30.0,1385824000,[0 1]
20050722,30.59,31.0,29.65,30.0,349604800,[0 1]
20050725,29.0,30.0,28.51,30.0,281950900,[0 1]
20050726,30.0,30.0,28.71,30.0,257140800,[1 1]
20050727,29.0,30.0,28.5,30.0,244992300,[1 0]
20050728,29.99,29.99,29.7,29.9,368970200,[0 0]
20050729,29.95,30.0,29.9,30.0,305462400,[0 1]
20050801,30.0,30.0,29.51,29.9,147064200,[0 0]
20050802,29.99,30.0,29.5,29.8,965622300,[1 1]
20050803,30.0,30.49,29.49,29.7,1913067100,[1 0]
20050804,29.95,30.0,29.55,29.9,520290900,[0 0]
20050805,30.49,30.49,29.5,29.65,217001400,[0 0]
20050808,29.65,30.22,28.75,29.29,117552200,[1 1]
20050809,29.1,29.25,29.0,29.2,46857100,[1 0]
20050810,29.2,29.2,27.8,28.19,46316600,[1 1]
20050811,28.19,28.35,27.02,27.8,1329966000,[1 1]
20050812,28.0,28.0,26.8,28.0,126082700,[0 0]
20050815,28.8,29.37,28.0,28.79,1417950800,[1 0]
20050816,29.0,29.5,28.35,29.0,354100000,[0 0]
20050817,29.3,29.3,28.3,29.0,185681900,[0 0]
20050818,29.0,29.0,28.6,28.85,236116900,[1 0]
20050819,28.2,28.9,28.19,28.86,1283570900,[1 0]
20050822,28.99,29.0,28.6,29.0,87941700,[1 0]
20050823,29.0,29.0,28.1,28.8,55904900,[1 1]
20050824,28.78,28.79,28.3,28.6,99946800,[1 0]
20050825,29.0,29.0,28.32,28.99,833525800,[1 0]
20050826,28.99,28.99,28.35,28.79,265302400,[0 0]
20050829,28.51,28.97,28.5,28.72,57191500,[0 0]
20050830,28.97,28.97,28.51,28.81,127379100,[0 0]
20050831,29.0,29.0,28.3,28.3,316518700,[0 0]
20050901,28.5,29.3,28.5,29.26,744656300,[1 0]
20050902,29.69,30.5,29.69,30.25,936531100,[1 0]
20050905,30.1,30.25,29.0,29.9,699878200,[0 0]
20050906,29.9,29.9,29.6,29.73,58647100,[1 1]
20050908,29.7,29.7,29.3,29.36,166556900,[1 1]
20050909,29.94,30.3,29.48,30.3,2200775700,[0 0]
20050912,30.1,30.5,29.62,30.0,1574623300,[0 0]
20050913,30.5,30.5,29.9,30.0,367320300,[0 0]
20050914,30.5,30.9,30.39,30.7,251628300,[0 1]
20050915,30.8,31.5,30.8,31.5,429588400,[0 0]
20050916,31.5,32.9,31.49,32.9,448847500,[1 0]
20050919,32.84,33.92,32.8,33.0,1643966200,[1 0]
20050920,33.0,33.9,32.99,33.1,336532800,[1 0]
20050921,33.58,33.88,33.1,33.6,479517700,[0 1]
20050922,33.84,33.89,33.0,33.55,937893300,[1 0]
20050923,33.55,33.88,33.25,33.59,1478335700,[1 1]
20050926,33.59,33.89,33.49,33.75,1041959400,[1 0]
20050927,33.8,34.5,33.3,33.99,1019440200,[0 0]
20050928,33.99,34.5,33.99,34.4,169545900,[0 1]
20050929,34.5,34.5,33.5,34.34,256302600,[1 1]
20050930,34.5,35.3,34.4,34.9,1523869700,[1 0]
20051003,35.2,35.4,34.95,35.3,1388668100,[1 0]
20051004,35.3,35.87,34.3,35.87,517484600,[1 0]
20051005,34.85,35.8,34.01,35.5,587300900,[0 0]
20051006,35.49,35.78,35.0,35.35,203138900,[1 1]
20051007,35.0,35.99,34.4,35.0,688171900,[0 0]
20051010,35.2,35.2,34.0,35.0,1155638800,[0 1]
20051011,34.5,35.0,34.0,34.99,132322200,[1 0]
20051013,34.11,36.0,34.11,36.0,150142500,[1 0]
20051014,35.0,35.48,34.51,34.99,98925200,[0 1]
20051017,35.2,35.2,34.3,35.0,249980900,[0 1]
20051018,35.25,35.25,34.8,34.8,8713900,[0 0]
20051019,34.05,35.0,33.8,34.99,232694400,[0 0]
20051020,35.0,35.0,33.5,34.0,237164200,[1 0]
20051021,34.4,34.4,33.21,33.89,273550000,[1 0]
20051024,34.21,35.0,33.85,35.0,381963600,[1 1]
20051025,34.98,35.0,34.51,34.51,248190400,[1 1]
20051026,35.5,36.0,35.0,36.0,323693600,[1 1]
20051027,36.0,36.55,35.5,36.55,169705700,[1 1]
20051028,36.55,36.89,35.6,36.89,218770200,[0 0]
20051031,36.82,36.82,36.33,36.5,76982200,[0 0]
20051101,36.5,36.59,35.8,36.5,1257381500,[1 1]
20051103,36.49,36.5,35.82,36.24,237997900,[0 0]
20051104,36.49,36.5,36.0,36.3,215439900,[0 0]
20051107,36.01,36.5,35.98,35.98,80407800,[0 1]
20051108,36.3,37.0,35.99,36.5,2846906600,[0 0]
20051109,36.11,36.9,36.11,36.9,45059000,[0 1]
20051110,36.75,37.7,36.75,37.5,181591200,[1 0]
20051111,37.4,38.25,37.4,38.0,629009000,[0 1]
20051114,37.65,38.1,37.65,38.1,119497700,[1 0]
20051116,38.0,39.12,38.0,39.12,281048300,[1 1]
20051117,39.1,40.4,39.0,40.0,84288400,[1 0]
20051118,40.0,40.99,39.99,40.99,189390000,[0 1]
20051121,41.7,41.7,40.4,41.0,718650100,[1 0]
20051122,40.02,40.7,40.0,40.3,1969837900,[0 0]
20051123,40.8,40.8,39.1,40.0,80349000,[0 0]
20051124,39.0,39.5,38.0,39.5,45219700,[1 0]
20051125,38.85,39.5,38.61,39.35,381921900,[1 0]
20051128,39.75,39.75,38.7,39.0,43409500,[0 1]
20051129,39.0,41.0,38.5,38.5,113902700,[0 0]
20051130,39.5,39.5,38.5,39.0,311774400,[0 1]
20051201,40.5,42.0,40.49,40.49,163297600,[1 1]
20051202,40.0,40.99,39.5,40.99,1776035900,[1 0]
20051205,40.5,45.0,40.5,45.0,122290000,[0 1]
20051206,46.0,48.0,45.01,45.75,556823300,[0 0]
20051207,45.7,46.0,44.5,46.0,152904800,[1 0]
20051208,46.0,49.5,46.0,49.49,827732500,[1 0]
20051209,48.1,50.0,48.1,48.1,193802900,[0 1]
20051212,48.1,48.1,47.3,47.89,162351300,[0 0]
20051213,47.9,48.99,46.3,46.3,264125600,[1 0]
20051214,47.5,48.0,46.97,47.35,209471200,[1 1]
20051215,47.35,47.36,45.9,45.9,294788000,[0 0]
20051216,46.0,46.0,42.0,42.0,895046300,[1 1]
20051219,43.59,43.59,39.0,39.0,849303000,[1 0]
20051220,40.0,41.49,39.9,41.0,777332100,[0 1]
20051221,41.6,46.5,41.6,46.5,683209800,[0 0]
20051222,45.0,50.0,45.0,47.99,747212900,[1 1]
20051223,48.0,48.5,46.5,46.5,43718900,[1 1]
20051226,46.5,48.4,45.5,45.5,7416300,[1 0]
20051227,45.5,45.5,44.0,44.0,320953600,[1 1]
20051228,44.99,45.0,44.0,44.0,351974700,[1 0]
20051229,45.0,45.01,43.5,43.5,317011500,[1 0]
20060102,43.8,43.8,43.0,43.0,2166000,[1 1]
20060103,44.2,46.0,44.0,44.4,426390400,[0 1]
20060104,45.89,48.0,45.89,48.0,209238800,[0 1]
20060105,48.1,49.0,46.2,47.49,361441500,[0 0]
20060106,49.97,49.97,47.0,47.85,339069800,[0 1]
20060109,48.0,48.15,46.6,47.5,108231300,[0 1]
20060110,47.01,49.78,47.0,47.5,570369900,[0 1]
20060111,47.75,47.95,46.9,47.5,75537000,[0 1]
20060112,48.2,48.2,46.01,46.21,153554600,[0 0]
20060113,46.0,47.11,46.0,46.81,492725500,[0 1]
20060116,47.99,49.5,46.7,47.52,477257100,[1 1]
20060117,48.94,49.0,46.0,46.5,443511400,[0 1]
20060118,47.1,48.99,47.0,47.0,735607300,[0 0]
20060119,48.49,49.49,48.4,49.0,328081800,[1 1]
20060120,49.79,51.04,49.02,49.75,798813500,[0 1]
20060123,49.76,51.99,48.01,51.99,703515200,[0 1]
20060124,52.1,58.0,52.0,56.0,1240815600,[0 0]
20060126,56.01,57.8,54.55,57.1,1438387400,[1 0]
20060127,57.2,59.49,57.0,57.69,394963400,[0 0]
20060130,56.0,62.0,56.0,59.3,347095000,[0 0]
20060131,59.36,59.36,55.5,55.5,831224300,[1 1]
20060201,55.55,57.8,55.55,57.01,863687500,[1 0]
20060202,57.0,57.5,55.5,57.0,373918300,[0 1]
20060203,57.0,57.0,55.6,56.21,238089000,[0 1]
20060206,56.0,56.49,55.25,55.25,71239000,[1 0]
20060207,55.0,55.0,51.75,51.76,114310000,[0 0]
20060208,51.0,51.0,50.15,50.75,742441400,[0 0]
20060209,51.3,54.1,51.3,54.1,73819000,[1 0]
20060210,54.5,55.75,53.0,53.0,97062300,[0 1]
20060213,53.15,53.5,52.5,52.5,129747500,[1 0]
20060214,54.05,54.05,50.1,51.0,136746200,[1 0]
20060215,50.04,50.05,48.61,49.15,355146900,[1 1]
20060216,50.49,51.9,50.4,50.51,701446000,[0 0]
20060217,51.49,54.2,51.49,52.0,123991000,[0 1]
20060220,51.99,52.01,51.01,52.0,114046400,[0 1]
20060221,52.25,53.96,51.9,52.35,873205800,[1 0]
20060222,53.39,53.8,52.51,53.0,863407900,[1 1]
20060223,53.0,53.51,52.5,53.0,1780424800,[0 0]
20060224,52.5,53.01,52.0,52.95,2350744700,[1 0]
20060301,52.95,57.5,52.95,55.0,580270800,[1 1]
20060302,54.7,56.9,54.7,56.84,341884500,[0 0]
20060303,56.53,58.0,55.5,58.0,216536200,[0 1]
