date,open,max,min,close,volume,y
20041119,21.96,24.0,21.96,23.9,97118801,[0 0]
20041122,24.0,24.0,22.3,23.47,12925959,[1 1]
20041123,23.48,23.48,23.01,23.15,4570852,[0 0]
20041124,23.01,23.45,22.71,23.3,4478005,[0 1]
20041125,23.46,23.65,23.0,23.62,2967074,[1 0]
20041126,23.6,23.8,23.04,23.3,2151534,[1 0]
20041129,22.9,23.3,22.8,22.85,2380150,[1 0]
20041130,23.0,23.0,22.3,22.32,2046621,[1 0]
20041201,22.2,22.61,22.01,22.6,3813673,[0 1]
20041202,22.6,23.5,22.6,22.66,2521801,[0 1]
20041203,22.3,22.5,22.3,22.49,536250,[0 1]
20041206,22.51,23.65,22.5,23.26,3674502,[1 1]
20041207,23.01,23.6,23.01,23.02,1761264,[0 1]
20041208,23.01,23.68,23.01,23.39,401962,[0 0]
20041209,23.0,23.15,22.61,23.0,857337,[1 0]
20041210,22.51,23.5,22.51,23.2,1031203,[1 0]
20041213,23.25,23.4,23.01,23.01,724547,[1 1]
20041214,23.1,23.45,22.5,23.0,1066671,[0 1]
20041215,22.53,23.05,22.53,23.05,1139785,[1 1]
20041216,22.9,23.0,22.9,23.0,880024,[0 0]
20041217,22.81,23.44,22.81,23.44,653180,[0 0]
20041220,23.2,23.31,23.1,23.1,584899,[1 0]
20041221,22.8,23.39,22.8,23.15,928415,[1 1]
20041222,23.0,23.39,22.82,23.17,1618222,[1 0]
20041223,23.44,23.6,22.7,23.6,2170235,[1 0]
20041227,23.45,23.83,23.45,23.51,1539529,[1 1]
20041228,23.65,24.55,22.85,24.3,2371251,[0 0]
20041229,24.49,24.49,23.9,24.0,1062451,[1 1]
20041230,23.85,24.0,22.91,24.0,525025,[1 0]
20050103,24.0,25.0,24.0,25.0,1449901,[1 1]
20050104,24.3,26.69,24.3,25.0,1717795,[0 1]
20050105,26.0,26.75,25.5,26.5,1414808,[1 0]
20050106,25.59,26.1,25.02,26.0,528187,[1 0]
20050107,26.0,26.2,26.0,26.2,409700,[0 1]
20050110,26.8,26.8,25.01,26.78,487196,[0 0]
20050111,25.75,25.75,25.75,25.75,149350,[0 0]
20050112,25.0,26.05,25.0,26.05,875492,[0 0]
20050113,26.1,26.99,26.0,26.5,885577,[0 1]
20050114,26.48,26.9,26.0,26.9,933291,[1 1]
20050117,26.99,26.99,26.55,26.64,777551,[0 1]
20050118,26.66,26.66,26.0,26.0,302564,[1 0]
20050119,26.0,26.0,25.7,25.7,284200,[0 1]
20050120,25.9,26.0,25.5,25.5,380050,[1 0]
20050121,26.3,26.68,26.3,26.68,108400,[0 0]
20050124,25.5,26.6,25.5,26.6,303190,[0 1]
20050126,26.4,27.0,24.99,27.0,462809,[1 0]
20050127,26.4,27.09,26.4,27.09,974666,[1 0]
20050128,26.5,27.5,26.4,27.5,833314,[0 0]
20050131,28.0,28.0,27.0,27.0,264200,[1 0]
20050201,26.89,27.99,26.22,27.99,428909,[1 1]
20050202,26.5,26.99,26.5,26.99,266551,[0 1]
20050203,26.98,28.01,26.9,28.01,1189054,[0 0]
20050204,28.0,29.0,25.41,29.0,1226718,[0 0]
20050209,29.0,29.0,28.0,29.0,265836,[0 1]
20050210,27.0,28.96,27.0,28.96,182460,[0 1]
20050211,28.7,29.0,27.01,29.0,1563472,[0 0]
20050214,29.5,30.34,29.5,29.71,1061972,[1 0]
20050215,29.55,30.36,29.55,30.3,898327,[1 0]
20050216,30.91,30.91,29.0,29.0,245862,[1 0]
20050217,30.01,30.01,29.41,29.87,790948,[1 0]
20050218,30.0,30.99,29.51,30.2,752780,[1 0]
20050221,30.99,31.0,30.01,30.2,1116385,[0 0]
20050222,31.75,31.75,30.05,30.5,1375075,[1 0]
20050223,31.0,31.39,30.0,31.39,699868,[1 0]
20050224,31.0,33.0,31.0,31.01,3914739,[1 1]
20050225,32.5,32.5,30.71,32.2,1792285,[1 0]
20050228,32.2,32.6,30.71,32.19,566596,[0 1]
20050301,31.5,31.5,30.71,30.71,291834,[1 1]
20050302,30.7,32.0,30.7,31.5,778040,[0 1]
20050303,31.1,32.0,29.52,31.0,1513553,[1 0]
20050304,31.1,31.11,30.0,30.8,1506168,[1 0]
20050307,31.0,31.14,29.52,29.52,1329892,[1 0]
20050308,30.0,30.0,28.48,29.5,982397,[1 0]
20050309,29.5,29.5,28.9,28.9,737321,[1 0]
