date,open,max,min,close,volume,y
20070629,17.6,17.9,17.2,17.35,17361424800,[0 1]
20070702,17.3,17.68,17.06,17.21,1654355700,[1 1]
20070703,17.15,17.44,17.0,17.25,2921816200,[1 1]
20070704,17.15,17.85,17.12,17.8,1381018200,[1 0]
20070705,17.31,18.4,17.31,18.4,3070689500,[0 0]
20070706,18.4,19.25,18.15,19.25,1506481200,[0 0]
20070710,19.25,20.15,18.8,19.5,1845611000,[0 0]
20070711,19.5,19.97,19.5,19.85,1592519300,[1 0]
20070712,19.85,20.0,19.15,19.75,1986935300,[0 0]
20070713,19.74,19.89,19.15,19.6,1022057900,[0 1]
20070716,19.4,19.5,18.95,19.5,769309500,[0 0]
20070717,18.99,19.4,18.83,19.2,622782800,[1 1]
20070718,18.8,19.35,18.4,19.0,1415316400,[0 0]
20070719,18.88,19.2,18.85,18.85,1156261500,[1 0]
20070720,18.75,18.75,18.5,18.65,982433100,[0 0]
20070723,18.15,19.01,18.15,19.01,976063400,[0 0]
20070724,18.75,18.98,18.0,18.98,2466504600,[0 1]
20070725,18.5,18.85,18.31,18.45,806579400,[0 1]
20070726,18.0,18.0,16.66,17.4,3000981500,[1 0]
20070727,17.48,17.5,16.95,17.2,1787521000,[1 0]
20070730,17.9,18.2,17.2,18.2,617547700,[0 1]
20070731,18.1,18.4,17.4,18.2,3814100700,[0 1]
20070801,18.07,18.07,17.06,17.5,1776678500,[1 0]
20070802,18.0,18.09,17.13,17.65,732742100,[0 1]
20070803,17.65,17.79,17.2,17.79,761458100,[0 0]
20070806,17.6,18.25,17.13,17.6,1505605200,[0 0]
20070807,17.6,17.85,16.85,17.49,1441814500,[0 0]
20070808,17.6,18.19,17.26,17.8,4825502800,[1 1]
20070809,17.5,17.75,17.22,17.51,1983273700,[0 1]
20070810,17.37,17.5,16.75,17.5,860526000,[0 0]
20070813,17.6,17.9,17.17,17.5,461230900,[1 1]
20070814,17.45,17.7,16.51,17.05,1235064100,[1 1]
20070815,17.0,17.0,16.3,17.0,1759108400,[1 0]
20070816,16.3,16.4,14.5,14.8,1235467100,[0 1]
20070817,15.8,15.8,13.4,15.01,1569799200,[0 1]
20070820,15.28,15.55,14.8,14.95,1676947400,[0 0]
20070821,14.86,15.0,14.31,14.99,2925089500,[0 0]
20070822,15.45,15.75,15.15,15.7,1409410800,[1 0]
20070823,15.8,15.8,14.9,15.49,1229715000,[0 0]
20070824,15.35,16.5,14.95,16.5,788958600,[1 1]
20070827,16.55,16.55,16.0,16.09,275300300,[1 1]
20070828,15.9,15.9,15.4,15.5,526385200,[1 1]
20070829,15.5,16.28,15.45,16.15,790011100,[0 0]
20070830,15.95,16.39,15.91,16.0,246072400,[0 0]
20070831,15.98,16.9,15.98,16.9,635275300,[1 0]
