date,open,max,min,close,volume,y
20070629,17.5,17.86,17.01,17.3,447532685,[1 0]
20070702,17.35,17.6,17.04,17.35,21681338,[1 1]
20070703,17.15,17.4,16.8,17.3,9959154,[1 1]
20070704,16.55,17.8,16.55,17.8,20381155,[1 1]
20070705,17.8,18.4,17.59,18.4,14704332,[0 0]
20070706,18.25,19.2,18.25,19.2,10940862,[1 1]
20070710,19.25,20.0,18.8,19.31,7016063,[0 0]
20070711,19.7,19.9,19.0,19.46,2988086,[1 0]
20070712,19.37,19.9,19.02,19.71,4909844,[0 0]
20070713,19.4,19.71,19.13,19.13,2790878,[1 0]
20070716,19.05,19.4,18.8,18.9,3777029,[1 0]
20070717,19.0,19.39,18.8,19.02,1940881,[1 0]
20070718,19.0,19.35,18.0,19.11,3320929,[1 0]
20070719,19.0,19.19,18.31,18.99,1428480,[1 0]
20070720,19.0,19.0,18.2,18.2,761055,[0 1]
20070723,18.21,18.75,18.21,18.75,1931631,[0 1]
20070724,18.33,18.75,18.32,18.32,869633,[0 0]
20070725,19.0,19.0,18.0,18.0,158110,[1 0]
20070726,17.64,17.8,16.9,16.9,1163110,[1 1]
20070727,17.0,18.47,16.95,18.47,633254,[1 1]
20070730,17.0,18.0,17.0,18.0,667458,[0 1]
20070731,18.1,18.24,17.4,18.24,1132343,[1 1]
20070801,18.09,18.09,17.2,17.8,1516995,[1 0]
20070802,17.3,18.0,17.2,18.0,566775,[0 1]
20070803,17.5,17.98,17.5,17.98,26730,[0 1]
20070806,17.21,18.25,17.2,18.25,1261758,[0 1]
20070807,17.6,17.6,17.0,17.01,424197,[0 1]
20070808,16.62,18.24,16.62,17.93,804776,[1 0]
20070809,17.3,17.3,17.3,17.3,17300,[1 0]
20070810,17.0,17.0,16.01,16.01,653440,[0 0]
20070813,17.3,18.0,17.3,17.5,507478,[1 1]
20070814,17.6,17.6,15.5,15.5,610739,[1 1]
20070815,16.55,16.55,16.55,16.55,132200,[0 0]
20070816,16.35,16.35,14.8,16.0,754251,[1 1]
20070817,15.35,15.35,13.8,13.9,623845,[1 1]
20070820,15.4,15.5,15.0,15.0,368360,[0 1]
20070821,14.75,14.75,14.0,14.0,128475,[0 1]
20070822,14.58,15.58,14.58,15.3,140204,[1 0]
20070823,15.75,15.75,15.0,15.4,348160,[0 1]
20070824,16.33,16.34,14.95,16.34,370875,[0 0]
20070827,16.35,16.5,16.2,16.42,231902,[1 1]
20070828,15.5,15.9,14.5,14.5,349030,[1 0]
20070829,15.6,15.9,15.03,15.9,298299,[0 0]
20070830,16.15,16.79,15.98,16.0,285518,[1 0]
20070831,16.4,17.0,16.0,17.0,513877,[1 0]
20070903,17.0,17.54,17.0,17.49,683689,[0 1]
20070904,17.25,17.45,17.25,17.25,335660,[0 0]
20070905,17.0,17.0,16.88,16.88,50940,[0 1]
20070906,17.0,17.5,16.9,16.9,222072,[0 0]
20070910,16.4,16.4,16.0,16.0,107130,[0 1]
20070911,16.1,16.45,16.1,16.45,203665,[0 1]
20070912,15.24,16.35,15.24,16.35,15795,[0 1]
