date,open,max,min,close,volume,y
20091119,10.62,10.75,10.6,10.7,2979272100,[1 0]
20091123,10.72,10.99,10.67,10.96,290099600,[1 1]
20091124,11.0,11.12,10.78,10.88,84784600,[1 0]
20091125,10.8,11.05,10.8,10.95,204290400,[1 0]
20091126,10.97,11.15,10.95,11.08,125314000,[0 1]
20091127,11.1,11.35,11.0,11.28,206589800,[0 1]
20091130,11.45,11.45,11.03,11.28,57677300,[1 1]
20091201,11.44,11.5,10.72,11.48,28079600,[0 1]
20091202,11.5,11.5,11.36,11.4,15741800,[0 0]
20091203,11.3,11.35,11.3,11.31,7473700,[0 1]
20091204,11.26,11.39,11.26,11.39,8922600,[1 1]
20091207,11.1,11.3,10.87,10.87,4694900,[0 0]
20091208,11.15,11.25,10.75,11.0,19898900,[0 1]
20091209,11.0,11.15,11.0,11.09,9252900,[0 0]
20091210,11.2,11.31,11.0,11.29,34352600,[0 1]
20091211,11.29,11.29,11.0,11.0,9372200,[1 0]
20091214,11.0,11.25,11.0,11.25,3642900,[0 0]
20091215,10.86,11.2,10.86,11.0,4057700,[1 0]
20091216,11.19,11.19,10.9,10.98,8496300,[0 1]
20091217,10.98,10.98,10.69,10.81,21814600,[1 0]
20091218,10.7,11.09,10.68,11.09,15667000,[1 0]
20091221,11.0,11.29,10.9,11.29,11985700,[0 0]
20091222,11.28,11.3,10.91,11.3,15979000,[0 1]
20091223,11.28,11.3,11.28,11.3,5084100,[0 1]
20091228,11.25,11.25,11.23,11.23,334900,[0 0]
20091229,11.05,11.2,11.0,11.2,16396400,[1 0]
20091230,11.22,11.46,11.0,11.46,18664900,[0 1]
20100104,11.48,11.55,11.3,11.45,8701200,[1 1]
20100105,11.59,11.6,11.25,11.4,19886600,[0 1]
20100106,11.1,11.49,11.1,11.3,12081200,[0 1]
20100107,11.55,11.55,11.35,11.4,11070900,[0 1]
20100108,11.4,11.42,11.4,11.42,1027000,[0 1]
20100111,11.44,11.6,11.3,11.4,6586500,[0 1]
