date,open,max,min,close,volume,y
20091119,10.62,10.79,10.6,10.79,13150312,[1 1]
20091123,10.73,10.95,10.66,10.8,5880607,[0 1]
20091124,10.94,10.96,10.78,10.9,9645974,[1 0]
20091125,10.78,11.05,10.78,10.84,2233212,[1 1]
20091126,10.67,11.15,10.67,11.15,1156539,[0 0]
20091127,10.5,11.32,10.5,11.32,1115635,[0 0]
20091130,11.37,11.39,11.0,11.0,994695,[1 0]
20091201,11.3,11.49,10.53,11.25,728504,[0 0]
20091202,11.43,11.46,11.31,11.4,348095,[0 1]
20091203,11.3,11.35,11.27,11.35,419715,[1 1]
20091204,11.31,11.35,11.0,11.35,116422,[1 0]
20091208,10.8,11.19,10.8,11.19,244234,[0 1]
20091209,11.0,11.1,10.99,11.1,168299,[0 1]
20091210,11.09,11.38,10.84,11.38,665862,[0 1]
20091214,11.0,11.12,10.6,11.12,219148,[1 0]
20091215,11.0,11.12,10.97,11.0,189410,[1 1]
20091216,10.78,11.0,10.78,11.0,300168,[0 1]
20091217,10.75,10.75,10.69,10.69,81250,[0 0]
20091218,10.75,10.99,10.66,10.99,242792,[1 0]
20091221,10.8,11.2,10.8,11.2,408630,[0 0]
20091222,10.76,11.28,10.76,11.28,197136,[0 0]
20091223,11.29,11.29,11.29,11.29,5645,[1 0]
20091229,11.01,11.2,11.0,11.2,194725,[0 0]
20091230,11.0,11.0,11.0,11.0,28600,[1 1]
20100104,11.29,11.45,11.07,11.45,701857,[0 0]
20100105,11.45,11.55,11.27,11.27,629822,[0 0]
20100106,11.4,11.44,11.4,11.44,173584,[1 0]
20100107,11.34,11.37,11.34,11.37,53412,[0 0]
20100108,11.4,11.4,11.39,11.39,6837,[0 0]
20100111,11.31,11.59,11.3,11.59,147481,[1 0]
20100112,11.0,11.0,10.79,10.79,65840,[0 1]
20100113,11.0,11.35,11.0,11.35,113235,[1 0]
20100114,11.5,11.6,11.5,11.59,610149,[0 0]
20100118,11.5,11.55,11.5,11.55,258040,[1 1]
20100119,11.4,11.69,11.4,11.69,232325,[0 0]
20100120,11.5,11.6,11.5,11.5,102543,[1 0]
20100121,11.5,11.5,11.5,11.5,115000,[0 1]
20100126,11.58,11.7,11.48,11.7,214495,[1 0]
20100127,11.7,11.7,11.54,11.55,156377,[1 0]
20100128,11.4,11.4,11.4,11.4,5700,[0 1]
20100129,11.4,11.4,11.4,11.4,5700,[1 0]
20100201,11.4,11.5,11.3,11.3,193800,[1 0]
20100203,11.25,11.25,11.01,11.01,92703,[0 1]
20100208,11.15,11.15,11.15,11.15,16725,[0 0]
20100209,11.0,11.65,10.5,11.0,159305,[1 0]
20100211,11.0,11.0,11.0,11.0,9900,[1 1]
20100212,11.02,11.02,10.51,10.51,55641,[0 0]
20100217,11.2,11.2,11.0,11.0,96120,[1 0]
20100218,11.1,11.2,11.1,11.2,30190,[1 0]
20100219,11.1,11.1,11.1,11.1,88800,[0 1]
20100222,11.1,11.1,11.1,11.1,54390,[1 1]
20100223,11.03,11.03,11.0,11.0,127924,[0 1]
20100224,11.0,11.0,11.0,11.0,33000,[1 0]
20100226,11.15,11.6,11.15,11.6,80130,[0 1]
20100301,10.73,11.99,10.73,11.07,545013,[1 1]
20100302,11.0,11.0,11.0,11.0,1100,[0 1]
20100303,10.95,10.95,10.95,10.95,109500,[1 0]
20100304,10.95,10.95,10.95,10.95,219000,[0 0]
20100308,10.95,11.15,10.51,10.85,2442884,[1 1]
20100311,10.95,10.95,10.95,10.95,54750,[0 1]
20100312,10.75,10.75,10.51,10.51,146502,[0 1]
20100316,10.8,10.8,10.51,10.51,80543,[0 1]
20100317,10.9,10.9,10.9,10.9,56680,[0 0]
20100318,10.95,10.95,10.95,10.95,21900,[1 1]
20100322,10.51,10.6,10.51,10.6,143620,[1 0]
20100323,10.58,10.58,10.51,10.51,107902,[1 1]
20100325,10.6,10.6,10.45,10.45,259506,[1 0]
20100326,10.56,10.56,10.56,10.56,15840,[1 1]
20100329,10.5,10.79,10.5,10.79,32869,[1 0]
20100401,10.35,10.35,10.15,10.15,37965,[0 0]
20100405,10.0,10.0,10.0,10.0,1000,[0 0]
20100406,10.9,10.9,10.9,10.9,26160,[1 1]
20100407,10.25,10.4,10.01,10.01,52215,[0 1]
20100408,10.0,10.0,10.0,10.0,1000,[0 1]
20100409,9.88,10.1,9.8,9.8,644933,[0 1]
20100413,9.9,9.9,9.9,9.9,20790,[0 0]
20100414,9.86,9.86,9.86,9.86,56202,[0 0]
20100419,9.95,9.95,9.95,9.95,215915,[0 1]
20100420,9.9,10.68,9.9,10.68,85064,[1 0]
20100426,10.59,10.59,10.45,10.45,28313,[1 0]
20100507,9.8,9.8,9.8,9.8,8820,[0 1]
20100510,9.98,9.98,9.98,9.98,163672,[0 1]
20100513,10.1,10.88,10.1,10.45,123152,[0 1]
20100519,10.55,10.55,9.01,9.01,27912,[0 1]
20100527,10.0,10.0,10.0,10.0,200000,[0 0]
20100528,9.9,10.0,9.9,10.0,99090,[1 0]
20100531,10.0,10.89,9.8,10.89,100446,[0 0]
20100602,10.35,10.35,10.35,10.35,43470,[1 1]
20100611,10.09,10.09,10.09,10.09,61549,[1 0]
20100617,10.4,10.55,10.35,10.55,2020130,[0 0]
20100621,10.48,10.5,10.48,10.5,36710,[1 1]
20100625,10.5,10.54,10.5,10.54,146010,[0 0]
20100628,10.55,10.86,10.55,10.86,211802,[1 0]
20100630,10.7,10.7,10.7,10.7,46010,[0 1]
20100701,10.29,10.3,10.29,10.3,144136,[0 0]
20100702,10.89,10.9,10.89,10.9,2179,[1 1]
20100707,10.7,10.7,10.7,10.7,17120,[0 1]
20100708,10.65,10.65,9.76,9.76,129031,[0 1]
20100712,10.5,10.5,10.5,10.5,10500,[0 0]
20100713,10.5,10.55,10.5,10.5,149195,[1 1]
20100715,10.11,10.58,10.11,10.58,58778,[0 1]
20100721,11.24,11.5,11.2,11.5,239462,[1 0]
20100722,11.5,11.8,11.5,11.8,116280,[1 0]
20100723,11.75,11.75,11.75,11.75,55225,[0 0]
20100726,12.34,12.34,12.34,12.34,6170,[1 0]
20100727,12.79,12.79,12.61,12.61,59357,[0 0]
20100729,12.0,12.0,12.0,12.0,2400,[0 1]
20100802,11.36,11.36,11.36,11.36,4544,[1 0]
20100805,12.77,12.77,11.98,11.98,17430,[1 1]
20100806,12.0,12.0,12.0,12.0,2400,[0 1]
20100809,11.9,12.3,11.9,12.3,81610,[0 1]
20100816,11.5,12.0,11.5,12.0,4700,[0 1]
20100817,12.05,12.05,12.05,12.05,6025,[1 1]
20100818,12.08,12.08,12.08,12.08,12080,[0 1]
20100823,12.77,12.77,11.65,11.65,42052,[0 1]
20100825,11.3,11.3,11.3,11.3,44070,[0 0]
20100826,11.15,11.15,11.15,11.15,22300,[1 1]
20100831,11.38,11.49,11.38,11.49,26254,[0 1]
20100903,12.42,12.42,12.42,12.42,24840,[1 1]
20100910,12.22,12.22,12.22,12.22,4888,[0 0]
20100915,11.01,12.78,11.01,12.78,254782,[1 1]
20100923,12.25,12.25,12.25,12.25,41650,[1 0]
20100929,11.04,12.48,11.04,12.48,238706,[0 0]
20101005,11.01,12.49,11.01,12.0,126878,[1 0]
20101007,12.75,12.75,12.75,12.75,6375,[0 0]
20101008,12.75,12.75,12.75,12.75,21675,[1 0]
20101013,12.78,13.0,12.26,12.26,55354,[1 0]
20101014,12.3,13.0,12.3,13.0,103880,[1 0]
20101019,13.8,13.9,13.6,13.9,181300,[1 1]
20101027,14.0,14.0,14.0,14.0,112000,[0 0]
20101029,13.0,13.0,13.0,13.0,26000,[0 1]
20101109,13.62,13.68,13.62,13.68,107628,[1 1]
20101111,13.8,14.05,13.8,14.05,134285,[0 1]
20101112,14.31,14.31,14.31,14.31,14310,[1 1]
20101126,13.7,13.7,13.7,13.7,95900,[0 1]
20101129,14.0,14.0,14.0,14.0,98000,[1 1]
20101202,14.25,14.37,14.19,14.37,148104,[0 1]
20101203,14.48,14.48,14.48,14.48,7240,[1 0]
20101209,13.8,14.28,13.8,14.28,141180,[1 0]
20101217,13.0,13.8,13.0,13.8,147140,[0 1]
20101220,13.28,13.28,13.03,13.03,177655,[1 0]
20101221,12.2,12.75,12.2,12.75,122055,[1 0]
20101222,12.56,12.56,12.56,12.56,2512,[0 1]
20101223,12.56,12.6,12.56,12.6,97016,[0 1]
20101229,13.18,13.18,13.18,13.18,13180,[1 0]
20110105,13.18,13.18,13.18,13.18,55356,[0 1]
20110121,13.42,13.42,13.42,13.42,1342,[0 1]
20110128,12.7,12.7,12.7,12.7,99060,[0 1]
20110202,13.4,13.4,13.1,13.1,101090,[1 0]
20110204,12.9,12.9,12.9,12.9,2580,[1 1]
20110207,12.61,13.76,12.61,13.76,93909,[1 1]
20110208,12.91,12.91,12.91,12.91,65841,[0 0]
20110209,12.6,12.6,12.6,12.6,37800,[1 0]
20110210,11.5,11.5,11.0,11.21,5255782,[0 1]
20110211,11.13,11.15,10.2,11.05,18966185,[0 1]
20110214,11.0,11.02,10.9,10.94,12226867,[1 1]
20110215,10.94,10.98,10.87,10.98,2768499,[0 1]
20110216,10.96,11.3,10.94,11.25,3351057,[0 1]
20110217,11.2,11.25,11.05,11.25,606179,[1 1]
20110218,11.25,11.55,11.25,11.55,507255,[0 1]
20110221,11.31,11.36,11.3,11.32,1205942,[0 1]
20110222,11.1,11.47,10.94,10.94,843512,[1 0]
20110223,11.07,11.18,11.07,11.18,271082,[0 0]
20110224,11.13,11.13,10.91,10.91,194617,[1 0]
20110225,11.11,11.2,11.02,11.02,368895,[0 1]
20110228,11.02,11.3,10.65,10.84,300021,[0 1]
20110301,10.79,11.29,10.6,11.29,12979,[1 0]
20110302,10.73,10.73,10.4,10.65,145200,[1 0]
20110303,10.8,11.0,10.79,11.0,206918,[1 1]
20110309,10.52,10.52,10.3,10.5,38372,[1 0]
20110310,10.3,10.3,10.22,10.22,138658,[1 0]
20110311,10.48,10.53,10.48,10.53,84998,[0 1]
20110314,10.53,10.6,10.41,10.41,97273,[0 1]
20110316,10.6,10.98,10.31,10.32,296651,[1 1]
20110317,10.2,10.2,10.2,10.2,27540,[1 0]
20110318,10.28,10.28,10.28,10.28,71960,[1 1]
20110321,10.21,10.4,10.2,10.4,435078,[0 0]
20110322,10.3,10.82,10.3,10.82,249742,[1 1]
20110323,11.0,11.0,10.8,10.8,109200,[0 0]
20110324,10.7,10.7,10.7,10.7,67410,[1 0]
20110328,10.74,11.3,10.5,10.5,113046,[1 0]
