date,open,max,min,close,volume,y
20021030,1.2,1.2,1.2,1.2,120000,[0 1]
20021129,1.0,1.0,1.0,1.0,200000,[1 1]
20021202,1.1,1.2,1.1,1.2,460000,[1 1]
20021204,1.25,1.25,1.25,1.25,250000,[1 1]
20021206,1.3,1.3,1.3,1.3,260000,[0 0]
20021211,1.4,1.4,1.4,1.4,560000,[0 0]
20021213,1.5,1.5,1.5,1.5,300000,[1 0]
20030311,1.9,1.9,1.9,1.9,190000,[0 1]
20030313,2.0,2.0,2.0,2.0,200000,[0 0]
20030324,2.0,2.0,2.0,2.0,200000,[1 0]
20030425,2.0,2.0,2.0,2.0,200000,[0 1]
20030429,2.0,2.0,2.0,2.0,400000,[0 1]
20030505,1.99,1.99,1.99,1.99,199000,[1 1]
20030527,2.0,2.0,2.0,2.0,400000,[0 0]
20030618,2.0,2.0,2.0,2.0,200000,[0 0]
20030129,1.5,1.5,1.5,1.5,150000,[0 0]
20030625,2.0,2.0,2.0,2.0,200000,[0 0]
20030213,1.6,1.6,1.6,1.6,480000,[0 0]
20030211,1.6,1.6,1.6,1.6,320000,[0 1]
20030224,1.8,1.8,1.8,1.8,180000,[1 0]
20030221,1.7,1.7,1.7,1.7,340000,[1 0]
20030218,1.7,1.7,1.7,1.7,510000,[0 1]
20030721,1.99,1.99,1.99,1.99,199000,[1 1]
20030826,1.6,1.6,1.6,1.6,5440000,[1 0]
20030827,1.7,1.7,1.7,1.7,170000,[0 0]
20030828,1.85,1.85,1.85,1.85,185000,[1 1]
20030829,2.0,2.0,2.0,2.0,200000,[1 1]
20030911,2.0,2.0,2.0,2.0,200000,[0 1]
20030929,2.0,2.0,2.0,2.0,200000,[0 0]
20031022,2.0,2.0,2.0,2.0,200000,[0 0]
20031031,2.0,2.0,2.0,2.0,200000,[0 0]
20031118,1.99,1.99,1.99,1.99,199000,[0 0]
20031128,1.99,1.99,1.99,1.99,199000,[0 1]
20031212,1.99,1.99,1.99,1.99,199000,[0 0]
20031229,1.99,1.99,1.99,1.99,199000,[0 1]
20040730,1.1,1.1,1.1,1.1,110000,[0 0]
20040624,1.0,1.0,1.0,1.0,300000,[0 0]
20040623,1.0,1.0,1.0,1.0,200000,[0 0]
20040520,1.46,1.46,1.46,1.46,146000,[0 0]
20040420,1.47,1.47,1.47,1.47,147000,[1 1]
20040316,1.47,1.47,1.47,1.47,147000,[0 1]
20040226,1.99,1.99,1.99,1.99,199000,[0 1]
20040213,1.9,1.9,1.9,1.9,190000,[1 1]
20040105,0.2,0.2,0.2,0.2,3440000,[0 0]
20040713,1.0,1.0,1.0,1.0,100000,[0 0]
20040804,1.1,1.1,1.1,1.1,110000,[1 0]
20040909,1.18,1.18,1.18,1.18,118000,[1 0]
20041004,1.2,1.2,1.2,1.2,120000,[0 0]
20041109,1.2,1.2,1.2,1.2,120000,[0 1]
20041203,1.2,1.2,1.2,1.2,120000,[1 0]
20041222,0.16,0.16,0.14,0.14,9943400,[1 0]
20041228,0.9,0.9,0.9,0.9,99000,[0 1]
20050105,1.0,1.0,1.0,1.0,100000,[1 0]
20050202,1.18,1.18,1.18,1.18,118000,[1 0]
20050222,1.19,1.19,1.19,1.19,11900,[0 0]
20050307,1.19,1.19,1.19,1.19,238000,[1 0]
20050404,1.2,1.2,1.2,1.2,180000,[1 1]
20050504,1.2,1.2,1.2,1.2,240000,[0 1]
20050603,1.2,1.2,1.2,1.2,240000,[1 0]
20050705,1.2,1.2,1.2,1.2,240000,[0 0]
20050804,1.2,1.2,1.2,1.2,240000,[1 0]
20050902,1.19,1.19,1.19,1.19,238000,[1 0]
20051003,1.19,1.19,1.19,1.19,238000,[0 1]
20051101,1.19,1.19,1.19,1.19,238000,[1 1]
20051201,1.19,1.19,1.19,1.19,833000,[0 1]
20060102,1.09,1.09,1.09,1.09,708500,[1 1]
20060206,1.2,1.2,1.2,1.2,600000,[0 0]
20060309,1.19,1.19,1.19,1.19,238000,[0 0]
20060508,1.19,1.19,1.19,1.19,238000,[1 0]
20060602,1.19,1.19,1.19,1.19,238000,[1 1]
20060714,1.2,1.2,1.2,1.2,240000,[1 0]
20060809,1.2,1.2,1.2,1.2,240000,[0 0]
20060911,1.2,1.2,1.2,1.2,240000,[1 0]
20061010,1.2,1.2,1.2,1.2,240000,[0 0]
20061107,1.2,1.2,1.2,1.2,240000,[1 0]
20061204,1.2,1.2,1.2,1.2,240000,[0 1]
20061206,1.2,1.2,1.2,1.2,120000,[1 0]
20070115,1.2,1.2,1.2,1.2,120000,[0 0]
20070123,0.95,0.95,0.95,0.95,95000,[0 1]
20070124,1.02,1.29,1.02,1.29,371500,[1 0]
20070126,1.45,1.7,1.45,1.7,439300,[0 0]
20070129,1.29,1.49,1.29,1.49,293800,[1 0]
20070131,1.5,1.5,1.5,1.5,120000,[0 0]
20070205,1.1,1.1,0.98,0.98,153000,[0 0]
20070208,1.29,1.29,1.29,1.29,25800,[0 0]
20070221,1.49,3.0,1.48,2.02,516000,[0 1]
20070222,3.01,8.5,3.01,6.1,9723200,[1 1]
20070223,6.8,8.0,4.5,4.5,11433500,[0 1]
20070226,4.52,4.52,4.4,4.4,399200,[1 1]
20070227,4.0,4.0,4.0,4.0,40000,[0 0]
20070302,3.16,3.16,2.62,2.62,689600,[1 0]
20070305,3.0,4.5,3.0,4.5,807800,[1 0]
20070307,2.8,2.8,2.35,2.35,608000,[0 1]
20070308,2.83,2.83,2.6,2.6,216800,[1 0]
20070309,2.65,2.65,2.31,2.31,284100,[0 1]
20070312,2.86,3.2,2.31,2.31,83700,[1 0]
20070314,2.26,2.26,2.26,2.26,67800,[0 1]
20070315,1.99,1.99,1.65,1.65,36400,[0 0]
20070321,2.9,4.0,2.9,3.15,4548300,[0 1]
20070322,3.4,4.0,3.25,3.6,8258000,[0 0]
20070323,3.5,3.5,2.75,2.8,1131600,[0 0]
20070326,2.85,2.85,2.81,2.82,283900,[1 0]
