date,open,max,min,close,volume,y
20091008,12.15,12.18,11.6,12.13,2118381600,[0 0]
20091009,12.11,12.4,11.95,12.05,2100955900,[1 1]
20091013,12.3,12.3,12.0,12.05,1611610400,[0 1]
20091014,12.05,12.84,12.05,12.64,2048409800,[0 1]
20091015,12.64,13.09,12.4,13.07,1525087300,[1 0]
20091016,12.8,12.98,12.54,12.75,1679735500,[1 0]
20091019,12.75,13.13,12.5,13.01,2261244300,[0 1]
20091020,12.54,12.75,12.02,12.36,2532045800,[0 0]
20091021,12.33,12.97,12.3,12.85,1325672700,[1 1]
20091022,12.89,13.0,12.66,12.91,1474524600,[0 1]
20091023,13.15,13.2,12.46,12.46,1400080400,[1 0]
20091026,12.5,12.7,12.21,12.59,1895892300,[0 0]
20091027,12.61,12.61,12.08,12.3,1890571700,[1 1]
20091028,12.15,12.4,11.39,11.8,1741281900,[0 1]
20091029,12.05,12.68,11.7,12.59,1058953000,[1 1]
20091030,12.3,12.65,12.02,12.1,899383200,[1 0]
20091103,11.99,12.4,11.53,12.0,1683119100,[1 1]
20091104,12.34,12.56,11.95,12.56,1139913000,[0 0]
20091105,12.39,12.95,12.39,12.95,1436477100,[0 0]
20091106,12.9,12.95,12.43,12.72,855679300,[1 0]
20091109,12.81,13.4,12.77,13.37,1953031700,[0 1]
20091110,13.2,13.58,12.99,13.54,2890943300,[0 1]
20091111,13.6,13.79,13.1,13.21,955616000,[0 1]
20091112,13.15,13.56,12.79,13.1,1991450000,[0 1]
20091113,13.2,13.58,13.0,13.1,1391638000,[1 0]
20091116,13.21,13.78,13.21,13.5,2068685400,[1 0]
20091117,13.36,14.0,13.22,14.0,2502511300,[1 0]
20091118,14.0,14.1,13.6,13.65,1595893000,[0 0]
20091119,13.59,14.04,13.2,13.85,1237603200,[0 1]
20091123,13.96,14.45,13.86,14.0,1876659500,[0 1]
20091124,14.12,14.59,14.11,14.59,2447953700,[1 0]
20091125,14.69,15.26,14.62,15.2,3026167300,[0 0]
20091126,15.19,15.38,14.81,14.95,2128562200,[0 1]
20091127,14.84,15.41,14.75,15.2,1470273600,[1 0]
20091130,15.11,15.47,15.03,15.47,2499177500,[0 0]
20091201,15.55,16.0,15.37,15.45,5059400200,[1 1]
20091202,15.51,15.67,15.06,15.37,1349626000,[0 1]
20091203,15.54,15.57,14.93,15.02,1739725000,[0 1]
20091204,15.02,15.18,14.65,14.65,1680610000,[0 1]
20091207,14.77,15.09,14.65,14.95,1400689700,[0 1]
20091208,14.73,15.02,14.61,14.79,1562056100,[0 1]
20091209,14.8,15.09,14.31,14.6,1758213700,[1 0]
20091210,14.7,15.05,14.6,14.9,4517873700,[0 0]
20091211,15.09,15.18,14.75,14.8,1330065200,[0 0]
20091214,14.86,15.01,14.86,15.0,903020800,[0 0]
20091215,15.01,15.34,14.76,14.92,1352607000,[0 0]
20091216,14.92,15.45,14.8,15.35,2960955200,[0 1]
20091217,15.19,15.3,14.97,14.97,2141642300,[0 1]
20091218,15.05,15.39,14.66,15.0,3718339400,[0 0]
20100106,17.5,18.45,17.06,18.19,4636201100,[1 1]
20100107,17.95,18.33,17.51,18.1,1854504800,[1 0]
20100108,18.09,18.28,17.62,18.14,1890038000,[1 1]
20100111,18.2,18.54,17.79,18.0,3187651500,[0 0]
20100112,17.85,18.9,17.63,18.79,4151458100,[1 0]
20100113,18.9,19.09,17.92,17.99,3758559700,[0 1]
20100114,17.96,18.21,17.21,17.21,3851031000,[1 1]
20100115,17.12,17.51,16.9,17.1,2742984000,[0 0]
20100118,17.11,17.33,16.74,16.74,2443344400,[0 0]
20100119,16.52,17.36,16.4,16.99,3512898800,[1 0]
