date,open,max,min,close,volume,y
20091008,11.95,12.29,11.25,12.01,4604985,[1 0]
20091009,12.11,12.39,11.85,12.32,3817854,[1 1]
20091013,12.33,12.33,11.95,11.95,2791974,[1 0]
20091014,12.0,12.96,12.0,12.55,11279432,[0 1]
20091015,12.58,13.07,12.5,13.07,6796804,[0 0]
20091016,12.99,13.09,12.58,13.09,3590090,[1 0]
20091019,12.75,13.09,12.52,12.9,3534124,[0 1]
20091020,12.7,12.7,12.02,12.35,4185887,[0 0]
20091021,12.4,12.96,12.25,12.94,2880581,[0 1]
20091022,12.84,13.0,12.46,12.74,3158877,[0 1]
20091023,12.9,13.19,12.45,12.47,2449560,[1 0]
20091026,12.45,12.65,12.2,12.65,1891683,[0 1]
20091027,12.42,12.64,12.12,12.21,2532576,[1 1]
20091028,12.15,12.3,11.45,11.47,4939401,[1 0]
20091029,11.5,12.59,11.5,12.58,3400791,[1 1]
20091030,12.37,12.6,12.03,12.38,1722247,[1 0]
20091103,12.13,12.35,11.55,12.34,2524494,[1 0]
20091104,11.81,12.5,11.81,12.07,3066689,[1 1]
20091105,11.83,12.89,11.83,12.78,2890063,[0 0]
20091106,12.83,12.94,12.51,12.76,1752360,[1 1]
20091109,12.7,13.38,12.55,13.38,6962420,[0 1]
20091110,13.0,13.55,13.0,13.55,4093562,[0 1]
20091111,13.55,13.75,13.11,13.53,2490271,[1 1]
20091112,13.22,13.52,12.14,12.14,2299195,[0 1]
20091113,13.25,13.56,12.97,13.13,1724381,[1 1]
20091116,13.11,13.78,13.11,13.5,4176455,[0 1]
20091117,13.33,13.97,13.21,13.9,4486845,[1 0]
20091118,13.99,14.09,13.51,13.98,3944009,[0 0]
20091119,13.95,14.0,13.26,13.94,2830419,[0 1]
20091123,14.04,14.43,13.21,14.05,4387449,[0 1]
20091124,13.6,14.55,13.6,14.55,4934472,[1 1]
20091125,14.5,15.3,14.49,15.2,7979556,[0 0]
20091126,15.15,15.4,14.82,15.01,5695971,[0 1]
20091127,14.41,15.39,14.41,15.3,4717527,[1 1]
20091130,15.25,15.38,15.0,15.23,4204227,[0 0]
20091201,15.4,15.97,15.37,15.37,5733125,[1 1]
20091202,15.3,15.65,15.06,15.47,3324135,[0 1]
20091203,15.4,15.5,14.91,14.95,3643154,[0 1]
20091204,14.9,15.1,14.61,14.75,2259455,[0 1]
20091207,14.77,15.09,14.62,14.96,2892563,[0 0]
20091208,14.52,15.0,14.4,14.98,2531747,[0 1]
20091209,14.62,14.97,14.38,14.53,2524390,[1 1]
20091210,14.99,15.09,14.69,14.98,1943505,[0 1]
20091211,14.87,15.29,14.76,14.81,1412226,[1 0]
20091214,14.77,15.0,14.77,14.99,2133732,[0 0]
20091215,14.96,15.48,14.64,15.0,1980627,[1 0]
