date,open,max,min,close,volume,y
20010403,2.0,2.0,2.0,2.0,600000,[0 1]
20010829,2.0,2.0,2.0,2.0,400000,[0 1]
20021031,2.01,2.01,2.01,2.01,12663000,[0 0]
20030110,1.5,1.5,1.5,1.5,150000,[0 0]
20030115,1.99,1.99,1.99,1.99,597000,[0 1]
20030124,1.5,1.5,1.5,1.5,1050000,[1 1]
20031001,1.21,1.21,1.21,1.21,121000,[1 1]
20031126,1.21,1.21,1.21,1.21,363000,[1 1]
20041210,1.01,1.01,1.01,1.01,10100,[1 1]
20041215,1.0,1.0,1.0,1.0,100000,[1 0]
20041217,1.1,1.16,1.1,1.15,8471500,[0 1]
20041220,1.16,1.16,1.16,1.16,116000,[0 0]
20041227,1.5,1.5,1.5,1.5,150000,[0 1]
20041230,2.01,2.01,2.01,2.01,20100,[1 0]
20050105,2.25,3.0,2.25,3.0,1646500,[0 0]
20050106,3.49,5.3,3.49,5.3,1733000,[0 0]
20050107,6.22,6.22,5.1,6.0,1409400,[1 1]
20050110,6.5,8.0,6.4,6.4,4650800,[1 0]
20050111,7.0,7.0,6.5,6.5,790000,[0 1]
20050112,6.55,6.55,6.55,6.55,1965000,[0 0]
20050113,6.2,6.2,6.2,6.2,620000,[0 1]
20050114,4.0,4.0,4.0,4.0,1360000,[0 0]
20050117,5.02,5.02,5.0,5.0,150200,[1 1]
20050120,5.0,5.0,5.0,5.0,50000,[1 0]
20050126,4.98,5.0,4.98,5.0,6275000,[1 1]
20050127,6.0,6.0,5.0,5.0,110000,[0 0]
20050128,6.0,6.0,5.0,6.0,2370000,[0 0]
20050131,6.0,6.5,6.0,6.5,1875000,[0 0]
20050201,6.4,6.4,6.4,6.4,64000,[0 1]
20050202,6.0,6.0,6.0,6.0,1800000,[0 1]
20050204,6.0,6.0,6.0,6.0,1200000,[1 0]
20050211,6.0,6.0,6.0,6.0,600000,[0 0]
20050214,5.5,5.5,5.5,5.5,1320000,[1 0]
20050217,6.0,6.0,6.0,6.0,60000,[1 0]
20050218,6.0,7.5,6.0,7.5,2500000,[0 1]
20050221,8.5,8.5,7.8,7.8,553000,[1 1]
20050223,7.5,7.5,7.5,7.5,975000,[0 0]
20050224,7.2,7.5,7.2,7.5,1644000,[1 0]
20050225,7.5,7.8,7.5,7.8,2065000,[1 0]
20050228,7.5,7.5,7.5,7.5,525000,[1 0]
20050302,7.5,7.5,7.5,7.5,1500000,[1 0]
20050303,7.5,7.5,7.5,7.5,1500000,[0 0]
20050304,8.1,8.1,8.1,8.1,81000,[1 0]
20050307,7.5,7.5,7.5,7.5,1500000,[0 1]
20050308,7.5,7.5,7.5,7.5,2550000,[0 0]
20050309,7.5,7.8,7.5,7.8,1428000,[0 1]
20050311,7.1,8.0,7.1,8.0,995000,[0 0]
