date,open,max,min,close,volume,y
19980317,0.37,0.39,0.37,0.39,27580000,[0 0]
19980318,0.39,0.4,0.39,0.39,15010000,[0 1]
19980319,0.37,0.38,0.37,0.37,1860000,[0 0]
19980320,0.38,0.38,0.37,0.37,6730000,[1 1]
19980323,0.37,0.39,0.37,0.39,6490000,[1 1]
19980324,0.4,0.42,0.39,0.39,19190000,[1 0]
19980325,0.39,0.39,0.39,0.39,1950000,[0 0]
19980327,0.4,0.4,0.39,0.4,10390000,[0 1]
19980330,0.4,0.43,0.4,0.41,38240000,[0 0]
19980331,0.42,0.44,0.42,0.43,143940000,[1 0]
19980401,0.44,0.5,0.44,0.49,150050000,[1 0]
19980402,0.52,0.55,0.5,0.53,119360000,[0 1]
19980403,0.53,0.53,0.49,0.52,65500000,[0 0]
19980406,0.53,0.54,0.5,0.5,9850000,[1 0]
19980407,0.51,0.52,0.48,0.49,28590000,[0 0]
19980408,0.52,0.52,0.48,0.48,4990000,[0 0]
19980413,0.51,0.53,0.49,0.53,21150000,[0 0]
19980414,0.54,0.54,0.5,0.5,30530000,[1 1]
19980415,0.51,0.51,0.49,0.49,3530000,[0 1]
19980416,0.5,0.5,0.49,0.5,8390000,[0 0]
19980417,0.48,0.5,0.48,0.49,16120000,[0 0]
19980420,0.5,0.5,0.49,0.5,6400000,[0 1]
19980422,0.5,0.5,0.5,0.5,30000000,[0 1]
19980423,0.5,0.5,0.5,0.5,4500000,[1 0]
19980424,0.49,0.51,0.48,0.51,4840000,[0 0]
19980427,0.48,0.49,0.48,0.48,21170000,[0 1]
19980428,0.49,0.49,0.48,0.48,24490000,[0 0]
19980429,0.48,0.49,0.48,0.49,3400000,[1 0]
19980430,0.48,0.48,0.48,0.48,1440000,[1 0]
19980504,0.5,0.5,0.48,0.48,5480000,[0 0]
19980506,0.48,0.48,0.48,0.48,960000,[0 0]
19980507,0.48,0.48,0.48,0.48,2400000,[1 0]
19980508,0.46,0.46,0.46,0.46,460000,[0 1]
19980512,0.44,0.44,0.44,0.44,440000,[0 1]
19980513,0.43,0.43,0.4,0.4,5830000,[1 0]
19980514,0.4,0.43,0.4,0.41,13570000,[0 0]
19980515,0.41,0.42,0.41,0.42,9220000,[0 0]
19980518,0.44,0.5,0.41,0.42,14100000,[1 0]
19980519,0.45,0.46,0.44,0.44,12330000,[0 0]
19980520,0.44,0.44,0.44,0.44,1760000,[0 1]
19980521,0.43,0.45,0.43,0.44,2630000,[0 0]
19980522,0.42,0.43,0.42,0.43,2130000,[0 1]
19980526,0.42,0.42,0.41,0.41,12510000,[0 0]
19980527,0.39,0.39,0.39,0.39,1560000,[0 0]
19980528,0.41,0.41,0.41,0.41,5330000,[0 0]
19980529,0.4,0.4,0.4,0.4,18400000,[0 0]
19980601,0.41,0.41,0.41,0.41,820000,[0 0]
19980602,0.42,0.42,0.42,0.42,3360000,[0 1]
19980603,0.42,0.42,0.42,0.42,11340000,[0 0]
19980605,0.42,0.42,0.39,0.39,4840000,[1 0]
19980608,0.4,0.4,0.37,0.37,5280000,[0 0]
19980609,0.37,0.37,0.37,0.37,4440000,[0 0]
19980610,0.38,0.38,0.38,0.38,5700000,[0 1]
19980612,0.36,0.36,0.36,0.36,360000,[1 0]
19980615,0.35,0.35,0.35,0.35,1050000,[0 0]
19980617,0.37,0.37,0.37,0.37,2220000,[1 0]
19980619,0.36,0.36,0.36,0.36,3240000,[0 1]
19980622,0.37,0.37,0.37,0.37,370000,[0 1]
19980623,0.37,0.37,0.36,0.36,730000,[0 0]
19980624,0.33,0.36,0.33,0.36,4290000,[1 1]
19980626,0.36,0.36,0.36,0.36,360000,[1 1]
19980629,0.34,0.34,0.34,0.34,340000,[0 0]
19980630,0.33,0.33,0.33,0.33,2640000,[0 0]
19980702,0.34,0.34,0.34,0.34,340000,[1 0]
19980707,0.34,0.34,0.34,0.34,1700000,[1 1]
19980710,0.34,0.35,0.34,0.34,4450000,[0 0]
19980713,0.36,0.36,0.36,0.36,2160000,[0 0]
19980714,0.36,0.36,0.36,0.36,360000,[1 1]
19980715,0.41,0.41,0.4,0.4,2850000,[0 0]
19980716,0.4,0.43,0.4,0.43,6330000,[1 0]
19980720,0.42,0.42,0.42,0.42,1260000,[0 0]
19980721,0.42,0.42,0.4,0.4,2060000,[0 1]
19980722,0.38,0.39,0.36,0.39,15120000,[0 1]
19980723,0.37,0.39,0.37,0.37,3380000,[1 0]
19980724,0.37,0.37,0.37,0.37,1480000,[0 0]
19980806,0.36,0.39,0.36,0.39,3350000,[1 1]
19980807,0.42,0.42,0.36,0.36,6620000,[0 0]
19980810,0.36,0.36,0.36,0.36,3600000,[0 0]
19980812,0.34,0.34,0.34,0.34,1700000,[0 0]
19980817,0.32,0.32,0.32,0.32,4800000,[0 0]
19980819,0.35,0.35,0.34,0.34,4800000,[0 1]
19980820,0.34,0.34,0.31,0.32,9320000,[0 0]
19980821,0.32,0.32,0.3,0.3,15580000,[0 0]
19980824,0.29,0.29,0.29,0.29,580000,[1 0]
19980825,0.3,0.3,0.3,0.3,15600000,[1 1]
19980826,0.3,0.3,0.3,0.3,9300000,[1 0]
19980827,0.29,0.29,0.28,0.28,850000,[1 1]
19980828,0.29,0.29,0.27,0.28,4480000,[0 0]
19980831,0.27,0.27,0.27,0.27,1080000,[0 0]
19980901,0.26,0.27,0.26,0.27,41370000,[1 1]
19980902,0.26,0.26,0.26,0.26,5720000,[0 0]
19980903,0.24,0.24,0.24,0.24,480000,[1 0]
19980904,0.23,0.23,0.21,0.22,4750000,[1 1]
19980908,0.22,0.22,0.22,0.22,5940000,[0 1]
19980909,0.2,0.21,0.2,0.21,1250000,[0 0]
19980910,0.19,0.19,0.19,0.19,3230000,[1 1]
19980911,0.22,0.24,0.22,0.24,460000,[0 0]
19980914,0.24,0.24,0.24,0.24,2640000,[0 0]
19980915,0.24,0.26,0.22,0.22,2760000,[0 1]
19980916,0.23,0.23,0.22,0.23,4220000,[1 1]
19980917,0.23,0.23,0.23,0.23,6900000,[1 0]
19980918,0.23,0.23,0.23,0.23,690000,[0 0]
19980921,0.23,0.23,0.22,0.22,4410000,[1 1]
19980922,0.22,0.22,0.22,0.22,9020000,[0 0]
19980923,0.22,0.22,0.21,0.22,18210000,[1 0]
19980924,0.22,0.22,0.2,0.2,6830000,[0 0]
19980925,0.2,0.22,0.2,0.21,41130000,[1 0]
19980928,0.22,0.22,0.22,0.22,15180000,[0 0]
19980929,0.21,0.22,0.2,0.22,7820000,[0 0]
19980930,0.22,0.23,0.21,0.22,6610000,[0 1]
19981001,0.21,0.21,0.2,0.2,47060000,[0 0]
19981002,0.22,0.22,0.21,0.22,15700000,[0 0]
19981005,0.22,0.22,0.22,0.22,1760000,[0 0]
19981007,0.23,0.23,0.21,0.21,5070000,[0 0]
19981008,0.21,0.22,0.21,0.22,4860000,[0 1]
19981009,0.21,0.22,0.21,0.22,8010000,[1 1]
19981013,0.23,0.23,0.23,0.23,920000,[1 0]
19981014,0.24,0.24,0.22,0.23,1140000,[1 1]
19981015,0.22,0.23,0.22,0.23,3350000,[0 1]
19981016,0.24,0.24,0.24,0.24,240000,[0 1]
19981019,0.24,0.25,0.24,0.25,1740000,[0 0]
19981020,0.26,0.26,0.26,0.26,520000,[0 1]
19981021,0.27,0.27,0.27,0.27,810000,[0 1]
19981022,0.26,0.26,0.26,0.26,2600000,[0 0]
19981023,0.26,0.26,0.26,0.26,1300000,[0 0]
19981026,0.26,0.26,0.26,0.26,260000,[0 1]
19981027,0.26,0.26,0.24,0.24,3770000,[0 0]
19981028,0.25,0.25,0.25,0.25,4500000,[1 0]
19981029,0.24,0.24,0.24,0.24,1680000,[0 1]
19981030,0.26,0.26,0.25,0.25,1510000,[0 0]
19981103,0.26,0.26,0.26,0.26,520000,[0 0]
19981104,0.26,0.26,0.26,0.26,1300000,[1 0]
19981105,0.26,0.26,0.26,0.26,1300000,[0 1]
19981106,0.27,0.27,0.25,0.25,8380000,[1 0]
19981109,0.26,0.26,0.25,0.25,1760000,[0 1]
19981110,0.26,0.26,0.26,0.26,520000,[0 0]
19981111,0.28,0.28,0.27,0.27,1640000,[0 0]
19981112,0.27,0.27,0.26,0.26,2940000,[0 0]
19981113,0.26,0.26,0.26,0.26,10660000,[0 1]
19981116,0.27,0.27,0.27,0.27,270000,[1 0]
19981117,0.27,0.27,0.27,0.27,540000,[1 1]
19981118,0.27,0.28,0.27,0.27,1910000,[1 1]
19981119,0.27,0.27,0.27,0.27,7290000,[0 1]
19981120,0.27,0.27,0.27,0.27,5670000,[1 0]
19981123,0.28,0.28,0.28,0.28,840000,[1 0]
19981124,0.28,0.28,0.28,0.28,3640000,[0 1]
19981125,0.29,0.32,0.29,0.32,11530000,[0 0]
19981127,0.32,0.34,0.32,0.33,5150000,[0 0]
19981204,0.3,0.3,0.29,0.29,3250000,[0 0]
19981207,0.29,0.29,0.29,0.29,290000,[1 0]
19981208,0.29,0.29,0.28,0.28,4890000,[1 0]
19981209,0.29,0.32,0.29,0.32,89180000,[1 0]
19981210,0.32,0.33,0.32,0.33,32100000,[0 0]
19981211,0.32,0.32,0.32,0.32,32000000,[0 1]
19981214,0.28,0.32,0.28,0.32,880000,[0 0]
19981215,0.32,0.32,0.32,0.32,39360000,[1 0]
19981217,0.32,0.32,0.32,0.32,12800000,[0 0]
19981221,0.32,0.32,0.32,0.32,960000,[1 0]
19981222,0.32,0.32,0.31,0.31,22600000,[0 0]
19981223,0.31,0.31,0.31,0.31,18910000,[1 0]
19981228,0.32,0.32,0.31,0.31,7760000,[0 1]
19981229,0.31,0.31,0.31,0.31,310000,[0 1]
19981230,0.31,0.35,0.31,0.35,1970000,[0 1]
19990105,0.34,0.34,0.34,0.34,340000,[1 1]
19990106,0.34,0.34,0.32,0.32,1300000,[1 0]
19990111,0.3,0.31,0.3,0.31,910000,[1 0]
19990112,0.3,0.31,0.3,0.31,1810000,[0 0]
19990113,0.3,0.34,0.3,0.32,7680000,[0 0]
19990114,0.32,0.33,0.32,0.32,6770000,[0 0]
19990115,0.33,0.4,0.33,0.37,39440000,[0 1]
19990118,0.38,0.39,0.38,0.39,13640000,[0 1]
19990119,0.39,0.4,0.39,0.4,3910000,[0 1]
19990120,0.39,0.4,0.39,0.39,19120000,[0 1]
19990121,0.38,0.41,0.37,0.41,14330000,[1 1]
19990122,0.41,0.42,0.4,0.42,12100000,[0 1]
19990126,0.44,0.46,0.42,0.42,48260000,[0 0]
19990208,0.39,0.4,0.39,0.4,9460000,[1 0]
19990209,0.4,0.4,0.4,0.4,2400000,[1 1]
19990210,0.4,0.4,0.4,0.4,4000000,[0 1]
19990211,0.42,0.42,0.42,0.42,52920000,[0 1]
19990212,0.41,0.43,0.41,0.43,5140000,[0 1]
19990217,0.44,0.45,0.41,0.42,2140000,[0 1]
19990218,0.43,0.43,0.42,0.42,46860000,[1 0]
19990219,0.44,0.44,0.44,0.44,7040000,[0 1]
19990222,0.44,0.44,0.44,0.44,440000,[1 1]
