date,open,max,min,close,volume,y
20061122,12.69,12.69,11.8,11.8,116085895,[0 0]
20061123,11.95,12.0,11.11,11.23,21436266,[1 1]
20061124,11.4,11.4,10.71,11.05,11676805,[1 0]
20061127,11.1,11.81,11.0,11.8,6864769,[0 1]
20061128,11.88,12.35,11.55,12.35,13105860,[0 0]
20061129,12.39,12.6,12.24,12.37,17790906,[0 1]
20061130,12.55,12.58,12.04,12.1,6309418,[0 0]
20061201,12.2,12.29,11.8,11.87,4425831,[0 0]
20061204,12.0,12.09,11.85,11.9,2647662,[1 1]
20061205,12.0,12.1,11.8,11.8,3385442,[0 1]
20061206,11.8,11.84,11.5,11.74,3589852,[1 0]
20061207,11.75,11.85,11.5,11.5,1620099,[1 1]
20061208,11.7,11.7,11.17,11.6,4166321,[1 1]
20061211,11.54,11.7,11.3,11.3,2714160,[1 1]
20061212,11.6,11.6,11.05,11.27,2367664,[0 0]
20061213,11.1,11.1,10.8,10.9,4032581,[1 0]
20061214,10.8,11.05,10.8,10.85,2190618,[0 1]
20061215,11.01,11.29,11.0,11.0,2200364,[0 1]
20061218,11.3,11.3,11.0,11.21,2187582,[1 1]
20061219,11.14,11.14,10.9,11.05,1123972,[0 0]
20061220,11.19,11.21,11.01,11.14,2272636,[0 1]
20061221,11.26,11.39,11.0,11.27,2140433,[0 1]
20061222,11.45,11.45,11.0,11.0,494020,[0 0]
20061226,11.3,11.6,11.0,11.5,2347900,[1 1]
20061227,11.55,11.63,11.31,11.63,1317048,[1 0]
20061228,11.65,11.87,11.01,11.66,2502024,[0 0]
20070102,11.9,12.22,11.9,12.15,6085027,[0 0]
20070103,12.15,12.64,12.1,12.3,14251071,[1 0]
20070104,12.4,12.6,12.31,12.4,8456597,[1 1]
20070105,12.4,12.6,12.0,12.0,3365758,[0 0]
20070108,12.0,12.17,11.85,11.86,2004695,[0 1]
20070109,12.12,12.25,11.86,12.0,1249978,[0 1]
20070110,12.0,12.0,11.81,12.0,925267,[0 1]
20070111,12.0,12.0,11.7,11.7,798299,[0 1]
20070112,11.75,12.2,11.75,11.82,1406874,[0 0]
20070115,11.92,12.0,11.8,11.8,894381,[0 1]
20070116,11.95,12.04,11.82,11.93,1292926,[1 0]
20070117,11.9,11.99,11.82,11.99,847802,[1 0]
20070118,11.99,12.06,11.88,12.0,2697966,[0 0]
20070119,11.95,12.0,11.53,12.0,1815680,[0 0]
20070122,12.0,12.0,11.41,11.85,1036581,[1 1]
20070123,11.55,11.75,11.4,11.5,1498397,[0 1]
20070124,11.51,12.02,11.51,11.68,2371155,[0 0]
20070126,11.99,11.99,11.5,11.5,974002,[0 1]
20070129,12.01,12.01,11.52,11.97,2159072,[0 1]
20070130,12.0,12.0,11.75,11.9,1329776,[0 0]
20070131,11.95,11.98,11.69,11.7,1188759,[0 0]
20070201,12.0,12.0,11.73,11.74,1089332,[1 1]
20070202,11.75,11.9,11.75,11.88,1180147,[1 0]
20070205,11.95,12.0,11.72,11.9,1332984,[0 1]
20070206,11.95,11.98,11.81,11.86,1497259,[1 0]
20070207,11.9,11.95,11.7,11.7,1029341,[1 0]
20070208,11.9,11.9,11.6,11.7,781003,[1 0]
20070209,11.79,11.79,11.59,11.6,828701,[1 0]
20070212,11.7,11.75,11.51,11.51,1418632,[0 0]
20070213,11.7,11.7,11.5,11.6,1397558,[0 0]
20070214,11.7,11.7,11.41,11.43,617672,[0 1]
20070215,11.58,11.65,11.45,11.51,1142217,[1 0]
20070216,11.6,11.7,11.4,11.6,1132137,[0 1]
20070221,11.67,12.0,11.38,11.5,778253,[1 1]
20070222,11.5,11.56,11.4,11.49,1601135,[1 0]
20070223,11.85,11.85,11.39,11.4,778183,[0 1]
20070226,11.39,11.5,11.39,11.44,703503,[1 0]
20070227,11.49,11.49,11.07,11.1,1795439,[0 0]
20070228,11.18,11.29,11.1,11.25,1402604,[1 0]
20070301,11.24,11.34,10.96,11.05,1084295,[0 0]
20070302,11.15,11.45,11.15,11.15,977023,[0 0]
20070305,11.2,11.2,10.75,11.13,1598737,[0 1]
20070306,11.13,11.49,11.11,11.4,1325559,[1 1]
20070307,11.5,11.5,10.8,10.8,976561,[0 1]
20070308,11.0,11.0,10.62,10.63,1489020,[1 0]
20070309,10.89,11.29,10.55,10.56,1241854,[1 0]
20070312,11.0,11.0,10.5,10.6,1399230,[0 0]
20070313,10.6,10.74,9.5,9.5,1064173,[1 0]
20070314,10.0,10.06,9.8,10.06,1085845,[1 1]
20070315,10.2,10.2,9.81,9.85,751024,[1 1]
20070316,10.0,10.03,9.5,9.5,892639,[1 0]
20070319,9.6,9.6,9.15,9.28,1229737,[0 1]
20070320,9.25,9.29,8.95,9.1,1347724,[0 0]
20070321,9.01,9.3,8.85,9.01,1495932,[1 0]
20070322,9.5,9.5,8.75,8.75,1295135,[0 1]
20070323,8.85,9.1,8.73,9.1,822605,[0 0]
20070326,9.19,9.56,9.19,9.53,824598,[1 0]
20070327,9.75,10.19,9.65,10.1,2091543,[0 0]
20070328,10.05,10.35,9.84,9.84,1544148,[0 0]
20070329,9.98,10.01,9.4,9.41,825728,[1 0]
20070330,9.59,9.59,9.16,9.3,931568,[0 1]
20070402,9.24,9.5,9.11,9.15,578178,[1 0]
20070403,9.5,9.5,9.25,9.38,433180,[0 0]
20070404,9.32,9.35,9.2,9.2,650363,[0 0]
20070405,9.39,9.5,9.2,9.5,554872,[1 0]
20070409,9.5,9.5,9.35,9.35,485488,[1 0]
20070410,9.29,9.29,9.05,9.14,619887,[1 1]
