date,open,max,min,close,volume,y
20100401,9.5,9.68,9.3,9.5,7808833200,[1 0]
20100405,9.5,9.57,9.5,9.51,2953184100,[1 0]
20100406,9.47,9.53,9.4,9.5,2455166400,[0 1]
20100407,9.5,9.68,9.45,9.52,2451705100,[1 1]
20100408,9.54,9.55,9.49,9.5,2654966200,[0 0]
20100409,9.57,9.57,9.48,9.5,1745451800,[1 1]
20100412,9.53,9.58,9.47,9.55,1725551300,[0 0]
20100413,9.55,9.75,9.52,9.75,1361820000,[1 0]
20100414,9.78,9.95,9.61,9.89,1814882700,[0 0]
20100415,9.66,9.96,9.66,9.84,755309700,[1 1]
20100416,9.89,9.89,9.7,9.7,607569700,[0 0]
20100419,9.63,9.85,9.6,9.85,321285500,[0 0]
20100420,9.73,9.9,9.67,9.87,723444000,[1 0]
20100422,9.85,9.85,9.7,9.8,1122246500,[1 1]
20100423,9.85,9.87,9.67,9.78,463292200,[0 0]
20100426,9.78,9.84,9.75,9.8,681904300,[0 0]
20100427,9.74,9.75,9.55,9.55,682479100,[0 1]
20100428,9.57,9.75,9.45,9.55,889291600,[0 0]
20100429,9.6,9.66,9.5,9.5,248025100,[1 1]
20100430,9.49,9.6,9.44,9.6,1079581500,[1 1]
20100503,9.65,9.94,9.52,9.89,616280400,[0 1]
20100504,9.71,10.19,9.61,9.81,1768644600,[0 1]
20100505,9.8,9.8,9.6,9.7,853140200,[0 1]
20100506,9.79,9.79,8.93,9.68,1855616300,[1 0]
20100507,9.65,9.65,9.1,9.44,703459300,[0 1]
20100510,9.72,9.77,9.35,9.5,548152000,[1 1]
20100511,9.49,9.53,9.01,9.15,2288847500,[1 0]
20100512,9.27,9.4,9.2,9.4,1536795400,[0 0]
20100513,9.48,9.54,9.36,9.5,462550700,[0 1]
20100514,9.48,9.5,9.06,9.3,750552400,[1 1]
20100517,9.43,9.54,9.08,9.17,360107900,[0 0]
20100518,9.34,9.34,9.01,9.09,490765200,[1 0]
20100519,9.0,9.24,8.7,8.95,734865600,[0 1]
20100520,8.91,8.91,8.27,8.49,1086811400,[1 0]
20100521,8.53,8.7,8.31,8.7,1771881900,[0 0]
20100524,8.95,8.95,8.32,8.5,1124459800,[1 0]
20100525,8.16,8.4,8.16,8.3,704587400,[1 0]
20100526,8.39,8.8,8.37,8.49,1411770400,[1 1]
20100527,8.7,8.93,8.51,8.93,1278268300,[1 0]
20100528,8.95,9.19,8.62,9.19,378052100,[0 1]
20100531,9.23,9.49,8.85,9.49,300414600,[1 1]
20100601,9.28,9.44,9.1,9.35,447585800,[1 0]
20100602,9.38,9.44,9.18,9.39,261884000,[0 1]
20100604,9.16,9.42,8.75,9.14,1013417800,[1 0]
20100607,8.97,9.19,8.97,9.19,143593700,[0 0]
20100608,9.23,9.23,8.74,9.0,1391690100,[0 0]
