date,open,max,min,close,volume,y
20100401,9.5,9.78,9.49,9.49,15224917,[1 0]
20100405,9.49,9.55,9.49,9.54,9111859,[1 0]
20100406,9.46,9.55,9.45,9.47,5310510,[0 1]
20100407,9.5,9.68,9.45,9.62,10310745,[1 1]
20100408,9.54,9.54,9.44,9.53,1623852,[0 0]
20100409,9.51,9.56,9.48,9.49,14561699,[0 1]
20100412,9.51,9.59,9.46,9.59,6682141,[1 1]
20100413,9.49,9.75,9.49,9.75,3416164,[1 0]
20100414,9.72,9.95,9.65,9.94,2041509,[0 1]
20100415,9.86,9.9,9.78,9.8,1610896,[0 1]
20100416,9.89,9.89,9.72,9.77,1168244,[1 0]
20100419,9.63,9.7,9.51,9.7,381946,[1 0]
20100420,9.75,9.87,9.52,9.73,723939,[1 0]
20100422,9.71,9.85,9.71,9.81,453435,[1 1]
20100423,9.8,9.82,9.68,9.82,566904,[0 1]
20100426,9.82,9.85,9.76,9.85,1104266,[1 0]
20100427,9.76,9.76,9.6,9.69,753650,[0 1]
20100428,9.56,9.73,9.45,9.45,1050522,[0 1]
20100429,9.62,9.62,9.52,9.6,114867,[0 1]
20100430,9.45,9.8,9.45,9.45,63631,[1 0]
20100503,9.6,9.91,9.52,9.79,1144018,[1 1]
20100504,9.69,10.19,9.69,9.89,1503642,[0 1]
20100505,9.62,9.71,9.62,9.67,684128,[0 1]
20100506,9.5,9.79,9.0,9.79,701651,[1 0]
20100507,9.28,9.28,9.21,9.21,92695,[0 1]
20100510,9.65,9.75,9.5,9.5,627038,[0 1]
20100511,9.39,9.39,9.08,9.09,301088,[1 0]
20100512,9.33,9.39,9.25,9.36,673743,[1 0]
20100513,9.42,9.8,9.42,9.8,203002,[0 0]
20100514,9.4,9.4,9.0,9.0,141160,[1 0]
20100517,9.34,9.34,9.13,9.21,833745,[1 0]
20100518,9.34,9.34,9.05,9.25,494196,[1 0]
20100519,9.01,9.01,8.77,8.83,583068,[0 1]
20100520,8.76,8.8,8.38,8.47,559066,[1 0]
20100521,8.59,8.59,8.35,8.55,755206,[0 0]
20100524,8.43,8.43,8.35,8.4,107070,[1 1]
20100525,8.21,8.8,8.2,8.8,135035,[1 0]
20100526,8.79,8.79,8.26,8.6,316910,[1 0]
20100527,8.79,8.8,8.64,8.8,170707,[1 1]
20100528,8.78,9.1,8.78,9.1,77004,[0 1]
20100531,9.1,9.15,8.72,8.72,191738,[0 1]
20100601,9.17,9.4,9.17,9.37,177611,[1 0]
20100602,9.43,9.45,9.32,9.45,308255,[0 1]
20100604,9.07,9.07,8.8,8.8,145951,[1 1]
20100607,9.0,9.0,8.99,8.99,7194,[0 1]
20100608,9.19,9.19,8.8,8.8,182294,[0 0]
20100609,9.0,9.0,9.0,9.0,134100,[0 1]
20100610,9.34,9.59,9.0,9.59,288477,[0 0]
20100611,9.36,9.36,9.36,9.36,24336,[0 1]
20100614,9.3,9.3,9.2,9.2,112781,[0 1]
20100615,9.49,9.5,9.2,9.5,134605,[0 1]
20100616,9.28,9.57,9.28,9.46,256364,[1 1]
20100617,9.57,9.8,9.01,9.8,752918,[1 0]
20100618,9.79,10.14,9.79,9.94,1079517,[0 1]
20100621,10.0,10.02,9.5,9.5,332259,[1 1]
20100622,9.7,9.9,9.7,9.9,241873,[0 0]
20100623,9.51,9.51,9.51,9.51,40878,[0 1]
20100624,9.55,9.55,9.05,9.4,257780,[0 1]
20100625,9.48,9.5,9.23,9.23,179854,[1 1]
20100628,9.7,9.8,9.69,9.72,463963,[0 0]
20100629,9.45,10.1,9.22,10.03,930597,[0 1]
20100630,9.9,10.0,9.46,9.7,462248,[1 0]
20100701,9.8,10.1,9.51,10.1,906632,[0 1]
