date,open,max,min,close,volume,y
20070830,25.25,25.98,24.3,24.5,2399242600,[1 1]
20070831,25.49,25.89,25.04,25.39,3302021100,[0 0]
20070903,25.46,25.75,25.21,25.45,711373000,[1 0]
20070904,25.5,25.77,25.02,25.15,1658362800,[1 1]
20070905,24.89,24.98,24.22,24.22,1145634300,[0 1]
20070906,24.6,25.09,23.74,25.09,1692971900,[0 1]
20070910,24.4,24.8,23.6,23.7,1999247000,[0 0]
20070911,24.4,24.96,24.06,24.9,2177229000,[1 1]
20070912,24.83,25.89,24.7,25.6,3755834000,[0 1]
20070913,25.61,25.85,25.2,25.45,1116126800,[1 0]
20070914,25.18,25.9,25.0,25.7,1268172100,[1 0]
20070917,25.78,25.78,24.6,25.01,2423793100,[0 0]
20070918,25.2,26.15,24.67,25.9,3029631600,[1 1]
20070919,26.2,26.4,25.38,25.57,2425901200,[1 0]
20070920,25.56,26.0,25.0,25.49,1631223200,[0 0]
20070921,25.8,26.2,25.64,26.2,1312714100,[0 1]
20070924,26.4,26.79,26.04,26.71,1671212200,[1 0]
20070925,26.63,26.8,26.1,26.65,1814335800,[1 1]
20070926,26.88,27.27,26.62,27.12,2774881800,[0 0]
20070927,27.16,27.29,26.69,27.17,2354758000,[1 0]
20070928,26.9,27.1,26.27,26.9,2148527900,[1 1]
20071001,26.9,27.45,26.9,27.45,4135440100,[0 1]
20071002,27.28,27.39,26.51,27.0,1718694800,[1 0]
20071003,27.0,27.01,26.4,26.98,3417168200,[0 0]
20071004,27.0,27.25,26.68,26.87,1725695700,[0 1]
20071005,27.01,27.87,27.01,27.3,3006745700,[1 1]
20071008,26.95,27.58,26.95,27.45,1560540600,[0 0]
20071009,27.5,27.67,27.26,27.5,4065273800,[0 0]
20071010,27.4,27.54,26.9,26.9,2663082000,[0 1]
20071011,27.29,27.4,26.06,26.48,3244863300,[1 0]
20071015,27.0,27.0,26.06,26.1,3005148500,[1 1]
20071016,25.85,26.17,25.6,25.88,1618742900,[1 1]
20071017,26.0,26.63,25.06,26.63,2942257300,[1 0]
20071018,25.79,26.95,25.64,26.85,1625532900,[0 0]
20071019,26.99,26.99,25.3,25.3,2218193700,[0 1]
20071022,25.0,26.26,24.8,26.0,1854567000,[0 0]
20071023,26.26,26.71,26.04,26.45,2709826500,[1 0]
20071024,26.45,26.85,25.66,26.41,2665365500,[0 1]
20071025,26.77,26.77,25.61,25.72,1479857200,[1 0]
20071026,26.0,26.6,25.4,26.05,1313873300,[0 0]
20071029,26.2,26.65,25.75,25.75,1913238000,[0 0]
20071030,25.8,26.67,25.75,26.6,2585159500,[1 1]
20071031,26.7,27.24,26.59,26.85,4068214500,[1 0]
20071101,26.4,26.92,25.91,26.0,3615969500,[0 1]
20071105,25.8,27.15,25.67,26.95,3788682900,[0 1]
20071106,27.17,27.62,27.15,27.45,3299834500,[0 1]
20071107,27.25,27.39,26.85,27.2,2220824800,[0 0]
20071108,27.33,27.49,25.81,26.02,3409194200,[0 1]
20071109,26.05,26.05,25.07,25.9,7525429400,[1 1]
20071112,25.5,26.08,25.37,25.7,1675957700,[0 0]
20071113,25.5,26.7,25.5,26.4,2030308300,[1 0]
20071114,26.1,27.3,25.85,27.29,3072142900,[1 1]
20071116,27.29,27.4,26.51,27.37,2684594300,[1 1]
20071119,27.2,27.2,25.75,25.95,1769309800,[1 0]
20071121,25.29,26.1,25.01,25.75,2386225600,[0 1]
20071122,25.8,25.8,25.02,25.16,530719000,[1 1]
20071123,25.4,25.4,24.61,24.9,2949324100,[1 1]
20071126,25.0,25.0,22.8,22.8,5694262200,[1 0]
20071127,22.61,24.12,22.3,23.6,1980840300,[0 0]
20071128,24.0,24.99,23.6,24.66,1752045300,[0 1]
20071129,24.6,24.95,23.95,24.05,2164847600,[1 1]
20071130,24.6,25.16,24.35,25.0,2740268700,[0 0]
20071203,25.2,26.47,25.2,25.45,2442020300,[0 1]
20071204,25.39,26.2,24.9,26.0,1589926700,[0 1]
20071205,26.4,26.85,25.97,26.62,2698968300,[0 0]
20071206,26.7,26.8,25.6,26.64,2987978800,[1 0]
20071207,26.64,26.75,25.31,25.89,2161657800,[1 0]
20071210,25.85,26.18,24.5,24.55,2887640600,[0 0]
20071211,24.69,25.19,23.23,23.54,5932526100,[1 1]
20071212,24.0,24.39,23.2,23.26,3996843000,[1 1]
20071213,23.01,24.4,22.56,24.29,3096888500,[1 1]
20071214,24.0,24.23,23.32,23.45,2627305200,[0 0]
20071217,23.19,23.44,22.51,23.01,2711595200,[0 0]
20071218,23.4,23.8,22.54,23.39,2861685300,[0 1]
20071219,23.22,23.48,22.8,23.2,2354282500,[0 0]
20071220,23.07,23.21,22.4,22.58,1623703500,[0 1]
20071221,23.06,23.85,22.67,23.68,2360997500,[1 0]
20071226,23.9,24.57,23.85,24.49,1746549400,[0 1]
20071227,24.5,24.6,23.75,24.4,976315300,[0 0]
20071228,24.25,24.5,23.42,23.93,1254919100,[0 1]
20080102,23.41,23.6,22.84,23.3,1561341600,[1 0]
20080103,23.1,23.8,23.0,23.1,1572160100,[1 1]
20080104,23.2,23.25,22.4,22.86,1634828200,[0 0]
