date,open,max,min,close,volume,y
20070830,25.0,25.8,24.42,25.8,2520407,[0 0]
20070831,25.15,25.78,25.15,25.75,3031075,[1 0]
20070903,25.8,25.8,25.0,25.0,2242305,[1 0]
20070904,25.54,25.7,25.1,25.1,2855453,[1 1]
20070905,25.4,25.4,24.2,24.2,3165872,[1 0]
20070906,24.6,25.0,23.9,25.0,2287153,[0 1]
20070910,24.9,24.9,23.7,24.14,1426107,[1 1]
20070911,24.1,24.98,24.01,24.27,981925,[1 1]
20070912,24.71,25.84,24.71,25.7,3169003,[1 1]
20070913,25.8,26.0,25.3,26.0,1594672,[1 0]
20070914,25.7,25.8,25.15,25.69,2359160,[1 1]
20070917,26.01,26.01,24.54,25.0,2869298,[0 1]
20070918,25.3,26.17,24.78,25.03,2747321,[1 0]
20070919,26.0,26.79,25.4,25.4,3645944,[1 0]
20070920,26.5,26.5,25.33,25.5,1899572,[0 0]
20070921,26.0,26.19,25.8,26.12,2615026,[0 1]
20070924,26.3,26.75,26.01,26.74,2914132,[1 0]
20070925,27.0,27.0,26.15,26.84,2468851,[0 1]
20070926,26.97,27.1,26.82,27.1,2520036,[1 0]
20070927,27.2,27.34,26.8,27.19,2513124,[0 1]
20070928,27.0,27.05,26.3,26.61,2824957,[1 0]
20071001,27.0,27.49,27.0,27.4,3104758,[1 0]
20071002,27.4,27.49,26.67,27.49,3033058,[1 0]
20071003,27.49,27.49,26.59,26.78,986661,[0 0]
20071004,27.14,27.48,26.77,27.06,1504257,[0 1]
20071005,27.15,27.72,27.15,27.6,2487000,[1 0]
20071008,27.2,27.5,27.0,27.5,2592574,[0 0]
20071009,27.5,27.7,27.04,27.57,2659821,[0 1]
20071010,27.3,27.67,26.88,26.9,2671300,[0 1]
20071011,28.0,28.0,26.47,26.9,2237285,[1 0]
20071015,27.0,27.5,26.02,26.2,3740333,[1 1]
20071016,26.16,26.2,25.69,25.69,1299967,[0 1]
20071017,25.53,26.2,25.19,26.2,2145360,[1 0]
20071018,26.1,26.5,25.75,26.5,1744550,[0 1]
20071019,26.01,26.5,25.5,25.55,3415145,[0 1]
20071022,25.3,26.0,25.0,25.01,1233470,[1 0]
20071023,26.1,26.7,26.05,26.64,2358873,[1 0]
20071024,26.0,26.8,25.8,26.79,2138414,[0 1]
20071025,26.3,26.69,25.71,25.71,1510380,[1 0]
20071026,26.7,26.7,25.32,25.51,2120349,[0 0]
20071029,25.65,26.58,25.65,25.65,2723638,[0 0]
20071030,25.65,26.6,25.65,26.6,2933226,[1 0]
20071031,26.65,27.2,26.27,26.27,3570735,[1 0]
20071101,26.8,27.2,26.0,27.2,1219203,[0 0]
20071105,25.94,27.29,25.91,27.0,2042530,[0 1]
20071106,27.0,27.5,27.0,27.5,2349316,[0 1]
20071107,27.04,27.49,27.04,27.1,1529601,[0 1]
20071108,27.2,27.59,26.0,26.0,2312647,[0 1]
20071109,26.05,26.05,25.11,25.4,675742,[1 1]
20071112,25.21,26.05,25.0,25.0,826670,[0 0]
20071113,25.5,26.75,25.01,26.69,1052977,[1 0]
20071114,26.12,27.5,26.12,27.5,2194179,[1 0]
20071116,26.8,27.5,26.8,27.5,1188458,[1 1]
20071119,27.38,27.38,25.85,26.33,990454,[1 0]
20071121,25.8,26.24,25.0,25.45,2013241,[0 1]
20071122,25.4,26.45,24.5,25.39,1829462,[0 1]
20071123,25.2,26.42,24.7,26.42,295570,[1 1]
20071126,24.5,25.0,23.0,23.0,2501499,[1 1]
20071127,24.99,24.99,22.61,23.6,2034006,[0 0]
20071128,23.0,24.77,22.52,24.77,991449,[0 1]
20071129,24.99,25.09,24.15,24.4,2011892,[1 1]
20071130,24.8,25.01,24.6,25.0,1170277,[0 0]
20071203,25.0,26.3,25.0,25.3,2751831,[0 1]
20071204,25.0,26.16,24.7,25.17,1682061,[1 1]
20071205,25.4,26.7,25.4,26.06,1642088,[0 0]
20071206,26.75,26.8,26.05,26.79,1357120,[1 0]
20071207,26.5,26.7,25.07,25.07,2897543,[1 0]
20071210,25.71,26.09,24.6,24.6,4580118,[0 0]
20071211,25.21,25.21,23.4,24.7,5471728,[0 1]
20071212,23.5,24.79,23.3,23.3,4303892,[1 1]
20071213,23.3,23.97,22.7,23.97,2493387,[1 1]
20071214,24.4,24.4,23.5,24.0,833935,[0 0]
20071217,23.52,23.52,22.5,23.5,1862935,[0 0]
20071218,23.0,23.52,22.8,23.52,1251960,[0 1]
20071219,23.3,23.99,22.72,22.8,1297799,[0 0]
20071220,23.25,23.5,22.5,22.69,1458667,[0 1]
20071221,22.74,23.57,22.7,23.26,1528923,[1 0]
20071226,24.0,24.79,23.7,24.52,1644221,[0 1]
20071227,24.49,24.5,23.8,23.8,2079607,[0 0]
20071228,24.5,24.5,23.5,23.69,2606017,[0 1]
20080102,23.9,24.0,22.97,23.2,2182742,[0 0]
20080103,23.19,23.7,22.96,23.11,1092887,[1 1]
20080104,23.1,23.1,22.35,22.98,1301948,[0 1]
20080107,22.5,23.55,22.5,23.55,1218271,[0 0]
20080108,23.94,23.94,23.18,23.18,232620,[0 1]
20080109,23.15,23.89,22.85,23.8,1090394,[1 1]
20080110,23.9,23.9,23.13,23.13,1071022,[1 0]
20080111,23.15,23.25,23.0,23.0,544028,[1 1]
20080114,23.34,23.34,22.36,22.36,1381657,[0 1]
20080115,22.4,22.45,22.09,22.2,1093562,[0 1]
20080116,22.0,23.29,22.0,23.29,2298126,[0 1]
20080117,23.0,23.1,22.5,22.6,493577,[0 1]
20080118,23.0,23.47,22.33,23.47,1868525,[0 0]
20080121,22.32,22.99,21.0,22.1,1137733,[0 0]
20080122,22.2,23.0,21.01,22.3,1669242,[0 1]
20080123,22.0,22.99,20.27,20.27,735963,[0 1]
20080124,21.2,21.4,21.0,21.2,820710,[0 0]
20080128,21.5,22.1,20.71,22.09,1906925,[0 0]
20080129,22.26,23.49,22.26,23.11,1455720,[0 1]
20080130,23.0,23.83,22.5,23.0,1106075,[1 1]
20080131,22.5,22.5,21.7,22.0,1141501,[0 1]
20080201,22.75,23.49,21.71,22.7,1170340,[1 0]
20080206,22.72,22.72,21.09,21.9,672961,[0 1]
20080207,21.72,22.5,21.26,22.5,907738,[0 1]
20080208,21.8,22.49,21.54,21.54,596150,[0 0]
20080211,22.3,22.8,22.0,22.8,924676,[1 0]
20080212,22.8,23.84,22.8,23.41,2537458,[1 1]
20080213,23.98,24.45,23.32,24.38,2699811,[0 1]
20080214,24.3,24.84,23.42,23.45,1915914,[0 1]
20080215,24.5,24.5,23.21,23.24,727770,[0 0]
20080218,23.65,24.0,23.51,24.0,1262722,[0 1]
20080219,24.0,24.4,23.9,23.9,1037786,[0 0]
20080220,24.25,24.8,23.63,24.13,1675068,[1 0]
20080221,24.86,25.4,24.66,25.3,2807216,[1 1]
20080222,25.2,26.48,24.73,26.48,3638354,[0 1]
20080225,26.29,27.6,26.0,27.5,5160852,[1 1]
20080226,27.09,27.6,26.35,27.6,1551394,[0 1]
20080227,27.4,27.4,26.6,26.6,3015171,[0 0]
20080228,26.3,26.3,25.1,25.1,2855789,[0 1]
20080229,25.25,26.42,24.0,24.0,3838056,[1 0]
20080303,25.3,27.0,24.85,27.0,2744728,[1 0]
20080304,26.67,27.01,26.25,27.01,2668334,[0 0]
20080305,27.01,27.6,27.01,27.59,4067597,[0 1]
20080306,27.21,27.21,25.5,26.5,3128372,[0 0]
20080307,26.39,26.49,25.0,26.0,1917638,[0 1]
20080310,25.34,26.39,24.2,25.16,2713777,[1 1]
20080311,25.16,26.73,25.16,26.73,3487662,[0 0]
20080312,27.0,27.6,26.91,27.0,2858969,[1 0]
20080313,27.4,27.9,26.01,27.9,4541911,[1 1]
20080314,27.7,28.01,26.97,27.59,2345029,[0 0]
20080317,27.1,27.5,26.2,26.66,1658892,[0 0]
20080318,27.78,27.9,26.95,27.0,4059943,[1 0]
20080319,27.5,28.0,26.7,26.7,3579261,[1 0]
20080320,27.0,27.7,26.3,27.7,2182213,[1 0]
20080324,27.32,28.0,26.96,27.0,1276187,[1 1]
20080325,27.16,27.16,26.26,26.26,2518676,[0 1]
20080326,26.6,26.6,26.0,26.0,1332631,[0 0]
20080327,26.4,26.6,26.0,26.0,1398153,[0 0]
20080328,26.5,26.55,26.3,26.3,835243,[1 1]
20080331,26.01,27.0,26.01,26.8,1747583,[0 1]
20080401,27.3,27.6,26.01,27.4,1095829,[1 1]
20080402,27.8,28.5,27.7,28.5,3933174,[0 1]
20080403,28.41,29.0,28.4,28.75,2119658,[0 1]
20080404,28.5,28.75,27.51,28.75,1798083,[0 1]
20080407,28.26,28.8,27.0,27.99,3674622,[0 0]
