date,open,max,min,close,volume,y
19980318,0.73,0.73,0.73,0.73,1022000,[0 0]
19980324,0.72,0.72,0.72,0.72,72000,[1 1]
19980326,0.72,0.72,0.72,0.72,144000,[1 1]
19980330,0.75,0.75,0.75,0.75,75000,[0 1]
19980413,0.76,0.76,0.76,0.76,76000,[0 0]
19980415,0.8,0.8,0.8,0.8,8000000,[0 0]
19980423,0.85,0.85,0.85,0.85,1275000,[0 0]
19980506,0.8,0.82,0.8,0.82,728000,[0 0]
19980507,0.85,0.85,0.85,0.85,85000,[0 1]
19980511,0.85,0.85,0.85,0.85,850000,[0 0]
19980512,0.85,0.85,0.85,0.85,4505000,[1 0]
19980515,0.9,0.9,0.85,0.85,4045000,[1 0]
19980528,0.85,0.85,0.85,0.85,170000,[0 0]
19980601,0.85,0.85,0.85,0.85,170000,[0 0]
19980602,0.74,0.74,0.74,0.74,1776000,[0 1]
19980603,0.74,0.74,0.74,0.74,148000,[1 0]
19980605,0.73,0.73,0.73,0.73,28470000,[0 0]
19980609,0.73,0.73,0.73,0.73,3650000,[0 0]
19980619,0.74,0.76,0.74,0.75,8025000,[0 0]
19980624,0.75,0.75,0.75,0.75,375000,[0 0]
19980625,0.75,0.75,0.75,0.75,2550000,[1 0]
19980701,0.78,0.78,0.78,0.78,78000,[0 1]
19980702,0.75,0.75,0.75,0.75,75000,[0 0]
19980715,0.8,0.8,0.8,0.8,66800000,[0 1]
19980716,0.8,0.8,0.8,0.8,96000000,[0 0]
19980805,0.77,0.77,0.77,0.77,6160000,[1 0]
19980814,0.75,0.75,0.75,0.75,9600000,[1 0]
19980819,0.75,0.75,0.75,0.75,155325000,[0 1]
19980820,0.75,0.75,0.75,0.75,150000000,[1 1]
19980821,0.75,0.75,0.74,0.74,26810000,[1 1]
19980824,0.75,0.75,0.75,0.75,6000000,[0 1]
19980825,0.75,0.77,0.75,0.77,155489000,[0 0]
19980827,0.77,0.77,0.75,0.77,257186000,[0 1]
19980831,0.75,0.75,0.75,0.75,227700000,[1 0]
19980901,0.75,0.75,0.75,0.75,37500000,[0 0]
19980910,0.6,0.6,0.6,0.6,120000000,[0 1]
19980914,0.6,0.6,0.6,0.6,107460000,[1 1]
19980916,0.6,0.6,0.6,0.6,5580000,[1 0]
19980917,0.6,0.6,0.6,0.6,14880000,[0 0]
19980925,0.6,0.6,0.6,0.6,30000000,[1 1]
19980928,0.6,0.6,0.6,0.6,1200000,[0 0]
19980930,0.65,0.71,0.65,0.71,538000,[0 0]
19981008,0.59,0.59,0.59,0.59,6490000,[0 0]
19981009,0.6,0.6,0.58,0.58,8900000,[0 0]
19981020,0.6,0.6,0.6,0.6,300000,[0 1]
19981023,0.6,0.6,0.6,0.6,6300000,[0 0]
19981027,0.6,0.6,0.58,0.58,41200000,[0 0]
19981119,0.58,0.58,0.58,0.58,290000,[0 0]
19981202,0.6,0.6,0.6,0.6,3000000,[0 0]
19981208,0.6,0.6,0.6,0.6,6240000,[0 0]
19990107,0.56,0.56,0.48,0.48,14727000,[1 0]
19990111,0.49,0.49,0.49,0.49,98000,[0 1]
19990112,0.48,0.48,0.48,0.48,240000,[0 0]
19990120,0.6,0.6,0.5,0.5,5600000,[1 1]
19990121,0.51,0.51,0.48,0.49,72869000,[0 0]
19990122,0.48,0.48,0.48,0.48,9600000,[0 1]
19990126,0.48,0.51,0.48,0.51,39380000,[0 0]
19990127,0.54,0.54,0.54,0.54,16686000,[0 0]
19990128,0.55,0.55,0.55,0.55,16500000,[0 0]
19990129,0.57,0.57,0.57,0.57,10374000,[1 1]
19990201,0.59,0.59,0.59,0.59,1180000,[0 0]
19990202,0.55,0.55,0.53,0.53,11402000,[1 1]
19990203,0.57,0.57,0.57,0.57,570000,[0 1]
19990205,0.55,0.55,0.55,0.55,6765000,[0 0]
19990208,0.57,0.57,0.55,0.55,42686000,[1 0]
19990209,0.57,0.58,0.55,0.55,19760000,[1 0]
19990210,0.56,0.6,0.56,0.6,6310000,[0 0]
19990211,0.63,0.65,0.63,0.64,22014000,[0 1]
19990212,0.61,0.61,0.61,0.61,305000,[0 0]
19990219,0.6,0.6,0.6,0.6,720000,[1 1]
19990222,0.6,0.6,0.59,0.59,3450000,[0 1]
19990223,0.59,0.59,0.59,0.59,3717000,[0 0]
19990224,0.6,0.68,0.6,0.64,5140000,[1 1]
19990225,0.65,0.7,0.65,0.68,8639000,[0 0]
19990226,0.7,0.75,0.7,0.72,13473000,[0 0]
19990301,0.75,0.75,0.75,0.75,1125000,[0 1]
19990304,0.74,0.75,0.73,0.75,11663000,[0 1]
19990305,0.75,0.75,0.75,0.75,3600000,[1 0]
19990309,0.74,0.74,0.74,0.74,2960000,[1 0]
19990312,0.75,0.75,0.75,0.75,3750000,[1 0]
19990315,0.78,0.78,0.78,0.78,390000,[0 0]
19990316,0.75,0.76,0.74,0.75,5791000,[0 1]
19990317,0.75,0.75,0.75,0.75,750000,[1 1]
19990318,0.75,0.75,0.75,0.75,11700000,[0 0]
19990319,0.75,0.75,0.75,0.75,750000,[1 1]
19990323,0.75,0.75,0.75,0.75,450000,[1 0]
19990325,0.75,0.75,0.75,0.75,1125000,[0 1]
19990326,0.7,0.74,0.7,0.74,2110000,[1 0]
19990329,0.75,0.75,0.74,0.74,745000,[0 0]
19990331,0.73,0.73,0.73,0.73,730000,[0 1]
19990405,0.74,0.74,0.74,0.74,222000,[1 0]
19990406,0.71,0.71,0.71,0.71,568000,[1 1]
19990407,0.71,0.71,0.71,0.71,568000,[0 1]
19990408,0.71,0.71,0.71,0.71,12922000,[0 0]
19990412,0.71,0.71,0.7,0.7,3122000,[1 0]
19990414,0.65,0.65,0.65,0.65,65000,[0 1]
19990415,0.65,0.7,0.65,0.65,23100000,[0 0]
19990416,0.65,0.65,0.62,0.63,15051000,[0 1]
19990419,0.65,0.65,0.63,0.63,9903000,[0 1]
19990420,0.63,0.63,0.63,0.63,1701000,[1 0]
19990422,0.63,0.63,0.62,0.62,437000,[0 1]
19990426,0.62,0.69,0.62,0.67,3504000,[1 0]
19990429,0.67,0.67,0.67,0.67,3618000,[0 1]
19990503,0.67,0.67,0.64,0.65,29551000,[1 0]
19990504,0.72,0.72,0.72,0.72,72000,[0 0]
19990505,0.72,0.72,0.72,0.72,14400000,[0 0]
19990506,0.74,0.74,0.7,0.7,366000,[0 0]
19990507,0.71,0.71,0.71,0.71,71000,[0 1]
19990510,0.79,0.79,0.76,0.76,699000,[0 0]
19990511,0.76,0.76,0.76,0.76,7600000,[0 0]
19990512,0.75,0.75,0.75,0.75,150000,[1 0]
19990513,0.71,0.71,0.69,0.69,692000,[0 1]
19990514,0.7,0.7,0.7,0.7,4690000,[0 0]
19990517,0.7,0.7,0.7,0.7,280000,[1 0]
19990518,0.69,0.69,0.69,0.69,1311000,[0 0]
19990520,0.69,0.69,0.69,0.69,4830000,[1 0]
19990521,0.69,0.69,0.69,0.69,2070000,[1 0]
19990524,0.68,0.68,0.68,0.68,612000,[0 0]
19990526,0.63,0.63,0.63,0.63,4914000,[0 0]
19990527,0.69,0.69,0.69,0.69,69000,[0 0]
19990601,0.7,0.7,0.7,0.7,5880000,[1 1]
19990602,0.7,0.7,0.7,0.7,4200000,[0 0]
19990607,0.68,0.68,0.68,0.68,1428000,[0 0]
19990608,0.72,0.72,0.72,0.72,504000,[1 0]
19990611,0.72,0.75,0.72,0.75,14238000,[0 1]
19990614,0.74,0.74,0.74,0.74,6068000,[1 0]
19990616,0.75,0.75,0.75,0.75,6900000,[0 1]
19990617,0.75,0.75,0.75,0.75,150000,[0 1]
19990622,0.7,0.75,0.7,0.7,4950000,[0 0]
19990623,0.74,0.74,0.74,0.74,370000,[0 0]
19990624,0.71,0.72,0.7,0.72,9278000,[0 1]
19990629,0.75,0.75,0.75,0.75,750000,[1 0]
19990701,0.75,0.75,0.74,0.75,6732000,[0 1]
19990702,0.75,0.75,0.75,0.75,5250000,[0 0]
19990705,0.75,0.75,0.75,0.75,1500000,[1 0]
19990706,0.75,0.75,0.75,0.75,1350000,[1 0]
19990707,0.82,0.86,0.82,0.86,2242000,[1 1]
19990708,0.89,0.89,0.85,0.85,3489000,[0 0]
19990712,0.81,0.81,0.8,0.8,14031000,[1 1]
19990713,0.8,0.84,0.8,0.82,25934000,[0 0]
19990715,0.85,0.85,0.85,0.85,85000,[0 0]
19990716,0.85,0.85,0.85,0.85,9265000,[0 1]
19990719,0.88,0.88,0.88,0.88,176000,[0 1]
19990819,0.8,0.8,0.79,0.79,2610000,[0 0]
19990820,0.81,0.81,0.77,0.77,16169000,[1 1]
19990823,0.77,0.8,0.77,0.78,203255000,[1 0]
19990825,0.85,0.85,0.85,0.85,85000,[0 0]
19990830,0.83,0.85,0.83,0.85,508000,[1 0]
19990831,0.81,0.81,0.77,0.8,50889000,[0 0]
19990901,0.8,0.83,0.8,0.8,90530000,[0 1]
19990902,0.8,0.8,0.8,0.8,24000000,[1 0]
19990908,0.8,0.8,0.8,0.8,2640000,[0 0]
19990910,0.85,0.85,0.85,0.85,595000,[0 1]
19990915,0.81,0.81,0.81,0.81,405000,[1 1]
19990922,0.85,0.85,0.85,0.85,85000,[0 1]
19990929,0.86,0.86,0.86,0.86,86000,[1 0]
19990930,0.85,0.85,0.85,0.85,2125000,[1 0]
