date,open,max,min,close,volume,y
20101221,30.45,30.9,30.1,30.79,1599958400,[1 1]
20101222,30.87,30.9,30.51,30.83,1481046000,[1 0]
20101223,30.87,31.28,30.22,31.19,1158554700,[1 1]
20101227,30.84,31.21,30.84,31.2,792869100,[1 0]
20101228,31.01,31.61,31.01,31.07,1064560000,[1 0]
20101229,31.07,31.99,31.07,31.69,1239720900,[1 0]
20101230,31.85,32.2,31.8,32.11,2893548900,[0 1]
20110103,32.49,32.59,32.09,32.39,3010868800,[1 0]
20110104,32.36,32.59,31.81,32.35,1653772900,[1 1]
20110105,32.25,32.45,32.01,32.45,2135526200,[0 1]
20110106,32.4,32.49,32.2,32.43,1662535800,[0 1]
20110107,32.41,32.49,32.15,32.49,1177604800,[0 0]
20110110,32.44,32.44,31.81,32.14,1708452600,[0 1]
20110111,32.28,32.35,31.85,31.85,1308257500,[0 0]
20110112,32.04,32.15,31.8,32.05,3222787800,[0 1]
20110113,32.06,32.79,32.02,32.65,1512198300,[0 0]
20110114,32.5,33.05,32.36,32.5,1855957200,[0 1]
20110117,32.5,32.75,32.25,32.75,1268842300,[1 1]
20110118,32.62,32.81,32.33,32.81,1537945100,[0 1]
20110119,32.62,33.15,32.42,32.64,2490403900,[0 0]
20110120,32.44,33.14,32.44,33.0,3330182300,[1 0]
20110121,33.01,33.04,32.3,32.4,3079227200,[0 1]
20110124,32.54,32.9,32.4,32.9,1716757600,[0 1]
20110126,32.65,32.7,32.1,32.59,2341377000,[1 1]
20110127,32.53,32.59,32.12,32.25,2299361100,[1 0]
20110128,32.27,32.4,31.8,32.0,2009573700,[1 0]
20110131,31.86,32.66,31.86,32.5,2033403300,[1 0]
20110201,32.5,32.66,32.16,32.4,1482263900,[0 0]
20110202,32.32,32.32,31.7,32.22,2140233700,[0 1]
20110203,32.05,32.2,31.86,31.9,1115549000,[1 1]
20110204,32.21,32.62,32.15,32.46,3297555700,[0 1]
20110207,32.51,32.89,32.3,32.4,747533400,[1 0]
20110208,32.4,32.82,32.25,32.3,990741600,[0 1]
20110209,32.3,32.34,31.51,31.51,1576095300,[1 1]
20110210,31.5,32.18,31.36,31.8,2189829600,[1 0]
20110211,31.98,32.35,31.84,32.08,2620230100,[0 1]
20110214,32.05,32.67,31.96,32.28,1268087200,[1 1]
20110215,32.11,32.45,32.0,32.0,1411923000,[0 1]
20110216,32.15,32.79,31.99,32.35,2024171700,[1 1]
20110217,32.4,32.67,32.25,32.3,1267418300,[1 0]
20110218,32.4,32.43,32.0,32.0,2494265700,[1 0]
20110221,32.02,32.57,32.02,32.39,1456772500,[0 1]
20110222,32.3,32.7,31.94,31.95,2760360200,[1 0]
20110223,32.0,32.27,31.32,31.75,2927253300,[0 1]
20110224,31.69,32.37,31.64,32.1,2948980300,[1 0]
20110225,32.35,32.38,31.6,31.8,1820535600,[0 1]
20110228,32.14,32.19,31.72,32.1,2576430500,[1 0]
20110301,32.08,32.54,32.07,32.2,2251589300,[1 1]
20110302,32.21,32.7,32.21,32.7,1414373400,[1 0]
20110303,32.7,32.93,32.41,32.86,1073009900,[1 1]
20110304,32.84,32.91,32.63,32.75,1350269300,[0 1]
20110309,32.75,33.14,32.63,32.8,1363212600,[1 0]
20110310,32.94,33.07,32.51,32.63,2424971800,[0 0]
20110311,32.79,33.25,32.64,33.1,2679520000,[0 0]
20110314,33.0,33.26,32.71,32.9,1935619100,[0 0]
20110315,32.69,33.19,32.17,32.8,2102723900,[0 1]
20110316,33.05,33.05,32.06,32.4,2661326300,[0 0]
20110317,32.55,32.7,32.2,32.2,1707331200,[1 0]
20110318,32.57,32.82,32.25,32.25,3516576500,[1 0]
20110321,32.47,32.92,32.32,32.92,1592692500,[1 0]
20110322,32.71,34.5,32.64,34.45,7013512300,[0 1]
20110323,34.25,34.6,34.02,34.4,4471490400,[1 0]
20110324,35.16,35.38,34.43,34.56,5021740700,[0 1]
20110325,34.8,35.18,34.77,34.88,3433239500,[0 0]
20110328,34.96,35.14,34.44,34.65,3028169900,[1 1]
20110329,34.66,34.95,34.47,34.65,2653997800,[0 0]
20110330,34.83,36.1,34.83,35.84,3316671400,[0 1]
20110331,35.8,36.87,35.77,36.1,4873679000,[0 1]
20110401,36.2,36.63,36.2,36.38,2658133800,[1 0]
20110404,36.84,37.2,36.63,37.1,2204014000,[0 1]
20110405,37.0,37.1,36.72,36.9,3046922500,[1 0]
20110406,37.0,37.04,36.47,36.5,3008765100,[1 0]
20110407,36.6,36.9,36.13,36.6,2651372500,[0 0]
20110408,36.84,36.98,36.47,36.62,1748090000,[1 0]
20110411,36.76,37.18,36.5,36.7,2928754700,[1 0]
20110412,36.7,36.9,36.36,36.38,2210751200,[0 0]
20110413,36.54,37.05,36.54,36.99,3151362800,[0 1]
20110414,36.97,37.62,36.83,37.41,3042607600,[1 0]
20110415,37.59,37.8,37.25,37.5,1827077800,[1 1]
20110418,37.76,38.19,37.4,38.19,3761780000,[1 1]
20110419,38.23,38.59,38.02,38.1,3708545200,[1 0]
20110420,38.3,38.37,38.2,38.2,4908185400,[0 0]
20110425,38.3,38.45,38.02,38.15,3410454600,[0 1]
20110426,38.2,38.37,38.15,38.15,3878897900,[0 1]
20110427,38.23,38.3,38.15,38.2,6416352500,[0 1]
20110428,38.19,38.71,38.16,38.52,4740085500,[1 0]
20110429,38.8,38.88,38.27,38.3,11214185200,[0 1]
20110512,31.6,31.98,31.27,31.75,3142027000,[1 0]
20110513,31.89,33.82,31.8,33.0,8034590400,[0 0]
20110516,33.0,33.65,32.55,33.2,2927411400,[1 1]
20110517,33.23,33.59,32.77,32.9,2633839100,[0 1]
20110518,32.94,33.01,32.46,32.51,3189340900,[0 1]
20110519,32.79,33.25,32.57,32.65,1853618300,[1 0]
20110520,32.75,33.33,32.75,32.85,1873841500,[1 1]
20110523,33.1,33.12,32.63,32.65,2342889400,[1 0]
20110524,32.87,33.19,32.66,33.0,2440622300,[0 1]
20110525,32.99,33.55,32.96,33.5,2300871500,[1 1]
20110526,33.55,34.51,33.4,34.3,3490560000,[1 0]
20110527,34.41,34.93,33.9,33.9,2649236500,[1 0]
20110530,34.05,34.49,34.01,34.23,1084536500,[1 1]
20110531,34.42,35.28,34.34,34.9,3821005900,[0 1]
20110601,34.94,34.94,33.98,33.98,1840389800,[0 0]
20110602,34.19,35.01,34.16,34.5,3204018800,[1 1]
20110603,34.67,35.84,34.62,35.58,4014914600,[1 1]
20110606,35.5,35.5,35.01,35.02,2139749500,[0 1]
20110607,35.25,35.46,34.71,35.01,2247714000,[0 1]
20110608,35.08,35.18,34.9,34.95,2670025700,[0 1]
20110609,35.0,35.18,34.55,34.8,2590690400,[0 1]
20110610,34.84,35.02,34.6,34.68,1917454500,[1 1]
20110613,34.8,35.1,34.52,34.52,3118897700,[1 0]
20110614,34.63,34.76,34.14,34.3,2209035500,[1 1]
20110615,34.11,34.51,34.06,34.16,2540934100,[0 1]
20110616,34.44,34.44,33.98,34.18,2432128800,[1 1]
20110617,34.22,34.32,33.98,34.08,2559076700,[1 1]
20110620,34.0,34.17,33.65,33.71,3593733700,[0 0]
20110621,33.68,34.21,33.57,34.1,4339112200,[1 0]
20110622,34.24,34.34,33.95,33.95,3315228800,[1 1]
20110624,34.14,34.47,33.96,34.47,2438703300,[1 1]
20110627,34.48,34.64,33.95,33.97,2357672600,[1 1]
20110628,34.13,34.37,33.98,34.31,2273956000,[1 0]
20110629,34.2,34.3,34.01,34.06,2195883700,[1 0]
20110630,34.06,34.11,33.75,33.86,2443026000,[0 0]
20110701,33.98,34.54,33.72,34.54,4925433700,[0 0]
20110704,35.3,36.08,34.81,35.95,6717538900,[0 1]
20110705,35.96,36.73,35.77,35.95,4444302400,[0 0]
20110706,36.05,36.18,35.45,35.5,2663469400,[1 1]
20110707,35.7,36.19,35.5,36.19,3029856100,[1 1]
20110708,36.6,36.61,35.42,35.99,4617016100,[0 0]
20110711,35.7,36.08,35.29,35.5,2686850400,[1 0]
20110712,35.49,36.38,35.49,36.38,2995772100,[0 1]
20110713,36.2,36.82,36.2,36.55,3819343200,[1 1]
20110714,36.5,36.65,35.85,36.54,2202926600,[1 1]
20110715,36.49,36.98,36.11,36.3,2479012500,[1 1]
20110718,36.32,36.75,36.2,36.3,1895139600,[1 1]
20110719,36.3,36.49,36.12,36.37,1389287300,[0 0]
20110720,36.5,36.67,36.25,36.25,2202475500,[1 1]
20110721,36.43,36.65,36.26,36.32,2230356100,[1 1]
20110722,36.43,36.52,36.2,36.33,1936863000,[0 1]
