date,open,max,min,close,volume,y
20070914,10.01,10.01,10.01,10.01,1001,[1 0]
20070919,10.5,11.0,10.5,11.0,113850,[0 1]
20070924,10.61,10.7,10.01,10.7,277687,[0 1]
20070926,10.0,10.0,10.0,10.0,2000,[0 0]
20070927,10.86,10.86,10.86,10.86,32580,[0 1]
20070928,10.84,10.86,10.7,10.7,132370,[1 0]
20071001,8.6,8.6,8.6,8.6,1720,[0 1]
20071002,11.6,11.6,11.6,11.6,49880,[1 1]
20071003,11.5,11.5,11.5,11.5,23000,[0 0]
20071005,10.36,11.0,10.3,10.3,133546,[1 1]
20071008,11.25,11.25,11.2,11.2,79625,[0 1]
20071009,11.01,11.5,11.0,11.5,82107,[0 0]
20071011,9.0,10.5,9.0,10.5,84450,[1 1]
20071015,10.5,10.5,10.5,10.5,53550,[0 1]
20071016,11.0,11.4,10.5,10.6,154650,[0 0]
20071017,11.4,11.4,11.0,11.0,113660,[0 1]
20071018,11.2,11.2,11.2,11.2,44800,[1 0]
20071019,10.65,10.7,10.65,10.7,22450,[0 1]
20071023,10.9,11.5,10.5,10.5,57020,[0 1]
20071024,10.51,10.51,10.51,10.51,12612,[0 0]
20071025,10.9,10.9,10.9,10.9,46870,[0 1]
20071029,10.0,10.0,10.0,10.0,35000,[0 0]
20071030,10.75,10.75,10.75,10.75,10750,[0 1]
20071031,10.5,10.75,10.5,10.75,5325,[0 1]
20071101,10.4,10.4,10.4,10.4,2080,[0 0]
20071106,10.51,10.51,10.51,10.51,8408,[1 1]
20071107,10.5,10.6,10.5,10.6,42190,[0 0]
20071108,10.5,10.5,10.5,10.5,14700,[1 0]
20071112,8.4,8.4,8.4,8.4,6720,[0 0]
20071113,8.4,8.4,8.4,8.4,2520,[1 0]
20071114,9.62,10.5,9.62,10.1,23924,[1 0]
20071116,10.0,10.0,10.0,10.0,11000,[1 0]
20071121,9.5,9.5,9.5,9.5,31350,[1 1]
20071123,9.56,9.56,9.56,9.56,3824,[0 0]
20071126,11.0,12.0,10.56,10.56,195696,[1 0]
20071128,11.0,11.0,10.01,10.01,14456,[0 0]
20071203,9.81,9.81,9.81,9.81,70632,[1 1]
20071205,11.5,11.5,10.01,10.01,104379,[0 1]
20071206,11.5,11.5,11.5,11.5,24150,[1 0]
20071210,11.4,11.4,11.4,11.4,5700,[1 0]
20071211,10.93,10.93,10.93,10.93,18581,[1 1]
20071212,11.0,11.0,8.61,10.5,12057,[1 0]
20071213,9.25,9.25,9.25,9.25,27750,[1 0]
20071214,9.25,9.25,9.25,9.25,38850,[0 1]
20071217,10.5,10.5,8.51,8.51,19120,[0 1]
20071218,10.01,10.01,10.01,10.01,2002,[0 1]
20071221,8.54,8.56,8.54,8.56,36728,[0 0]
20071226,11.39,11.39,11.39,11.39,63784,[0 1]
20071227,11.0,11.0,9.8,9.8,3180,[1 0]
20071228,11.39,11.48,11.39,11.48,39914,[1 1]
20080102,10.03,10.03,10.03,10.03,32096,[0 0]
20080103,11.5,11.5,11.5,11.5,1150,[0 1]
20080104,11.35,11.35,9.81,9.81,81431,[0 1]
20080107,11.2,11.2,11.2,11.2,1120,[1 0]
20080108,11.21,11.21,10.25,10.25,62460,[0 0]
20080109,10.0,10.0,8.51,8.62,12162,[0 1]
20080110,11.5,11.5,10.51,10.51,70432,[0 0]
20080111,10.0,10.0,10.0,10.0,6000,[1 1]
20080114,10.0,10.5,9.4,10.0,23336,[0 1]
20080116,10.0,10.0,8.51,8.51,5255,[0 1]
20080117,9.01,11.3,9.01,11.3,31351,[1 0]
20080118,10.0,10.0,8.51,8.51,12702,[0 0]
20080121,12.5,14.5,12.5,12.5,767710,[0 1]
20080122,14.15,14.15,12.51,12.7,209668,[1 0]
20080123,12.0,12.0,11.75,11.75,80200,[0 0]
20080124,11.0,12.0,11.0,12.0,54800,[1 0]
20080128,12.05,12.05,12.05,12.05,6025,[1 0]
20080129,10.61,11.75,10.61,10.61,212832,[0 1]
20080130,10.61,10.61,10.61,10.61,7427,[1 0]
20080131,11.6,11.6,11.6,11.6,51040,[1 1]
20080201,11.01,11.01,11.01,11.01,9909,[0 0]
20080207,11.6,11.6,11.01,11.01,30907,[1 0]
20080211,10.5,10.5,10.5,10.5,1050,[1 1]
20080214,12.0,12.2,12.0,12.2,24060,[0 0]
20080218,9.51,9.51,9.51,9.51,6657,[0 1]
20080219,11.8,11.8,11.0,11.0,64920,[0 0]
20080220,11.11,11.11,11.11,11.11,9999,[1 0]
20080225,11.65,11.65,11.65,11.65,11650,[0 1]
20080226,12.0,12.0,10.01,10.01,27606,[1 0]
20080227,12.0,12.0,11.1,11.11,62600,[0 1]
20080228,12.0,12.0,11.11,11.11,34177,[1 0]
20080229,12.5,12.5,11.51,11.51,56114,[1 0]
20080303,12.0,12.0,12.0,12.0,19200,[0 0]
20080304,12.4,12.5,12.4,12.5,124500,[0 1]
20080305,12.11,12.11,12.11,12.11,1211,[0 1]
20080306,12.6,12.6,12.6,12.6,1260,[0 0]
20080310,12.0,12.2,12.0,12.2,25280,[0 0]
20080311,11.5,12.1,10.61,12.1,166197,[0 0]
20080312,11.01,12.5,11.01,12.5,102350,[0 1]
20080313,10.53,10.53,10.53,10.53,2106,[0 1]
20080314,12.5,12.5,12.5,12.5,108750,[1 0]
20080320,10.51,10.51,10.51,10.51,5255,[1 0]
20080325,10.55,11.0,10.55,11.0,21550,[1 0]
20080327,10.5,10.51,10.0,10.51,57705,[0 0]
20080328,10.0,10.01,8.51,10.01,52887,[0 0]
20080331,9.3,10.01,9.3,10.01,27389,[0 1]
20080402,10.5,10.8,10.5,10.8,35160,[0 1]
20080403,11.01,11.21,11.01,11.21,82674,[1 0]
20080404,10.54,10.54,10.54,10.54,33728,[1 0]
