date,open,max,min,close,volume,y
19990608,2.1,2.1,2.1,2.1,21000,[1 1]
19990609,2.21,2.3,2.21,2.3,291018,[1 0]
19990610,2.22,2.45,2.22,2.44,428330,[1 1]
19990611,3.0,3.0,3.0,3.0,121800,[0 1]
19990614,3.27,3.27,3.0,3.0,323904,[1 0]
19990615,3.5,3.8,3.4,3.8,2579607,[0 1]
19990616,3.89,4.31,3.82,4.04,1901744,[0 0]
19990617,4.15,4.15,3.6,3.6,2064645,[1 1]
19990618,3.58,3.99,3.58,3.7,662346,[1 0]
19990621,3.9,3.9,3.72,3.8,905350,[1 1]
19990622,3.84,3.84,3.55,3.55,298026,[1 1]
19990623,3.55,3.55,3.35,3.5,656400,[0 0]
19990624,3.35,3.62,3.31,3.62,552031,[1 0]
19990625,3.55,3.55,2.9,3.2,625291,[1 1]
19990628,3.25,3.25,2.9,2.9,160485,[0 1]
19990629,2.9,3.0,2.9,2.99,536632,[1 0]
19990630,2.98,3.0,2.9,3.0,631594,[1 1]
19990701,3.15,3.15,3.1,3.1,152330,[0 1]
19990702,3.44,3.45,3.08,3.08,156868,[1 0]
19990705,3.3,3.35,3.3,3.35,351660,[0 0]
19990706,3.4,3.85,3.4,3.6,1263903,[0 0]
19990707,4.0,4.04,3.73,3.82,1826852,[1 0]
19990708,4.03,4.2,3.8,3.84,1123352,[1 1]
19990712,3.84,3.99,3.6,3.69,1687157,[1 1]
19990713,3.55,3.84,3.5,3.6,787255,[0 0]
19990714,4.0,4.0,3.7,3.7,2155578,[1 1]
19990715,3.6,3.8,3.6,3.62,877699,[0 1]
19990716,3.8,3.9,3.56,3.7,1065360,[0 1]
19990719,3.89,3.94,3.75,3.94,910229,[1 0]
19990720,3.77,3.84,3.67,3.75,652873,[0 1]
19990721,4.0,4.27,3.8,4.27,1660280,[1 1]
19990722,4.22,5.2,4.22,5.0,2951066,[1 0]
19990723,4.8,4.81,4.6,4.63,2449434,[1 1]
19990726,4.41,5.0,4.41,4.8,2749335,[0 0]
19990727,4.85,4.85,4.85,4.85,242500,[0 0]
19990728,4.96,5.08,4.55,4.75,2041231,[1 1]
19990729,4.78,5.0,4.76,5.0,1118284,[0 0]
19990730,5.45,5.45,5.0,5.04,1914173,[0 1]
19990802,5.2,5.2,4.85,4.85,1741142,[0 1]
19990803,4.51,4.9,4.51,4.7,1331533,[0 1]
19990804,4.55,4.65,4.5,4.5,517798,[0 0]
19990805,4.5,4.5,4.15,4.35,1769274,[1 1]
19990806,4.55,4.6,4.35,4.35,793689,[1 1]
19990809,4.35,4.8,4.35,4.8,752281,[1 0]
19990810,4.6,4.75,4.55,4.69,792879,[0 1]
19990811,4.95,4.99,4.82,4.99,1648729,[0 1]
19990812,5.18,5.48,5.18,5.42,659057,[0 1]
19990813,5.52,5.52,5.21,5.47,1347383,[0 1]
19990816,5.4,5.49,5.25,5.49,553842,[1 0]
19990817,5.5,5.5,5.16,5.16,432672,[1 1]
19990818,5.25,5.25,4.95,5.0,757373,[0 1]
19990819,4.9,5.1,4.9,5.1,796600,[0 0]
19990820,5.15,5.24,5.12,5.24,959527,[0 0]
19990823,5.21,5.25,5.06,5.21,1312582,[1 0]
19990824,5.49,5.5,5.27,5.27,1550290,[1 0]
19990825,5.3,5.39,5.05,5.2,235140,[0 1]
19990826,5.2,5.3,5.2,5.3,522000,[1 0]
19990827,5.4,5.4,5.0,5.4,473730,[1 1]
19990830,5.34,5.34,5.29,5.29,237378,[1 0]
19990831,5.2,5.27,5.2,5.27,31586,[0 1]
19990901,5.46,5.8,5.46,5.58,182842,[0 1]
19990902,5.55,5.83,5.4,5.8,1358045,[1 0]
19990903,6.0,6.0,5.7,5.82,1660233,[1 1]
19990906,5.8,5.84,5.7,5.83,1022595,[0 1]
19990908,6.0,6.0,5.8,5.8,707400,[1 1]
19990909,5.85,5.93,5.85,5.93,925308,[1 0]
19990910,6.05,6.05,5.95,6.0,937761,[0 1]
19990913,6.17,6.17,5.9,6.0,1764393,[1 1]
19990914,6.0,6.0,5.8,5.8,1122616,[1 0]
19990915,5.8,5.8,5.62,5.62,928548,[0 0]
19990916,5.6,5.78,5.45,5.47,1434517,[0 1]
19990917,5.65,5.8,5.65,5.8,941500,[1 0]
19990920,5.91,5.95,5.61,5.95,850151,[0 1]
19990921,5.76,5.81,5.75,5.75,1496425,[1 0]
19990922,5.65,5.65,5.65,5.65,84750,[1 0]
19990923,5.75,5.75,5.48,5.48,1680259,[1 0]
19990924,5.46,5.75,5.46,5.75,1149045,[0 0]
19990927,5.7,5.7,5.41,5.54,278129,[0 1]
19990928,5.6,5.6,5.56,5.56,458713,[0 0]
19991013,5.7,5.7,5.4,5.55,671800,[0 1]
19991014,5.65,5.65,5.61,5.61,140080,[1 0]
19991015,5.53,5.55,5.38,5.43,1317225,[0 0]
19991018,5.3,5.3,5.21,5.21,595184,[1 0]
19991019,5.4,5.4,5.3,5.3,335766,[0 1]
19991020,5.63,5.63,5.31,5.31,461293,[1 1]
19991021,5.5,5.7,5.5,5.7,509951,[0 0]
19991022,5.7,5.9,5.7,5.9,456200,[1 1]
19991026,6.45,6.95,6.2,6.7,5174647,[1 0]
19991027,6.8,6.94,6.65,6.65,2771427,[0 0]
19991028,6.74,6.8,6.5,6.5,1381598,[1 1]
19991029,6.75,6.75,6.5,6.6,993774,[1 0]
19991101,6.7,6.7,6.35,6.5,1888200,[0 1]
19991103,6.52,6.87,6.52,6.8,1866539,[0 0]
19991104,6.85,6.9,6.52,6.6,2693663,[1 0]
19991105,6.7,6.75,6.65,6.72,1621690,[1 1]
19991108,6.5,6.5,6.16,6.16,651106,[1 1]
19991109,6.25,6.25,6.0,6.2,955575,[1 1]
19991110,6.11,6.33,6.11,6.33,507880,[1 0]
19991111,5.9,6.25,5.9,6.22,1290863,[1 1]
19991112,6.3,6.4,6.2,6.29,1137527,[1 1]
19991116,6.39,6.5,6.21,6.5,899652,[1 0]
19991117,6.47,6.49,6.47,6.49,146274,[1 1]
19991118,6.63,6.63,6.5,6.5,1154020,[0 0]
19991119,6.82,6.82,6.43,6.5,1714821,[0 0]
19991122,6.4,6.45,6.3,6.39,1747558,[1 1]
19991123,6.41,6.41,5.98,6.15,2244854,[0 1]
19991124,5.9,6.1,5.9,6.04,1825534,[1 0]
19991125,6.05,7.0,6.05,7.0,1871545,[0 0]
19991126,6.45,6.45,6.1,6.1,751722,[1 0]
19991129,6.3,6.4,6.16,6.4,1651416,[0 0]
19991130,6.2,6.3,6.07,6.08,2362837,[1 0]
19991201,6.1,6.1,5.85,6.0,2191737,[0 0]
19991202,6.26,6.26,6.1,6.1,971713,[1 1]
19991203,6.2,6.2,6.1,6.15,1895230,[1 0]
19991206,6.1,6.1,5.8,5.8,1688510,[0 0]
19991207,5.9,6.1,5.9,5.9,1663264,[1 1]
19991208,5.9,5.95,5.8,5.95,1301268,[1 1]
19991209,6.2,6.22,6.1,6.1,674533,[0 0]
19991210,6.05,6.1,5.9,5.9,1341490,[0 1]
19991213,6.0,6.0,5.73,5.8,1368268,[0 0]
19991214,6.0,6.0,5.85,5.85,1096962,[0 1]
19991215,5.73,5.8,5.7,5.8,1067538,[0 0]
19991216,5.5,6.0,5.5,6.0,334919,[0 0]
19991217,6.25,6.35,6.2,6.35,725675,[0 1]
19991220,6.72,6.72,6.29,6.29,893601,[1 0]
19991221,6.25,6.5,6.11,6.5,2199204,[0 0]
19991222,6.5,6.79,6.5,6.75,2146008,[1 0]
19991223,6.67,7.03,6.6,6.6,1651806,[1 0]
19991227,6.83,6.89,6.8,6.82,2226466,[0 1]
19991228,6.83,7.1,6.76,7.1,969464,[1 0]
19991229,7.4,7.8,7.16,7.76,3237564,[1 1]
19991230,7.75,8.3,7.75,8.3,957875,[0 0]
20010103,19.1,20.3,18.9,20.0,1165925,[0 1]
20010104,21.0,21.95,18.9,18.9,1857047,[1 0]
20010105,19.7,19.79,18.52,19.25,1496895,[0 1]
20010108,19.2,19.4,18.96,19.35,734411,[0 0]
20010109,19.86,21.15,19.4,19.4,999858,[1 0]
20010110,20.0,20.55,19.6,20.55,1101584,[0 1]
20010111,20.29,20.29,18.5,18.8,1937308,[0 0]
20010112,19.25,19.25,17.02,18.2,2880280,[0 0]
20010115,18.0,18.44,18.0,18.11,331902,[0 0]
20010116,19.11,19.11,17.9,18.1,762229,[0 0]
20010117,18.25,19.05,18.19,19.05,446936,[1 0]
20010118,18.99,19.75,18.75,19.5,377067,[0 0]
20010119,19.6,19.7,19.21,19.21,802348,[0 0]
20010122,19.29,19.29,18.7,19.0,572941,[0 1]
20010123,19.1,20.0,19.1,20.0,778315,[0 1]
20010124,20.29,21.15,19.4,20.51,1205484,[0 1]
20010126,21.0,21.0,19.5,19.7,1789887,[1 0]
20010129,20.0,20.65,19.9,20.62,740426,[1 1]
20010130,20.4,20.99,20.15,20.15,504542,[1 1]
20010131,20.25,20.92,20.25,20.43,465465,[0 0]
20010201,20.8,20.8,20.18,20.18,739882,[1 1]
20010202,20.15,20.5,20.0,20.0,319640,[1 1]
20010205,20.2,20.2,19.5,20.0,837585,[1 0]
20010206,20.0,20.0,19.5,19.87,468442,[1 0]
20010207,19.87,20.1,19.51,20.1,527342,[0 1]
20010208,20.0,20.3,19.75,19.82,323494,[1 1]
20010209,20.0,20.0,18.8,18.85,1294066,[0 0]
20010212,19.0,19.2,18.7,18.7,575558,[0 0]
20010213,19.0,19.0,18.61,18.9,254038,[0 1]
20010214,18.99,19.09,18.82,19.09,481156,[0 0]
20010215,19.95,19.95,18.65,18.71,461008,[1 1]
20010216,19.95,19.95,17.93,17.93,1067369,[1 1]
20010219,18.6,18.6,17.5,17.8,423359,[1 0]
20010220,17.9,18.4,17.9,18.3,683857,[0 0]
20010221,18.18,18.18,17.6,18.08,590381,[0 1]
20010222,18.6,18.6,17.8,18.0,268692,[1 1]
20010223,17.99,18.5,17.99,18.5,73912,[1 1]
