date,open,max,min,close,volume,y
20050713,19.0,20.99,18.5,19.3,12657392,[1 0]
20050714,21.0,21.0,20.02,20.9,1605925,[1 0]
20050715,20.5,20.6,19.9,19.9,1058307,[0 1]
20050718,20.1,20.6,20.1,20.6,1120911,[0 0]
20050719,20.3,20.55,20.01,20.55,895400,[1 0]
20050720,20.0,21.71,20.0,20.45,1571383,[1 1]
20050721,20.8,21.0,20.8,20.99,731848,[0 0]
20050722,21.0,21.28,20.52,20.52,1643090,[1 1]
20050725,20.45,21.29,20.06,20.31,1750837,[0 0]
20050726,20.3,20.5,20.05,20.5,335060,[1 1]
20050727,20.5,20.97,20.01,20.5,767668,[1 0]
20050728,20.49,21.1,20.03,21.1,837784,[1 1]
20050729,21.3,22.1,21.2,22.1,932173,[1 0]
20050801,22.0,22.27,21.6,22.0,574054,[0 1]
20050802,22.0,22.2,21.98,21.98,589556,[0 0]
20050803,22.0,22.5,20.1,22.0,1212460,[1 0]
20050804,21.61,23.5,21.61,23.5,579836,[0 1]
20050805,23.3,23.6,23.3,23.3,340480,[1 0]
20050808,23.5,24.0,23.0,23.0,701630,[1 1]
20050809,23.9,24.0,23.9,23.95,627895,[1 0]
20050810,24.0,24.8,24.0,24.1,863062,[1 0]
20050811,24.1,24.5,23.8,24.5,916790,[1 1]
20050812,24.0,24.0,22.51,24.0,778291,[1 1]
20050815,24.9,25.5,23.0,25.5,1260795,[0 0]
20050816,25.0,26.0,25.0,25.9,948600,[0 0]
20050817,25.3,26.0,25.3,26.0,343138,[0 0]
20050818,25.6,25.6,25.2,25.2,139880,[1 1]
20050819,25.1,25.1,24.0,24.1,306722,[1 0]
20050822,25.89,26.0,25.0,26.0,476473,[0 0]
20050823,25.4,25.45,25.1,25.45,1538461,[0 1]
20050824,25.15,25.4,24.15,24.31,251153,[0 0]
20050825,25.45,25.75,25.0,25.75,664973,[1 0]
20050826,25.35,25.35,25.35,25.35,187590,[1 0]
20050829,24.99,25.0,23.0,23.0,1442347,[1 0]
20050830,24.01,24.01,24.0,24.0,31205,[1 1]
20050831,24.3,24.5,24.3,24.5,392125,[0 1]
20050901,24.5,24.65,24.0,24.1,670855,[0 1]
20050902,24.7,25.0,24.7,24.95,79690,[1 1]
20050905,25.4,25.75,25.0,25.0,667180,[1 1]
20050906,26.0,26.0,24.0,25.5,556350,[0 1]
20050908,25.5,26.0,24.0,24.0,613650,[0 1]
20050909,24.0,25.0,24.0,24.5,484146,[1 1]
20050912,24.5,25.0,23.2,23.2,348470,[1 0]
20050913,24.4,25.95,23.3,23.3,861579,[1 1]
20050914,24.0,24.7,23.4,23.42,975371,[1 0]
20050915,24.1,24.53,24.1,24.41,297944,[1 1]
20050916,25.0,26.5,25.0,26.5,1150260,[0 1]
20050919,25.9,26.0,25.1,25.8,476870,[1 0]
20050920,25.8,26.51,25.51,25.72,949962,[0 1]
20050921,26.3,26.3,25.25,25.25,347100,[0 0]
20050922,25.99,26.98,25.0,25.0,374764,[1 0]
20050923,25.8,25.85,25.0,25.0,386770,[0 0]
20050926,26.5,26.5,24.75,24.8,616473,[1 0]
20050927,25.0,25.2,24.6,25.2,302930,[0 1]
20050929,26.0,27.0,25.0,27.0,267345,[0 0]
20051003,26.9,27.99,24.25,27.99,1130088,[0 1]
20051004,26.0,26.0,25.0,25.0,245501,[1 1]
20051005,25.0,25.0,24.4,24.4,346100,[1 0]
20051006,24.56,24.93,23.8,23.8,249999,[0 1]
20051007,23.01,23.01,23.01,23.01,184080,[1 0]
20051010,24.5,26.0,24.0,26.0,263500,[1 1]
20051011,23.7,23.7,23.7,23.7,163530,[1 1]
20051013,23.7,23.9,23.1,23.1,425450,[0 1]
20051014,23.9,27.0,23.9,27.0,124800,[0 1]
20051017,23.8,23.8,22.51,22.58,158656,[1 0]
20051018,22.8,22.8,22.8,22.8,312360,[1 1]
20051019,22.2,22.2,22.2,22.2,170940,[0 1]
20051020,22.2,25.0,22.0,25.0,376898,[0 0]
20051021,21.27,21.4,21.27,21.4,78841,[1 0]
20051024,22.4,22.4,21.8,21.8,227540,[1 0]
20051025,22.5,22.5,22.5,22.5,101250,[0 1]
20051026,22.55,22.55,21.39,21.39,379917,[1 0]
20051027,22.55,22.55,21.5,21.5,293750,[1 0]
20051028,21.6,21.8,21.5,21.5,123110,[1 1]
20051031,22.4,22.4,22.05,22.05,19990,[0 0]
20051101,22.4,22.4,22.4,22.4,24640,[1 0]
20051103,22.4,23.2,21.0,23.2,1330090,[1 0]
20051104,23.1,23.6,23.0,23.6,83680,[1 0]
20051107,24.0,24.0,23.9,24.0,704475,[1 0]
20051108,24.0,24.0,23.5,24.0,271450,[0 1]
20051109,22.49,25.0,22.49,25.0,255958,[0 1]
20051110,23.8,23.9,23.62,23.62,356600,[0 0]
20051111,23.67,25.0,23.67,23.82,302904,[1 0]
20051116,24.14,25.2,24.14,24.2,308122,[0 1]
20051117,25.85,25.85,24.51,24.51,336907,[1 1]
20051118,25.45,25.85,25.15,25.85,307980,[0 0]
20051121,25.5,25.5,24.6,24.6,116670,[0 1]
20051122,24.2,25.0,24.0,25.0,665376,[1 1]
20051123,25.0,25.85,25.0,25.85,503424,[0 1]
20051124,25.0,26.2,25.0,26.2,903187,[0 1]
20051125,25.5,26.2,25.5,26.2,130860,[1 1]
20051128,26.0,26.5,25.15,26.5,449455,[1 0]
20051129,24.56,27.0,24.56,27.0,376857,[1 0]
20051130,26.9,27.15,26.15,26.15,419660,[0 1]
20051201,33.2,33.2,27.0,27.0,76840,[0 1]
20051202,27.7,27.7,27.7,27.7,83100,[1 0]
20051205,26.3,26.3,26.3,26.3,193600,[1 0]
20051206,28.0,29.0,26.2,26.2,204820,[1 1]
20051207,25.12,27.0,25.12,27.0,624240,[0 0]
20051208,27.0,27.0,25.0,25.0,129810,[0 1]
20051209,24.75,25.55,24.75,24.8,52145,[1 1]
20051212,25.9,27.0,25.5,27.0,217800,[0 1]
20051213,25.99,26.5,24.0,26.5,406133,[0 1]
20051214,24.5,26.5,24.5,26.5,183794,[1 0]
20051215,25.5,25.5,25.0,25.0,138150,[0 1]
20051216,26.5,26.5,26.5,26.5,21200,[0 1]
20051219,26.0,29.0,24.53,24.53,688873,[1 0]
20051220,24.51,24.51,24.5,24.51,90657,[1 0]
20051221,26.6,27.0,26.6,26.84,163429,[1 0]
