date,open,max,min,close,volume,y
20080602,11.2,11.2,11.0,11.06,6289900,[0 0]
20080603,10.95,11.0,10.76,10.85,5454200,[0 0]
20080604,10.87,10.88,10.7,10.8,1401900,[1 0]
20080605,10.7,10.7,10.51,10.51,6578200,[1 0]
20080606,10.55,10.55,10.01,10.1,14303900,[1 0]
20080609,10.2,10.5,10.2,10.2,411000,[1 0]
20080610,10.2,10.2,10.12,10.12,1427200,[0 0]
20080611,10.25,10.25,10.2,10.25,6252000,[0 0]
20080612,10.25,10.25,10.0,10.0,7745600,[1 0]
20080613,9.91,10.18,9.6,9.99,6318200,[0 1]
20080616,9.8,9.85,9.61,9.61,3674000,[0 0]
20080617,9.72,9.99,9.72,9.96,6042800,[0 0]
20080618,9.9,9.9,9.9,9.9,99000,[0 0]
20080619,9.9,10.47,9.73,9.81,3383700,[1 1]
20080620,9.7,9.8,9.7,9.7,3594000,[1 0]
20080623,9.7,9.7,9.61,9.61,3089600,[1 0]
20080624,9.6,9.6,9.21,9.3,4917000,[0 1]
20080625,9.25,9.98,9.25,9.98,8427200,[0 1]
20080626,9.55,9.7,9.5,9.51,4020900,[0 1]
20080627,9.51,9.51,9.11,9.5,3173400,[0 0]
20080630,9.5,9.6,9.35,9.6,5009600,[1 0]
20080701,9.41,9.84,9.27,9.32,3438200,[1 0]
20080702,9.3,9.3,8.85,8.9,12232800,[0 1]
20080703,8.95,8.95,8.8,8.8,3192700,[1 0]
20080704,8.71,8.95,8.5,8.5,4788400,[0 0]
20080707,8.5,8.63,8.0,8.0,10519900,[0 1]
20080708,7.94,7.95,7.6,7.85,8340000,[0 0]
20080710,8.4,8.4,8.0,8.0,4200300,[1 1]
20080711,8.1,8.3,8.1,8.2,1547000,[0 1]
20080714,8.3,8.4,8.3,8.4,500000,[0 1]
20080715,8.0,8.25,8.0,8.25,13946600,[0 1]
20080716,8.15,8.45,8.15,8.45,18835000,[0 0]
20080717,8.2,8.43,8.1,8.3,3452800,[1 0]
20080718,8.02,8.35,8.02,8.21,7589300,[1 0]
20080721,8.3,8.3,8.3,8.3,664000,[0 1]
20080722,8.25,8.25,8.15,8.15,819000,[1 0]
20080723,8.19,8.2,8.1,8.2,1883000,[0 0]
20080724,8.2,8.2,8.0,8.0,2654800,[0 0]
20080725,8.2,8.2,8.1,8.1,568000,[1 1]
20080728,8.1,8.1,8.0,8.0,4086200,[0 0]
20080729,8.0,8.0,8.0,8.0,3760000,[1 0]
20080730,8.0,8.1,8.0,8.1,2883500,[0 1]
20080731,8.0,8.01,8.0,8.0,3680300,[1 1]
20080801,8.0,8.01,8.0,8.01,240200,[0 0]
20080804,8.1,8.2,7.8,7.8,5704900,[0 0]
20080805,7.8,7.85,7.8,7.8,2965000,[1 0]
20080806,7.8,7.9,7.66,7.9,5116800,[1 0]
20080807,7.9,8.0,7.9,8.0,2236000,[0 0]
20080808,7.9,7.9,7.9,7.9,79000,[0 0]
20080811,8.1,8.1,7.9,7.9,8541000,[0 0]
20080812,7.8,7.9,7.72,7.9,1401700,[0 0]
20080813,7.8,7.8,7.72,7.72,5831900,[0 1]
20080814,7.72,7.85,7.65,7.85,4159700,[1 1]
20080815,7.7,7.7,7.7,7.7,693000,[0 1]
20080818,7.7,7.71,7.65,7.65,1694500,[0 1]
20080819,7.65,7.9,7.65,7.7,4219500,[1 0]
20080820,7.67,8.1,7.66,8.05,5248500,[0 0]
20080821,8.05,8.05,8.05,8.05,1610000,[0 1]
20080822,8.25,8.25,8.0,8.2,8742500,[0 1]
20080825,8.19,8.19,8.19,8.19,1474200,[0 1]
20080826,8.3,8.94,8.3,8.8,3787400,[1 0]
20080827,8.6,8.6,8.5,8.5,5500000,[0 0]
20080828,8.4,8.8,8.31,8.8,1966000,[1 0]
20080829,8.5,8.5,8.5,8.5,1700000,[1 0]
20080902,8.5,8.5,8.5,8.5,4590000,[1 1]
20080903,8.51,8.76,8.22,8.76,6286300,[0 0]
20080904,8.21,8.21,8.01,8.01,483900,[0 1]
20080905,8.2,8.2,8.2,8.2,1230000,[0 0]
20080908,8.2,8.2,8.2,8.2,164000,[1 0]
20080909,8.2,8.2,7.65,7.65,17809300,[0 1]
20080910,7.7,7.75,7.7,7.71,925700,[1 0]
20080911,8.0,8.33,7.68,8.33,2325300,[0 1]
20080912,8.0,8.2,8.0,8.2,162000,[0 1]
20080915,7.66,7.66,7.03,7.6,9334800,[1 0]
20080916,7.6,7.6,7.5,7.6,4818900,[1 0]
20080917,7.6,7.97,7.36,7.6,7518800,[1 0]
20080918,7.6,7.61,7.6,7.6,2508100,[0 0]
20080919,8.25,8.26,8.0,8.2,4495700,[0 0]
20080922,8.2,8.48,8.2,8.48,166800,[1 0]
20080923,8.08,8.2,8.0,8.2,1455800,[1 0]
20080924,8.11,8.11,8.05,8.05,645700,[0 1]
20080925,8.05,8.35,8.05,8.35,1640000,[1 0]
20080926,8.11,8.11,8.0,8.0,4243300,[1 0]
20080929,8.0,8.0,7.46,7.46,3899400,[1 1]
20080930,8.0,8.4,8.0,8.39,13976800,[0 0]
20081001,8.29,9.4,8.29,9.4,11770900,[0 1]
20081002,9.0,9.5,9.0,9.5,2442500,[1 0]
20081003,9.0,9.5,8.85,8.85,812400,[1 1]
20081006,8.85,8.85,7.61,7.99,4780600,[0 1]
20081007,8.45,8.45,7.85,7.85,645900,[1 1]
20081008,7.01,7.5,7.01,7.5,1220400,[1 1]
20081009,8.0,8.0,8.0,8.0,80000,[0 1]
20081010,7.4,7.6,6.9,7.6,2460700,[0 1]
