date,open,max,min,close,volume,y
20080724,23.0,23.0,23.0,23.0,184000,[0 0]
20080728,22.79,22.79,22.79,22.79,166367,[0 1]
20080731,20.95,22.2,20.9,22.2,532000,[0 0]
20080801,21.5,21.5,21.5,21.5,215000,[0 1]
20080804,23.0,23.0,22.5,22.5,195650,[0 0]
20080805,21.0,22.0,21.0,22.0,97600,[0 0]
20080806,19.83,19.83,19.83,19.83,31728,[0 1]
20080807,19.01,19.01,19.01,19.01,62733,[1 0]
20080808,21.3,21.3,21.3,21.3,70290,[0 1]
20080820,22.0,22.99,20.0,20.0,258434,[0 1]
20080821,20.0,20.0,20.0,20.0,66000,[1 0]
20080827,20.0,20.0,20.0,20.0,10000,[1 1]
20080829,19.0,19.89,19.0,19.89,137868,[1 0]
20080901,19.75,19.75,19.75,19.75,59250,[1 0]
20080902,19.75,20.0,19.75,20.0,341230,[0 0]
20080903,20.51,20.51,20.51,20.51,20510,[1 0]
20080904,20.55,20.55,20.5,20.5,131355,[1 1]
20080909,17.5,17.5,17.5,17.5,28000,[0 0]
20080910,19.01,19.02,18.0,18.0,236072,[0 1]
20080912,18.0,18.0,18.0,18.0,28800,[1 0]
20080915,15.0,18.5,15.0,18.5,152550,[0 0]
20080916,18.7,18.7,18.7,18.7,11220,[1 0]
20080917,16.0,16.0,15.11,15.11,111729,[1 0]
20080918,16.0,16.0,16.0,16.0,80000,[1 0]
20080919,17.0,17.0,16.6,16.8,118400,[1 0]
20080924,18.0,20.1,18.0,20.1,19050,[0 0]
20080926,15.95,15.95,15.95,15.95,31900,[1 0]
20080929,16.0,16.0,16.0,16.0,148800,[1 0]
20080930,15.06,15.5,15.0,15.0,28722,[0 1]
20081001,13.0,13.0,13.0,13.0,71500,[0 0]
20081002,13.0,13.0,13.0,13.0,6500,[1 0]
20081003,14.0,14.5,14.0,14.2,182480,[0 1]
20081006,11.0,11.0,11.0,11.0,2200,[0 1]
20081007,11.7,11.7,11.7,11.7,115830,[0 0]
20081008,9.0,9.0,9.0,9.0,21600,[1 1]
20081013,11.85,15.0,11.85,15.0,155298,[0 1]
20081014,15.0,15.0,15.0,15.0,34500,[0 1]
20081015,14.9,14.9,14.9,14.9,23840,[1 0]
20081017,15.65,15.65,15.65,15.65,25040,[1 0]
20081020,16.5,17.0,16.25,16.25,263000,[0 0]
20081021,16.25,16.25,16.25,16.25,45500,[0 0]
20081022,15.1,15.1,15.1,15.1,126840,[0 1]
20081023,15.54,15.54,14.98,14.98,29470,[0 1]
20081024,15.8,15.8,11.0,15.8,309388,[1 1]
20081103,13.7,13.7,12.5,13.65,332135,[1 0]
20081105,14.7,16.9,14.5,14.5,81850,[0 0]
20081106,14.09,14.09,14.09,14.09,52133,[1 0]
20081110,15.94,16.1,14.65,15.8,292886,[0 0]
20081111,13.45,15.0,13.45,14.01,88485,[1 0]
20081112,15.0,15.0,15.0,15.0,1500,[1 0]
20081113,16.0,16.98,13.0,14.6,153048,[1 0]
20081117,14.6,14.6,14.6,14.6,19025,[1 1]
20081121,13.9,13.9,13.9,13.9,8340,[1 0]
20081124,15.98,15.98,12.65,15.0,144997,[0 0]
20081126,13.0,13.0,13.0,13.0,50700,[0 0]
20081127,14.0,14.95,14.0,14.95,292755,[0 1]
20081128,12.5,13.5,12.5,13.5,83500,[0 1]
20081201,13.75,13.75,13.5,13.5,119200,[1 1]
20081203,13.77,13.77,13.77,13.77,1377,[1 0]
20081204,13.0,13.0,13.0,13.0,45500,[1 0]
20081205,13.7,13.7,12.5,12.5,43600,[0 1]
20081208,14.0,14.0,13.5,13.5,139000,[1 1]
20081209,13.0,13.0,12.51,12.51,51020,[1 0]
20081210,12.52,12.52,12.48,12.48,113698,[1 1]
20081211,13.9,13.9,13.9,13.9,23630,[0 0]
20081212,11.5,11.5,11.01,11.01,76217,[1 0]
20081215,13.0,13.0,13.0,13.0,26000,[1 1]
20081216,11.0,11.0,11.0,11.0,2200,[0 0]
20081217,10.99,10.99,10.99,10.99,3297,[0 0]
20081218,11.2,11.2,11.2,11.2,28000,[0 1]
20081219,11.5,13.95,11.5,11.7,185125,[1 0]
20081222,11.65,11.65,11.2,11.64,232969,[1 0]
20081223,11.0,13.88,11.0,13.88,139762,[0 1]
20081226,11.8,11.8,11.0,11.01,40104,[0 1]
20081230,12.0,12.72,12.0,12.0,247756,[0 0]
20090102,12.5,12.5,12.5,12.5,123750,[1 0]
20090105,12.5,12.5,11.99,11.99,92654,[1 0]
20090106,13.32,14.0,13.32,14.0,115889,[1 1]
20090107,13.5,14.0,13.5,13.9,240930,[1 0]
20090108,12.04,13.68,12.04,13.68,137094,[1 0]
20090109,13.67,13.67,13.65,13.67,131098,[1 0]
20090113,13.25,13.25,13.2,13.2,87370,[1 1]
20090115,13.0,13.2,13.0,13.2,65260,[1 1]
20090119,13.01,13.01,13.01,13.01,13010,[0 0]
20090120,13.4,13.4,13.4,13.4,21440,[1 0]
20090122,13.0,13.0,12.53,12.53,19077,[0 0]
20090127,12.6,12.6,12.6,12.6,126000,[1 0]
20090128,12.35,12.99,12.35,12.99,84710,[0 1]
20090130,13.8,13.8,13.8,13.8,22080,[0 0]
20090202,13.97,13.97,13.97,13.97,88011,[1 0]
20090203,13.97,13.97,13.97,13.97,11176,[0 0]
20090206,12.9,12.9,12.9,12.9,23220,[0 0]
20090211,11.0,11.0,10.9,10.9,84500,[0 1]
20090212,11.15,11.15,11.15,11.15,99235,[0 0]
20090213,11.05,11.05,10.0,10.7,273875,[1 0]
20090216,10.7,10.7,10.7,10.7,38520,[1 1]
20090217,10.3,10.3,10.3,10.3,28840,[0 1]
20090218,10.31,11.0,10.31,11.0,75835,[1 1]
20090220,10.1,10.31,9.3,10.31,108389,[0 1]
20090225,9.61,10.75,9.61,10.75,247695,[0 1]
20090226,10.3,10.3,10.3,10.3,1030,[1 1]
20090227,10.9,11.0,9.6,10.41,165365,[1 0]
20090302,11.0,11.0,10.3,10.3,71290,[1 0]
20090303,10.7,11.01,10.7,11.01,156857,[0 1]
20090304,11.5,11.5,11.5,11.5,23000,[0 1]
20090306,12.26,13.5,12.26,13.5,123714,[1 1]
20090310,13.45,13.45,10.21,12.61,34074,[1 0]
20090312,12.5,12.5,12.5,12.5,41250,[0 0]
20090313,12.5,12.5,11.5,12.5,126700,[0 1]
20090316,12.0,12.0,12.0,12.0,72000,[0 0]
20090317,11.1,12.0,11.1,12.0,84630,[1 1]
20090318,11.53,12.49,11.53,11.56,81858,[1 1]
20090327,11.8,11.8,11.8,11.8,4720,[0 0]
20090330,10.31,11.15,10.31,11.15,34246,[0 1]
20090401,11.6,11.65,11.6,11.65,58010,[0 0]
20090403,11.67,11.79,11.67,11.79,42204,[1 0]
20090406,11.99,11.99,11.99,11.99,17985,[1 1]
20090407,12.0,12.0,12.0,12.0,30000,[0 1]
20090408,12.0,12.0,11.95,11.95,46730,[1 0]
20090409,12.0,12.0,12.0,12.0,22800,[1 0]
20090414,12.0,12.0,12.0,12.0,19200,[0 1]
20090415,12.07,12.07,11.22,11.22,36142,[0 1]
20090416,11.9,11.9,11.9,11.9,39270,[0 1]
20090417,12.2,12.2,12.2,12.2,40260,[0 0]
20090422,12.47,12.47,12.43,12.43,52310,[1 0]
20090424,13.45,13.5,13.45,13.5,24225,[1 1]
20090427,13.1,13.5,13.1,13.5,145270,[1 0]
20090428,13.1,13.9,13.1,13.9,48600,[1 0]
20090512,17.0,17.0,17.0,17.0,68000,[0 1]
20090513,17.0,17.8,17.0,17.0,141000,[0 0]
20090514,18.05,18.05,17.0,17.0,175795,[1 1]
20090515,19.0,19.49,18.81,18.81,338250,[0 0]
20090518,18.3,18.3,18.3,18.3,117120,[1 0]
20090519,19.0,20.1,19.0,20.1,254860,[0 1]
20090520,20.03,25.0,19.9,25.0,470420,[0 1]
20090521,20.15,24.95,20.0,20.0,391980,[0 1]
20090522,19.95,20.0,19.95,20.0,131800,[0 1]
20090526,24.86,24.86,19.7,20.0,342535,[0 1]
20090527,17.2,21.0,17.2,19.4,707812,[0 1]
20090528,19.0,19.0,17.3,18.75,362020,[0 1]
20090529,19.3,19.3,19.29,19.3,300992,[1 1]
20090601,25.0,25.0,20.22,20.9,602737,[0 0]
20090602,20.8,20.8,20.8,20.8,114500,[0 0]
20090605,20.5,23.95,20.5,21.09,392310,[1 0]
20090608,20.05,20.09,20.05,20.09,285860,[0 0]
20090609,19.5,19.5,19.01,19.01,88132,[1 1]
20090612,20.0,23.48,19.0,19.6,657940,[0 1]
20090622,18.55,18.55,17.0,18.4,207710,[0 0]
20090624,18.75,19.8,18.75,19.8,181500,[0 0]
20090626,17.8,17.8,17.8,17.8,1780,[1 1]
20090629,17.2,17.66,17.2,17.66,55776,[1 0]
20090701,15.0,19.0,15.0,19.0,120278,[0 1]
20090703,18.2,18.2,16.46,16.46,130364,[0 0]
20090707,18.0,18.0,18.0,18.0,90000,[1 0]
20090716,16.0,16.0,16.0,16.0,3200,[0 1]
20090717,18.0,18.0,18.0,18.0,28800,[1 1]
20090720,16.0,19.1,16.0,19.1,90880,[0 0]
20090723,20.5,20.5,20.5,20.5,106600,[0 0]
20090727,20.79,20.79,20.19,20.19,6148,[1 0]
20090728,20.3,21.49,20.3,21.0,631682,[1 0]
20090729,21.0,21.0,20.5,20.5,62200,[1 1]
20090730,21.0,21.35,21.0,21.35,53340,[0 1]
20090731,21.35,21.35,21.35,21.35,21350,[0 0]
20090804,22.9,23.0,22.8,22.8,187630,[0 0]
20090805,22.75,23.2,22.75,23.2,440320,[0 1]
20090806,24.5,25.0,23.9,23.9,283290,[1 1]
20090810,23.99,23.99,23.99,23.99,2399,[0 1]
20090813,23.15,23.15,23.15,23.15,39355,[1 0]
20090814,23.15,23.15,23.15,23.15,34725,[1 0]
20090817,22.0,24.0,22.0,24.0,362727,[1 0]
20090818,24.0,24.0,24.0,24.0,9600,[1 0]
20090819,23.95,24.0,23.95,24.0,239635,[1 1]
20090820,23.76,23.76,23.0,23.0,115076,[1 1]
20090821,24.5,24.5,24.5,24.5,122500,[1 0]
20090826,23.5,23.5,23.5,23.5,28200,[1 0]
20090828,23.0,23.5,23.0,23.5,55600,[1 1]
20090831,22.75,25.0,22.75,25.0,39507,[1 1]
20090904,25.0,25.0,22.95,23.5,308750,[1 1]
20090908,23.5,23.5,18.01,18.01,112010,[1 1]
20090909,21.65,21.65,21.65,21.65,45465,[0 1]
20090910,21.65,21.65,21.25,21.25,108415,[0 1]
20090914,21.25,21.25,21.25,21.25,209150,[1 1]
20090916,21.0,21.2,17.06,21.2,1503998,[0 0]
20090917,20.81,21.0,20.81,21.0,303236,[1 1]
20090918,20.5,21.0,20.5,21.0,102100,[1 0]
20090921,20.99,21.0,20.99,21.0,50392,[0 0]
20090922,22.2,22.2,21.2,21.2,261520,[1 0]
20090923,21.0,21.0,21.0,21.0,130200,[1 0]
20090924,20.5,20.5,17.61,17.61,335155,[1 0]
20090925,20.3,20.3,20.3,20.3,133980,[1 1]
20090928,20.2,20.2,20.15,20.2,92910,[0 1]
20090929,20.3,20.3,20.3,20.3,89320,[0 1]
20090930,20.3,24.12,20.3,24.12,286916,[0 1]
20091001,18.17,18.17,18.17,18.17,29072,[0 1]
20091002,19.01,21.98,19.01,20.6,54283,[0 1]
20091005,21.0,21.89,20.99,21.89,238280,[0 0]
20091006,21.9,22.0,21.9,22.0,329670,[1 1]
20091007,23.8,23.8,20.17,20.17,398942,[0 1]
20091008,20.0,29.86,20.0,21.6,378600,[1 0]
20091009,21.5,21.5,21.5,21.5,90300,[1 0]
20091013,21.79,22.88,21.79,21.85,414556,[0 1]
20091014,23.0,23.0,22.11,22.11,225550,[1 0]
20091015,22.0,23.93,22.0,23.93,264314,[1 0]
20091020,23.98,23.98,23.98,23.98,119900,[0 1]
20091021,21.5,22.5,21.5,22.5,412112,[1 0]
20091023,24.0,25.0,24.0,25.0,123400,[1 0]
20091026,29.89,29.89,23.2,23.2,252740,[0 0]
20091029,22.85,22.85,22.85,22.85,45700,[0 0]
