date,open,max,min,close,volume,y
19980316,0.28,0.3,0.28,0.3,170000,[0 0]
19980317,0.3,0.3,0.3,0.3,420000,[0 1]
19980318,0.3,0.3,0.3,0.3,300000,[0 0]
19980319,0.28,0.28,0.28,0.28,140000,[1 1]
19980320,0.29,0.3,0.29,0.29,619000,[0 0]
19980323,0.29,0.29,0.29,0.29,87000,[0 0]
19980324,0.28,0.28,0.28,0.28,504000,[1 0]
19980325,0.29,0.31,0.29,0.31,5799000,[0 1]
19980327,0.3,0.35,0.3,0.35,674000,[1 0]
19980330,0.33,0.33,0.33,0.33,231000,[1 0]
19980331,0.3,0.33,0.3,0.33,2525000,[1 1]
19980401,0.32,0.32,0.32,0.32,64000,[1 1]
19980403,0.32,0.32,0.32,0.32,480000,[1 1]
19980408,0.3,0.35,0.3,0.35,514000,[1 1]
19980414,0.33,0.33,0.27,0.32,1473000,[0 1]
19980415,0.31,0.31,0.31,0.31,124000,[0 0]
19980416,0.32,0.33,0.31,0.33,1749000,[0 0]
19980417,0.34,0.35,0.34,0.35,205000,[1 1]
19980422,0.34,0.34,0.34,0.34,102000,[1 0]
19980423,0.37,0.37,0.37,0.37,37000,[0 0]
19980427,0.38,0.38,0.35,0.35,433000,[0 1]
19980428,0.36,0.38,0.35,0.38,144000,[1 0]
19980429,0.38,0.4,0.38,0.4,78000,[0 1]
19980430,0.4,0.49,0.4,0.42,2119000,[1 0]
19980504,0.42,0.5,0.42,0.5,3770000,[0 0]
19980505,0.5,0.54,0.5,0.54,1256000,[0 0]
19980506,0.53,0.6,0.53,0.6,4075000,[0 0]
19980507,0.62,0.7,0.62,0.65,5845000,[0 0]
19980508,0.7,0.75,0.67,0.67,5344000,[0 0]
19980511,0.66,0.66,0.6,0.6,2062000,[0 1]
19980512,0.55,0.62,0.55,0.62,299000,[0 0]
19980513,0.58,0.6,0.58,0.6,1369000,[0 0]
19980514,0.6,0.63,0.6,0.6,1885000,[0 1]
19980518,0.55,0.55,0.52,0.52,1400000,[0 0]
19980519,0.52,0.52,0.52,0.52,520000,[0 0]
19980520,0.56,0.57,0.53,0.53,3281000,[0 0]
19980521,0.56,0.57,0.56,0.56,393000,[0 0]
19980522,0.54,0.62,0.52,0.58,1261000,[0 0]
19980525,0.55,0.55,0.55,0.55,1430000,[0 0]
19980526,0.54,0.54,0.5,0.5,1572000,[0 1]
19980527,0.5,0.5,0.48,0.48,920000,[0 1]
19980528,0.48,0.48,0.48,0.48,480000,[0 0]
19980529,0.49,0.49,0.49,0.49,490000,[1 1]
19980601,0.54,0.54,0.54,0.54,810000,[0 0]
19980602,0.51,0.52,0.5,0.5,1612000,[1 0]
19980603,0.51,0.51,0.5,0.5,1755000,[0 0]
19980604,0.5,0.6,0.5,0.51,16407000,[0 0]
19980605,0.51,0.7,0.51,0.7,8986000,[0 0]
19980608,0.65,0.65,0.61,0.65,898000,[0 1]
19980609,0.6,0.6,0.6,0.6,240000,[1 1]
19980610,0.6,0.6,0.6,0.6,1200000,[0 1]
19980612,0.59,0.59,0.55,0.55,609000,[0 1]
19980624,0.55,0.55,0.55,0.55,220000,[0 1]
19980625,0.55,0.55,0.55,0.55,42350000,[1 0]
19980702,0.53,0.53,0.47,0.47,36501000,[1 1]
19980703,0.47,0.47,0.47,0.47,188000,[0 0]
19980706,0.42,0.42,0.42,0.42,42000,[1 0]
19980707,0.42,0.42,0.42,0.42,126000,[0 1]
19980708,0.42,0.42,0.38,0.38,346000,[0 1]
19980713,0.37,0.37,0.37,0.37,259000,[0 0]
19980715,0.39,0.4,0.39,0.4,118000,[1 0]
19980722,0.38,0.38,0.36,0.36,2137000,[0 0]
19980723,0.36,0.36,0.36,0.36,108000,[1 0]
19980724,0.34,0.34,0.34,0.34,102000,[0 0]
19980728,0.33,0.33,0.33,0.33,33000,[1 1]
19980729,0.31,0.31,0.3,0.3,1261000,[1 1]
19980730,0.31,0.31,0.31,0.31,620000,[0 0]
19980803,0.31,0.31,0.31,0.31,310000,[0 1]
19980804,0.31,0.31,0.31,0.31,31000,[1 0]
19980805,0.31,0.31,0.31,0.31,62000,[1 1]
19980806,0.31,0.31,0.31,0.31,31000,[0 1]
19980810,0.31,0.31,0.31,0.31,31000,[0 0]
19980811,0.31,0.31,0.31,0.31,31000,[0 0]
19980812,0.32,0.32,0.31,0.31,1892000,[0 0]
19980813,0.31,0.31,0.31,0.31,527000,[0 1]
19980814,0.29,0.29,0.29,0.29,29000,[0 0]
19980817,0.26,0.26,0.26,0.26,104000,[0 1]
19980818,0.26,0.26,0.26,0.26,156000,[1 1]
19980819,0.26,0.26,0.26,0.26,520000,[1 0]
19980826,0.22,0.22,0.22,0.22,132000,[0 0]
19980827,0.21,0.23,0.19,0.23,595000,[1 0]
19980831,0.21,0.21,0.18,0.18,255000,[0 0]
19980902,0.23,0.23,0.23,0.23,23000,[1 0]
19980904,0.21,0.21,0.21,0.21,21000,[0 1]
19980910,0.19,0.19,0.18,0.18,37000,[1 0]
19980915,0.2,0.27,0.2,0.27,181000,[0 1]
19980916,0.35,0.35,0.32,0.32,67000,[0 1]
19980928,0.25,0.25,0.25,0.25,50000,[0 1]
19981006,0.2,0.2,0.2,0.2,20000,[0 0]
19981013,0.21,0.21,0.21,0.21,231000,[1 1]
19981014,0.2,0.2,0.2,0.2,80000,[1 1]
19981015,0.2,0.2,0.2,0.2,100000,[1 1]
19981019,0.21,0.21,0.2,0.2,41000,[1 0]
19981022,0.2,0.2,0.2,0.2,200000,[1 0]
19981026,0.18,0.18,0.18,0.18,108000,[1 1]
19981027,0.18,0.18,0.18,0.18,180000,[1 1]
19981104,0.17,0.17,0.17,0.17,85000,[0 0]
19981105,0.16,0.16,0.16,0.16,64000,[0 1]
19981109,0.19,0.23,0.19,0.23,150000,[1 0]
19981110,0.25,0.26,0.25,0.26,51000,[0 1]
19981111,0.32,0.32,0.32,0.32,32000,[1 0]
19981112,0.3,0.31,0.3,0.31,274000,[1 1]
19981125,0.31,0.32,0.31,0.32,63000,[1 1]
19981202,0.32,0.32,0.32,0.32,64000,[0 0]
19981209,0.36,0.36,0.36,0.36,72000,[0 1]
19981218,0.29,0.29,0.29,0.29,29000,[0 1]
19981229,0.35,0.35,0.35,0.35,35000,[0 0]
19981230,0.35,0.38,0.35,0.38,108000,[0 1]
19990119,0.31,0.31,0.31,0.31,248000,[1 0]
19990120,0.33,0.33,0.33,0.33,33000,[1 0]
19990129,0.35,0.38,0.35,0.35,493000,[0 1]
19990201,0.35,0.37,0.35,0.35,494000,[0 1]
19990202,0.35,0.35,0.35,0.35,35000,[0 1]
19990203,0.36,0.36,0.36,0.36,360000,[0 0]
19990204,0.33,0.33,0.33,0.33,33000,[0 0]
19990205,0.32,0.35,0.3,0.32,8137000,[1 1]
19990219,0.32,0.33,0.32,0.33,131000,[0 1]
19990223,0.32,0.32,0.32,0.32,448000,[1 1]
19990301,0.35,0.35,0.35,0.35,35000,[1 1]
19990303,0.32,0.32,0.32,0.32,96000,[0 0]
19990309,0.3,0.3,0.3,0.3,300000,[0 0]
19990311,0.32,0.32,0.32,0.32,32000,[1 1]
19990319,0.32,0.32,0.32,0.32,320000,[0 1]
19990322,0.32,0.32,0.32,0.32,640000,[0 0]
19990325,0.3,0.3,0.3,0.3,30000,[0 1]
19990331,0.3,0.32,0.3,0.32,362000,[1 0]
19990405,0.32,0.32,0.32,0.32,128000,[0 0]
19990406,0.32,0.32,0.32,0.32,96000,[1 0]
19990407,0.31,0.31,0.3,0.3,555000,[0 0]
19990412,0.31,0.35,0.31,0.34,868000,[0 0]
19990414,0.37,0.4,0.37,0.4,3260000,[0 0]
19990415,0.4,0.43,0.4,0.41,2162000,[0 0]
19990416,0.43,0.43,0.43,0.43,43000,[0 0]
19990428,0.4,0.4,0.4,0.4,40000,[1 1]
19990430,0.38,0.38,0.37,0.37,223000,[1 0]
19990504,0.35,0.35,0.35,0.35,35000,[0 0]
19990506,0.37,0.37,0.37,0.37,37000,[1 0]
19990507,0.38,0.38,0.38,0.38,114000,[0 0]
19990512,0.35,0.35,0.35,0.35,210000,[0 1]
19990513,0.36,0.36,0.36,0.36,36000,[1 0]
19990514,0.37,0.37,0.37,0.37,111000,[0 1]
19990517,0.36,0.36,0.36,0.36,108000,[0 0]
19990520,0.37,0.38,0.37,0.38,787000,[0 1]
19990521,0.37,0.37,0.37,0.37,740000,[0 0]
19990524,0.36,0.36,0.36,0.36,144000,[0 1]
19990525,0.36,0.36,0.35,0.35,1262000,[1 1]
19990527,0.32,0.32,0.32,0.32,32000,[0 1]
19990531,0.33,0.33,0.3,0.3,893000,[0 1]
19990601,0.28,0.28,0.24,0.24,52000,[1 0]
19990602,0.2,0.23,0.2,0.22,284000,[1 0]
19990604,0.28,0.28,0.28,0.28,84000,[0 0]
19990607,0.28,0.28,0.28,0.28,28000,[1 0]
19990610,0.26,0.26,0.26,0.26,26000,[1 0]
19990611,0.29,0.29,0.26,0.26,171000,[0 0]
19990615,0.27,0.27,0.27,0.27,27000,[0 0]
19990616,0.28,0.28,0.28,0.28,28000,[1 0]
19990617,0.32,0.32,0.3,0.31,248000,[0 0]
19990618,0.32,0.32,0.32,0.32,384000,[0 0]
19990621,0.31,0.31,0.31,0.31,1240000,[0 1]
19990622,0.31,0.31,0.31,0.31,186000,[1 0]
19990624,0.31,0.31,0.31,0.31,31000,[1 0]
19990628,0.32,0.32,0.32,0.32,96000,[0 1]
19990705,0.3,0.3,0.3,0.3,60000,[0 1]
19990707,0.29,0.29,0.29,0.29,116000,[0 1]
19990708,0.29,0.29,0.29,0.29,145000,[0 0]
19990714,0.3,0.32,0.3,0.32,504000,[0 0]
19990715,0.29,0.31,0.29,0.31,91000,[0 0]
19990720,0.3,0.31,0.3,0.31,430000,[0 1]
19990721,0.32,0.32,0.32,0.32,640000,[0 0]
19990722,0.35,0.35,0.35,0.35,35000,[0 0]
19990723,0.32,0.32,0.3,0.3,152000,[1 1]
19990729,0.29,0.29,0.29,0.29,29000,[1 1]
19990817,0.32,0.32,0.32,0.32,1024000,[0 0]
19990818,0.28,0.32,0.28,0.32,1052000,[1 1]
19990819,0.34,0.34,0.34,0.34,986000,[1 1]
19990820,0.3,0.3,0.29,0.29,320000,[0 1]
19990824,0.3,0.3,0.3,0.3,150000,[0 0]
19990825,0.29,0.29,0.28,0.28,86000,[0 0]
19990826,0.28,0.28,0.27,0.27,460000,[1 1]
19990830,0.27,0.32,0.27,0.32,265000,[1 0]
19990901,0.34,0.34,0.34,0.34,34000,[0 0]
19990910,0.33,0.35,0.33,0.35,169000,[0 0]
19990913,0.38,0.4,0.38,0.4,478000,[0 1]
19990916,0.41,0.43,0.41,0.43,421000,[1 0]
19990917,0.44,0.44,0.44,0.44,88000,[1 0]
19990920,0.46,0.46,0.46,0.46,460000,[0 0]
19990921,0.44,0.46,0.43,0.43,58833000,[0 1]
19990922,0.44,0.44,0.43,0.44,1669000,[1 0]
19990923,0.44,0.44,0.44,0.44,220000,[0 0]
19990924,0.45,0.45,0.45,0.45,225000,[0 0]
19990927,0.45,0.46,0.45,0.46,813000,[0 0]
19990928,0.46,0.5,0.45,0.5,577000,[1 0]
19990929,0.53,0.6,0.53,0.6,904000,[0 0]
19990930,0.65,0.69,0.6,0.6,4765000,[1 1]
19991001,0.6,0.6,0.6,0.6,60000,[0 0]
19991006,0.62,0.62,0.57,0.57,697000,[0 1]
19991018,0.59,0.59,0.58,0.58,2152000,[1 0]
19991019,0.6,0.6,0.6,0.6,360000,[1 1]
19991020,0.62,0.62,0.6,0.6,902000,[0 0]
19991022,0.6,0.6,0.58,0.6,2326000,[1 1]
19991025,0.65,0.65,0.65,0.65,715000,[0 0]
19991026,0.67,0.7,0.67,0.7,975000,[1 0]
19991027,0.68,0.68,0.68,0.68,68000,[0 1]
19991029,0.7,0.7,0.69,0.69,625000,[0 0]
19991101,0.69,0.72,0.69,0.72,1333000,[0 1]
19991103,0.7,0.8,0.7,0.8,2485000,[0 1]
19991104,0.85,0.99,0.85,0.9,4852000,[0 0]
19991105,0.9,0.9,0.83,0.83,3830000,[1 0]
19991108,0.82,0.82,0.76,0.76,2569000,[0 1]
19991109,0.73,0.73,0.69,0.7,3647000,[1 0]
19991110,0.71,0.71,0.71,0.71,428000,[0 0]
19991111,0.69,0.76,0.64,0.7,1316000,[0 1]
19991112,0.72,0.76,0.72,0.72,296000,[0 0]
19991116,0.7,0.7,0.68,0.68,2400000,[0 1]
19991117,0.66,0.66,0.66,0.66,2772000,[0 0]
19991118,0.65,0.65,0.65,0.65,650000,[1 0]
19991122,0.67,0.68,0.67,0.68,604000,[0 0]
19991123,0.65,0.76,0.65,0.76,2361000,[0 0]
19991124,0.73,0.73,0.68,0.68,890000,[1 0]
19991125,0.68,0.73,0.68,0.73,209000,[0 1]
19991126,0.71,0.71,0.7,0.7,491000,[1 0]
19991129,0.72,0.72,0.7,0.7,142000,[0 1]
19991130,0.71,0.73,0.71,0.73,1090000,[0 0]
19991201,0.72,0.72,0.72,0.72,288000,[1 1]
19991202,0.71,0.76,0.71,0.76,932000,[0 1]
19991203,0.8,0.8,0.73,0.73,1375000,[0 0]
19991206,0.73,0.79,0.73,0.74,3588000,[1 0]
19991207,0.74,0.75,0.73,0.73,3698000,[1 1]
19991209,0.7,0.7,0.69,0.69,695000,[0 0]
19991210,0.66,0.66,0.6,0.6,3346000,[0 1]
19991213,0.56,0.6,0.55,0.56,909000,[0 1]
19991214,0.55,0.59,0.54,0.59,2789000,[0 1]
19991215,0.62,0.62,0.6,0.6,366000,[0 1]
19991216,0.71,0.71,0.6,0.6,948000,[0 1]
19991217,0.69,0.69,0.69,0.69,69000,[1 0]
19991220,0.73,0.73,0.71,0.73,1736000,[1 0]
19991221,0.75,0.75,0.72,0.75,1687000,[0 0]
19991223,0.75,0.8,0.75,0.8,2667000,[1 1]
19991227,0.8,0.92,0.8,0.9,13204000,[1 1]
19991228,0.88,0.9,0.85,0.9,3984000,[1 1]
19991229,0.88,0.88,0.82,0.85,3634000,[0 1]
19991230,0.85,0.85,0.85,0.85,85000,[0 1]
20000713,0.63,0.63,0.63,0.63,63000,[0 0]
20000718,0.65,0.67,0.65,0.67,1499000,[0 0]
20000720,0.7,0.7,0.7,0.7,70000,[1 0]
20000725,0.65,0.65,0.65,0.65,650000,[1 0]
20000727,0.69,0.69,0.69,0.69,69000,[0 0]
20000728,0.63,0.63,0.63,0.63,1134000,[1 0]
20000731,0.66,0.66,0.63,0.63,444000,[1 0]
20000801,0.63,0.63,0.62,0.62,3245000,[1 1]
20000804,0.65,0.65,0.65,0.65,65000,[0 0]
20000808,0.65,0.72,0.65,0.72,1778000,[1 0]
20000815,0.69,0.69,0.68,0.68,2138000,[0 0]
20000816,0.63,0.63,0.63,0.63,63000,[0 0]
20000817,0.62,0.62,0.62,0.62,62000,[0 1]
20000822,0.65,0.65,0.65,0.65,65000,[0 0]
20000823,0.63,0.63,0.63,0.63,63000,[0 1]
20000824,0.62,0.62,0.62,0.62,62000,[1 0]
20000825,0.6,0.6,0.6,0.6,60000,[0 0]
20000830,0.6,0.6,0.6,0.6,1800000,[0 0]
20000901,0.6,0.6,0.6,0.6,180000,[1 0]
20000904,0.6,0.6,0.6,0.6,60000,[1 1]
20000905,0.6,0.6,0.6,0.6,660000,[0 0]
20000906,0.6,0.6,0.6,0.6,60000,[0 1]
20000908,0.6,0.6,0.6,0.6,540000,[0 0]
20000911,0.6,0.6,0.6,0.6,60000,[0 0]
20000920,0.58,0.58,0.58,0.58,58000,[0 1]
20000921,0.6,0.6,0.6,0.6,120000,[1 1]
20000928,0.61,0.61,0.61,0.61,61000,[1 0]
20001002,0.63,0.63,0.63,0.63,63000,[0 0]
20001004,0.6,0.63,0.59,0.63,2424000,[1 0]
20001010,0.62,0.62,0.62,0.62,2542000,[1 1]
20001017,0.6,0.6,0.6,0.6,660000,[0 0]
20001019,0.63,0.7,0.63,0.7,1390000,[1 0]
20001020,0.68,0.68,0.65,0.65,1153000,[0 0]
20001023,0.65,0.65,0.65,0.65,650000,[0 1]
20001025,0.6,0.6,0.6,0.6,60000,[0 0]
20001027,0.55,0.55,0.55,0.55,605000,[0 1]
20001030,0.6,0.6,0.6,0.6,60000,[1 0]
20001031,0.6,0.64,0.6,0.64,484000,[1 1]
20001106,0.58,0.58,0.58,0.58,1160000,[1 1]
20001107,0.58,0.58,0.58,0.58,290000,[0 0]
20001114,0.61,0.61,0.61,0.61,61000,[0 0]
20001116,0.57,0.57,0.55,0.55,277000,[1 1]
20001121,0.53,0.53,0.51,0.52,2288000,[0 0]
20001123,0.52,0.52,0.52,0.52,364000,[1 0]
20001124,0.54,0.54,0.54,0.54,54000,[0 0]
20001128,0.54,0.54,0.53,0.53,161000,[0 1]
20001129,0.51,0.51,0.51,0.51,255000,[1 1]
20001130,0.5,0.5,0.5,0.5,100000,[1 1]
20001205,0.53,0.53,0.53,0.53,53000,[1 1]
20001211,0.58,0.58,0.58,0.58,58000,[1 1]
20001212,0.62,0.62,0.62,0.62,62000,[1 0]
20001215,0.59,0.59,0.51,0.58,5180000,[0 1]
20001218,0.62,0.62,0.6,0.6,122000,[1 0]
20001220,0.6,0.6,0.59,0.59,659000,[0 0]
20001227,0.6,0.6,0.6,0.6,600000,[1 1]
20000301,0.81,0.81,0.81,0.81,162000,[1 0]
20000302,0.81,0.81,0.8,0.8,404000,[0 0]
20000310,0.84,0.84,0.84,0.84,84000,[0 1]
20000314,0.86,0.86,0.82,0.82,168000,[0 0]
20000315,0.79,0.79,0.76,0.76,155000,[1 0]
20000329,0.69,0.69,0.68,0.68,413000,[1 0]
20000331,0.68,0.71,0.68,0.71,411000,[1 0]
20000404,0.69,0.69,0.69,0.69,345000,[0 0]
20000406,0.74,0.74,0.59,0.71,1426000,[1 0]
20000417,0.68,0.68,0.68,0.68,68000,[0 1]
20000502,0.64,0.64,0.64,0.64,192000,[0 0]
20000503,0.62,0.62,0.62,0.62,62000,[0 1]
20000504,0.61,0.61,0.61,0.61,732000,[1 1]
20000511,0.6,0.6,0.6,0.6,360000,[0 0]
20000512,0.64,0.64,0.64,0.64,1600000,[1 1]
20000515,0.63,0.63,0.63,0.63,819000,[1 0]
20000516,0.63,0.63,0.62,0.62,935000,[1 0]
20000517,0.61,0.61,0.61,0.61,610000,[0 1]
20000522,0.6,0.6,0.6,0.6,300000,[0 0]
20000523,0.59,0.59,0.59,0.59,354000,[0 0]
20000524,0.57,0.57,0.57,0.57,513000,[1 0]
20000530,0.61,0.67,0.61,0.67,740000,[0 0]
20000531,0.7,0.7,0.7,0.7,70000,[0 0]
20000605,0.61,0.61,0.61,0.61,61000,[1 0]
20000606,0.65,0.65,0.65,0.65,520000,[0 1]
20000620,0.65,0.65,0.65,0.65,195000,[1 0]
20000626,0.6,0.6,0.6,0.6,60000,[1 0]
20000628,0.65,0.65,0.63,0.63,2078000,[1 1]
20000629,0.63,0.63,0.63,0.63,315000,[0 0]
20000630,0.71,0.71,0.71,0.71,71000,[1 0]
