date,open,max,min,close,volume,y
19980318,0.28,0.28,0.28,0.28,420,[0 0]
19980319,0.28,0.28,0.27,0.28,27604,[0 0]
19980320,0.28,0.28,0.27,0.27,9156,[0 1]
19980323,0.27,0.27,0.27,0.27,3726,[0 1]
19980325,0.27,0.27,0.27,0.27,9558,[0 0]
19980326,0.27,0.27,0.27,0.27,324,[0 1]
19980401,0.2,0.29,0.2,0.29,14360,[1 0]
19980403,0.31,0.31,0.29,0.29,948,[1 1]
19980413,0.3,0.3,0.3,0.3,2520,[0 1]
19980414,0.3,0.3,0.29,0.29,32406,[1 0]
19980422,0.29,0.29,0.29,0.29,8700,[0 1]
19980423,0.29,0.29,0.29,0.29,116,[0 1]
19980428,0.34,0.34,0.34,0.34,34,[0 1]
19980429,0.35,0.35,0.35,0.35,7700,[0 0]
19980430,0.39,0.39,0.35,0.35,16280,[0 0]
19980504,0.44,0.44,0.44,0.44,9680,[0 0]
19980508,0.65,0.65,0.65,0.65,32500,[1 0]
19980512,0.48,0.48,0.48,0.48,14448,[0 0]
19980513,0.5,0.59,0.5,0.59,1548,[0 0]
19980514,0.62,0.62,0.62,0.62,2356,[0 1]
19980515,0.49,0.49,0.49,0.49,49,[0 0]
19980519,0.48,0.48,0.48,0.48,3024,[1 0]
19980522,0.48,0.59,0.48,0.59,56024,[0 0]
19980528,0.47,0.47,0.47,0.47,329,[0 0]
19980601,0.52,0.52,0.52,0.52,13780,[0 0]
19980602,0.52,0.52,0.52,0.52,3744,[1 0]
19980605,0.55,0.59,0.55,0.59,54404,[0 0]
19980609,0.59,0.59,0.59,0.59,177,[0 1]
19980612,0.56,0.56,0.56,0.56,1232,[0 1]
19980625,0.51,0.55,0.51,0.55,22818,[0 0]
19980702,0.49,0.49,0.48,0.48,72951,[0 0]
19980706,0.36,0.36,0.36,0.36,18000,[0 0]
19980715,0.36,0.36,0.36,0.36,1764,[1 0]
19980720,0.37,0.37,0.37,0.37,962,[0 0]
19980722,0.38,0.38,0.36,0.36,33914,[0 1]
19980806,0.3,0.3,0.3,0.3,30,[0 0]
19980818,0.26,0.26,0.26,0.26,10686,[0 0]
19980826,0.24,0.24,0.24,0.24,12000,[0 0]
19980831,0.24,0.24,0.24,0.24,384,[0 0]
19980915,0.19,0.19,0.19,0.19,10070,[0 1]
19980916,0.3,0.3,0.3,0.3,15900,[0 0]
19980918,0.26,0.26,0.26,0.26,2600,[0 0]
19980921,0.25,0.25,0.25,0.25,25,[0 1]
19980928,0.28,0.28,0.26,0.26,42582,[1 0]
19980930,0.19,0.19,0.19,0.19,7391,[0 0]
19981001,0.19,0.19,0.19,0.19,2109,[0 0]
19981002,0.19,0.19,0.19,0.19,2508,[0 1]
19981019,0.19,0.19,0.16,0.16,10701,[0 1]
19981020,0.16,0.16,0.16,0.16,960,[0 1]
19981103,0.17,0.17,0.16,0.16,33,[0 0]
19981105,0.16,0.16,0.16,0.16,9600,[0 0]
19981111,0.28,0.28,0.28,0.28,16800,[1 0]
19981117,0.24,0.24,0.24,0.24,4560,[0 0]
19981118,0.24,0.24,0.24,0.24,9600,[0 0]
19981127,0.24,0.24,0.24,0.24,9600,[1 0]
19981214,0.24,0.24,0.24,0.24,14400,[1 0]
19981221,0.25,0.25,0.25,0.25,325,[1 1]
19981222,0.26,0.26,0.25,0.25,1068,[0 1]
19990204,0.28,0.28,0.28,0.28,14000,[1 0]
19990205,0.28,0.28,0.28,0.28,14000,[0 1]
