date,open,max,min,close,volume,y
20040624,29.0,29.15,28.8,29.0,90983700,[1 1]
20040625,29.02,29.3,29.02,29.3,160472400,[1 1]
20040628,29.2,29.49,29.2,29.45,25541600,[0 0]
20040629,29.45,30.0,29.4,29.65,73945000,[0 0]
20040630,29.99,31.0,29.99,30.99,50978700,[1 1]
20040701,31.0,31.25,30.91,30.96,54771700,[1 0]
20040702,30.96,31.5,30.65,30.65,10594700,[1 0]
20040705,30.3,30.5,30.3,30.3,10627100,[0 0]
20040706,30.3,30.3,30.3,30.3,9393000,[1 1]
20040707,30.5,30.6,30.3,30.6,4555800,[1 0]
20040721,32.01,32.02,32.0,32.02,20485100,[1 1]
20040824,33.4,33.6,33.4,33.6,23154500,[0 1]
20040825,33.3,33.6,33.2,33.6,73646500,[0 1]
20040831,35.5,35.5,35.49,35.5,20942000,[0 1]
20040830,34.7,35.9,34.5,35.5,70769400,[0 1]
20040827,33.6,35.0,33.6,34.7,157069000,[0 0]
20040826,33.59,33.59,33.2,33.2,60749500,[0 0]
20040903,35.0,35.3,35.0,35.3,142337800,[1 0]
20040902,35.5,35.5,35.2,35.48,121383900,[1 0]
20040901,35.0,35.5,35.0,35.5,37261000,[1 0]
20040909,34.2,34.99,34.0,34.0,172598400,[0 1]
20040908,34.45,34.6,34.2,34.2,31930400,[1 0]
20040906,35.1,35.11,34.4,34.4,52056200,[1 0]
20040914,33.1,33.25,33.02,33.05,34703000,[1 1]
20040913,33.01,33.15,33.01,33.1,30726000,[1 1]
20040910,33.5,33.5,33.1,33.1,109968200,[1 0]
20040823,33.41,33.41,33.4,33.4,4008300,[0 0]
20040818,33.4,33.4,33.4,33.4,4676000,[0 1]
20040817,33.2,33.5,33.2,33.5,106819800,[1 0]
20040816,33.2,33.2,33.2,33.2,4316000,[1 1]
20040820,33.21,33.6,33.2,33.4,118626500,[1 0]
20040819,33.5,33.51,33.4,33.4,40822600,[0 1]
20040722,32.02,32.02,31.5,31.5,5719100,[0 0]
20040723,32.1,32.1,31.2,31.4,8244200,[0 0]
20040726,32.3,32.3,31.3,31.4,87452000,[1 1]
20040727,32.2,32.2,32.2,32.2,966000,[1 0]
20040728,32.29,32.3,32.11,32.11,25150400,[0 0]
20040729,32.3,32.4,32.3,32.4,39434000,[1 1]
20040730,32.4,32.4,32.35,32.4,10691500,[1 0]
20040803,32.39,32.6,32.39,32.6,16229900,[0 1]
20040804,32.6,32.6,32.59,32.6,17929700,[0 0]
20040805,32.8,32.9,32.0,32.5,108167700,[1 0]
20040806,32.65,32.86,32.65,32.86,8538500,[0 1]
20040809,32.85,32.9,32.85,32.9,7889500,[1 0]
20040810,32.6,32.6,32.2,32.5,21725000,[0 0]
