date,open,max,min,close,volume,y
20070402,10.0,11.3,10.0,10.77,86785417,[1 1]
20070403,11.1,11.85,10.91,11.69,32346851,[0 0]
20070404,11.5,11.79,11.36,11.7,16828917,[0 0]
20070405,11.52,11.6,11.34,11.5,3958293,[1 0]
20070409,11.5,11.68,11.32,11.5,4530031,[0 0]
20070410,11.35,11.51,11.11,11.45,2676661,[1 0]
20070411,11.49,11.49,10.54,11.11,1961926,[1 1]
20070412,11.0,11.5,11.0,11.5,3442131,[1 1]
20070413,11.01,11.4,11.01,11.4,1723254,[1 1]
20070416,11.06,11.29,10.57,11.1,1364517,[1 1]
20070417,11.1,11.1,10.61,11.0,1862507,[1 0]
20070418,10.6,11.1,10.6,11.1,2038341,[1 1]
20070419,10.81,11.0,10.81,10.81,1641135,[0 1]
20070420,10.87,11.16,10.85,10.85,1915817,[1 1]
20070423,11.0,11.4,10.86,11.4,2217860,[0 1]
20070424,10.95,11.45,10.95,11.45,1212807,[1 0]
20070425,11.3,11.73,11.3,11.73,8209662,[1 1]
20070426,11.7,12.07,10.86,12.07,8398813,[0 0]
20070427,11.95,12.99,10.91,12.99,5400647,[1 1]
20070430,12.41,13.5,12.01,13.31,5246215,[0 0]
20070502,13.01,14.0,11.51,13.88,7120941,[0 0]
20070503,13.8,14.5,13.01,14.5,31049177,[1 1]
20070504,14.3,15.2,14.0,14.1,2255378,[1 0]
20070507,14.02,14.9,14.0,14.83,1108572,[1 1]
20070508,14.31,15.2,14.31,15.0,1114347,[0 1]
20070509,15.2,15.3,14.61,14.61,581075,[1 1]
20070510,14.99,15.5,14.71,15.0,452599,[1 0]
20070511,15.1,16.13,15.0,15.2,1514888,[0 0]
20070514,15.4,15.7,14.51,15.69,453936,[0 0]
20070515,15.9,15.95,14.51,14.56,418503,[0 1]
20070516,15.3,15.59,15.0,15.3,402053,[0 1]
20070517,15.3,15.6,14.91,15.6,624732,[0 1]
20070518,15.3,16.0,14.91,15.6,1181576,[1 1]
20070521,15.5,16.6,15.5,16.3,1674122,[0 1]
20070522,16.35,16.5,16.22,16.5,320443,[1 0]
20070523,16.3,17.2,16.3,16.31,577435,[0 0]
20070524,16.3,16.48,14.9,15.45,335112,[1 0]
20070525,15.82,16.49,15.31,16.18,212929,[0 0]
20070528,16.0,16.9,16.0,16.9,574811,[0 0]
20070529,16.0,16.4,14.21,15.8,123201,[0 1]
20070530,15.83,15.83,15.28,15.49,638929,[1 0]
20070531,15.28,15.48,15.0,15.48,174322,[1 0]
20070601,15.6,15.6,15.36,15.37,166740,[0 1]
20070604,15.36,15.52,15.36,15.52,498194,[1 0]
20070605,15.65,16.04,15.49,15.65,410115,[1 0]
20070606,15.7,15.7,15.36,15.68,213786,[0 0]
20070608,15.36,15.36,15.1,15.1,128428,[1 0]
20070611,14.95,16.0,14.95,15.55,644150,[0 1]
20070612,16.0,16.5,15.97,16.5,692263,[1 0]
20070613,16.0,16.5,16.0,16.28,256660,[0 0]
20070614,16.8,16.8,16.5,16.5,337140,[0 1]
20070615,16.51,16.81,16.51,16.7,565470,[1 0]
20070618,16.99,17.4,16.99,17.25,725029,[1 1]
20070619,17.35,17.6,15.01,17.6,386306,[1 0]
20070620,17.0,17.38,17.0,17.2,173720,[1 1]
20070621,17.2,17.2,17.1,17.15,377412,[0 0]
20070622,17.05,17.05,17.0,17.0,115640,[1 0]
20070625,17.15,17.15,16.83,16.83,48902,[1 0]
20070626,16.82,16.9,16.5,16.5,262630,[1 1]
