date,open,max,min,close,volume,y
20070622,11.2,11.22,10.05,10.5,12047778700,[1 1]
20070625,10.5,10.7,10.3,10.6,1049305900,[1 1]
20070626,10.69,10.85,10.52,10.85,996646600,[1 1]
20070627,10.94,10.94,10.5,10.9,590547200,[0 0]
20070628,10.89,11.2,10.8,11.2,972741900,[1 1]
20070629,11.15,11.45,11.15,11.25,333616000,[1 1]
20070702,11.25,11.66,11.2,11.6,1559991900,[1 1]
20070703,11.68,11.7,11.28,11.45,520975000,[0 1]
20070704,11.39,11.45,11.25,11.45,233843300,[0 1]
20070705,11.45,11.65,11.3,11.65,680953300,[1 0]
20070706,11.52,12.0,11.5,11.96,2638433300,[0 0]
20070710,11.96,12.5,11.96,12.4,1179249300,[0 0]
20070711,12.3,12.5,11.83,12.5,683264600,[1 0]
20070712,12.4,12.69,12.4,12.65,432644500,[0 1]
20070713,12.69,13.2,12.69,12.99,665456400,[0 0]
20070716,13.05,13.05,12.65,12.9,375848900,[1 1]
20070717,12.8,13.19,12.61,13.19,448130300,[0 1]
20070718,12.95,13.2,12.7,13.0,439563300,[0 0]
20070719,13.2,13.5,12.96,13.5,605454000,[0 0]
20070720,13.49,13.75,12.76,13.75,1477360900,[1 0]
20070723,13.55,13.8,13.43,13.69,444343800,[0 0]
20070724,13.25,13.6,12.75,13.28,737115200,[0 1]
20070725,13.0,13.34,12.51,12.99,890027000,[0 0]
20070726,12.8,13.16,12.35,12.45,287150100,[1 0]
20070727,12.78,12.78,11.8,12.2,284082000,[0 1]
20070730,12.79,12.8,12.0,12.8,657837400,[0 0]
20070731,12.99,12.99,12.21,12.45,583447700,[1 0]
20070801,12.15,12.35,11.5,12.0,562864900,[0 1]
20070802,12.3,12.7,12.1,12.3,483036700,[0 0]
20070803,12.49,12.5,11.88,12.0,309523000,[0 1]
20070806,12.3,12.35,11.5,11.9,599105900,[0 0]
20070807,12.05,12.45,11.55,12.45,437545200,[1 1]
20070808,12.3,12.5,12.2,12.5,516012000,[1 0]
20070809,12.45,12.49,12.14,12.3,215474300,[1 0]
20070810,12.0,13.25,11.9,13.25,253012400,[0 0]
20070813,13.19,13.19,12.35,12.8,113300400,[0 1]
20070814,12.98,12.99,12.1,12.5,71930000,[0 0]
20070815,12.45,12.69,11.65,12.0,370263000,[0 0]
20070816,11.1,11.1,9.7,10.92,1040125900,[0 0]
20070817,11.97,11.97,9.72,11.0,401462700,[0 1]
20070820,10.66,11.2,10.5,10.65,190316900,[0 1]
20070821,10.4,10.74,10.1,10.15,527948400,[1 1]
20070822,10.45,10.45,9.87,10.0,1502167600,[0 0]
20070823,10.2,10.25,9.93,10.0,517991600,[1 0]
20070824,10.0,10.99,10.0,10.99,229186900,[0 0]
20070827,10.89,10.9,10.3,10.55,547013400,[1 0]
20070828,10.79,10.79,10.07,10.4,463246800,[1 0]
20070829,10.47,10.77,9.95,9.97,1277810600,[0 1]
20070830,10.12,10.12,9.7,9.7,657405300,[0 1]
20070831,9.89,10.19,9.89,10.19,850454200,[1 1]
20070903,10.29,10.63,10.1,10.63,117609000,[0 0]
20070904,10.8,10.8,10.25,10.35,1095953300,[1 1]
20070905,10.25,10.25,10.0,10.0,1220732000,[0 1]
20070906,10.1,10.25,10.0,10.2,114526500,[1 0]
20070910,10.09,10.09,9.8,10.0,152273200,[1 1]
20070911,10.05,10.1,9.85,10.0,116000500,[0 1]
20070912,10.0,10.0,9.71,9.8,108744900,[1 1]
20070913,9.99,10.0,9.5,9.5,598466300,[0 0]
20070914,9.5,9.69,9.3,9.5,358028700,[0 0]
20070917,9.5,9.5,9.1,9.1,505356300,[0 0]
20070918,9.38,9.5,9.12,9.5,1123223400,[0 1]
20070919,10.4,10.5,10.02,10.5,1332939200,[1 1]
20070920,10.3,10.6,10.15,10.5,194835100,[1 1]
20070921,10.36,10.7,10.36,10.7,535242700,[1 0]
