date,open,max,min,close,volume,y
20070622,11.2,11.2,10.21,10.39,127651520,[1 1]
20070625,10.31,10.55,10.31,10.51,8833641,[0 1]
20070626,10.6,10.83,10.48,10.79,10785286,[0 1]
20070627,10.8,10.9,10.53,10.75,3255822,[0 0]
20070628,10.76,11.15,10.72,11.15,10506376,[0 1]
20070629,11.1,11.4,11.1,11.15,6764957,[1 0]
20070702,11.25,11.65,11.14,11.62,8196808,[1 1]
20070703,11.5,11.65,11.3,11.5,1881978,[0 0]
20070704,11.3,11.47,11.25,11.39,928590,[1 1]
20070705,11.4,11.55,11.2,11.2,2139207,[1 0]
20070706,11.55,12.0,11.25,11.99,6871628,[0 1]
20070710,11.96,12.4,11.79,12.4,2532576,[0 0]
20070711,12.3,12.4,11.87,12.4,1320789,[0 0]
20070712,12.4,12.64,12.0,12.64,2564324,[0 1]
20070713,12.58,13.08,12.1,12.85,2687238,[0 0]
20070716,12.99,12.99,12.61,12.84,1197816,[1 1]
20070717,12.89,12.89,12.5,12.5,699565,[0 0]
20070718,12.9,13.15,12.71,13.0,1441581,[1 0]
20070719,13.0,13.38,12.91,13.38,1746639,[0 0]
20070720,13.3,14.0,12.7,14.0,1567152,[0 0]
20070723,13.4,13.7,13.21,13.7,2119111,[1 1]
20070724,13.55,13.59,12.78,12.78,540466,[0 0]
20070725,13.49,13.49,12.5,13.0,647728,[0 0]
20070726,12.5,12.9,12.01,12.83,710742,[1 1]
20070727,12.45,12.45,12.0,12.3,338796,[0 0]
20070730,12.4,12.4,12.0,12.16,579413,[0 1]
20070731,12.8,12.99,12.01,12.01,438606,[0 1]
20070801,12.01,12.37,11.7,11.7,788780,[1 0]
20070802,12.0,12.68,12.0,12.35,627696,[0 0]
20070803,12.26,12.26,11.91,11.91,396957,[0 1]
20070806,11.81,11.81,11.02,11.63,382508,[1 1]
20070807,12.0,12.0,11.95,12.0,512958,[1 1]
20070808,12.3,12.99,12.25,12.99,383404,[0 0]
20070809,12.3,12.38,12.15,12.38,142748,[1 0]
20070810,11.56,12.15,11.56,12.15,380038,[1 0]
20070813,12.25,13.0,12.25,13.0,325542,[0 0]
20070814,12.6,12.85,12.06,12.5,273596,[1 0]
20070815,12.01,12.5,11.0,12.5,386875,[1 0]
20070816,10.6,10.9,9.0,10.9,341051,[0 1]
