date,open,max,min,close,volume,y
20050518,32.5,33.3,32.5,33.19,7930700,[1 0]
20050519,33.2,33.2,33.2,33.2,332000,[0 0]
20050520,33.0,33.5,33.0,33.0,25162200,[0 0]
20050523,33.2,33.2,32.5,32.99,5600900,[0 0]
20050524,32.5,32.79,32.0,32.49,41555500,[1 1]
20050525,32.01,32.4,31.7,31.7,5786100,[0 1]
20050527,32.87,32.87,30.5,31.0,81195300,[0 0]
20050530,31.5,31.5,30.05,30.75,61597900,[0 1]
20050531,31.99,32.78,29.5,29.62,44382200,[0 0]
20050601,30.5,31.0,30.5,30.7,87696300,[0 0]
20050602,30.7,31.0,30.7,30.9,40458000,[1 1]
20050603,31.0,31.5,30.47,30.7,23490900,[0 0]
20050606,30.9,30.9,30.0,30.86,24394700,[0 1]
20050607,30.0,30.75,29.55,30.3,38293800,[0 1]
20050608,30.3,30.7,29.61,30.3,13000700,[0 0]
20050609,30.0,30.01,29.7,29.98,13195200,[1 0]
20050610,30.5,30.5,29.8,30.0,7821900,[0 0]
20050613,29.99,30.0,29.5,29.9,23380600,[0 1]
20050614,29.69,29.69,29.0,29.39,30757800,[1 0]
20050615,28.5,29.75,28.0,29.2,16259700,[0 0]
20050616,29.2,29.2,27.71,28.3,291903300,[0 0]
20050617,28.01,29.14,28.01,29.14,295420400,[0 0]
20050620,29.29,30.0,29.12,29.99,44774200,[0 0]
20050621,30.0,30.0,29.6,29.8,40217100,[0 0]
20050622,29.8,29.8,28.8,29.79,10672900,[0 1]
20050623,29.8,29.8,28.89,28.89,10478600,[1 0]
20050624,29.28,29.28,29.28,29.28,585800,[1 1]
20050627,28.1,29.19,28.1,28.9,12410000,[0 1]
20050628,28.6,28.99,28.6,28.95,2298900,[1 1]
20050629,28.5,28.8,28.45,28.7,23761700,[0 0]
20050630,28.78,28.78,28.0,28.13,49033200,[0 0]
20050701,28.2,28.5,28.0,28.19,59425200,[0 1]
20050704,28.01,28.01,27.65,27.9,52055700,[0 1]
20050705,27.34,27.6,26.9,27.6,45033700,[1 0]
20050706,27.5,27.5,27.5,27.5,275000,[1 1]
20050707,27.05,27.25,26.99,27.25,17838200,[1 0]
20050708,27.25,28.49,27.25,27.69,2507900,[0 1]
20050711,27.48,27.99,27.4,27.98,14962500,[0 1]
20050712,27.97,27.97,27.5,27.9,70309000,[0 0]
20050713,27.0,27.95,27.0,27.79,178712300,[1 1]
20050714,27.8,27.89,27.15,27.7,7492600,[0 1]
20050715,27.05,27.74,27.0,27.7,4662600,[0 1]
20050718,27.6,27.74,27.3,27.7,6911400,[1 0]
20050719,27.21,27.38,27.0,27.0,19582500,[1 1]
20050720,27.6,27.6,26.75,26.97,29678100,[1 0]
20050721,26.99,26.99,26.0,26.4,30571500,[1 0]
20050722,26.5,26.5,26.4,26.4,16901000,[1 0]
20050725,26.05,26.55,26.0,26.38,33919200,[1 0]
20050726,26.55,26.55,25.6,26.07,13260500,[1 0]
20050727,26.07,26.34,25.62,25.62,43325300,[0 1]
20050728,26.3,27.25,26.0,26.0,90566000,[0 0]
20050729,26.5,26.5,26.0,26.49,30878900,[0 0]
20050801,26.0,26.29,25.8,26.28,23241200,[1 1]
20050802,26.8,27.98,26.6,27.98,41093500,[1 0]
20050803,28.0,28.8,27.5,28.4,70193100,[1 0]
20050804,28.0,28.5,27.99,27.99,10377200,[0 1]
20050805,27.99,28.15,27.71,28.15,26295000,[0 1]
20050808,28.5,28.7,28.3,28.65,37998700,[1 1]
20050809,28.99,29.19,28.7,29.15,14571000,[1 1]
20050810,29.19,29.4,28.5,28.8,75537800,[0 0]
20050811,29.0,29.0,28.5,28.8,4575000,[1 0]
20050812,28.0,28.76,27.4,28.76,54037900,[0 1]
20050815,28.8,28.8,27.8,28.5,56273300,[0 0]
20050816,28.5,28.5,28.25,28.25,18174000,[1 0]
20050817,28.62,28.62,28.5,28.5,14589500,[0 1]
20050818,28.11,28.11,28.0,28.1,10665300,[0 1]
20050819,28.11,28.16,27.5,28.16,17021300,[0 0]
20050822,28.16,28.5,28.16,28.5,27356000,[0 0]
20050823,28.3,28.48,28.0,28.48,9083600,[1 1]
20050824,28.48,29.0,28.2,28.6,9239400,[1 1]
20050825,28.9,28.9,28.4,28.7,59666400,[0 1]
20050826,28.6,28.8,28.25,28.8,27114900,[0 0]
20050829,28.7,28.7,27.8,28.7,25104700,[0 1]
20050830,28.7,28.7,28.3,28.7,34356100,[1 1]
20050831,28.7,28.98,28.6,28.96,48877000,[1 0]
20050901,28.6,28.9,28.6,28.65,15482100,[0 1]
20050902,28.67,28.9,28.67,28.9,32626700,[1 0]
20050905,28.9,28.9,28.61,28.88,16141400,[0 1]
20050906,28.85,28.9,28.7,28.7,71505600,[0 1]
20050908,28.89,28.89,28.8,28.89,15301100,[0 0]
20050909,28.7,29.49,28.7,29.07,131804000,[0 0]
20050912,29.1,30.0,29.0,29.0,44282900,[0 1]
20050913,29.85,29.85,29.22,29.7,56269200,[0 0]
20050914,29.5,29.65,29.4,29.65,26323000,[1 1]
20050915,29.65,29.7,29.3,29.68,37659000,[0 1]
20050916,29.89,29.89,29.55,29.69,27322100,[0 1]
20050919,29.69,29.7,29.1,29.49,50998900,[0 0]
20050920,29.5,30.0,29.5,29.9,28111300,[1 1]
20050921,29.9,30.2,29.7,30.2,217823000,[0 0]
20050922,30.21,30.95,29.95,30.4,199868000,[0 0]
20050923,30.4,30.99,29.92,29.92,72655900,[0 1]
20050926,30.79,30.79,29.7,29.95,24785300,[0 1]
20050927,29.9,29.9,29.49,29.49,21109500,[0 0]
20050928,30.7,30.7,29.6,29.6,35218900,[0 0]
20050929,30.2,30.2,29.0,29.5,53443400,[0 1]
20050930,29.8,29.99,29.3,29.8,108581200,[0 0]
20051003,29.75,29.75,29.3,29.3,25096200,[0 0]
20051004,29.31,29.5,29.2,29.34,96810800,[1 0]
20051005,29.34,29.34,27.98,28.5,32170700,[0 1]
20051006,28.5,28.5,27.5,27.51,90050000,[1 0]
20051007,27.8,28.5,27.8,28.5,96396300,[1 0]
20051010,28.0,28.5,27.58,28.0,78639500,[1 0]
20051011,28.0,28.0,27.2,27.2,51679500,[1 0]
20051013,27.2,27.2,26.05,26.75,71214400,[0 0]
20051014,26.75,26.75,26.3,26.5,165637000,[1 1]
20051017,26.5,27.4,26.5,26.81,191591700,[0 1]
20051018,27.05,28.2,27.05,27.27,124967500,[1 0]
20051019,27.5,27.5,26.9,27.4,33215600,[1 0]
20051020,27.5,28.0,26.8,27.29,52452500,[0 0]
20051021,27.88,27.88,26.83,27.39,46878500,[0 0]
20051024,26.9,27.25,26.61,26.8,22861700,[1 0]
20051025,27.08,27.08,26.5,26.7,21931200,[0 0]
20051026,26.7,26.77,26.55,26.77,13907400,[1 1]
20051027,26.58,26.58,26.1,26.1,21238500,[0 0]
20051028,26.58,26.83,26.5,26.5,3465600,[1 0]
20051031,27.0,27.2,26.5,27.0,42190700,[1 0]
20051101,26.72,27.48,26.72,27.2,29292200,[0 0]
20051103,27.3,27.99,27.3,27.39,8829200,[0 0]
20051104,27.5,28.0,27.5,28.0,5313800,[0 1]
20051107,27.99,27.99,27.0,27.0,4089600,[0 0]
20051108,27.0,27.0,27.0,27.0,28890000,[1 0]
20051109,27.1,27.1,27.1,27.1,271000,[0 0]
20051110,27.0,27.0,26.66,26.79,2942600,[0 0]
20051111,26.7,26.7,26.2,26.6,24427100,[0 0]
20051114,26.7,26.7,26.7,26.7,267000,[0 1]
20051116,26.25,26.69,26.22,26.68,12708200,[1 0]
20051117,26.6,26.69,26.36,26.36,13267900,[0 0]
20051118,26.4,26.4,26.4,26.4,1056000,[0 1]
20051121,26.5,26.55,26.3,26.4,62407000,[0 0]
20051122,26.0,26.5,25.62,25.75,90310700,[1 1]
20051123,26.5,26.5,25.7,25.98,55035400,[0 0]
20051124,25.9,25.9,25.71,25.8,12638500,[0 0]
20051125,25.7,25.98,25.7,25.98,9785300,[1 0]
20051128,25.98,25.98,25.8,25.88,16773600,[0 0]
20051129,25.65,25.65,25.3,25.6,25032200,[1 0]
20051130,25.55,25.75,25.5,25.6,30460200,[1 1]
20051201,25.6,25.7,25.0,25.11,51467200,[0 0]
20051202,25.01,26.28,24.6,25.48,240274900,[0 0]
20051205,25.6,26.24,25.6,26.13,126208800,[0 0]
20051206,26.4,26.4,25.95,26.15,146982400,[0 0]
20051207,26.24,26.4,26.0,26.4,77102700,[1 0]
20051208,26.2,26.2,25.9,25.9,25786200,[1 0]
20051209,26.0,26.15,25.61,26.15,18141100,[0 0]
20051212,26.15,26.15,25.9,26.0,11439500,[1 0]
20051213,26.0,26.15,25.7,26.0,25803000,[1 0]
20051214,26.0,26.25,25.99,26.0,17450700,[0 1]
20051215,26.0,26.15,26.0,26.1,85469000,[0 1]
20051216,26.2,26.88,26.15,26.88,63061100,[0 0]
20051219,26.9,27.8,26.9,27.7,21512200,[1 0]
20051220,27.8,28.05,27.5,27.99,52988900,[0 1]
20051221,28.0,28.05,27.07,27.95,20362700,[0 1]
20051222,28.0,28.0,27.24,27.74,15979900,[0 0]
20051223,27.7,27.95,27.5,27.95,15265000,[1 0]
20051226,27.9,28.2,27.55,28.2,11983100,[1 0]
20051227,28.15,28.4,28.0,28.0,17197400,[1 0]
20051228,27.9,28.0,27.3,27.9,40420500,[1 1]
20051229,27.99,28.4,27.8,28.4,17820800,[1 1]
20060102,28.38,28.38,28.2,28.3,10762000,[0 0]
20060103,28.01,29.2,27.6,29.2,43183100,[1 0]
20060104,28.3,28.75,28.3,28.5,53021900,[1 0]
20060105,28.45,29.0,28.35,28.5,17476200,[1 0]
20060106,28.5,28.5,28.25,28.5,33306900,[1 0]
20060109,28.5,28.5,28.4,28.48,29598300,[1 0]
20060110,28.46,28.46,27.7,27.7,11186700,[0 1]
20060111,27.7,27.89,27.7,27.88,12527600,[0 1]
20060112,27.8,27.8,27.0,27.4,13748300,[0 1]
20060113,27.0,27.2,26.7,27.1,15173500,[0 1]
20060116,27.3,27.99,27.3,27.99,5494900,[0 0]
20060117,28.0,28.0,27.5,28.0,9200200,[1 0]
20060118,28.0,28.0,27.9,28.0,18458500,[1 1]
20060119,28.0,28.75,28.0,28.74,105632700,[1 0]
20060120,28.5,28.59,28.31,28.31,9963100,[0 0]
20060123,28.25,28.6,28.25,28.5,3129500,[0 0]
20060124,28.5,28.5,28.2,28.5,10237300,[1 1]
20060126,28.25,28.4,28.1,28.4,26007900,[1 1]
20060127,28.5,30.2,28.2,28.5,62708200,[0 1]
20060130,28.5,28.79,28.4,28.7,24710000,[1 0]
20060131,28.99,28.99,28.3,28.3,90703100,[0 0]
20060201,28.8,28.8,28.3,28.3,6268100,[1 0]
20060202,28.5,28.5,28.0,28.2,30602900,[1 1]
20060203,27.9,28.2,27.9,27.9,12623000,[1 1]
20060206,28.0,28.0,27.5,27.5,63399300,[0 0]
20060207,27.3,27.64,27.0,27.64,6489400,[1 1]
20060208,27.6,27.6,26.8,27.0,4318700,[1 1]
20060209,27.39,27.4,27.39,27.4,11233900,[1 1]
20060210,27.8,27.8,25.5,26.5,106348300,[0 1]
20060213,26.5,26.5,26.49,26.5,20668700,[1 0]
20060214,26.0,26.39,25.8,26.39,22592000,[0 0]
20060215,26.3,26.3,25.9,26.3,39149500,[1 0]
20060216,26.0,26.0,25.85,26.0,9871000,[1 1]
20060217,26.0,26.7,26.0,26.1,62407300,[1 0]
20060220,26.2,26.3,26.0,26.0,14635100,[0 1]
20060221,26.01,26.2,25.9,26.0,35397000,[0 1]
20060222,26.0,26.0,25.7,25.7,30031200,[1 0]
20060223,25.7,25.7,25.51,25.7,60529000,[1 1]
20060224,26.1,26.5,26.0,26.5,21633600,[0 1]
