date,open,max,min,close,volume,y
20050519,34.2,34.2,34.2,34.2,17100,[0 1]
20050520,32.6,32.6,32.6,32.6,39120,[0 0]
20050523,33.0,33.0,33.0,33.0,290400,[1 0]
20050525,33.3,33.3,32.2,32.2,324200,[1 1]
20050527,32.0,32.0,31.7,31.7,115050,[0 0]
20050530,31.7,32.0,30.0,32.0,398230,[0 1]
20050531,32.0,32.0,30.0,30.0,259950,[0 0]
20050602,30.7,31.51,30.7,30.9,139099,[1 1]
20050603,31.0,31.0,30.9,31.0,259780,[0 1]
20050606,30.5,30.9,30.5,30.9,55020,[0 0]
20050607,30.9,30.9,30.0,30.0,87450,[1 0]
20050610,29.5,29.5,29.5,29.5,88500,[0 1]
20050613,30.0,30.0,30.0,30.0,48000,[0 0]
20050614,30.0,30.0,30.0,30.0,102000,[1 1]
20050616,29.0,29.0,27.25,27.25,229025,[1 1]
20050617,28.5,28.5,28.13,28.13,323087,[1 0]
20050620,30.0,30.0,29.12,30.0,349534,[0 0]
20050621,30.01,30.01,30.0,30.0,303030,[0 0]
20050622,30.0,30.5,30.0,30.5,168050,[0 0]
20050623,29.3,29.3,28.99,28.99,443930,[1 1]
20050624,28.89,28.89,28.89,28.89,20223,[1 1]
20050628,29.0,29.0,29.0,29.0,8700,[0 0]
20050629,28.56,28.95,28.56,28.56,91509,[1 0]
20050630,28.56,28.6,27.6,27.8,94452,[0 0]
20050701,28.5,28.5,28.2,28.2,290425,[1 0]
20050704,28.1,28.1,27.6,27.6,223075,[0 1]
20050705,27.35,27.35,26.21,26.21,382880,[0 1]
20050707,26.96,27.0,26.55,27.0,252285,[1 0]
20050708,27.25,27.25,27.25,27.25,13625,[1 0]
20050711,26.55,27.5,25.24,27.4,248709,[1 1]
20050713,27.61,27.61,27.61,27.61,110440,[0 1]
20050714,27.89,27.89,27.89,27.89,44624,[1 1]
20050715,27.7,27.7,27.7,27.7,13850,[1 0]
20050718,27.7,27.7,27.7,27.7,27700,[0 1]
20050719,27.7,27.7,27.7,27.7,19390,[1 1]
20050721,27.1,27.1,26.8,26.8,164530,[1 0]
20050722,26.7,26.7,26.7,26.7,50730,[1 0]
20050725,26.35,26.35,26.35,26.35,213435,[1 1]
20050726,26.0,26.0,26.0,26.0,52000,[0 0]
20050727,26.21,26.21,26.07,26.07,73217,[0 0]
20050728,27.5,27.5,26.12,26.12,506624,[0 1]
20050802,27.0,27.0,27.0,27.0,27000,[0 1]
20050803,28.07,28.5,27.99,28.5,98939,[1 1]
20050804,28.01,28.09,28.0,28.0,176527,[0 0]
20050808,28.0,28.0,28.0,28.0,95200,[1 0]
20050809,28.77,29.4,28.77,29.4,401254,[0 0]
20050810,29.0,29.0,29.0,29.0,199150,[1 0]
20050811,28.5,28.5,28.5,28.5,14250,[1 0]
20050812,28.5,28.5,27.5,27.5,30350,[1 0]
20050816,29.14,29.14,29.14,29.14,37882,[1 0]
20050817,28.32,29.0,28.2,28.2,402688,[1 0]
20050818,28.5,28.5,27.99,28.0,345116,[0 0]
20050822,28.18,28.18,28.18,28.18,140900,[1 0]
20050823,28.18,28.18,28.18,28.18,2818,[1 1]
20050824,28.99,29.49,28.99,29.49,435996,[1 0]
20050826,29.0,30.0,28.55,30.0,427100,[1 0]
20050829,28.5,28.5,28.5,28.5,114000,[0 1]
20050830,28.71,28.71,28.71,28.71,11484,[1 0]
20050831,28.55,28.55,28.5,28.5,151300,[0 1]
20050901,28.9,28.9,28.9,28.9,28900,[0 0]
20050905,29.2,29.2,29.2,29.2,233600,[0 0]
20050906,28.86,28.86,28.86,28.86,190476,[1 0]
20050908,28.9,28.9,28.9,28.9,57800,[0 1]
20050912,29.5,29.55,29.5,29.55,335610,[0 1]
20050913,29.5,29.78,29.5,29.78,174134,[0 0]
20050915,29.64,30.23,29.64,30.23,5987,[1 1]
20050916,29.73,29.73,29.73,29.73,148650,[1 0]
20050919,29.65,29.65,29.65,29.65,44475,[1 0]
20050920,29.95,29.95,29.95,29.95,60116,[0 0]
20050921,30.23,30.23,30.02,30.02,195970,[0 1]
20050922,30.8,30.8,30.1,30.1,408170,[0 0]
20050923,30.0,30.8,30.0,30.8,310500,[1 0]
20050926,30.99,31.0,28.82,29.0,222799,[1 0]
20050928,30.0,30.0,30.0,30.0,120000,[1 0]
20050929,30.0,30.0,28.82,28.82,145938,[0 1]
20050930,29.1,29.1,29.0,29.0,223570,[1 1]
20051003,29.8,29.8,29.8,29.8,44700,[1 0]
20051005,29.0,29.0,28.12,28.12,683062,[1 0]
20051006,27.65,27.65,27.6,27.6,49725,[0 0]
20051011,28.0,28.0,27.5,27.5,278780,[1 0]
20051013,27.5,27.5,26.22,26.77,129006,[0 0]
20051014,26.22,26.22,26.22,26.22,2622,[1 0]
20051021,26.8,26.8,26.8,26.8,214725,[0 1]
20051027,26.7,26.7,25.99,25.99,142622,[1 0]
20051103,26.5,26.5,26.42,26.42,23810,[1 0]
20051104,27.5,27.98,27.0,27.0,96480,[1 0]
20051107,27.01,27.01,27.01,27.01,13505,[1 0]
20051108,27.45,27.45,27.0,27.0,175965,[1 1]
20051116,26.5,26.5,26.5,26.5,13250,[0 1]
20051117,26.55,26.55,26.55,26.55,52950,[1 1]
20051121,26.45,26.45,26.45,26.45,79350,[0 0]
20051122,26.11,26.11,26.0,26.0,72943,[0 0]
20051123,25.75,25.8,25.75,25.8,103150,[0 1]
20051124,26.0,26.0,26.0,26.0,20800,[0 0]
20051125,25.7,25.7,25.7,25.7,169620,[0 1]
20051128,25.5,26.0,25.5,26.0,46400,[0 1]
20051129,25.65,25.65,25.6,25.6,89450,[1 1]
20051130,25.6,25.65,25.6,25.65,100010,[0 0]
20051201,25.5,25.5,25.3,25.3,305015,[0 1]
20051202,25.22,25.6,24.85,25.6,447525,[0 1]
20051205,26.0,26.0,25.5,25.5,113200,[0 0]
20051206,26.4,26.4,26.4,26.4,132000,[0 1]
