date,open,max,min,close,volume,y
20060616,22.55,23.8,22.5,22.6,117368300,[0 1]
20060619,22.01,22.6,21.3,22.2,128093700,[0 0]
20060620,22.4,23.0,22.0,22.4,50462200,[1 0]
20060621,21.81,22.4,21.81,22.0,70397200,[1 0]
20060622,22.0,22.1,22.0,22.0,557477500,[1 0]
20060623,22.0,23.94,22.0,23.94,308383100,[0 1]
20060626,23.2,23.78,22.61,23.73,18135100,[0 1]
20060627,23.5,24.0,23.5,24.0,214074200,[0 0]
20060628,23.99,24.0,23.61,23.89,47262700,[0 0]
20060629,23.99,24.0,23.8,24.0,124661500,[0 0]
20060630,24.39,24.4,23.78,23.99,120880600,[1 1]
20060703,23.9,23.99,22.9,23.94,394196200,[0 0]
20060704,23.9,24.0,23.9,23.95,20144100,[0 0]
20060705,23.84,23.99,23.84,23.9,29835200,[0 0]
20060706,23.98,23.99,23.71,23.99,149713200,[0 0]
20060707,24.09,24.09,23.79,23.92,23196300,[0 0]
20060710,24.0,24.0,23.8,23.9,76898000,[1 0]
20060711,23.8,23.98,23.8,23.9,10059100,[1 0]
20060712,23.8,23.85,23.79,23.85,19048200,[0 0]
20060713,23.5,23.79,23.0,23.79,75967200,[0 0]
20060714,23.79,23.79,23.11,23.58,157147100,[0 1]
20060717,23.58,23.77,23.58,23.77,473500,[0 1]
20060718,23.8,24.49,23.8,24.1,382045100,[1 1]
20060719,24.0,24.2,23.5,24.1,198560500,[0 1]
20060720,24.2,24.39,21.7,24.0,177015800,[1 0]
20060721,23.77,23.9,23.5,23.9,46009200,[1 1]
20060724,23.6,23.7,23.6,23.69,148016500,[1 1]
20060725,23.5,23.7,22.55,23.0,278652700,[1 0]
20060726,23.01,23.01,22.7,22.8,125711400,[1 0]
20060727,22.81,22.81,22.3,22.7,209180500,[0 0]
20060728,22.65,22.7,22.5,22.69,114167900,[0 1]
20060731,22.7,22.7,22.41,22.41,34544300,[0 0]
20060801,22.2,22.4,22.2,22.3,62309800,[1 1]
20060802,22.3,22.51,22.3,22.5,92005700,[0 1]
20060803,22.59,22.59,22.2,22.2,72437200,[0 0]
20060804,22.5,22.5,22.21,22.45,26389500,[0 1]
20060807,22.4,22.4,21.5,22.29,162553800,[0 1]
20060808,21.81,22.35,21.81,22.25,80295100,[0 0]
20060809,22.2,22.8,22.15,22.15,100741600,[1 1]
20060810,22.5,22.5,21.9,22.0,48187400,[1 1]
20060811,22.0,22.0,21.31,21.99,566656200,[0 0]
20060814,22.0,22.0,21.9,21.96,52479900,[1 0]
20060815,22.11,22.11,21.94,22.1,53460600,[1 0]
20060816,22.0,22.09,21.95,22.09,18703800,[1 0]
20060817,22.3,22.98,22.2,22.3,53486600,[1 0]
20060818,22.3,22.6,22.1,22.4,91173900,[0 0]
20060821,22.2,22.6,22.1,22.49,14460000,[0 1]
20060822,22.5,22.5,22.0,22.49,22708400,[1 1]
20060823,22.2,22.52,21.91,22.5,130473900,[1 1]
20060824,22.08,22.6,22.08,22.6,16133700,[0 1]
20060825,22.31,22.47,22.2,22.2,8684200,[1 1]
20060828,22.1,22.5,22.1,22.49,34352400,[1 0]
20060829,22.5,22.6,22.5,22.6,20790000,[1 1]
20060830,22.65,23.0,22.6,22.8,34461000,[1 1]
20060831,22.5,22.9,22.5,22.89,370703600,[1 1]
20060901,23.1,23.1,22.79,23.0,256715100,[0 0]
20060904,23.0,23.0,22.54,22.9,8898800,[1 0]
20060905,22.85,22.99,22.8,22.99,64658500,[1 0]
20060906,22.99,22.99,22.99,22.99,4368100,[1 0]
20060908,22.99,22.99,22.53,22.98,27280800,[1 1]
20060911,22.54,22.96,22.41,22.6,129480900,[0 1]
20060912,22.32,22.59,22.15,22.15,202587700,[1 1]
20060913,22.2,22.5,22.1,22.5,73478900,[1 1]
20060914,22.49,22.5,22.22,22.5,19105800,[1 0]
