date,open,max,min,close,volume,y
20070412,16.0,17.54,16.0,17.05,5991110800,[1 0]
20070413,17.09,17.6,16.9,17.6,668604400,[0 0]
20070416,17.64,17.8,17.48,17.6,1589351900,[1 1]
20070417,17.6,17.89,17.2,17.2,328950900,[1 0]
20070418,17.25,17.8,16.9,17.0,205544000,[1 1]
20070419,16.51,17.6,16.51,17.49,689646700,[0 0]
20070420,17.5,17.8,17.45,17.7,208583200,[0 1]
20070423,17.6,17.8,17.5,17.76,171957400,[0 1]
20070424,17.6,17.8,17.4,17.5,27978300,[1 1]
20070425,17.56,17.82,17.55,17.81,101337200,[1 1]
20070426,17.8,18.0,17.53,18.0,71181900,[1 1]
20070427,17.65,18.0,17.65,17.92,116737500,[0 1]
20070430,17.9,17.9,17.62,17.8,138331700,[1 1]
20070502,17.8,17.82,17.29,17.52,569728000,[1 0]
20070503,17.85,17.85,17.6,17.6,311281300,[0 1]
20070504,17.6,17.7,17.5,17.57,35652600,[1 0]
20070507,17.4,17.75,17.4,17.7,656915100,[0 1]
20070508,17.26,18.35,17.26,18.35,263277100,[1 1]
20070509,18.15,18.6,18.0,18.5,606490400,[0 0]
20070510,18.49,18.8,18.3,18.6,516889000,[1 0]
20070511,18.2,19.1,18.2,18.8,456458000,[0 1]
20070514,19.04,19.1,18.8,19.1,494756200,[0 1]
20070515,19.2,21.49,19.2,21.49,1243988200,[0 0]
20070516,20.99,21.45,20.1,21.2,1983003600,[0 1]
20070517,21.0,21.6,21.0,21.45,284907000,[1 0]
20070518,21.59,22.9,21.2,21.5,672867200,[0 0]
20070521,21.88,22.58,21.8,22.58,225296000,[0 0]
20070522,23.1,23.9,22.7,23.9,201633900,[1 1]
20070523,23.9,23.95,23.0,23.49,168384600,[0 1]
20070524,23.2,23.2,22.11,22.25,923388200,[1 0]
20070525,22.25,22.61,22.15,22.4,511048000,[0 1]
20070528,22.5,22.7,22.45,22.5,482612100,[1 1]
20070529,22.5,22.9,21.9,22.08,614027600,[0 1]
20070530,21.71,22.29,21.7,22.0,93519200,[1 0]
20070531,22.0,22.1,21.89,22.1,58649000,[0 0]
20070601,22.3,23.4,22.2,23.3,3027300500,[0 0]
20070604,23.1,23.5,22.8,23.35,519538700,[0 0]
20070605,23.35,23.35,22.7,23.0,442667400,[0 1]
20070606,22.9,23.0,22.3,22.89,201417800,[1 1]
20070608,22.21,23.5,22.21,23.5,198929700,[1 1]
20070611,23.25,23.5,22.72,23.43,282527400,[1 0]
20070612,23.49,23.5,22.5,23.25,1376776900,[0 0]
20070613,23.5,23.59,22.52,23.5,239974500,[0 0]
20070614,23.0,23.0,22.63,23.0,171768400,[0 1]
20070615,22.9,23.9,22.9,23.6,1031410200,[0 0]
20070618,23.6,23.6,22.8,23.4,489731900,[1 1]
20070619,23.4,23.4,22.81,23.0,319102200,[1 1]
20070620,23.3,23.3,22.8,22.99,166989600,[0 0]
20070621,23.66,23.66,22.85,23.25,338549400,[0 1]
20070622,23.4,23.49,22.8,23.49,439809800,[1 1]
20070625,23.45,23.45,22.77,23.0,347578300,[1 0]
20070626,23.4,23.4,22.81,23.0,475403300,[0 1]
20070627,22.97,23.0,22.56,23.0,135450100,[0 0]
20070628,22.95,23.0,22.64,23.0,625742600,[0 0]
20070629,22.95,23.45,22.01,22.95,365630700,[1 1]
20070702,22.95,23.2,22.65,23.0,1153186200,[0 1]
20070703,23.2,23.4,22.8,23.1,347934400,[0 0]
20070704,23.02,23.1,22.75,22.99,140695600,[1 0]
20070705,23.0,23.7,23.0,23.7,1397549800,[1 1]
20070706,23.7,25.3,23.7,24.0,3621554400,[0 0]
20070710,24.1,24.1,23.3,24.0,208928100,[1 1]
20070711,24.0,24.0,23.65,23.89,712613000,[0 1]
20070712,23.8,24.48,23.8,24.34,1077826600,[0 0]
20070713,24.5,26.95,24.2,26.95,750549100,[1 1]
20070716,26.5,28.48,26.15,28.48,508547400,[0 0]
20070717,27.99,28.5,27.7,28.0,1137545400,[0 0]
20070718,28.25,29.5,27.7,28.79,371464200,[1 0]
20070719,29.01,30.5,28.7,30.5,1146555800,[0 0]
20070720,30.0,30.45,28.4,29.5,1002147600,[0 0]
20070723,30.0,30.0,28.0,29.5,439757700,[1 0]
20070724,29.01,29.24,28.45,28.5,845729500,[1 1]
20070725,29.0,29.0,26.5,27.7,777457100,[0 0]
20070726,27.69,27.7,25.5,27.5,347196700,[0 0]
20070727,27.3,28.0,26.0,26.0,370015900,[0 0]
20070730,26.0,26.0,25.08,25.39,660040600,[0 0]
20070731,26.0,26.0,24.11,25.2,1208086400,[0 1]
20070801,24.9,25.5,24.12,25.5,904716200,[1 0]
20070802,25.75,26.5,24.65,26.5,559957600,[0 1]
20070803,27.18,27.3,26.22,26.7,499580100,[1 0]
20070806,27.07,27.07,25.51,27.0,1024503000,[0 1]
20070807,26.2,27.4,25.55,27.4,938365900,[0 0]
20070808,27.75,29.0,27.1,29.0,832808500,[0 1]
20070809,27.57,28.8,27.5,28.48,473560300,[1 1]
20070810,27.8,27.8,26.51,26.7,832862300,[0 0]
20070813,26.92,27.49,25.8,26.49,310310800,[0 1]
20070814,27.0,27.0,24.75,25.75,1213546900,[1 1]
20070815,25.5,25.7,22.51,23.5,1477850600,[1 1]
20070816,22.8,22.8,19.5,22.15,579295900,[0 0]
20070817,23.95,24.0,21.0,22.3,806315600,[1 0]
20070820,23.0,23.2,21.66,21.99,1110513500,[0 0]
20070821,22.3,22.3,21.51,21.79,274414500,[0 0]
20070822,22.0,22.5,21.1,21.84,697289500,[1 0]
20070823,21.9,22.5,21.76,22.2,450371000,[1 1]
20070824,22.49,23.4,21.72,23.4,574977100,[0 0]
20070827,23.5,24.3,22.51,24.0,456058500,[1 0]
20070828,23.5,23.5,22.7,23.0,380394300,[0 1]
20070829,23.0,23.1,22.1,22.99,250037100,[0 1]
20070830,22.7,23.45,21.83,22.45,713460400,[1 1]
20070831,23.44,23.9,22.9,23.9,495780000,[1 1]
20070903,23.99,24.8,23.5,24.6,132425300,[1 0]
20070904,24.9,24.9,23.8,24.9,482015800,[0 0]
20070905,24.48,25.0,23.8,25.0,311147200,[1 1]
20070906,25.3,25.5,24.63,24.9,671926700,[1 0]
20070910,24.74,24.74,23.9,24.25,170381200,[1 0]
20070911,24.9,25.4,24.0,25.4,405770300,[0 1]
20070912,25.0,25.15,24.12,24.7,355149500,[0 0]
20070913,24.9,25.0,24.31,24.5,728822000,[0 1]
20070914,24.5,25.0,24.0,24.5,588242000,[1 0]
20070917,24.5,24.5,23.6,23.95,281236000,[1 0]
20070918,24.0,24.4,23.62,23.98,467203700,[1 0]
20070919,24.34,24.8,24.3,24.5,231164300,[0 0]
20070920,24.9,25.15,24.2,24.5,1011030000,[1 1]
20070921,25.3,26.0,24.75,26.0,701811700,[1 1]
20070924,26.2,26.7,25.5,25.7,156132400,[0 1]
20070925,25.01,25.5,25.0,25.5,646612000,[1 0]
20070926,25.6,27.0,25.4,27.0,1482046900,[0 1]
20070927,26.79,28.3,26.51,26.9,855719200,[1 1]
20070928,26.81,27.31,26.15,26.95,1064100700,[1 0]
20071001,27.25,27.6,26.8,27.0,1211479400,[1 0]
20071002,27.05,27.05,26.5,26.9,210431800,[0 0]
20071003,26.41,26.98,25.49,25.49,370220800,[1 0]
20071004,25.9,26.65,25.61,26.3,401432700,[1 0]
20071005,27.05,27.1,26.37,26.5,502082300,[1 1]
20071008,26.6,26.85,25.7,25.7,284103900,[0 0]
20071009,26.01,26.8,26.0,26.5,305849500,[0 1]
20071010,26.79,26.79,26.0,26.5,405242900,[0 0]
20071011,26.7,26.7,25.9,25.98,294255700,[0 0]
20071015,26.6,26.6,25.8,26.02,153707700,[0 1]
20071016,26.5,26.5,25.11,26.4,549602000,[0 0]
20071017,26.39,26.6,25.99,25.99,382792300,[1 0]
20071018,26.0,26.0,25.05,25.4,659890500,[1 1]
20071019,25.99,25.99,24.01,24.4,377376800,[0 0]
20071022,24.99,24.99,23.4,24.1,277923200,[1 1]
20071023,24.8,25.0,23.85,24.4,357473300,[1 1]
20071024,24.6,24.6,23.51,24.25,219384700,[0 1]
20071025,24.47,24.47,23.06,23.75,945827000,[0 1]
20071026,24.25,24.25,23.62,23.75,120995200,[0 0]
20071029,24.2,24.2,23.13,23.5,150072700,[0 0]
20071030,23.85,23.85,22.25,22.9,413434600,[1 0]
20071031,23.29,24.3,23.1,24.2,88963000,[0 0]
20071101,24.2,24.2,23.5,23.5,62225800,[1 1]
20071105,23.25,24.09,23.25,23.77,160492900,[0 0]
20071106,24.3,24.65,23.6,24.0,146541600,[0 1]
20071107,23.99,23.99,23.4,23.73,96429200,[0 1]
20071108,23.98,23.98,23.15,23.5,97755100,[0 1]
20071109,23.5,23.5,22.52,23.0,345995800,[1 0]
20071112,22.9,22.9,21.45,21.5,227350700,[1 0]
20071113,22.07,22.08,20.2,20.25,227871100,[1 0]
20071114,20.8,20.85,18.81,18.81,743616800,[1 1]
20071116,18.83,19.3,17.4,17.4,429477100,[0 1]
20071119,17.79,17.96,16.11,16.11,377611200,[1 1]
20071121,16.3,16.3,14.52,15.4,1157173000,[1 0]
20071122,15.95,16.49,15.2,16.0,439592600,[1 0]
20071123,16.5,17.2,16.21,16.8,806181200,[0 1]
20071126,17.2,17.45,16.2,16.6,1998809000,[0 0]
20071127,16.2,16.55,15.7,15.99,2482687000,[0 1]
20071210,19.2,19.22,18.9,19.0,375445700,[1 1]
20071211,19.4,19.4,19.0,19.01,474937100,[0 0]
20071212,19.3,19.3,18.31,18.9,400907100,[0 1]
20071213,18.78,18.78,18.25,18.5,172034900,[1 1]
20071214,18.6,19.0,18.6,18.75,1316221400,[1 0]
20071217,18.77,18.77,17.57,18.3,198356700,[0 1]
20071218,18.4,18.6,17.75,17.99,319449700,[0 1]
20071219,17.86,17.9,17.11,17.7,250992400,[0 0]
20071220,17.95,18.28,17.7,18.0,1210136200,[0 0]
20071221,18.31,18.9,18.0,18.9,380261300,[0 0]
20071226,19.15,20.0,18.9,19.98,414286900,[1 0]
20071227,19.99,20.08,19.7,19.8,770893300,[1 0]
20071228,19.9,20.05,19.65,19.65,178083800,[0 0]
20080102,19.64,19.64,18.05,18.05,808776000,[1 1]
20080103,18.5,19.39,18.35,19.39,1240809700,[1 0]
20080104,19.36,19.69,18.85,19.69,979344700,[0 1]
20080107,19.65,19.99,19.0,19.99,821362800,[0 1]
20080108,20.0,21.2,19.8,20.7,1772165400,[1 0]
20080109,20.3,21.25,20.3,21.25,1857895500,[0 0]
20080110,21.0,21.89,20.89,21.2,1655701000,[0 0]
20080111,21.5,21.55,20.2,20.49,531174500,[1 0]
20080114,20.6,21.4,20.5,21.25,393453100,[0 1]
20080115,21.23,21.23,19.8,20.4,941391800,[1 0]
20080116,19.8,20.39,18.95,19.71,1996870100,[0 0]
20080117,19.89,20.35,19.1,19.4,810085900,[1 1]
20080118,19.8,19.8,18.7,19.3,477824000,[0 0]
20080121,18.5,18.5,17.14,17.48,187937600,[0 0]
20080122,17.01,18.26,17.0,18.04,180414900,[0 1]
20080123,17.4,17.69,16.7,17.59,185952700,[1 1]
20080124,17.95,18.65,17.82,18.3,306162800,[1 1]
20080128,18.2,18.5,17.5,18.5,186561200,[1 0]
20080129,18.5,18.9,17.78,18.0,303679400,[1 1]
20080130,18.25,18.25,17.2,18.0,461596300,[0 0]
20080131,17.67,18.75,16.95,18.75,1134308800,[0 1]
20080201,18.8,19.5,18.29,18.29,585691400,[0 0]
20080206,17.99,18.0,17.6,17.96,72814200,[1 0]
20080207,17.85,18.5,17.85,18.49,223869500,[1 0]
20080208,18.5,19.0,18.3,18.45,479919000,[0 0]
20080211,18.99,19.5,18.9,19.2,228520500,[0 0]
20080212,19.65,19.75,19.35,19.7,213362200,[1 1]
20080213,19.9,20.74,19.9,20.67,541464900,[0 0]
20080214,20.72,21.2,20.4,21.19,545694200,[1 0]
20080215,20.7,21.65,20.7,21.45,1289385500,[0 0]
20080218,21.6,22.48,21.5,22.48,353791400,[0 0]
20080219,22.3,22.6,21.06,22.0,562280200,[1 0]
20080220,21.75,21.75,20.91,20.91,1587141800,[0 1]
20080221,21.18,21.18,19.81,20.29,662349600,[1 1]
20080222,20.29,21.27,19.3,21.27,801427400,[0 0]
20080225,21.27,21.69,20.71,21.6,1969331800,[1 1]
20080226,22.3,22.88,21.52,21.68,2271348800,[1 1]
20080227,21.65,22.0,20.98,21.44,935616600,[1 0]
20080228,21.1,21.95,21.0,21.95,329657200,[0 0]
20080229,21.5,21.9,21.2,21.45,607291000,[0 0]
20080303,21.25,21.26,20.09,20.09,849969500,[1 1]
20080314,19.8,20.8,19.7,20.8,127471300,[1 0]
20080317,20.0,20.0,19.05,19.5,370398700,[0 0]
20080318,19.9,20.2,19.25,19.25,304221400,[0 0]
20080319,19.39,19.39,17.9,17.9,1552594400,[0 1]
20080320,18.0,18.5,16.84,18.0,875652500,[0 1]
20080324,18.4,19.3,18.1,19.2,389063900,[0 0]
20080325,19.3,19.7,18.6,18.7,638384700,[0 1]
20080326,18.8,19.0,18.3,18.8,111893800,[1 1]
20080327,18.51,18.99,18.11,18.48,55265400,[0 1]
20080328,18.51,18.79,17.7,18.79,164012000,[0 1]
20080331,18.79,18.79,18.32,18.5,302699200,[0 0]
20080401,18.48,18.76,18.05,18.4,388225500,[0 0]
20080402,18.4,18.4,17.96,18.2,785067400,[0 1]
20080403,18.2,18.98,18.0,18.4,963287700,[0 0]
20080404,18.75,19.0,18.2,18.98,481230200,[0 0]
20080407,19.0,19.35,18.9,19.15,485121300,[1 1]
20080408,19.18,19.61,19.15,19.61,296772800,[0 0]
20080409,19.6,19.75,19.4,19.45,648544200,[0 0]
20080410,19.45,20.1,19.2,20.1,362572200,[0 1]
