date,open,max,min,close,volume,y
20091118,28.22,28.22,26.66,27.0,25526376,[1 1]
20091119,26.78,27.35,25.89,27.2,22000217,[1 1]
20091123,27.0,28.42,27.0,27.58,48677482,[0 1]
20091124,27.8,29.17,27.56,29.0,165129056,[1 1]
20091125,29.1,30.19,28.49,30.0,153243932,[1 1]
20091126,29.4,29.68,28.91,29.1,43391380,[1 1]
20091127,28.3,29.71,27.58,29.38,51334558,[1 0]
20091130,29.1,29.95,29.1,29.8,61870302,[1 1]
20091201,30.1,30.71,29.95,30.3,103208472,[1 0]
20091202,30.23,30.78,30.21,30.72,61405233,[1 0]
20091203,30.7,31.46,30.5,31.07,70657522,[1 1]
20091204,30.52,31.96,30.22,31.21,65218799,[1 1]
20091207,31.48,33.32,31.35,33.1,93826532,[1 0]
20091208,32.5,33.65,32.25,33.5,30973811,[1 1]
20091209,33.66,33.8,33.19,33.42,33445782,[1 0]
20091210,33.78,36.15,33.73,35.32,73895947,[0 0]
20091211,36.11,37.2,36.02,36.5,54150593,[0 0]
20091214,36.8,38.08,36.8,37.86,41931327,[0 0]
20091215,37.9,38.38,35.85,37.31,45370063,[0 1]
20091216,37.51,38.1,37.14,37.6,26811681,[1 0]
20091217,37.3,37.35,35.09,35.45,40103427,[0 0]
20091218,35.5,36.35,34.51,35.89,31646369,[0 1]
20091221,36.35,37.19,36.35,37.0,16707756,[1 0]
20091222,36.7,39.39,36.67,39.28,65762346,[1 1]
20091223,39.7,40.4,39.5,39.84,35716288,[0 0]
20091228,39.95,40.5,38.55,39.98,23914039,[0 1]
20091229,39.3,39.3,38.0,38.05,19579255,[1 0]
20091230,38.15,38.62,36.95,38.17,19117707,[1 0]
20100104,38.9,39.29,38.9,39.2,20266922,[1 0]
20100105,39.4,41.47,39.31,40.85,42784252,[1 0]
20100106,40.79,41.4,39.08,40.45,26669833,[0 0]
20100107,40.69,40.69,39.99,40.02,15728677,[0 0]
20100108,40.05,40.5,39.12,39.93,16057121,[1 1]
20100111,39.55,40.25,39.03,39.05,18299276,[1 0]
20100112,39.51,39.51,37.99,38.48,23032722,[1 0]
20100113,38.4,39.38,37.15,37.23,21678535,[1 0]
20100114,37.6,37.99,36.52,36.65,17877315,[1 1]
20100115,36.81,36.81,35.1,35.51,24952182,[1 0]
20100118,35.91,36.94,35.91,36.55,26097836,[1 1]
20100119,36.94,38.3,36.01,38.0,24999439,[0 0]
