date,open,max,min,close,volume,y
20040527,1.59,1.59,1.59,1.59,47700,[0 0]
20040701,1.54,1.54,1.54,1.54,1124200,[1 0]
20040716,1.36,1.36,1.36,1.36,408000,[0 0]
20040713,1.54,1.54,1.54,1.54,508200,[0 0]
20040714,1.45,1.45,1.4,1.4,561000,[1 0]
20040722,1.31,1.31,1.3,1.3,523000,[0 0]
20040727,1.25,1.25,1.25,1.25,625000,[0 0]
20040726,1.25,1.25,1.25,1.25,75000,[0 0]
20040729,1.21,1.21,1.21,1.21,2420000,[0 1]
20040929,1.6,1.6,1.6,1.6,16000,[0 0]
20040928,1.6,1.6,1.6,1.6,80000,[1 1]
20040923,1.39,1.39,1.39,1.39,2237900,[0 0]
20040922,1.39,1.39,1.39,1.39,13900,[1 0]
20040921,1.39,1.39,1.39,1.39,125100,[0 1]
20040920,1.39,1.39,1.39,1.39,13900,[0 1]
20040916,1.36,1.36,1.35,1.35,148600,[0 0]
20040915,1.35,1.35,1.35,1.35,1012500,[0 0]
20040902,1.35,1.35,1.35,1.35,54000,[1 0]
20040827,1.34,1.36,1.34,1.36,40400,[0 0]
20040826,1.34,1.34,1.34,1.34,53600,[0 0]
20040825,1.34,1.34,1.34,1.34,40200,[1 0]
20041117,1.39,1.39,1.39,1.39,417000,[1 0]
20041029,1.42,1.42,1.4,1.4,2100600,[0 1]
20041008,1.4,1.4,1.4,1.4,1960000,[1 0]
20040930,1.4,1.4,1.4,1.4,2380000,[1 1]
20041203,1.43,1.43,1.43,1.43,143000,[0 0]
20041201,1.4,1.4,1.4,1.4,140000,[1 1]
20050111,1.24,1.24,1.24,1.24,2480000,[1 0]
20050113,1.45,1.45,1.45,1.45,435000,[0 0]
20050228,1.45,1.45,1.45,1.45,58000,[0 0]
20050301,1.45,1.47,1.45,1.47,87400,[0 0]
20050303,1.47,1.47,1.47,1.47,661500,[0 1]
20050304,1.47,1.47,1.47,1.47,44100,[1 0]
20050607,1.21,1.21,1.21,1.21,605000,[0 1]
20050615,1.16,1.16,1.16,1.16,580000,[0 1]
20050630,1.24,1.24,1.24,1.24,12400,[1 0]
20050706,1.16,1.16,1.15,1.15,115300,[0 1]
20050707,1.15,1.15,1.15,1.15,57500,[0 0]
20050708,1.15,1.15,1.15,1.15,5727000,[0 1]
20050713,1.07,1.07,1.07,1.07,117700,[0 1]
20050802,1.05,1.05,1.05,1.05,210000,[0 1]
20050915,1.2,1.2,1.2,1.2,85248000,[1 1]
20050923,1.2,1.2,1.2,1.2,360000,[1 1]
20050930,1.29,1.29,1.29,1.29,25800,[1 0]
20051003,1.29,1.29,1.29,1.29,374100,[1 1]
20051018,1.29,1.29,1.29,1.29,258000,[1 0]
20051021,1.31,1.31,1.31,1.31,65500,[0 0]
20051202,1.9,1.9,1.9,1.9,1520000,[0 1]
20051205,1.9,1.9,1.9,1.9,114000,[1 0]
20060117,1.95,1.95,1.95,1.95,11700000,[0 0]
20060118,2.0,2.0,2.0,2.0,3600000,[1 0]
20060119,2.0,2.0,2.0,2.0,1800000,[1 0]
20060120,2.0,2.0,2.0,2.0,21800000,[1 0]
20060303,2.45,3.0,2.45,3.0,580500,[0 0]
20060427,3.9,3.9,3.9,3.9,429000,[1 0]
20060516,4.0,4.0,4.0,4.0,4640000,[1 1]
20060523,3.61,3.98,3.61,3.98,385300,[0 1]
20060607,3.61,3.61,3.6,3.6,72100,[1 0]
20060614,3.6,3.6,3.01,3.6,342300,[0 1]
20060619,3.4,3.4,3.4,3.4,34000,[1 0]
20060620,3.4,3.4,3.4,3.4,34000,[1 0]
20060621,3.4,3.4,3.4,3.4,68000,[0 1]
20060627,3.3,3.3,3.3,3.3,66000,[0 0]
20060912,3.1,3.1,3.1,3.1,1984000,[0 1]
20060926,3.3,3.3,3.3,3.3,1650000,[0 1]
20061011,3.6,3.6,3.6,3.6,1800000,[0 1]
20061020,3.58,3.58,3.58,3.58,71600,[0 1]
20061031,3.39,3.4,3.3,3.3,167900,[0 0]
20061107,3.45,3.45,3.45,3.45,11937000,[0 0]
20061108,3.2,3.2,3.2,3.2,320000,[1 0]
20061110,3.45,3.45,3.45,3.45,3312000,[1 0]
20061114,3.5,3.5,3.5,3.5,1750000,[1 0]
20061116,3.5,3.5,3.5,3.5,7700000,[0 0]
20061121,3.45,3.45,3.45,3.45,34500,[0 1]
20061127,3.6,3.6,3.6,3.6,396000,[0 1]
20061129,3.6,3.6,3.6,3.6,3204000,[1 0]
20061130,3.7,3.7,3.6,3.6,865000,[1 1]
20061201,3.6,3.6,3.6,3.6,1656000,[1 0]
20061206,3.75,3.75,3.75,3.75,150000,[0 0]
20061207,3.75,3.75,3.75,3.75,6112500,[0 0]
20061211,3.75,3.79,3.75,3.79,1696300,[0 0]
20061213,3.79,3.79,3.79,3.79,985400,[0 1]
20070104,4.0,4.0,4.0,4.0,440000,[0 0]
20070117,4.2,4.2,4.2,4.2,4200000,[1 0]
20070122,4.5,4.5,4.5,4.5,4500000,[0 0]
20070124,4.89,4.9,4.89,4.9,5878000,[0 0]
20070126,4.8,7.0,4.35,5.0,351500,[0 1]
20070130,5.05,5.05,5.05,5.05,151500,[0 1]
20070205,5.0,5.0,5.0,5.0,150000,[0 0]
20070206,7.0,7.0,7.0,7.0,2100000,[0 1]
20070207,7.3,7.3,7.3,7.3,365000,[0 1]
20070208,7.6,7.6,7.4,7.4,299700,[0 1]
20070209,7.2,7.3,7.0,7.0,1010000,[1 0]
20070212,7.1,7.1,7.0,7.0,281000,[0 1]
20070213,7.28,7.28,7.0,7.0,1876000,[0 1]
20070214,7.0,7.0,7.0,7.0,1400000,[0 1]
20070216,7.11,7.11,7.11,7.11,213300,[0 0]
20070221,7.9,7.9,7.9,7.9,1975000,[0 0]
20070222,7.7,7.7,7.7,7.7,77000,[0 0]
20070223,7.35,7.35,7.35,7.35,441000,[0 0]
20070301,7.0,7.0,7.0,7.0,770000,[1 0]
20070302,7.5,7.5,7.5,7.5,7500000,[0 1]
20070305,7.5,7.5,7.5,7.5,75000,[1 1]
20070309,8.0,8.0,8.0,8.0,400000,[1 0]
20070314,7.5,7.5,7.0,7.0,215000,[0 0]
20070328,8.3,8.4,8.3,8.4,167000,[1 1]
20070329,8.4,8.4,8.4,8.4,1176000,[1 0]
20070330,8.5,8.5,8.1,8.1,498000,[0 0]
20070402,8.0,8.0,8.0,8.0,160000,[1 0]
20070404,8.5,8.5,8.1,8.1,506000,[0 1]
20070405,8.3,8.3,8.0,8.0,649000,[0 0]
20070409,8.3,8.3,8.2,8.2,661000,[1 0]
20070411,8.3,8.3,8.3,8.3,166000,[0 1]
20070413,8.1,8.1,8.1,8.1,81000,[0 0]
20070504,8.6,8.6,8.6,8.6,1720000,[0 0]
20070508,8.8,8.85,8.8,8.85,31768500,[0 1]
20070509,9.0,9.0,8.8,8.8,178000,[0 0]
20070511,8.8,8.8,8.8,8.8,352000,[1 0]
20070514,8.85,8.85,8.85,8.85,442500,[1 1]
20070518,8.88,9.1,8.88,9.1,2354000,[0 1]
20070521,9.5,9.5,8.9,8.9,540000,[0 0]
20070523,9.05,9.05,9.05,9.05,905000,[0 0]
20070618,10.0,10.0,10.0,10.0,5000000,[1 0]
20070625,10.0,10.0,10.0,10.0,2400000,[1 1]
20070627,10.5,10.5,10.5,10.5,105000,[1 1]
20070703,10.5,10.5,10.5,10.5,1995000,[0 0]
20070704,10.5,10.5,10.5,10.5,1995000,[0 1]
20070706,10.45,10.45,10.45,10.45,104500,[0 1]
20070710,11.0,11.0,11.0,11.0,110000,[0 1]
20070711,10.5,10.5,10.5,10.5,1050000,[0 0]
20070717,11.0,11.0,11.0,11.0,990000,[1 0]
20070718,11.0,11.0,11.0,11.0,330000,[0 0]
20070720,11.2,11.2,11.2,11.2,4144000,[1 1]
20070723,11.2,11.2,11.2,11.2,3584000,[0 0]
20070724,11.3,11.3,11.3,11.3,226000,[0 0]
20070727,11.0,11.0,11.0,11.0,2200000,[1 0]
20070730,11.0,11.0,11.0,11.0,6600000,[0 1]
20070731,11.0,11.0,11.0,11.0,2200000,[0 0]
20070801,11.0,11.0,11.0,11.0,880000,[1 0]
20070806,12.0,12.0,12.0,12.0,600000,[0 0]
20070807,11.0,11.0,11.0,11.0,220000,[1 0]
20070808,11.21,11.21,11.21,11.21,448400,[0 0]
20070815,10.8,10.8,10.8,10.8,1080000,[1 0]
20070816,10.0,10.0,9.11,9.11,864400,[1 0]
20070817,10.0,10.0,10.0,10.0,5000000,[0 0]
20070827,10.0,10.0,10.0,10.0,300000,[0 1]
20070828,10.0,10.0,10.0,10.0,2500000,[1 0]
