date,open,max,min,close,volume,y
20040512,4.5,4.5,4.35,4.5,1375500,[1 1]
20040513,4.73,4.75,4.7,4.7,1646400,[0 1]
20040514,4.7,5.1,4.7,5.1,495000,[0 0]
20040517,5.0,5.0,5.0,5.0,2000000,[0 0]
20040518,5.1,5.1,5.0,5.02,3479600,[1 0]
20040519,5.25,5.25,4.95,4.95,5164800,[1 0]
20040520,4.9,4.9,4.9,4.9,2450000,[0 0]
20040521,5.0,5.0,4.86,4.86,2941100,[1 1]
20040524,4.85,4.85,4.49,4.8,5332800,[0 0]
20040525,4.89,4.95,4.89,4.95,543400,[0 0]
20040526,4.9,4.9,4.9,4.9,245000,[1 0]
20040527,4.91,5.36,4.86,5.36,444800,[1 1]
20040528,5.09,5.09,5.09,5.09,50900,[0 0]
20040531,5.09,5.09,5.09,5.09,254500,[1 1]
20040602,4.86,4.86,4.86,4.86,9720000,[1 1]
20040604,4.98,4.98,4.98,4.98,49800,[0 1]
20040607,5.0,5.0,5.0,5.0,500000,[0 0]
20040608,5.0,5.0,5.0,5.0,500000,[0 0]
20040609,5.0,5.0,5.0,5.0,500000,[1 1]
20040611,5.0,5.0,5.0,5.0,500000,[0 0]
20040614,4.9,5.0,4.85,5.0,3850900,[1 1]
20040616,5.08,5.08,5.08,5.08,762000,[0 0]
20040617,5.08,5.08,5.08,5.08,1118000,[0 1]
20040618,5.34,5.45,5.34,5.45,537300,[0 0]
20040621,5.62,5.62,5.62,5.62,56200,[1 1]
20040622,5.62,5.63,5.6,5.6,784900,[1 1]
20040623,5.55,5.6,5.55,5.6,1288400,[1 0]
20040625,6.0,6.0,6.0,6.0,300000,[0 1]
20040628,6.0,6.1,6.0,6.1,1570000,[0 0]
20040629,6.49,6.5,6.31,6.31,517900,[1 1]
20040630,6.63,7.15,6.63,7.0,2246900,[1 1]
20040716,6.15,6.3,5.41,5.99,9028000,[0 0]
20040714,6.63,6.68,6.46,6.46,2260800,[0 0]
20040715,6.59,6.59,6.0,6.3,14029700,[0 0]
20040719,5.99,6.3,5.99,6.3,2311400,[1 1]
20040720,6.25,6.25,6.25,6.25,312500,[0 0]
20040721,6.2,6.2,6.12,6.12,1416500,[0 0]
20040722,6.2,6.2,6.2,6.2,186000,[1 0]
20040723,6.25,6.3,6.2,6.3,1557500,[0 0]
20040726,6.3,6.3,6.3,6.3,378000,[0 0]
20040727,6.3,6.3,6.3,6.3,1386000,[1 0]
20040728,6.4,6.4,6.4,6.4,384000,[1 0]
20040729,6.4,6.53,6.4,6.5,3501300,[0 1]
20040730,6.5,6.5,6.35,6.5,709500,[0 0]
20040802,6.45,6.7,6.2,6.4,6474000,[0 1]
20040803,6.3,6.3,6.3,6.3,945000,[0 0]
20040804,6.3,6.35,6.3,6.35,315500,[0 0]
20040805,6.4,6.4,6.2,6.2,2627500,[0 1]
20040806,6.1,6.1,6.01,6.05,2239500,[0 0]
20040810,6.13,6.4,6.03,6.4,77288000,[0 0]
20040813,6.4,6.54,6.4,6.54,3870300,[1 0]
20040816,6.54,6.65,6.54,6.65,2104200,[0 0]
20040817,6.79,6.79,6.6,6.7,3890800,[0 1]
20040818,6.85,6.85,6.85,6.85,137000,[1 1]
20040819,6.85,6.85,6.8,6.85,889500,[1 0]
20040823,6.85,6.85,6.8,6.8,612500,[1 1]
20040825,6.8,6.85,6.8,6.85,2108500,[1 1]
20040826,6.78,6.8,6.78,6.8,4145800,[0 0]
