date,open,max,min,close,volume,y
20070413,19.7,20.5,19.55,20.5,6013869900,[1 0]
20070416,20.29,21.0,20.15,21.0,435610500,[1 0]
20070417,21.05,21.36,20.7,20.85,397724200,[1 1]
20070418,20.75,21.2,20.65,21.0,313772800,[1 1]
20070419,21.19,21.3,20.51,20.9,180744300,[0 1]
20070420,20.74,21.3,20.72,21.2,127157800,[0 1]
20070423,21.2,21.5,21.2,21.25,229330300,[1 0]
20070424,21.19,21.5,20.89,21.4,244137100,[1 1]
20070425,21.11,22.0,21.11,21.75,84562500,[1 0]
20070426,21.8,21.8,21.3,21.75,547594200,[1 0]
20070427,21.8,22.5,21.3,22.5,84988200,[0 1]
20070430,22.5,22.51,22.4,22.43,29005500,[0 0]
20070502,22.45,22.99,22.45,22.9,199490700,[0 1]
20070503,23.0,24.0,22.5,24.0,125200900,[0 0]
20070504,23.56,23.94,23.55,23.75,125639800,[1 1]
20070507,23.5,23.8,23.4,23.8,21187300,[0 0]
20070508,23.5,23.94,23.3,23.94,17232100,[1 1]
20070509,23.92,24.7,23.53,24.5,115677100,[0 0]
20070510,24.31,24.51,24.0,24.28,29374900,[0 1]
20070511,24.15,24.5,24.0,24.5,48965300,[0 0]
20070514,24.54,24.54,23.66,24.14,21890000,[0 1]
20070515,24.0,24.09,23.8,24.09,61323400,[0 0]
20070516,24.0,25.31,24.0,25.31,160736700,[1 0]
20070517,25.0,25.49,25.0,25.17,97272300,[0 1]
20070518,25.2,25.35,25.0,25.0,1110171000,[1 0]
20070521,25.5,25.5,24.62,24.97,425154000,[0 1]
20070522,25.0,25.0,24.2,25.0,549497600,[1 1]
20070523,24.95,24.99,24.8,24.99,5957700,[0 1]
20070524,24.85,24.85,24.01,24.5,142042500,[0 0]
20070525,24.5,25.0,23.6,25.0,726588400,[1 0]
20070528,24.94,25.3,24.9,25.3,15286300,[0 0]
20070529,24.8,24.8,24.1,24.8,42721000,[1 0]
20070530,24.9,24.9,24.18,24.8,30308900,[1 0]
20070531,24.8,25.25,24.8,25.25,649126400,[0 1]
20070601,25.0,27.0,25.0,27.0,94466400,[1 0]
20070604,26.5,26.75,25.64,26.2,66935800,[0 0]
20070605,25.65,26.01,25.01,26.0,119319700,[0 0]
20070606,25.9,26.0,25.5,26.0,212202700,[0 0]
20070608,25.91,26.98,25.91,26.9,49705400,[1 0]
20070611,26.85,26.9,26.59,26.59,79040600,[1 1]
20070612,26.9,26.9,26.0,26.2,24618600,[0 0]
20070613,26.99,26.99,25.4,25.5,61257100,[1 0]
20070614,25.94,26.9,25.75,25.75,132173000,[0 0]
20070615,26.4,27.0,24.75,25.3,761396400,[0 1]
20070618,25.94,25.94,24.8,24.94,92342200,[0 0]
20070619,25.2,25.49,24.8,25.0,177896200,[1 0]
20070620,25.2,25.28,24.5,25.0,600773800,[1 1]
20070621,25.43,25.95,24.75,24.8,313481900,[1 1]
20070622,24.99,24.99,24.3,24.97,204631800,[1 0]
20070625,25.37,25.8,24.9,25.0,178507800,[0 1]
20070626,25.7,25.7,24.51,24.89,553445100,[1 1]
20070627,24.5,24.7,24.5,24.65,310883600,[0 0]
20070628,24.64,26.11,24.49,26.0,342792300,[1 1]
20070629,26.4,27.5,26.4,27.11,319345000,[1 0]
20070702,27.91,28.5,27.21,27.5,97092600,[1 0]
20070703,27.5,27.7,27.5,27.5,109715800,[1 0]
20070704,28.31,28.6,27.75,28.5,138435100,[1 0]
20070705,28.0,28.0,27.4,27.95,686702200,[1 1]
20070706,27.9,27.9,27.5,27.8,60375500,[0 0]
20070710,28.0,28.0,27.3,28.0,179472900,[0 1]
20070711,27.2,28.0,27.2,28.0,63223400,[0 0]
20070712,27.88,27.9,27.88,27.88,19247200,[0 0]
20070713,27.86,28.0,27.2,27.2,221795500,[1 0]
20070716,27.2,28.0,27.2,28.0,320127100,[0 1]
20070717,27.5,27.99,27.5,27.99,66929900,[1 0]
20070718,27.04,28.0,27.04,28.0,18165800,[0 1]
20070719,27.95,28.0,27.9,28.0,327597900,[1 0]
20070720,27.6,28.0,27.0,27.0,242927000,[0 0]
20070723,28.0,28.0,27.5,27.7,19013000,[0 0]
20070724,27.65,28.0,27.0,28.0,662031400,[0 1]
20070725,28.0,28.0,27.5,28.0,579414700,[1 0]
20070726,28.0,28.0,26.99,27.0,72105500,[0 0]
20070730,27.0,27.0,26.99,26.99,56680200,[0 0]
20070731,28.0,28.0,26.9,26.99,94595400,[1 1]
20070801,26.5,27.0,26.0,26.59,46778000,[0 0]
20070802,27.0,27.5,25.51,25.8,99507300,[0 0]
20070803,26.11,26.7,24.52,24.8,275959800,[0 0]
20070806,24.51,26.0,23.2,25.5,406154900,[1 1]
20070807,25.5,25.5,25.5,25.5,174165000,[0 1]
20070808,26.9,26.95,26.0,26.0,33301500,[0 0]
20070809,26.0,26.99,25.99,26.99,56439600,[0 1]
20070813,26.0,26.0,25.04,26.0,114385400,[0 1]
20070814,24.7,26.5,24.7,25.99,109660900,[1 0]
20070815,24.03,26.99,24.03,26.99,57335300,[0 1]
20070816,23.8,26.0,23.8,24.6,197951700,[0 1]
20070817,25.0,25.0,23.7,23.75,165906000,[0 0]
20070820,23.52,25.0,21.7,23.7,104078200,[0 0]
20070821,23.0,24.5,23.0,23.0,183035100,[0 0]
20070822,23.65,24.0,23.01,24.0,287287100,[0 1]
20070823,23.5,24.0,23.0,24.0,286329400,[0 0]
20070824,23.85,24.0,23.85,24.0,95988000,[1 0]
20070827,23.7,24.98,23.7,24.25,1320100600,[0 0]
20070828,23.01,24.0,23.01,23.99,24367800,[0 0]
20070829,24.0,24.49,24.0,24.25,157854500,[1 1]
20070830,24.25,25.9,24.25,25.25,279210500,[0 0]
20070831,25.9,27.5,25.9,26.9,352376600,[1 0]
20070903,27.2,27.5,27.0,27.5,4907000,[1 0]
20070904,27.3,28.25,27.01,27.75,5244100,[1 0]
20070905,27.4,27.5,27.4,27.4,17819000,[0 1]
20070910,25.0,26.5,25.0,26.48,76206500,[0 0]
20070911,27.1,27.5,26.78,27.1,18885400,[0 1]
20070912,27.5,27.75,27.4,27.5,60242700,[0 0]
20070913,27.9,27.9,27.9,27.9,279000,[0 1]
20070917,27.0,27.4,27.0,27.4,31506000,[0 1]
20070918,27.8,27.8,26.99,26.99,46176300,[1 1]
20070919,27.0,28.99,27.0,27.75,19938300,[0 1]
20070921,27.7,28.9,27.7,28.4,5101300,[1 0]
20070924,27.8,28.49,27.8,28.49,3410500,[0 1]
20070925,27.02,28.2,27.02,28.2,149532100,[1 1]
20070926,28.2,28.3,27.7,28.3,25140900,[1 0]
20070927,27.06,28.3,27.06,28.0,65013000,[0 0]
20070928,28.15,29.5,28.0,29.5,71627100,[1 0]
20071001,29.0,29.5,28.8,29.2,5526000,[1 0]
20071002,29.0,29.3,29.0,29.3,7566000,[1 0]
20071003,29.0,29.0,27.2,28.99,66838600,[1 1]
20071004,29.5,30.0,29.0,29.35,147988800,[1 0]
20071005,29.1,29.9,28.7,29.9,63293000,[0 0]
20071008,29.6,29.7,29.1,29.7,14332100,[0 1]
20071009,29.5,29.5,27.51,28.9,151590500,[0 0]
20071010,28.55,28.8,28.55,28.8,861500,[0 0]
20071011,28.8,29.5,28.8,29.5,1159000,[1 0]
20071015,28.62,29.3,28.62,29.3,3798200,[1 0]
20071017,27.71,28.95,27.71,28.9,75958800,[1 0]
20071018,28.0,28.78,27.71,28.78,4273700,[1 0]
20071019,28.6,28.6,28.45,28.5,85043500,[1 0]
20071022,28.5,29.0,28.5,29.0,25414100,[1 0]
20071023,28.0,28.0,28.0,28.0,1960000,[0 0]
20071024,27.71,28.5,27.5,28.0,4478100,[0 0]
20071025,28.0,28.5,28.0,28.3,62367300,[1 0]
20071026,28.85,29.93,28.05,29.0,14955200,[0 1]
20071029,28.01,28.6,28.0,28.6,13761600,[1 0]
20071030,28.01,28.47,28.0,28.47,13744800,[0 0]
20071031,28.5,28.5,28.5,28.5,6270000,[0 0]
20071101,28.69,29.0,28.69,29.0,2026900,[0 0]
20071106,28.5,29.0,27.65,29.0,308410900,[1 0]
20071107,29.39,29.39,28.21,28.98,5737900,[0 0]
20071108,29.0,29.5,28.8,28.8,127583000,[0 0]
20071109,28.49,28.49,27.6,27.7,22177800,[0 1]
20071112,26.91,27.68,26.9,27.0,5134000,[0 0]
20071113,27.2,27.49,26.7,26.7,19250200,[0 1]
20071114,26.06,27.95,26.06,27.95,49256100,[0 0]
20071116,27.5,28.0,27.21,28.0,72075700,[0 1]
20071119,27.8,27.99,26.5,27.5,43976000,[0 0]
20071121,27.46,27.46,26.5,26.7,48834400,[1 1]
20071123,26.06,26.06,26.0,26.0,8064900,[1 1]
20071126,25.41,26.15,25.0,25.9,13195600,[1 1]
20071127,25.2,25.9,25.15,25.89,5134500,[0 1]
20071128,25.15,27.0,25.15,27.0,152288100,[0 0]
20071129,27.5,27.89,26.8,27.89,59355500,[0 0]
20071130,28.0,28.45,27.5,27.7,16884100,[0 1]
20071205,28.0,28.0,27.11,27.6,20179900,[1 0]
20071206,27.59,27.6,27.3,27.3,213801100,[0 0]
20071207,26.7,27.29,26.7,27.1,47039700,[1 0]
20071210,26.3,26.99,26.0,26.99,47876400,[1 0]
20071211,26.51,26.7,26.5,26.7,33229000,[1 0]
20071212,26.94,26.94,26.75,26.9,1613300,[1 0]
20071213,26.1,27.0,26.1,26.95,34452300,[0 1]
20071217,26.15,26.89,26.15,26.89,1861100,[1 0]
20071218,26.9,26.95,26.1,26.9,57381200,[0 1]
20071219,26.9,26.9,26.85,26.85,15866500,[0 1]
20071221,26.79,27.0,25.33,25.6,47031800,[1 0]
20071226,26.01,26.5,25.6,25.6,41173000,[1 0]
20071227,27.0,27.0,25.6,26.38,447296900,[1 1]
20071228,26.5,26.8,25.99,25.99,77122800,[0 0]
20080102,25.25,26.05,25.25,26.0,188748200,[0 0]
20080103,26.1,26.2,25.24,26.2,4890300,[0 0]
20080104,26.0,26.0,25.0,25.74,54454000,[0 0]
20080107,26.01,26.01,25.6,25.6,45192200,[1 0]
20080108,25.72,26.0,25.5,26.0,48882800,[0 0]
20080109,26.0,26.0,25.5,26.0,43109800,[1 0]
20080110,26.2,26.2,25.61,26.19,41878900,[0 0]
20080111,25.5,26.05,25.5,26.05,11530500,[0 0]
20080114,26.25,26.7,25.95,26.0,43490000,[1 0]
20080115,26.99,26.99,25.5,25.9,16078800,[0 0]
20080116,25.0,25.5,25.0,25.5,1015000,[0 1]
20080118,25.49,25.5,25.49,25.5,6884800,[0 1]
20080122,25.4,25.4,25.38,25.38,74110300,[0 1]
20080123,21.6,24.9,21.6,24.9,1642400,[0 0]
20080124,24.0,26.85,24.0,26.2,226139200,[1 0]
20080128,25.9,25.9,25.9,25.9,1813000,[1 0]
20080129,25.9,26.0,25.2,25.2,38647400,[0 0]
20080130,26.0,26.0,26.0,26.0,321100000,[0 1]
20080201,25.8,25.8,24.99,24.99,52856400,[1 0]
20080206,24.85,24.85,24.85,24.85,248500,[1 0]
20080208,25.25,25.25,23.0,24.0,6692500,[0 0]
20080211,24.0,24.05,23.4,24.0,49916600,[1 0]
20080212,24.19,24.19,23.51,24.0,24809000,[0 0]
20080213,24.6,24.8,24.0,24.5,28264900,[0 1]
20080214,24.8,24.8,24.55,24.6,29536000,[0 0]
20080218,24.6,25.25,24.6,24.6,58243500,[1 1]
20080219,24.9,24.9,23.51,23.98,51081000,[0 0]
20080220,24.99,24.99,24.99,24.99,1249500,[1 0]
20080221,25.05,25.05,24.5,24.5,1720700,[1 1]
20080226,25.39,25.39,24.77,24.77,30505400,[0 1]
20080227,25.1,25.1,23.05,23.05,8556100,[0 0]
20080228,23.0,23.39,22.45,23.1,45378800,[1 1]
20080229,23.1,23.1,23.1,23.1,17325000,[0 0]
20080303,22.1,23.4,22.07,22.07,177359200,[0 0]
20080304,22.07,22.2,21.61,22.19,14130500,[0 0]
20080305,22.0,22.0,22.0,22.0,14740000,[1 0]
20080306,22.0,22.0,22.0,22.0,152680000,[0 1]
20080307,22.0,22.0,21.61,22.0,70396100,[1 0]
20080310,22.1,22.1,22.1,22.1,221000,[0 1]
20080311,21.61,22.0,21.51,22.0,4360000,[0 0]
20080312,22.0,22.5,22.0,22.0,21715000,[1 0]
20080314,21.5,22.0,21.5,21.98,64391200,[0 1]
20080317,21.6,22.0,21.6,22.0,652000,[0 0]
20080318,21.5,21.5,21.5,21.5,430000,[0 0]
20080319,21.99,21.99,21.7,21.75,7408100,[0 0]
20080320,21.98,21.98,21.5,21.97,54621400,[1 1]
20080324,21.98,21.98,21.98,21.98,2857400,[0 0]
20080326,21.65,21.65,21.65,21.65,866000,[1 0]
20080327,21.99,21.99,21.99,21.99,219900,[0 0]
20080331,21.65,22.0,21.65,22.0,2399000,[0 1]
20080401,21.97,21.97,21.97,21.97,439400,[1 1]
20080422,21.6,21.6,19.99,19.99,37445800,[0 0]
20080423,21.44,21.44,20.85,20.9,23712900,[1 0]
20080425,21.44,21.7,21.44,21.7,22213300,[0 0]
20080428,21.5,22.0,21.5,22.0,45075000,[0 1]
20080430,21.4,23.0,21.25,23.0,393867000,[1 0]
20080502,22.0,23.99,22.0,22.5,163595900,[0 1]
20080505,21.5,22.0,21.2,21.2,105558000,[1 0]
20080506,21.49,21.49,20.99,20.99,28536500,[1 0]
20080507,21.5,21.5,21.5,21.5,2365000,[1 1]
20080508,22.13,22.13,20.8,21.5,31534200,[1 1]
20080509,21.49,22.0,21.49,22.0,2589900,[1 0]
20080512,22.0,22.0,21.01,21.97,14344000,[1 0]
20080513,22.5,22.5,21.5,22.0,80838000,[1 0]
