date,open,max,min,close,volume,y
20080411,15.08,15.08,14.85,14.99,33164300,[1 0]
20080414,15.0,15.2,14.7,15.2,232701200,[1 1]
20080415,15.08,15.08,14.85,14.98,87367900,[1 1]
20080416,14.83,15.33,14.83,15.2,224616700,[0 1]
20080417,15.25,15.3,14.81,15.25,175610400,[0 1]
20080418,15.25,15.5,15.1,15.29,331570700,[1 0]
20080422,15.24,15.3,15.07,15.3,37318000,[0 0]
20080423,15.3,15.5,14.69,15.15,1001150500,[1 1]
20080507,16.25,16.28,15.78,16.25,149342800,[0 0]
20080508,16.2,16.2,15.91,16.15,328600900,[1 1]
20080509,16.16,16.2,15.81,16.2,405750400,[0 1]
20080512,16.23,17.49,16.0,17.14,622471300,[1 1]
20080513,17.1,17.48,16.11,17.0,616621800,[1 0]
20080514,17.19,17.2,16.1,16.5,542852100,[0 0]
20080515,16.5,16.5,16.08,16.45,560426800,[0 1]
20080529,16.98,16.98,16.52,16.86,425976800,[0 0]
20080530,16.96,17.2,16.71,17.2,378726100,[1 1]
20080602,17.19,17.19,16.88,16.95,178988100,[0 1]
20080603,17.0,17.17,16.54,16.75,211789200,[1 1]
20080604,16.81,17.08,16.56,16.85,228105500,[1 0]
20080605,16.88,17.02,16.5,16.89,481134600,[0 0]
20080606,16.8,16.81,16.51,16.55,127098300,[1 0]
20080609,16.61,16.85,16.61,16.72,208824000,[0 0]
20080610,16.73,16.91,16.65,16.85,842326300,[1 1]
20080611,16.88,17.6,16.86,17.12,414313100,[1 0]
20080612,17.1,17.6,17.0,17.33,848718300,[1 0]
20080613,17.25,17.4,17.0,17.23,304905200,[1 0]
20080616,17.1,17.4,16.77,17.05,484333500,[1 0]
20080617,17.04,17.04,16.62,16.65,621593200,[1 0]
20080618,16.8,16.84,16.55,16.6,385146200,[1 0]
20080619,16.55,16.9,16.5,16.75,309091100,[0 1]
20080620,16.8,16.83,16.27,16.6,291734300,[1 0]
20080623,16.6,16.82,16.35,16.45,174629300,[0 0]
20080624,16.45,16.5,15.85,16.46,255662700,[0 0]
20080625,16.5,16.74,16.16,16.74,549196200,[0 0]
20080626,16.4,16.61,16.15,16.4,697196200,[0 0]
20080627,16.4,16.6,16.3,16.54,381333600,[1 0]
20080630,16.5,16.9,16.4,16.9,396237700,[0 0]
20080701,16.55,17.14,16.4,16.95,522245600,[0 1]
20080702,17.1,17.95,17.1,17.59,1248637000,[0 1]
20080703,17.6,17.74,17.1,17.49,626451300,[1 1]
20080704,17.32,17.49,17.08,17.25,178576700,[0 1]
20080707,17.3,17.4,16.91,16.91,133319700,[0 0]
20080708,17.0,17.24,16.96,17.0,360895900,[1 0]
20080710,17.24,17.27,16.56,17.0,464598700,[0 0]
20080711,17.0,17.1,16.63,16.75,330553800,[1 1]
20080714,16.85,16.9,16.56,16.74,617552400,[0 1]
