date,open,max,min,close,volume,y
20080411,15.09,15.09,14.99,14.99,95027,[0 1]
20080414,15.2,15.2,14.85,14.98,326484,[1 0]
20080415,15.12,15.12,15.0,15.0,48036,[1 0]
20080416,14.95,15.25,14.95,15.1,486268,[1 1]
20080417,15.1,15.25,14.86,14.86,294514,[1 0]
20080418,15.1,15.35,15.0,15.33,581728,[1 0]
20080422,15.2,15.2,15.08,15.2,563584,[1 1]
20080423,15.45,15.69,14.75,15.29,1279338,[1 1]
20080507,16.15,16.34,15.8,15.8,1190569,[1 0]
20080508,16.0,16.25,15.93,16.25,674295,[0 1]
20080509,16.35,16.35,15.9,16.22,1138710,[0 1]
20080512,16.3,17.2,16.16,17.0,1998561,[0 1]
20080513,17.15,17.49,16.12,16.12,811418,[0 0]
20080514,17.2,17.2,16.14,16.14,1873226,[0 0]
20080515,16.57,16.67,16.11,16.2,525318,[0 1]
20080529,17.0,17.0,16.55,17.0,2598256,[0 0]
20080530,17.0,17.08,16.62,17.01,935681,[1 0]
20080602,17.2,17.2,16.9,17.2,764841,[0 1]
20080603,17.14,17.17,16.55,16.75,1193462,[0 0]
20080604,17.0,17.0,16.58,16.58,526322,[1 0]
20080605,16.85,17.2,16.56,17.2,787939,[0 0]
20080606,17.2,17.2,16.5,16.5,640965,[1 0]
20080609,16.66,16.82,16.64,16.82,209916,[1 0]
20080610,16.8,17.2,16.7,16.8,1212641,[0 0]
20080611,16.8,17.45,16.8,17.45,1592526,[1 0]
20080612,17.39,17.55,17.2,17.35,445264,[1 1]
20080613,17.4,17.4,16.94,17.1,764789,[1 0]
20080616,17.2,17.61,16.98,16.98,459338,[1 1]
20080617,17.2,17.2,16.6,16.6,1176796,[1 1]
20080618,16.61,16.79,16.55,16.55,707444,[1 1]
20080619,16.6,16.95,16.51,16.95,549398,[0 1]
20080620,16.8,16.89,16.3,16.3,1436828,[1 0]
20080623,16.75,16.75,16.25,16.25,182035,[0 0]
20080624,16.5,16.88,15.9,16.88,819434,[1 0]
20080625,16.88,16.88,16.16,16.16,603623,[0 0]
20080626,16.3,16.5,16.1,16.1,433565,[0 0]
20080627,16.94,17.71,16.94,17.71,120511,[1 0]
20080630,16.5,16.8,16.31,16.8,443067,[0 0]
20080701,16.89,17.09,16.3,16.3,1022227,[1 1]
20080702,17.1,17.99,17.1,17.85,2105269,[0 1]
20080703,17.8,17.8,16.94,17.75,573835,[0 1]
20080704,17.3,17.5,17.15,17.25,609862,[0 1]
20080707,17.32,17.45,16.85,16.85,482387,[0 0]
20080708,17.46,17.46,17.01,17.25,437899,[1 0]
20080710,17.05,17.48,16.6,16.6,1549985,[0 0]
20080711,17.09,17.49,16.5,17.23,504338,[0 1]
20080714,16.55,17.0,16.55,17.0,635049,[0 1]
20080715,17.3,17.3,16.51,17.0,467955,[1 0]
20080716,17.0,17.4,16.9,17.0,482009,[0 0]
20080717,17.05,17.72,17.05,17.47,1066573,[0 0]
20080718,17.47,17.73,16.7,16.7,1173841,[0 0]
20080721,17.42,17.59,17.2,17.2,795301,[1 1]
20080722,17.26,17.4,17.25,17.3,717067,[0 1]
20080723,17.3,17.75,17.3,17.7,200380,[1 1]
20080724,17.8,17.8,17.2,17.2,368628,[1 0]
20080725,17.23,17.88,17.23,17.88,310629,[0 0]
20080728,17.9,18.1,17.8,17.97,694794,[1 0]
20080729,17.77,18.15,17.77,18.15,543738,[1 0]
20080730,18.1,18.2,17.9,18.2,1231417,[1 0]
20080731,18.0,18.49,18.0,18.35,737395,[1 1]
20080801,18.47,18.67,18.25,18.5,812163,[1 1]
20080804,18.46,18.99,18.0,18.0,840847,[0 0]
20080805,18.0,18.57,18.0,18.02,738810,[1 1]
20080806,18.0,18.99,18.0,18.6,559483,[1 0]
20080807,18.5,18.65,18.2,18.58,1170538,[0 1]
20080808,18.25,18.6,17.74,17.74,702424,[1 1]
20080811,18.25,18.25,17.0,17.0,486837,[1 0]
20080812,17.4,17.6,17.0,17.6,104580,[0 0]
20080813,17.11,18.05,16.71,16.71,529220,[1 0]
20080826,15.95,16.0,15.74,15.92,241866,[0 1]
20080827,16.45,16.45,15.5,15.6,884386,[0 0]
20080828,16.05,16.05,15.41,15.41,1344596,[0 1]
20080829,15.6,16.03,15.0,15.3,1193354,[1 1]
20080901,15.3,15.65,15.26,15.4,791073,[1 0]
20080902,15.57,15.96,15.33,15.33,746602,[1 1]
20080903,15.5,15.5,15.03,15.03,1149502,[0 1]
20080904,15.5,15.5,14.7,14.7,904790,[0 1]
20080905,15.84,15.84,14.58,14.99,563795,[1 1]
20080908,15.05,15.99,14.97,15.1,728690,[1 1]
20080909,15.0,15.24,14.6,14.6,389226,[1 0]
20080910,15.4,15.4,14.63,15.4,702152,[0 1]
20080911,15.52,15.52,14.88,14.9,393438,[1 0]
20080912,15.2,16.0,15.2,16.0,401468,[1 0]
20080915,15.5,16.21,15.0,15.59,1094449,[1 0]
20080916,15.4,16.24,15.28,16.24,860366,[1 0]
20080917,16.0,16.0,15.14,15.15,793952,[1 0]
20080918,15.0,16.23,15.0,15.0,394206,[0 1]
20080919,16.0,16.44,15.21,16.4,747274,[1 0]
20080922,16.0,16.0,15.58,15.7,650938,[1 1]
20080923,15.69,16.0,15.35,15.35,509035,[0 0]
20080924,15.99,15.99,15.24,15.24,1023533,[0 0]
20080925,15.3,15.88,15.0,15.05,400354,[0 1]
20080926,15.7,15.99,15.25,15.99,494158,[0 1]
20080929,15.94,15.94,14.92,14.98,1165318,[0 1]
20080930,15.09,15.93,15.09,15.5,572591,[1 1]
20081001,15.99,15.99,15.3,15.95,1073414,[0 1]
20081002,15.99,16.24,15.3,15.85,1356310,[0 0]
20081003,16.15,16.2,15.4,15.43,1522267,[1 1]
20081006,15.3,15.5,14.85,15.3,1383269,[0 1]
20081007,15.4,15.4,14.0,14.0,1919083,[0 0]
20081008,14.0,14.0,13.0,13.48,2171161,[1 1]
20081009,13.3,14.0,13.0,13.0,1361509,[0 1]
20081010,12.7,12.81,11.61,12.46,1950444,[1 0]
20081013,12.5,13.1,12.22,13.0,1852642,[0 1]
20081014,13.59,14.6,13.35,13.35,2232325,[1 0]
20081015,13.5,13.5,12.2,12.2,1439262,[0 0]
20081016,12.41,12.5,12.01,12.25,1384155,[1 1]
20081017,12.64,14.4,12.49,13.0,801838,[0 1]
20081020,13.51,13.55,13.1,13.4,1262388,[0 1]
20081021,13.98,13.98,13.31,13.98,1346357,[0 1]
20081022,14.0,14.0,12.61,13.05,837152,[1 0]
20081023,13.5,13.99,12.33,12.6,988695,[1 0]
20081024,12.5,12.65,11.8,12.04,1690956,[1 0]
20081027,12.01,13.6,12.01,13.5,645322,[1 1]
20081028,13.75,13.75,12.75,12.75,620851,[0 0]
20081029,14.1,14.5,13.11,13.3,2401904,[0 1]
20081030,13.99,14.09,12.91,13.0,3441430,[1 1]
20081031,13.7,14.45,13.0,13.37,1395210,[1 1]
20081103,13.56,13.84,12.7,13.1,1800685,[0 0]
20081104,13.5,13.79,13.15,13.15,833478,[1 0]
20081105,13.65,13.65,13.15,13.2,1286745,[1 0]
20081106,13.34,13.34,13.18,13.21,743569,[1 0]
20081107,13.5,13.89,13.4,13.84,1342503,[0 0]
20081110,14.0,14.5,13.51,13.7,1588765,[1 0]
20081111,13.98,13.98,13.11,13.11,1395834,[1 0]
20081112,13.9,13.9,13.25,13.25,629678,[0 0]
20081113,13.5,13.7,13.05,13.6,1128538,[1 0]
20081127,15.0,15.2,14.55,15.02,815546,[0 1]
20081128,15.49,15.5,14.5,14.5,972105,[1 0]
20081201,14.71,14.71,14.4,14.4,1707160,[0 1]
20081202,14.55,15.0,14.35,14.67,559098,[0 1]
20081203,15.0,15.0,14.5,15.0,1170665,[1 0]
20081204,15.0,15.17,14.8,15.16,1421236,[0 0]
20081205,14.88,15.5,14.88,15.5,1002798,[0 1]
20081208,15.01,15.69,15.0,15.48,1356989,[0 1]
20081209,15.9,15.9,14.76,14.98,1148805,[1 0]
20081210,14.98,15.0,14.7,14.7,1231127,[0 0]
20081211,14.97,14.99,14.65,14.99,504162,[0 1]
20081212,15.0,15.0,14.2,14.9,1905424,[1 0]
