date,open,max,min,close,volume,y
20060217,21.9,24.1,20.5,23.95,26234371300,[0 1]
20060220,23.95,24.1,22.5,23.0,5020452800,[1 0]
20060221,23.03,24.9,23.03,24.61,6463013000,[0 1]
20060222,24.93,25.91,23.76,25.7,5270425900,[1 1]
20060223,25.7,25.8,24.5,25.2,4356130000,[0 0]
20060224,25.05,25.06,24.5,24.6,721587900,[0 0]
20060301,24.51,25.98,24.4,25.61,3573817500,[0 0]
20060302,25.6,26.4,25.0,25.9,1492457900,[0 1]
20060303,25.52,27.87,25.41,26.85,2815350800,[0 1]
20060306,26.9,27.5,25.2,25.48,962045800,[0 0]
20060307,25.5,25.5,24.27,24.79,1865929100,[1 0]
20060308,24.69,25.0,23.61,24.35,806160700,[0 1]
20060309,25.07,25.49,23.8,23.99,1072675600,[0 0]
20060310,24.3,24.49,23.6,23.63,640402500,[1 1]
20060313,24.0,24.98,23.39,23.58,803215600,[1 1]
20060314,23.56,23.56,22.45,23.0,3087911600,[1 0]
20060315,23.0,24.09,23.0,24.0,1236075900,[0 0]
20060316,24.0,24.1,23.4,23.5,1157398700,[1 0]
20060317,23.45,24.35,23.45,24.25,2053572400,[0 0]
20060320,24.25,24.98,24.19,24.19,728060100,[1 1]
20060321,24.15,24.5,23.99,24.15,1791201700,[0 0]
20060322,24.0,24.6,23.7,24.4,2411153300,[0 1]
20060323,24.4,24.9,24.1,24.25,532406200,[0 0]
20060324,24.4,24.4,23.33,23.38,1305152300,[1 1]
20060327,23.29,24.0,22.2,23.6,1370426500,[1 1]
20060328,23.2,23.51,22.75,22.75,2288976800,[1 0]
20060329,22.6,23.05,22.2,22.37,848162700,[1 1]
20060330,22.99,23.1,22.4,23.0,1140019200,[0 0]
20060331,23.1,23.4,22.86,23.18,466014000,[0 0]
20060403,23.1,23.98,23.0,23.89,599570900,[1 0]
20060404,23.98,24.81,23.8,24.7,533216700,[0 0]
20060405,24.64,24.99,24.64,24.76,507918600,[0 1]
20060406,24.82,24.85,24.5,24.5,1696407400,[1 0]
20060407,24.5,24.8,24.1,24.5,565899500,[0 1]
20060410,24.7,24.7,23.5,23.5,347006100,[0 1]
20060411,23.6,24.05,23.2,23.8,1775956800,[0 0]
20060412,23.49,23.92,22.3,22.55,1853581800,[0 0]
20060413,22.5,23.1,21.6,21.6,881435100,[1 0]
20060417,21.71,22.35,20.55,21.0,181903400,[0 0]
20060418,21.1,22.45,20.84,21.85,2335612100,[1 1]
20060419,22.19,22.76,21.6,22.75,2015961500,[1 1]
20060420,22.67,22.71,22.0,22.61,944636500,[0 1]
20060424,22.61,22.99,22.22,22.6,313744400,[0 1]
20060425,22.41,22.41,22.2,22.31,253353200,[1 1]
20060426,22.3,22.7,22.25,22.4,1595189000,[1 1]
20060427,22.0,22.39,21.61,21.85,1361641600,[0 0]
20060428,22.0,22.0,21.1,21.3,293814700,[0 1]
20060502,21.35,22.48,21.35,22.2,1247256900,[0 0]
20060503,22.1,23.1,22.1,23.1,950349800,[1 0]
20060504,23.09,24.22,23.09,24.01,1446142700,[1 0]
20060505,24.07,24.8,23.71,24.62,956927000,[0 1]
20060508,24.6,26.85,24.0,26.15,2088103300,[0 0]
20060509,26.0,28.51,24.5,25.59,2750426300,[1 1]
20060510,25.03,26.7,25.0,26.7,919679700,[0 1]
20060511,26.61,27.2,25.8,26.8,1530539400,[1 1]
20060512,26.69,26.71,25.5,26.2,456068100,[0 1]
20060515,25.33,25.4,24.5,24.75,476722500,[1 0]
20060516,24.55,25.3,23.5,23.9,257994900,[1 1]
20060517,24.3,24.3,22.0,22.1,1319239800,[1 1]
20060518,22.79,23.5,22.25,22.8,119940200,[0 0]
20060519,23.2,23.2,21.5,21.79,381551500,[1 1]
20060522,21.9,21.9,19.3,20.25,2287809400,[1 0]
20060523,20.8,21.11,19.61,19.61,1780517400,[0 1]
20060524,19.9,19.9,18.01,18.28,2583218100,[0 1]
20060525,18.71,19.32,18.28,19.0,1206484200,[1 0]
20060526,19.56,21.5,19.56,21.0,930143600,[1 1]
20060529,21.51,21.51,20.3,20.9,138499600,[1 1]
