date,open,max,min,close,volume,y
20030514,31.4,31.6,31.0,31.6,872587000,[0 1]
20030515,31.3,31.4,30.5,31.0,749605600,[0 0]
20030516,30.7,31.55,30.01,31.55,1175097400,[0 0]
20030519,30.81,31.49,30.8,30.97,825350800,[0 0]
20030520,30.55,30.55,29.5,30.1,905078700,[1 1]
20030521,30.0,30.3,29.8,30.1,469714700,[1 0]
20030522,30.1,30.12,29.35,29.35,623942300,[0 0]
20030523,29.3,29.7,29.2,29.2,697019200,[1 1]
20030526,29.31,29.31,28.9,28.9,266991700,[1 1]
20030527,29.0,30.18,28.9,29.67,687993200,[0 1]
20030528,30.0,30.35,29.9,30.0,628566500,[1 1]
20030529,30.3,30.7,29.91,30.5,465561300,[0 0]
20030530,30.5,30.69,30.26,30.3,456048700,[0 0]
20030602,30.35,30.35,29.25,29.36,541293600,[0 1]
20030603,29.55,29.6,29.0,29.2,683725900,[1 1]
20030604,29.6,30.12,29.15,29.8,1173853800,[1 0]
20030605,29.9,30.6,29.8,30.15,944735700,[0 0]
20030606,30.49,31.35,30.49,31.3,984857000,[1 1]
20030609,31.3,31.98,31.02,31.65,542549100,[1 1]
20030610,31.7,32.0,30.6,31.17,571660300,[1 0]
20030611,31.5,31.95,31.1,31.7,521266100,[1 1]
20030612,31.74,32.98,31.74,32.98,1518058600,[1 0]
20030613,34.2,34.3,33.4,33.5,1580908300,[0 1]
20030616,33.5,33.99,32.8,32.9,493556900,[0 0]
20030617,32.83,33.2,32.5,32.69,931615700,[1 0]
20030618,32.6,33.05,31.2,31.73,2029223000,[1 1]
20030620,31.7,31.71,30.01,30.55,937677700,[0 1]
20030623,30.75,31.8,30.0,30.5,600742700,[1 1]
20030624,30.76,32.99,30.7,31.89,1078926200,[1 1]
20030625,32.0,32.41,31.51,32.1,954313400,[1 1]
20030626,32.09,33.49,32.09,32.6,1847332800,[1 1]
20030627,33.0,33.4,32.75,32.99,1054089200,[1 1]
20030630,33.2,33.3,32.6,32.93,661739600,[0 0]
20030701,33.0,33.0,32.4,32.89,750105000,[1 0]
20030702,33.0,33.0,31.9,31.9,429235300,[1 1]
20030703,32.0,32.5,31.7,32.25,366345200,[0 1]
20030704,32.49,33.05,32.3,33.05,233431800,[0 0]
20030707,33.05,34.3,32.65,34.1,847062200,[1 1]
20030708,33.1,34.2,33.1,34.2,710443400,[1 0]
20030710,34.0,35.0,33.5,34.9,524694400,[0 1]
20030723,33.94,34.5,33.72,33.95,781048700,[1 1]
20030724,34.19,34.19,33.6,34.09,506980300,[0 0]
20030725,34.18,34.7,33.72,34.44,452307800,[0 0]
20030728,34.35,34.96,33.8,34.96,358486200,[0 0]
20030729,34.96,35.35,34.3,34.55,1613889500,[1 1]
20030730,34.6,34.6,33.31,33.75,950353500,[1 1]
20030731,33.7,34.0,33.2,33.79,474315700,[0 0]
20030801,33.81,33.85,33.3,33.7,736580500,[1 0]
20030804,33.36,33.8,32.73,33.45,799669000,[1 1]
20030805,33.4,34.1,33.3,33.9,668233800,[0 1]
20030806,33.8,33.9,33.0,33.0,612110700,[1 1]
20030807,33.3,34.8,33.3,34.4,911344400,[1 0]
20030808,34.11,34.69,34.11,34.6,511050000,[0 1]
20030811,34.3,34.6,34.29,34.31,356362400,[1 1]
20030812,34.5,35.2,34.4,35.2,378932800,[0 0]
20030813,35.2,37.98,35.2,37.05,2203324200,[1 0]
20030814,37.06,38.05,36.75,38.02,703206300,[0 1]
20030815,37.7,38.68,37.7,38.45,691442800,[1 1]
20030818,38.44,39.3,38.1,39.25,865311600,[0 0]
20030819,39.3,39.64,38.81,39.5,1273299100,[0 1]
20030820,39.0,40.0,38.7,39.95,1663467600,[1 0]
20030821,39.8,40.97,39.66,40.5,1238869800,[0 0]
20030822,40.45,41.75,40.45,41.71,1511968800,[1 1]
20030825,41.7,43.0,41.7,42.9,1242573700,[1 1]
20030826,43.11,45.5,42.99,45.2,1789124400,[0 0]
20030827,45.2,46.0,43.9,44.5,2301675800,[1 0]
20030828,44.5,44.5,42.51,42.81,1995451500,[1 0]
20030829,42.75,44.37,41.51,44.37,931738300,[0 1]
