date,open,max,min,close,volume,y
19980325,9.6,9.6,9.6,9.6,1920000,[1 0]
19980327,9.61,9.61,9.61,9.61,2690800,[1 1]
19980331,10.0,10.0,10.0,10.0,100000,[0 1]
19980401,9.76,9.76,9.76,9.76,97600,[0 1]
19980402,9.8,9.8,9.8,9.8,14700000,[1 0]
19980406,9.71,9.8,9.71,9.8,685100,[0 0]
19980407,9.85,9.85,9.85,9.85,2265500,[1 0]
19980415,11.0,11.0,11.0,11.0,55000000,[0 0]
19980416,11.0,11.3,11.0,11.3,78670000,[1 0]
19980417,11.35,11.35,11.35,11.35,22700000,[0 0]
19980420,11.35,11.35,11.35,11.35,1135000,[0 0]
19980422,11.2,11.35,11.2,11.35,107275000,[0 1]
19980423,11.35,11.35,11.35,11.35,28375000,[0 1]
19980428,11.35,11.5,11.35,11.5,119090000,[0 0]
19980429,11.0,11.0,11.0,11.0,55550000,[0 0]
19980430,11.0,11.0,11.0,11.0,25300000,[0 0]
19980505,10.7,10.7,10.7,10.7,1284000,[0 0]
19980507,10.0,10.0,9.95,9.99,8184800,[0 1]
19980508,9.7,9.7,9.7,9.7,50634000,[0 1]
19980512,9.7,9.7,9.6,9.6,1355000,[0 1]
19980527,9.09,9.09,9.09,9.09,83628000,[1 0]
19980529,9.0,9.0,9.0,9.0,3510000,[1 0]
19980604,9.0,9.0,9.0,9.0,5940000,[0 0]
19980630,8.99,10.0,8.99,10.0,940900,[0 1]
19980710,8.09,8.09,8.09,8.09,970800,[0 0]
19980714,8.33,8.33,6.22,6.22,18246600,[0 1]
19980716,8.0,8.0,8.0,8.0,80000,[0 0]
19980720,8.0,8.0,8.0,8.0,17440000,[0 0]
19980721,8.0,8.0,8.0,8.0,39280000,[0 1]
19980806,7.35,7.35,7.35,7.35,2205000,[0 1]
19980831,5.5,5.5,5.5,5.5,440000,[0 0]
19980901,5.96,5.96,5.4,5.4,2756000,[0 0]
19980902,5.5,5.5,4.0,4.0,33586400,[0 0]
19980903,3.85,3.85,3.49,3.49,14556800,[1 1]
19980904,3.0,3.0,3.0,3.0,13380000,[1 1]
19980908,3.0,3.01,2.9,2.9,21075000,[1 1]
19980909,3.0,3.0,2.85,3.0,48030000,[0 1]
19980910,3.0,3.0,3.0,3.0,300000,[1 0]
19980911,3.2,3.2,3.2,3.2,3200000,[1 0]
19980914,3.2,3.2,3.2,3.2,32000,[1 0]
19980915,3.2,3.4,3.2,3.4,67942000,[1 0]
19980916,3.5,3.5,3.5,3.5,35000,[0 0]
19980917,3.5,3.5,3.01,3.01,521000,[1 0]
19980918,3.0,3.15,3.0,3.1,22500500,[0 1]
19980921,3.1,3.1,3.1,3.1,31000,[0 1]
19980923,3.1,3.1,3.1,3.1,31000,[0 0]
19980924,3.0,3.0,3.0,3.0,30000,[0 0]
19980925,2.9,3.0,2.9,3.0,59000,[1 0]
19980928,3.2,3.2,3.2,3.2,960000,[0 0]
19980929,3.0,3.0,3.0,3.0,30000,[0 0]
19980930,2.91,2.91,2.91,2.91,29100,[0 1]
19981001,2.8,2.8,2.8,2.8,40208000,[0 1]
19981002,3.0,3.0,3.0,3.0,60000,[1 0]
19981005,3.0,3.0,3.0,3.0,30000,[1 1]
19981006,3.0,3.0,3.0,3.0,30000,[0 0]
19981007,2.8,2.8,2.8,2.8,28000,[1 0]
19981008,2.8,2.8,2.8,2.8,3136000,[0 1]
19981009,2.8,2.8,2.8,2.8,1680000,[1 0]
19981013,2.9,2.9,2.9,2.9,29000,[0 1]
19981014,2.9,2.9,2.9,2.9,29000,[1 1]
19981015,3.0,3.0,3.0,3.0,30000,[1 0]
19981016,3.0,3.0,3.0,3.0,12600000,[0 1]
19981019,3.0,3.0,3.0,3.0,1500000000,[0 0]
19981020,3.0,3.0,3.0,3.0,1350000,[1 1]
19981021,3.0,3.0,3.0,3.0,1350000,[1 0]
19981027,3.0,3.0,3.0,3.0,2700000,[1 0]
19981030,3.0,3.0,3.0,3.0,30000,[1 1]
19981103,3.29,3.29,3.29,3.29,987000,[0 1]
19981104,3.29,3.3,3.29,3.3,65900,[0 0]
