date,open,max,min,close,volume,y
20030515,35.0,35.0,35.0,35.0,2450000,[0 0]
20030519,34.0,34.0,34.0,34.0,340000,[1 0]
20030604,33.15,33.15,33.15,33.15,118014000,[0 1]
20030617,35.15,35.15,35.15,35.15,125134000,[0 0]
20030618,35.15,35.15,35.15,35.15,7733000,[1 1]
20030623,33.5,33.5,32.0,32.0,5222500,[0 0]
20030626,35.0,35.0,35.0,35.0,700000,[1 0]
20030627,35.0,35.0,35.0,35.0,350000,[1 1]
20030703,34.0,34.0,34.0,34.0,306000000,[0 1]
20030704,34.9,34.9,34.9,34.9,2792000,[0 1]
20030728,36.0,36.0,36.0,36.0,360000,[0 1]
20030801,36.0,36.0,36.0,36.0,360000,[0 1]
20030807,36.0,36.0,36.0,36.0,360000,[0 1]
20030808,36.0,36.5,36.0,36.5,18605000,[1 0]
20030813,34.0,34.0,34.0,34.0,340000,[1 0]
20030815,39.01,39.01,39.01,39.01,780200,[0 0]
20030818,39.0,39.4,39.0,39.4,17280000,[0 0]
20030819,39.39,39.4,39.39,39.39,3151600,[1 0]
20030820,39.3,39.8,39.3,39.8,9851000,[0 1]
20030821,39.4,39.4,39.4,39.4,5910000,[0 0]
20030822,40.0,40.0,40.0,40.0,1200000,[0 1]
20030825,40.0,40.0,40.0,40.0,6800000,[0 0]
20030828,42.0,42.0,42.0,42.0,1680000,[0 1]
20030902,41.7,42.0,41.7,41.95,2516500,[0 1]
20030903,42.0,43.0,42.0,43.0,13540000,[0 0]
20030904,43.5,43.5,42.1,42.1,12658100,[0 0]
20030905,42.5,43.8,42.5,43.8,863000,[1 1]
20030908,44.0,44.0,44.0,44.0,2200000,[0 1]
20030911,44.0,44.0,44.0,44.0,880000,[1 0]
20030915,45.0,45.0,45.0,45.0,9000000,[0 1]
20030918,45.0,45.0,45.0,45.0,2700000,[1 0]
20030919,45.0,45.0,45.0,45.0,450000,[0 0]
20030922,45.0,45.0,45.0,45.0,450000,[1 0]
20030924,44.0,44.0,44.0,44.0,880000,[1 0]
20030925,42.0,42.0,41.7,41.7,1254000,[0 0]
20031003,45.7,45.7,45.7,45.7,1828000,[0 1]
20031006,45.7,45.7,45.7,45.7,457000,[0 1]
20031007,45.5,45.5,45.5,45.5,455000,[1 0]
20031009,46.5,46.5,46.5,46.5,930000,[0 0]
20031013,46.0,46.0,46.0,46.0,920000,[0 1]
20031029,45.3,45.3,45.3,45.3,906000,[1 1]
20031027,45.0,45.0,45.0,45.0,450000,[0 0]
20031205,52.0,52.5,52.0,52.5,9960000,[1 1]
20031203,52.0,52.0,52.0,52.0,520000,[0 0]
20031201,52.0,52.0,52.0,52.0,520000,[0 1]
20031107,47.4,47.4,47.4,47.4,474000,[1 0]
20031217,53.0,53.0,53.0,53.0,530000,[1 1]
20031211,51.0,51.0,51.0,51.0,510000,[1 1]
20031229,59.0,60.0,59.0,60.0,1190000,[1 1]
20031226,58.0,58.0,58.0,58.0,580000,[1 0]
20031223,58.0,58.0,58.0,58.0,580000,[0 1]
20031222,55.0,55.0,55.0,55.0,1650000,[1 1]
20031219,55.0,55.0,54.0,54.0,23810000,[0 0]
20031230,60.0,60.0,60.0,60.0,600000,[1 0]
20040115,62.0,62.0,62.0,62.0,620000,[1 0]
20040116,62.0,62.0,62.0,62.0,2480000,[0 1]
20040123,65.0,65.0,65.0,65.0,1300000,[1 0]
20040126,75.0,75.0,75.0,75.0,750000,[0 1]
20040127,74.99,74.99,74.99,74.99,749900,[1 0]
20040202,66.0,66.0,66.0,66.0,660000,[1 0]
20040211,68.0,68.0,68.0,68.0,680000,[0 1]
20040212,70.0,70.0,70.0,70.0,700000,[0 0]
20040217,70.0,70.0,70.0,70.0,700000,[1 0]
20040220,70.0,70.0,70.0,70.0,350000000,[1 0]
20040226,70.0,70.0,70.0,70.0,700000,[0 0]
20040301,71.5,71.5,71.5,71.5,715000,[0 1]
20040302,71.5,71.5,71.5,71.5,1430000,[0 0]
20040305,75.01,75.01,75.01,75.01,525070000,[1 0]
20040308,75.0,75.0,75.0,75.0,1500000,[1 0]
20040310,74.2,74.2,74.2,74.2,2226000,[0 0]
20040311,74.2,74.2,71.5,71.5,816915000,[0 1]
20040317,71.5,71.5,71.5,71.5,836550000,[0 1]
20040323,72.0,72.0,72.0,72.0,866160000,[1 0]
