date,open,max,min,close,volume,y
20030514,33.5,35.0,33.5,35.0,211350,[0 0]
20030519,35.0,35.0,35.0,35.0,14000,[1 0]
20030526,32.0,32.0,32.0,32.0,3200,[0 1]
20030527,33.3,33.3,33.3,33.3,29970,[0 0]
20030604,33.15,33.15,33.15,33.15,46410,[0 1]
20030610,32.5,32.5,29.0,29.0,21700,[0 0]
20030613,31.05,35.6,31.05,35.6,243555,[0 1]
20030617,32.01,35.15,32.0,35.15,68100,[0 1]
20030618,35.15,35.15,35.15,35.15,3515,[0 0]
20030623,33.0,33.0,32.0,32.0,215400,[1 0]
20030624,34.5,34.5,34.5,34.5,69000,[1 1]
20030701,34.0,34.0,34.0,34.0,30600,[0 1]
20030702,30.0,30.0,30.0,30.0,30000,[0 1]
20030703,29.0,29.0,29.0,29.0,5800,[0 0]
20030708,34.0,34.0,34.0,34.0,6800,[1 1]
20030723,33.01,33.01,33.01,33.01,16505,[0 0]
20030725,34.4,34.4,34.4,34.4,24080,[1 0]
20030728,34.4,34.4,34.4,34.4,13760,[1 1]
20030731,36.0,36.0,33.0,33.0,182400,[1 0]
20030801,35.0,35.0,35.0,35.0,182000,[0 0]
20030806,33.5,33.5,33.5,33.5,197650,[1 0]
20030807,34.0,34.0,34.0,34.0,3400,[1 0]
20031229,57.0,57.0,57.0,57.0,45600,[0 0]
20030811,34.0,34.0,34.0,34.0,3400,[0 0]
20031230,61.0,61.0,61.0,61.0,30500,[1 0]
20030813,34.0,34.0,34.0,34.0,71400,[1 0]
20030814,36.0,40.0,36.0,40.0,108501,[1 1]
20030815,39.0,39.0,39.0,39.0,3900,[0 1]
20030819,40.0,40.0,38.5,38.5,219251,[0 0]
20030820,39.3,39.3,39.3,39.3,11790,[1 1]
20030826,40.0,40.0,39.4,39.4,215760,[0 1]
20030827,38.51,38.51,38.51,38.51,3851,[0 0]
20030829,35.64,35.64,35.64,35.64,42768,[0 1]
20030902,42.0,42.0,42.0,42.0,50400,[1 0]
20030905,38.51,38.51,35.65,35.65,10981,[1 1]
20030908,42.8,42.8,42.8,42.8,12840,[1 1]
20030909,43.0,43.0,43.0,43.0,8600,[0 0]
20030911,44.0,44.0,44.0,44.0,268400,[0 1]
20030915,44.0,44.0,43.0,43.0,402600,[0 1]
20030916,41.0,41.0,41.0,41.0,8200,[1 1]
20030917,41.0,41.0,41.0,41.0,147600,[1 0]
20030923,43.5,43.5,43.5,43.5,56550,[1 1]
20030926,41.0,41.0,41.0,41.0,53300,[0 1]
20031003,45.0,46.23,45.0,46.23,208596,[1 0]
20031006,45.5,45.5,45.5,45.5,27300,[0 1]
20031007,45.5,45.5,45.5,45.5,27300,[1 1]
20031008,38.01,45.5,35.3,45.5,33133,[0 1]
20031027,45.02,45.2,45.0,45.1,418718,[1 0]
20031028,44.0,44.0,44.0,44.0,44000,[0 1]
20031029,44.0,48.5,44.0,48.5,267150,[1 1]
20031103,45.3,45.3,45.3,45.3,27180,[1 0]
20031105,45.35,45.35,45.35,45.35,81675,[0 0]
20031106,45.5,45.5,40.0,40.0,40400,[1 1]
20031107,45.3,46.01,45.3,46.01,55070,[0 1]
20031119,47.4,47.4,47.4,47.4,4740,[0 1]
20031120,42.01,42.01,42.01,42.01,25206,[0 0]
20031125,47.0,47.0,47.0,47.0,183300,[1 0]
20031127,42.0,42.0,42.0,42.0,8400,[0 0]
20031128,42.0,42.0,42.0,42.0,54600,[1 0]
20031201,47.4,50.0,47.4,50.0,9740,[1 0]
20031204,51.0,51.0,51.0,51.0,300900,[1 0]
20031209,50.0,50.0,50.0,50.0,5000,[0 1]
20031211,55.0,55.0,55.0,55.0,143000,[1 0]
20031212,52.0,52.0,52.0,52.0,156000,[1 0]
20031215,52.0,52.0,52.0,52.0,291200,[0 1]
20031216,51.0,51.0,51.0,51.0,255000,[0 1]
20031217,52.0,52.0,52.0,52.0,166400,[1 0]
20031219,53.0,55.0,52.5,55.0,838550,[0 1]
20031222,55.0,55.0,55.0,55.0,126500,[0 0]
20031223,57.0,57.5,57.0,57.5,34250,[0 0]
20040114,62.0,62.0,61.0,61.0,445900,[0 1]
20040123,64.0,64.0,64.0,64.0,537600,[0 0]
20040127,75.0,75.0,75.0,75.0,495000,[1 0]
20040130,71.0,71.0,71.0,71.0,113600,[0 1]
20040202,60.0,60.0,60.0,60.0,24000,[0 1]
20040205,60.0,60.0,60.0,60.0,12000,[0 1]
20040212,68.0,68.0,68.0,68.0,81600,[0 1]
20040219,70.0,70.0,61.0,61.0,449150,[1 1]
20040225,65.0,65.0,65.0,65.0,6500,[0 1]
20040227,65.5,65.5,65.5,65.5,412650,[1 0]
20040301,70.0,70.0,70.0,70.0,28000,[1 0]
20040303,71.0,71.0,71.0,71.0,333700,[1 0]
20040304,70.0,70.0,70.0,70.0,7000,[0 0]
20040311,72.0,72.0,72.0,72.0,158400,[1 0]
20040312,78.0,78.0,78.0,78.0,7800,[0 1]
20040315,71.5,71.5,71.5,71.5,243100,[0 1]
20040317,71.5,71.51,71.5,71.51,42904,[1 0]
20040319,78.0,78.0,78.0,78.0,195000,[1 1]
20040323,72.0,72.0,72.0,72.0,165600,[0 1]
20040324,72.0,72.0,72.0,72.0,129600,[0 0]
20040325,73.0,73.0,73.0,73.0,7300,[0 1]
20040329,73.6,73.6,73.6,73.6,412160,[0 0]
20040426,77.0,77.0,77.0,77.0,7700,[0 1]
20040427,75.05,75.05,75.05,75.05,412775,[1 0]
20040428,76.0,76.0,76.0,76.0,60800,[0 0]
20040429,77.0,77.0,73.0,77.0,1220100,[1 1]
20040430,61.0,68.0,61.0,68.0,142100,[1 0]
20040517,30.0,30.0,30.0,30.0,42000,[1 1]
20040518,31.0,31.0,31.0,31.0,93000,[0 0]
20040519,32.0,32.0,32.0,32.0,6400,[1 0]
20040525,32.5,32.5,32.5,32.5,65000,[1 1]
20040528,38.0,39.0,38.0,39.0,391700,[0 0]
20040531,39.0,39.0,39.0,39.0,35100,[1 0]
20040602,35.0,38.0,35.0,38.0,161800,[0 0]
20040609,35.0,35.0,35.0,35.0,266000,[0 1]
20040617,39.0,39.0,39.0,39.0,195000,[1 0]
20040618,41.0,41.0,41.0,41.0,139400,[1 0]
20040622,41.0,41.0,41.0,41.0,246000,[0 1]
20040625,43.0,43.0,43.0,43.0,4300,[0 1]
20040630,41.0,41.0,41.0,41.0,328000,[0 1]
20040714,45.0,45.0,45.0,45.0,153000,[1 1]
20040716,45.0,45.0,45.0,45.0,4500,[1 0]
20040722,46.0,46.0,44.0,44.0,427600,[0 0]
20040726,49.0,49.0,49.0,49.0,29400,[0 0]
20040727,49.0,49.0,49.0,49.0,411600,[1 1]
20040728,48.0,48.0,48.0,48.0,28800,[1 1]
20040730,48.0,48.0,48.0,48.0,374400,[0 0]
20040802,50.0,52.0,50.0,52.0,220200,[0 0]
20040803,52.0,52.0,52.0,52.0,332800,[1 0]
20040805,59.3,59.3,59.3,59.3,11860,[1 0]
20040806,56.0,56.0,56.0,56.0,22400,[0 0]
20040809,59.0,59.0,59.0,59.0,542800,[0 1]
20040810,58.5,58.5,58.0,58.0,58400,[0 1]
20040811,56.0,57.0,56.0,57.0,419800,[0 0]
20040813,58.01,58.01,58.01,58.01,58010,[1 1]
20040830,60.0,60.0,59.5,59.5,810050,[1 0]
20040831,58.02,58.02,58.02,58.02,75426,[0 0]
20040903,60.0,60.0,60.0,60.0,150000,[1 1]
20040906,58.02,58.02,58.02,58.02,382932,[0 0]
20040909,58.02,58.02,58.02,58.02,11604,[1 0]
20040913,60.0,60.0,60.0,60.0,90000,[1 1]
20040915,58.02,58.25,58.02,58.25,104528,[1 0]
20040917,58.5,58.5,58.5,58.5,35100,[1 1]
20040920,60.0,60.0,60.0,60.0,390000,[0 1]
20040921,58.02,58.02,58.0,58.0,58010,[1 0]
20040922,58.0,58.0,58.0,58.0,174000,[0 0]
20040923,60.0,60.0,60.0,60.0,6000,[0 1]
20040927,60.0,60.0,60.0,60.0,120000,[0 1]
20040930,60.0,60.0,60.0,60.0,408000,[1 1]
20041001,60.0,60.0,60.0,60.0,120000,[0 1]
20041004,60.0,60.0,60.0,60.0,240000,[1 1]
20041005,60.0,60.0,60.0,60.0,102000,[0 1]
20041007,62.0,62.0,62.0,62.0,6200,[0 0]
20041008,58.4,58.5,58.4,58.4,444120,[1 0]
20041011,57.5,57.5,57.5,57.5,51750,[0 0]
20041014,57.6,57.6,57.6,57.6,408960,[0 1]
20041018,56.0,56.0,51.0,51.0,89100,[0 1]
20041020,51.0,51.0,51.0,51.0,5100,[0 0]
20041025,57.0,57.0,57.0,57.0,45600,[0 1]
20041026,52.5,52.5,52.5,52.5,21000,[0 0]
20041027,55.0,55.0,55.0,55.0,132000,[1 1]
20041103,52.0,52.0,52.0,52.0,36400,[1 1]
20041117,57.5,57.5,57.0,57.0,114600,[1 0]
