date,open,max,min,close,volume,y
20040624,28.5,29.0,28.0,28.0,6517065800,[0 0]
20040625,28.59,28.59,27.0,28.0,2565355200,[0 0]
20040628,28.0,28.0,26.0,26.67,1637767900,[0 0]
20040629,26.8,26.9,26.4,26.5,1454490400,[1 0]
20040630,26.5,26.6,25.73,26.5,1610773800,[1 0]
20040701,26.49,26.49,26.0,26.05,2101039600,[0 0]
20040702,26.01,26.01,25.0,25.0,3203552800,[0 0]
20040705,24.75,25.97,24.65,25.9,2113895000,[1 0]
20040706,25.5,26.21,25.49,25.8,3038957500,[1 0]
20040707,25.99,27.0,25.8,26.9,460689900,[1 1]
20040708,26.8,26.89,26.44,26.45,333506000,[0 1]
20040712,26.44,27.5,25.96,26.1,350501300,[0 0]
20040713,26.07,26.2,25.84,25.95,679783400,[1 0]
20040714,25.8,26.0,25.52,25.58,227072900,[0 1]
20040715,25.52,25.66,25.5,25.5,333845300,[1 0]
20040716,25.5,25.65,25.3,25.55,325378700,[1 1]
20040719,25.97,25.97,25.1,25.3,714329800,[1 0]
20040720,25.45,25.65,25.12,25.6,233296700,[1 0]
20040721,25.79,26.0,25.26,25.27,282457600,[0 0]
20040722,25.02,25.85,24.8,25.3,195193700,[0 1]
20040723,25.3,25.9,25.3,25.51,1771320700,[0 0]
20040726,25.6,25.85,25.3,25.3,268941700,[0 1]
20040727,25.02,25.95,25.02,25.8,403701700,[1 0]
20040728,25.8,25.86,25.38,25.75,744150300,[1 1]
20040729,25.74,25.8,25.47,25.62,39152200,[0 0]
20040730,25.5,25.79,25.36,25.74,233541900,[0 1]
20040802,25.4,26.0,25.4,25.7,224913600,[1 1]
20040803,25.7,26.0,25.6,25.6,287121700,[1 1]
20040804,25.5,27.0,25.5,26.11,697248700,[0 1]
20040805,26.4,27.0,26.25,26.5,445823000,[0 1]
20040806,26.6,26.75,26.3,26.5,114215300,[1 0]
20040809,26.3,26.7,26.3,26.6,134819800,[1 0]
20040810,26.7,26.99,26.4,26.85,677869500,[0 1]
20040811,26.87,27.2,26.75,27.05,396908500,[0 0]
