date,open,max,min,close,volume,y
20040624,29.0,29.2,28.04,28.2,211695265,[0 0]
20040625,27.8,28.39,27.5,27.8,115195360,[0 0]
20040628,27.78,27.79,25.9,26.9,59559314,[0 0]
20040629,26.8,26.94,26.3,26.55,22146525,[1 0]
20040630,26.0,26.6,25.61,26.49,33461205,[1 0]
20040701,26.3,26.3,25.99,26.05,18938401,[0 0]
20040702,26.0,26.0,24.9,24.9,33866274,[0 0]
20040705,24.76,25.95,24.76,25.75,18157750,[0 1]
20040706,25.97,26.2,25.3,25.69,10556690,[1 0]
20040707,26.0,26.98,25.8,26.7,17425015,[1 1]
20040708,26.9,26.9,26.46,26.62,6777933,[0 1]
20040712,26.4,27.2,25.96,26.05,8339772,[0 0]
20040713,26.2,26.2,25.64,25.81,11876825,[1 1]
20040714,25.5,25.92,25.17,25.6,9081145,[0 1]
20040715,25.51,25.77,25.41,25.41,10391671,[0 1]
20040716,25.5,26.0,25.0,25.29,12607791,[0 1]
20040719,25.62,25.65,25.06,25.33,7592267,[1 0]
20040720,25.02,25.6,25.02,25.6,9281966,[0 0]
20040721,25.6,25.99,25.21,25.3,9399217,[1 0]
20040722,25.08,25.85,25.08,25.53,8260128,[1 0]
20040723,25.2,25.85,25.2,25.81,8063686,[1 0]
20040726,25.15,25.8,25.15,25.8,6384132,[1 0]
20040727,24.0,25.99,24.0,25.99,9766220,[1 0]
20040728,25.8,25.85,25.11,25.4,7907977,[1 1]
20040729,25.57,25.74,25.21,25.31,5605572,[0 0]
20040730,25.12,25.75,25.12,25.7,9591115,[0 1]
20040802,25.12,25.98,25.12,25.83,9948865,[1 1]
20040803,25.8,26.05,25.35,25.81,15661099,[1 1]
20040804,25.5,26.99,25.5,26.3,22277284,[1 0]
20040805,26.1,26.99,26.1,26.23,12521464,[0 0]
20040806,26.7,26.7,26.23,26.47,3295543,[0 0]
20040809,26.4,26.6,26.25,26.39,5763391,[1 0]
20040810,26.7,26.89,26.17,26.89,10791475,[0 0]
20040811,26.85,27.2,26.41,27.0,24742062,[0 0]
20040812,26.85,27.0,26.73,27.0,7593307,[1 0]
20040813,26.83,27.1,26.4,27.0,12651723,[0 1]
20040816,27.0,27.27,26.85,26.86,8780256,[0 1]
20040817,26.8,26.95,26.25,26.9,7673254,[1 0]
20040818,26.75,26.75,26.0,26.0,6341161,[1 0]
20040819,26.0,26.2,25.72,26.1,7756918,[0 1]
20040820,25.8,26.05,25.65,25.65,5022225,[1 1]
20040823,26.0,26.03,25.7,25.81,5616206,[0 1]
20040824,25.4,25.89,25.34,25.7,6326954,[1 0]
20040825,25.5,26.3,25.5,25.85,5234723,[1 1]
20040826,25.51,25.85,25.51,25.6,6316944,[0 1]
20040827,25.62,26.08,25.62,26.0,5136127,[0 1]
20040830,25.99,26.0,25.57,25.65,5013693,[0 1]
20040831,25.5,26.1,25.5,26.0,10908019,[1 1]
20040901,25.55,26.5,25.55,26.4,8900425,[1 0]
20040902,26.0,26.39,25.97,26.14,7859879,[0 0]
20040903,26.0,26.45,25.9,25.9,5850413,[0 1]
20040906,26.0,26.0,25.76,25.76,1231983,[1 1]
20040908,26.5,27.05,26.05,26.81,43395556,[0 1]
20040909,25.95,27.4,25.95,27.29,26839001,[0 0]
20040910,27.0,27.95,27.0,27.58,25244504,[1 1]
20040913,27.0,29.48,27.0,29.0,84236409,[1 0]
20040914,28.6,30.4,28.21,30.2,53395854,[1 0]
20040915,29.99,30.95,29.91,30.29,36808403,[0 1]
20040916,29.9,30.37,29.9,30.1,21393844,[1 1]
20040917,30.0,30.2,29.51,30.04,16682889,[0 1]
20040920,29.61,30.2,28.0,30.0,14807832,[1 1]
20040921,29.72,30.2,29.72,30.0,14718589,[1 1]
20040922,29.7,30.01,29.7,29.98,7866219,[1 0]
20040923,30.0,30.3,29.82,30.3,11649778,[0 0]
20040924,30.1,30.35,29.47,29.95,6993680,[1 1]
20040927,29.65,29.9,28.03,29.8,6260890,[0 1]
20040928,28.6,29.5,28.6,29.5,4817610,[0 1]
20040929,29.35,29.4,29.0,29.1,2686137,[0 0]
20040930,29.0,29.1,28.26,28.65,3618092,[0 1]
20041001,28.5,29.15,28.41,29.0,4875187,[0 1]
20041004,28.9,29.16,28.25,28.7,3671720,[0 0]
20041005,28.6,28.6,27.06,27.45,2782028,[0 1]
20041006,27.3,27.84,27.3,27.7,1970310,[0 0]
20041007,27.7,27.8,27.59,27.6,1379668,[1 0]
20041008,27.56,28.0,27.5,27.83,1539603,[1 1]
20041011,27.6,28.3,27.5,28.0,901031,[1 0]
20041013,28.0,28.25,27.3,27.3,2684151,[1 0]
20041014,27.3,28.0,27.02,28.0,2567677,[1 0]
20041015,28.02,28.06,27.6,27.9,2473799,[1 1]
20041018,27.1,27.9,27.0,27.5,2884123,[1 0]
20041019,27.65,28.2,27.65,27.7,3946142,[0 0]
20041020,27.71,27.9,27.51,27.8,960788,[0 0]
20041021,27.53,27.86,27.02,27.86,3428984,[1 0]
20041022,27.7,27.7,27.31,27.31,4264238,[1 0]
20041025,27.75,28.12,27.65,27.81,3433897,[1 1]
20041026,27.9,28.28,27.5,28.01,7420696,[0 0]
20041027,28.02,28.6,27.8,27.8,4526892,[0 1]
20041028,28.0,29.9,27.8,29.5,11908167,[1 0]
20041029,29.15,29.7,29.14,29.6,3746893,[1 0]
20041101,29.8,29.8,29.28,29.4,1723014,[1 0]
20041103,29.45,29.8,26.58,29.59,3007850,[1 0]
20041104,29.35,29.6,29.21,29.55,2612963,[0 0]
20041105,29.5,29.89,28.5,29.89,6256901,[1 0]
20041108,29.0,29.95,28.5,29.15,6139692,[0 0]
20041109,29.6,30.7,29.3,30.7,19468123,[0 1]
20041110,30.5,31.5,30.0,30.99,14229976,[0 0]
20041111,30.71,31.65,30.71,31.2,10705468,[1 1]
20041112,31.0,31.5,30.76,31.5,10332975,[1 0]
20041116,31.0,31.5,30.6,31.21,4418411,[0 0]
20041117,31.0,31.5,31.0,31.05,5875690,[1 1]
20041118,31.13,31.13,30.7,31.0,4357243,[0 1]
20041119,31.0,32.4,30.0,30.0,9363698,[1 1]
20041122,31.67,32.9,31.67,32.0,9983144,[0 1]
20041123,32.6,33.13,32.11,32.9,11221397,[1 0]
20041124,33.2,34.6,32.91,33.89,7782904,[1 1]
20041125,33.0,33.6,32.48,32.9,3259440,[0 1]
20041126,33.0,33.92,32.0,33.49,4339667,[0 1]
20041129,32.76,33.0,32.12,33.0,2396054,[0 0]
20041130,32.85,33.0,31.9,31.9,2767506,[0 1]
20041201,32.45,33.65,32.0,32.0,3267518,[0 1]
20041202,33.5,36.18,33.5,35.7,14014215,[1 1]
20041203,35.79,37.29,35.3,37.18,9285817,[0 0]
20041206,37.0,37.3,36.1,36.11,4237006,[0 1]
20041207,36.21,37.01,36.11,37.0,3934466,[0 0]
20041208,36.59,36.59,36.21,36.21,1956946,[0 1]
20041209,37.0,37.0,34.11,35.35,2299700,[0 0]
20041210,35.7,38.3,35.7,37.81,5285575,[1 1]
20041213,38.0,39.25,37.52,39.2,5968510,[0 0]
20041214,40.24,40.5,39.66,40.0,8059470,[0 1]
20041215,40.0,40.23,39.0,39.0,6114093,[0 0]
20041216,39.26,40.25,39.0,39.1,4774186,[0 1]
20041217,38.99,39.5,38.99,39.15,2154744,[0 0]
20041220,39.09,39.5,38.0,39.29,7022266,[1 0]
20041221,39.3,41.01,39.1,41.01,6282137,[1 1]
20041222,40.53,41.9,40.53,41.89,7688864,[0 1]
20041223,42.32,44.99,42.0,44.5,8455774,[0 1]
20041227,44.5,45.9,43.48,43.48,4600414,[1 1]
20041228,44.5,44.5,41.7,43.3,3772396,[0 0]
20041229,43.1,43.1,41.8,42.0,2735399,[1 1]
20041230,42.39,42.5,42.0,42.01,1257055,[1 0]
20050103,42.0,42.96,41.5,42.96,2811765,[0 1]
20050104,42.95,42.95,40.0,40.0,2581764,[1 1]
20050105,40.0,40.5,39.95,40.01,1127487,[0 1]
20050106,40.0,40.0,39.05,39.2,1800961,[0 1]
20050107,39.83,40.9,39.3,40.0,2981293,[0 1]
20050110,40.2,40.2,38.2,38.5,1763084,[0 1]
20050111,38.8,38.9,37.8,38.2,1742517,[0 1]
20050112,38.5,39.0,37.2,38.14,1519316,[0 0]
20050113,38.31,40.0,38.0,40.0,685215,[1 1]
20050114,40.6,40.6,39.02,39.08,838066,[0 1]
20050117,39.05,39.99,38.6,39.99,2018479,[0 0]
20050118,39.89,39.89,38.9,39.35,1095451,[1 0]
20050119,38.5,39.97,38.0,38.01,2642352,[0 1]
20050120,38.4,38.4,36.5,36.55,3093719,[1 1]
20050121,36.5,37.5,36.11,37.0,1236970,[0 1]
20050124,38.0,38.0,36.02,36.03,1461992,[1 0]
20050126,36.45,40.0,36.0,36.0,2683664,[0 1]
20050127,36.01,39.7,35.85,38.15,3422739,[1 0]
20050128,38.0,38.0,37.02,37.26,1697947,[1 0]
20050131,38.5,40.0,38.0,39.0,3364730,[1 1]
20050201,39.1,39.6,38.21,39.01,2736451,[0 0]
20050202,38.85,41.79,38.85,41.6,5814112,[0 1]
20050203,41.9,42.08,40.5,40.8,3152028,[1 0]
20050204,40.0,41.7,40.0,40.97,2763634,[1 0]
20050209,41.0,41.29,40.51,40.51,1188894,[1 0]
20050210,41.0,41.0,40.0,40.99,3406858,[0 0]
20050211,40.03,40.5,39.99,39.99,604809,[1 1]
20050214,40.0,40.33,39.9,40.25,3297390,[0 1]
20050215,39.01,43.0,39.01,41.02,7072953,[1 1]
20050216,42.35,43.5,42.35,43.2,4508994,[0 0]
20050217,42.45,42.45,41.52,41.52,1269625,[1 1]
20050218,41.01,41.48,38.57,39.64,2973533,[0 1]
20050221,40.98,40.98,38.8,38.8,2646817,[0 0]
20050222,39.25,39.4,37.5,37.7,5127593,[0 1]
20050223,39.5,39.5,36.9,37.2,5229306,[1 1]
20050224,37.5,39.0,37.5,38.6,2379636,[1 0]
20050225,39.0,39.0,37.0,37.0,3539705,[1 0]
20050228,37.5,38.5,37.0,38.5,4002019,[1 1]
20050301,37.7,38.5,37.52,38.11,3643474,[1 0]
20050302,38.5,39.5,38.35,39.5,4752039,[0 1]
20050303,39.2,41.5,39.2,41.0,6844842,[1 0]
20050304,41.2,41.49,40.76,41.0,5468744,[0 0]
20050307,41.53,42.54,40.0,40.25,5951350,[1 0]
20050308,41.0,42.1,38.8,39.48,6567916,[0 1]
20050309,39.65,40.0,39.5,40.0,2867395,[1 1]
20050310,40.0,40.5,39.4,40.4,3114545,[1 0]
20050311,40.35,40.8,39.6,39.9,2180085,[1 0]
20050314,39.9,41.2,39.6,41.0,4754367,[1 0]
20050315,40.9,41.99,39.5,39.5,2463483,[1 0]
20050316,39.51,41.59,39.0,40.13,2173980,[1 1]
20050317,39.39,39.39,38.3,38.3,1555998,[1 1]
20050318,38.3,40.09,38.25,39.0,1192476,[0 1]
20050321,38.65,39.0,37.81,37.81,886547,[1 1]
20050322,37.86,37.86,37.22,37.22,1525433,[0 0]
20050323,37.0,37.0,35.01,35.5,4398124,[0 1]
20050324,36.47,37.0,35.5,36.2,1973817,[0 0]
20050328,36.02,36.1,35.0,35.0,1819570,[1 0]
20050329,35.59,35.59,34.52,34.8,2000162,[0 0]
20050330,34.0,35.9,34.0,34.02,1338664,[1 1]
20050331,35.0,35.0,32.0,32.0,1838125,[0 0]
20050401,34.2,35.0,33.15,33.55,1206070,[1 0]
20050404,35.83,35.83,33.0,33.2,724728,[1 1]
20050405,32.53,33.0,32.3,32.3,965808,[0 0]
20050406,32.6,32.6,32.4,32.4,654691,[1 1]
20050407,33.0,33.0,32.5,32.5,724009,[1 1]
20050408,32.8,36.0,32.8,34.5,1690994,[0 0]
